CONKPOS,WELL,WELLMODEL,CONIDX,DRAWDOWN,CONIPOS,CONJPOS,SWAT,CONBPRES,DATE,DEPTH,PRESSURE,SGAS
1,R_A2,STANDARD,1,0,22,30,0.05425628274679184,300.8949279785156,2018-01-01,1642.783935546875,300.8949279785156,0.0
2,R_A2,STANDARD,2,0,22,30,0.05744050815701485,301.018798828125,2018-01-01,1644.631103515625,301.018798828125,0.0
3,R_A2,STANDARD,3,0,22,30,0.05947127565741539,301.1426696777344,2018-01-01,1646.478271484375,301.1426696777344,0.0
4,R_A2,STANDARD,4,0,22,30,0.06473840028047562,301.26654052734375,2018-01-01,1648.325439453125,301.26654052734375,0.0
5,R_A2,STANDARD,5,0,22,30,0.07019571959972382,301.3904113769531,2018-01-01,1650.1727294921875,301.3904113769531,0.0
6,R_A2,STANDARD,6,0,22,30,0.1163354218006134,301.5143127441406,2018-01-01,1652.019775390625,301.5143127441406,0.0
7,R_A2,STANDARD,7,0,22,30,0.19577230513095856,301.63818359375,2018-01-01,1653.866943359375,301.63818359375,0.0
8,R_A2,STANDARD,8,0,22,30,0.6481541991233826,301.7620849609375,2018-01-01,1655.7142333984375,301.7620849609375,0.0
9,R_A2,STANDARD,9,0,22,30,0.6481541991233826,301.885986328125,2018-01-01,1657.5614013671875,301.885986328125,0.0
10,R_A2,STANDARD,10,0,22,30,0.3202241361141205,302.0098571777344,2018-01-01,1659.4085693359375,302.0098571777344,0.0
11,R_A2,STANDARD,11,0,22,30,0.07440682500600815,302.1413269042969,2018-01-01,1661.368408203125,302.1413269042969,0.0
12,R_A2,STANDARD,12,0,22,30,0.07244575768709183,302.2803649902344,2018-01-01,1663.4410400390625,302.2803649902344,0.0
13,R_A2,STANDARD,13,0,22,30,0.44811776280403137,302.41937255859375,2018-01-01,1665.5135498046875,302.41937255859375,0.0
14,R_A2,STANDARD,14,0,22,30,0.4874471426010132,302.55841064453125,2018-01-01,1667.5860595703125,302.55841064453125,0.0
15,R_A2,STANDARD,15,0,22,30,0.659936785697937,302.69744873046875,2018-01-01,1669.65869140625,302.69744873046875,0.0
16,R_A2,STANDARD,16,0,22,30,0.9600250720977783,302.83648681640625,2018-01-01,1671.731201171875,302.83648681640625,0.0
17,R_A2,STANDARD,17,0,22,30,0.9441564083099365,302.97552490234375,2018-01-01,1673.8037109375,302.97552490234375,0.0
18,R_A2,STANDARD,18,0,22,30,0.9800389409065247,303.1073303222656,2018-01-01,1675.76806640625,303.1073303222656,0.0
18,R_A2,STANDARD,19,0,22,29,0.9180510640144348,302.8253479003906,2018-01-01,1671.56494140625,302.8253479003906,0.0
26,R_A2,STANDARD,20,0,22,29,1.0,302.9769592285156,2018-01-01,1673.8248291015625,302.9769592285156,0.0
27,R_A2,STANDARD,21,0,22,29,1.0,303.1007080078125,2018-01-01,1675.6695556640625,303.1007080078125,0.0
28,R_A2,STANDARD,22,0,22,29,1.0,303.2244873046875,2018-01-01,1677.51416015625,303.2244873046875,0.0
29,R_A2,STANDARD,23,0,22,29,1.0,303.3482360839844,2018-01-01,1679.3587646484375,303.3482360839844,0.0
30,R_A2,STANDARD,24,0,22,29,1.0,303.7875671386719,2018-01-01,1681.203369140625,303.7875671386719,0.0
1,R_A3,STANDARD,1,0,28,41,0.11472383141517639,298.8233337402344,2018-01-01,1611.8824462890625,298.8233337402344,0.0
2,R_A3,STANDARD,2,0,28,41,0.11823459714651108,298.9561767578125,2018-01-01,1613.8643798828125,298.9561767578125,0.0
3,R_A3,STANDARD,3,0,28,41,0.12119867652654648,299.0890197753906,2018-01-01,1615.8463134765625,299.0890197753906,0.0
3,R_A3,STANDARD,4,0,29,41,0.1307055503129959,298.1958923339844,2018-01-01,1602.519775390625,298.1958923339844,0.0
4,R_A3,STANDARD,5,0,29,41,0.2646787166595459,298.3348083496094,2018-01-01,1604.5928955078125,298.3348083496094,0.0
5,R_A3,STANDARD,6,0,29,41,0.8028045296669006,298.4737548828125,2018-01-01,1606.6661376953125,298.4737548828125,0.0
6,R_A3,STANDARD,7,0,29,41,0.6481541991233826,298.6126708984375,2018-01-01,1608.7392578125,298.6126708984375,0.0
7,R_A3,STANDARD,8,0,29,41,0.19460320472717285,298.7516174316406,2018-01-01,1610.8123779296875,298.7516174316406,0.0
8,R_A3,STANDARD,9,0,29,41,0.19675147533416748,298.89056396484375,2018-01-01,1612.885498046875,298.89056396484375,0.0
9,R_A3,STANDARD,10,0,29,41,0.7942142486572266,299.0295104980469,2018-01-01,1614.958740234375,299.0295104980469,0.0
10,R_A3,STANDARD,11,0,29,41,0.7909375429153442,299.16845703125,2018-01-01,1617.0318603515625,299.16845703125,0.0
11,R_A3,STANDARD,12,0,29,41,0.04931934177875519,299.314697265625,2018-01-01,1619.2132568359375,299.314697265625,0.0
12,R_A3,STANDARD,13,0,29,41,0.05331052094697952,299.4681701660156,2018-01-01,1621.5030517578125,299.4681701660156,0.0
13,R_A3,STANDARD,14,0,29,41,0.36280369758605957,299.6216735839844,2018-01-01,1623.792724609375,299.6216735839844,0.0
14,R_A3,STANDARD,15,0,29,41,0.2549261152744293,299.7751770019531,2018-01-01,1626.08251953125,299.7751770019531,0.0
15,R_A3,STANDARD,16,0,29,41,0.4917459487915039,299.9258117675781,2018-01-01,1628.3299560546875,299.9258117675781,0.0
16,R_A3,STANDARD,17,0,29,41,0.8035295605659485,300.0464782714844,2018-01-01,1630.1295166015625,300.0464782714844,0.0
17,R_A3,STANDARD,18,0,29,41,0.7678762078285217,300.1018981933594,2018-01-01,1630.956298828125,300.1018981933594,0.0
26,R_A3,STANDARD,19,0,29,41,0.6481541991233826,300.23333740234375,2018-01-01,1632.916748046875,300.23333740234375,0.0
27,R_A3,STANDARD,20,0,29,41,0.04182649403810501,300.47882080078125,2018-01-01,1636.578369140625,300.47882080078125,0.0
28,R_A3,STANDARD,21,0,29,41,0.08759213984012604,300.7243347167969,2018-01-01,1640.2398681640625,300.7243347167969,0.0
29,R_A3,STANDARD,22,0,29,41,1.0,300.9698791503906,2018-01-01,1643.9014892578125,300.9698791503906,0.0
30,R_A3,STANDARD,23,0,29,41,0.15114659070968628,301.2154235839844,2018-01-01,1647.56298828125,301.2154235839844,0.0
1,R_A4,STANDARD,1,0,30,52,0.049020130187273026,299.8150939941406,2018-01-01,1626.67822265625,299.8150939941406,0.0
1,R_A4,STANDARD,2,0,31,52,0.046647604554891586,299.6408386230469,2018-01-01,1624.07861328125,299.6408386230469,0.0
2,R_A4,STANDARD,3,0,31,52,0.04740956425666809,299.7851867675781,2018-01-01,1626.232177734375,299.7851867675781,0.0
3,R_A4,STANDARD,4,0,31,52,0.04789537191390991,299.9295654296875,2018-01-01,1628.3857421875,299.9295654296875,0.0
4,R_A4,STANDARD,5,0,31,52,0.05166438966989517,300.0739440917969,2018-01-01,1630.539306640625,300.0739440917969,0.0
5,R_A4,STANDARD,6,0,31,52,0.05342674255371094,300.21832275390625,2018-01-01,1632.69287109375,300.21832275390625,0.0
5,R_A4,STANDARD,7,0,32,52,0.054099664092063904,300.1620178222656,2018-01-01,1631.8531494140625,300.1620178222656,0.0
6,R_A4,STANDARD,8,0,32,52,0.05345750227570534,300.2894592285156,2018-01-01,1633.75390625,300.2894592285156,0.0
6,R_A4,STANDARD,9,0,32,51,0.05398750305175781,300.34197998046875,2018-01-01,1634.5372314453125,300.34197998046875,0.0
5,R_A4,STANDARD,10,0,32,51,0.054336562752723694,300.2205505371094,2018-01-01,1632.725830078125,300.2205505371094,0.0
5,R_A4,STANDARD,11,0,33,51,0.060737449675798416,300.58013916015625,2018-01-01,1638.08935546875,300.58013916015625,0.0
4,R_A4,STANDARD,12,0,33,51,0.056153204292058945,300.4598693847656,2018-01-01,1636.295654296875,300.4598693847656,0.0
4,R_A4,STANDARD,13,0,33,50,0.057926107197999954,300.614013671875,2018-01-01,1638.5946044921875,300.614013671875,0.0
4,R_A4,STANDARD,14,0,34,50,0.06393624097108841,300.7647399902344,2018-01-01,1640.842529296875,300.7647399902344,0.0
3,R_A4,STANDARD,15,0,34,50,0.05923711508512497,300.6332702636719,2018-01-01,1638.88134765625,300.6332702636719,0.0
3,R_A4,STANDARD,16,0,35,50,0.060751836746931076,300.7751159667969,2018-01-01,1640.9970703125,300.7751159667969,0.0
3,R_A4,STANDARD,17,0,35,49,0.15801194310188293,300.88946533203125,2018-01-01,1642.702392578125,300.88946533203125,0.0
2,R_A4,STANDARD,18,0,35,49,0.2287694811820984,300.76068115234375,2018-01-01,1640.7818603515625,300.76068115234375,0.0
29,R_A4,STANDARD,19,0,36,49,0.6481541991233826,300.90118408203125,2018-01-01,1642.876953125,300.90118408203125,0.0
29,R_A4,STANDARD,20,0,36,48,0.6481541991233826,300.9100036621094,2018-01-01,1643.008544921875,300.9100036621094,0.0
29,R_A4,STANDARD,21,0,37,48,0.6481541991233826,301.4427795410156,2018-01-01,1650.953369140625,301.4427795410156,0.0
28,R_A4,STANDARD,22,0,37,48,1.0,301.0816955566406,2018-01-01,1645.5689697265625,301.0816955566406,0.0
28,R_A4,STANDARD,23,0,38,48,1.0,301.50189208984375,2018-01-01,1651.834716796875,301.50189208984375,0.0
27,R_A4,STANDARD,24,0,38,48,0.6481541991233826,301.1313171386719,2018-01-01,1646.3087158203125,301.1313171386719,0.0
27,R_A4,STANDARD,25,0,38,47,0.2574336528778076,301.7862243652344,2018-01-01,1656.0740966796875,301.7862243652344,0.0
1,R_A5,STANDARD,1,0,31,20,1.0,303.9144592285156,2018-01-01,1685.76904296875,303.9144592285156,0.0
2,R_A5,STANDARD,2,0,31,20,1.0,304.1393737792969,2018-01-01,1688.142822265625,304.1393737792969,0.0
3,R_A5,STANDARD,3,0,31,20,1.0,304.36431884765625,2018-01-01,1690.516357421875,304.36431884765625,0.0
4,R_A5,STANDARD,4,0,31,20,1.0,304.5892639160156,2018-01-01,1692.8900146484375,304.5892639160156,0.0
5,R_A5,STANDARD,5,0,31,20,1.0,304.814208984375,2018-01-01,1695.263671875,304.814208984375,0.0
6,R_A5,STANDARD,6,0,31,20,1.0,305.0391540527344,2018-01-01,1697.6373291015625,305.0391540527344,0.0
7,R_A5,STANDARD,7,0,31,20,1.0,305.56988525390625,2018-01-01,1700.010986328125,305.56988525390625,0.0
11,R_A5,STANDARD,8,0,31,20,1.0,306.14300537109375,2018-01-01,1709.283935546875,306.14300537109375,0.0
