WELLMODEL,DATE,SWAT,DRAWDOWN,CONJPOS,CONBPRES,CONKPOS,PRESSURE,DEPTH,WELL,CONIPOS,SGAS,CONIDX
STANDARD,2018-01-01,0.054255157709121704,0,30,300.7622985839844,1,300.7622985839844,1640.78515625,R_A2,22,0.0,1
STANDARD,2018-01-01,0.05599651858210564,0,30,300.87823486328125,2,300.87823486328125,1642.5142822265625,R_A2,22,0.0,2
STANDARD,2018-01-01,0.05947692319750786,0,30,300.9941711425781,3,300.9941711425781,1644.243408203125,R_A2,22,0.0,3
STANDARD,2018-01-01,0.06396833062171936,0,30,301.1101379394531,4,301.1101379394531,1645.972412109375,R_A2,22,0.0,4
STANDARD,2018-01-01,0.0664452314376831,0,30,301.22607421875,5,301.22607421875,1647.7015380859375,R_A2,22,0.0,5
STANDARD,2018-01-01,0.22449444234371185,0,30,301.342041015625,6,301.342041015625,1649.4306640625,R_A2,22,0.0,6
STANDARD,2018-01-01,0.6481541991233826,0,30,301.4580078125,7,301.4580078125,1651.1597900390625,R_A2,22,0.0,7
STANDARD,2018-01-01,0.855766236782074,0,30,301.573974609375,8,301.573974609375,1652.888916015625,R_A2,22,0.0,8
STANDARD,2018-01-01,0.2973392605781555,0,30,301.68994140625,9,301.68994140625,1654.617919921875,R_A2,22,0.0,9
STANDARD,2018-01-01,0.1666438728570938,0,30,301.805908203125,10,301.805908203125,1656.3470458984375,R_A2,22,0.0,10
STANDARD,2018-01-01,0.06916694343090057,0,30,301.9314880371094,11,301.9314880371094,1658.2193603515625,R_A2,22,0.0,11
STANDARD,2018-01-01,0.2230851948261261,0,30,302.0666809082031,12,302.0666809082031,1660.235107421875,R_A2,22,0.0,12
STANDARD,2018-01-01,0.4325476288795471,0,30,302.201904296875,13,302.201904296875,1662.250732421875,R_A2,22,0.0,13
STANDARD,2018-01-01,0.4710543751716614,0,30,302.33709716796875,14,302.33709716796875,1664.266357421875,R_A2,22,0.0,14
STANDARD,2018-01-01,0.9028613567352295,0,30,302.4723205566406,15,302.4723205566406,1666.2821044921875,R_A2,22,0.0,15
STANDARD,2018-01-01,0.9168879985809326,0,30,302.6075439453125,16,302.6075439453125,1668.2977294921875,R_A2,22,0.0,16
STANDARD,2018-01-01,0.9398992657661438,0,29,302.836669921875,16,302.836669921875,1671.7132568359375,R_A2,22,0.0,17
STANDARD,2018-01-01,0.9314085245132446,0,29,302.9801940917969,17,302.9801940917969,1673.8525390625,R_A2,22,0.0,18
STANDARD,2018-01-01,0.9778735041618347,0,29,303.0931396484375,18,303.0931396484375,1675.5357666015625,R_A2,22,0.0,19
STANDARD,2018-01-01,1.0,0,29,303.19305419921875,27,303.19305419921875,1677.0250244140625,R_A2,22,0.0,20
STANDARD,2018-01-01,1.0,0,29,303.3105163574219,28,303.3105163574219,1678.77587890625,R_A2,22,0.0,21
STANDARD,2018-01-01,1.0,0,29,303.4280090332031,29,303.4280090332031,1680.52685546875,R_A2,22,0.0,22
STANDARD,2018-01-01,1.0,0,29,303.889404296875,30,303.889404296875,1682.27783203125,R_A2,22,0.0,23
STANDARD,2018-01-01,1.0,0,29,304.0553283691406,31,304.0553283691406,1684.02880859375,R_A2,22,0.0,24
STANDARD,2018-01-01,0.6481541991233826,0,41,298.6628112792969,1,298.6628112792969,1609.466552734375,R_A3,28,0.0,1
STANDARD,2018-01-01,0.11823459714651108,0,41,298.79791259765625,2,298.79791259765625,1611.482421875,R_A3,28,0.0,2
STANDARD,2018-01-01,0.11823459714651108,0,41,298.9330139160156,3,298.9330139160156,1613.4981689453125,R_A3,28,0.0,3
STANDARD,2018-01-01,0.09614915400743484,0,41,299.068115234375,4,299.068115234375,1615.513916015625,R_A3,28,0.0,4
STANDARD,2018-01-01,0.12699709832668304,0,41,298.52642822265625,4,298.52642822265625,1607.431396484375,R_A3,29,0.0,5
STANDARD,2018-01-01,0.6481541991233826,0,41,298.66119384765625,5,298.66119384765625,1609.442626953125,R_A3,29,0.0,6
STANDARD,2018-01-01,0.3311764895915985,0,41,298.7960205078125,6,298.7960205078125,1611.4539794921875,R_A3,29,0.0,7
STANDARD,2018-01-01,0.19553832709789276,0,41,298.9308166503906,7,298.9308166503906,1613.46533203125,R_A3,29,0.0,8
STANDARD,2018-01-01,0.19764170050621033,0,41,299.06561279296875,8,299.06561279296875,1615.4765625,R_A3,29,0.0,9
STANDARD,2018-01-01,0.789892315864563,0,41,299.2004089355469,9,299.2004089355469,1617.48779296875,R_A3,29,0.0,10
STANDARD,2018-01-01,0.7916851043701172,0,41,299.3352355957031,10,299.3352355957031,1619.4990234375,R_A3,29,0.0,11
STANDARD,2018-01-01,0.04743462800979614,0,41,299.4793395996094,11,299.4793395996094,1621.6490478515625,R_A3,29,0.0,12
STANDARD,2018-01-01,0.054738644510507584,0,41,299.63275146484375,12,299.63275146484375,1623.9376220703125,R_A3,29,0.0,13
STANDARD,2018-01-01,0.37287938594818115,0,41,299.78619384765625,13,299.78619384765625,1626.226318359375,R_A3,29,0.0,14
