WELL,I,J,K1,K2,OP/SH,SATN,TRAN,WBDIA,KH,SKIN,DFACT,DIR,PEQVR,DATE
R_A2,22,30,1,1,OPEN,0,21.9612519,0.2413,2202.25895,0.0,,Z,25.9919086,2018-01-01
R_A2,22,30,2,2,OPEN,0,18.9390469,0.2413,1898.26864,0.0,,Z,25.9239312,2018-01-01
R_A2,22,30,3,3,OPEN,0,15.180093,0.2413,1520.40111,0.0,,Z,25.8229346,2018-01-01
R_A2,22,30,4,4,OPEN,0,11.9781773,0.2413,1199.34677,0.0,,Z,25.7815857,2018-01-01
R_A2,22,30,5,5,OPEN,0,11.1393945,0.2413,1114.67437,0.0,,Z,25.6965318,2018-01-01
R_A2,22,30,6,6,OPEN,0,7.08086116,0.2413,563.239984,0.0,,Z,8.55788824,2018-01-01
R_A2,22,30,7,7,OPEN,0,0.01118683,0.2413,1.07992763,0.0,,Z,21.2682042,2018-01-01
R_A2,22,30,8,8,OPEN,0,0.01999225,0.2413,1.93423926,0.0,,Z,21.5132308,2018-01-01
R_A2,22,30,9,9,OPEN,0,5.72009583,0.2413,568.067207,0.0,,Z,24.6775856,2018-01-01
R_A2,22,30,10,10,OPEN,0,2.19173217,0.2413,168.387694,0.0,,Z,7.39919143,2018-01-01
R_A2,22,30,11,11,OPEN,0,35.296636,0.2413,3529.14791,0.0,,Z,25.585827,2018-01-01
R_A2,22,30,12,12,OPEN,0,5.29130576,0.2413,223.024721,0.0,,Z,1.15414888,2018-01-01
R_A2,22,30,13,13,OPEN,0,0.48817544,0.2413,48.7724975,0.0,,Z,25.479583,2018-01-01
R_A2,22,30,14,14,OPEN,0,0.31451366,0.2413,31.4057766,0.0,,Z,25.4077765,2018-01-01
R_A2,22,30,15,15,OPEN,0,0.0240617,0.2413,2.35791905,0.0,,Z,22.9974772,2018-01-01
R_A2,22,30,16,16,OPEN,0,0.01094719,0.2413,1.06924168,0.0,,Z,22.6041587,2018-01-01
R_A2,22,29,16,16,OPEN,0,0.00714729,0.2413,0.7064488,0.0,,Z,24.0649035,2018-01-01
R_A2,22,29,17,17,OPEN,0,0.04899787,0.2413,4.86820289,0.0,,Z,24.7366365,2018-01-01
R_A2,22,29,18,18,OPEN,0,0.01565905,0.2413,1.55239448,0.0,,Z,24.4491526,2018-01-01
R_A2,22,29,25,25,OPEN,0,1.4347e-05,0.2413,0.00138527,0.0,,Z,21.2886175,2018-01-01
R_A2,22,29,26,26,OPEN,0,1.4384e-05,0.2413,0.00138797,0.0,,Z,21.2216744,2018-01-01
R_A2,22,29,27,27,OPEN,0,1.4416e-05,0.2413,0.00139019,0.0,,Z,21.1546195,2018-01-01
R_A2,22,29,28,28,OPEN,0,1.4451e-05,0.2413,0.00139273,0.0,,Z,21.0876637,2018-01-01
R_A2,22,29,29,29,OPEN,0,1.09580827,0.2413,90.9528116,0.0,,Z,10.2990401,2018-01-01
R_A3,28,41,1,1,OPEN,0,0.72430667,0.2413,61.0742595,0.0,,Z,11.0539739,2018-01-01
R_A3,28,41,2,2,OPEN,0,1.69958783,0.2413,167.502487,0.0,,Z,23.6979955,2018-01-01
R_A3,28,41,3,3,OPEN,0,9.60342992,0.2413,955.47696,0.0,,Z,24.9200847,2018-01-01
R_A3,28,41,4,4,OPEN,0,3.8622214,0.2413,381.223723,0.0,,Z,23.8905541,2018-01-01
R_A3,29,41,4,4,OPEN,0,5.01208711,0.2413,497.88997,0.0,,Z,24.7133989,2018-01-01
R_A3,29,41,5,5,OPEN,0,0.79546427,0.2413,63.8006982,0.0,,Z,8.86668288,2018-01-01
R_A3,29,41,6,6,OPEN,0,3.03463398,0.2413,300.405967,0.0,,Z,24.2603179,2018-01-01
R_A3,29,41,7,7,OPEN,0,1.49208931,0.2413,146.482975,0.0,,Z,23.2182761,2018-01-01
R_A3,29,41,8,8,OPEN,0,1.48833634,0.2413,146.065575,0.0,,Z,23.1773914,2018-01-01
R_A3,29,41,9,9,OPEN,0,0.0114938,0.2413,1.08882648,0.0,,Z,19.3087869,2018-01-01
R_A3,29,41,10,10,OPEN,0,0.00832454,0.2413,0.65312814,0.0,,Z,8.07425223,2018-01-01
R_A3,29,41,11,11,OPEN,0,25.5593193,0.2413,2526.14274,0.0,,Z,24.0558436,2018-01-01
R_A3,29,41,12,12,OPEN,0,14.4802925,0.2413,1429.74571,0.0,,Z,23.9309484,2018-01-01
R_A3,29,41,13,13,OPEN,0,0.21349398,0.2413,21.1116501,0.0,,Z,24.1228089,2018-01-01
R_A3,29,41,14,14,OPEN,0,0.06350913,0.2413,4.93992859,0.0,,Z,7.78736945,2018-01-01
R_A3,29,41,15,15,OPEN,0,0.02006348,0.2413,1.97104954,0.0,,Z,23.3025483,2018-01-01
R_A3,29,41,16,16,OPEN,0,0.00563849,0.2413,0.55400309,0.0,,Z,23.3189738,2018-01-01
