SGAS,SWAT,DATE,CONBPRES,DRAWDOWN,DEPTH,WELLMODEL,CONJPOS,CONIPOS,CONKPOS,CONIDX,PRESSURE,WELL
0.0,0.05336315929889679,2018-01-01,300.7718200683594,0,1640.66357421875,STANDARD,30,22,1,1,300.7718200683594,R_A2
0.0,0.05581365153193474,2018-01-01,300.8885498046875,0,1642.4044189453125,STANDARD,30,22,2,2,300.8885498046875,R_A2
0.0,0.059656254947185516,2018-01-01,301.0052795410156,0,1644.145263671875,STANDARD,30,22,3,3,301.0052795410156,R_A2
0.0,0.0814555361866951,2018-01-01,301.1220397949219,0,1645.885986328125,STANDARD,30,22,4,4,301.1220397949219,R_A2
0.0,0.1069718450307846,2018-01-01,301.23876953125,0,1647.6268310546875,STANDARD,30,22,5,5,301.23876953125,R_A2
0.0,0.29796892404556274,2018-01-01,301.3554992675781,0,1649.3675537109375,STANDARD,30,22,6,6,301.3554992675781,R_A2
0.0,0.876203715801239,2018-01-01,301.4722595214844,0,1651.1083984375,STANDARD,30,22,7,7,301.4722595214844,R_A2
0.0,0.8458983302116394,2018-01-01,301.5890197753906,0,1652.8492431640625,STANDARD,30,22,8,8,301.5890197753906,R_A2
0.0,0.8808098435401917,2018-01-01,301.70574951171875,0,1654.5899658203125,STANDARD,30,22,9,9,301.70574951171875,R_A2
0.0,0.8745974898338318,2018-01-01,301.822509765625,0,1656.330810546875,STANDARD,30,22,10,10,301.822509765625,R_A2
0.0,0.06832557916641235,2018-01-01,301.9498291015625,0,1658.22900390625,STANDARD,30,22,11,11,301.9498291015625,R_A2
0.0,0.06490425020456314,2018-01-01,302.08770751953125,0,1660.28466796875,STANDARD,30,22,12,12,302.08770751953125,R_A2
0.0,0.42559632658958435,2018-01-01,302.2256164550781,0,1662.3404541015625,STANDARD,30,22,13,13,302.2256164550781,R_A2
0.0,0.463923841714859,2018-01-01,302.3634948730469,0,1664.3961181640625,STANDARD,30,22,14,14,302.3634948730469,R_A2
0.0,0.9037415981292725,2018-01-01,302.50140380859375,0,1666.451904296875,STANDARD,30,22,15,15,302.50140380859375,R_A2
0.0,0.9063987135887146,2018-01-01,302.6393127441406,0,1668.507568359375,STANDARD,30,22,16,16,302.6393127441406,R_A2
0.0,0.876940131187439,2018-01-01,302.7772216796875,0,1670.5633544921875,STANDARD,30,22,17,17,302.7772216796875,R_A2
0.0,0.9650901556015015,2018-01-01,303.138427734375,0,1675.947265625,STANDARD,29,22,17,18,303.138427734375,R_A2
0.0,0.9941561818122864,2018-01-01,303.24798583984375,0,1677.579833984375,STANDARD,29,22,18,19,303.24798583984375,R_A2
0.0,1.0,2018-01-01,303.3444519042969,0,1679.017822265625,STANDARD,29,22,25,20,303.3444519042969,R_A2
0.0,0.6673504114151001,2018-01-01,303.4583435058594,0,1680.71484375,STANDARD,29,22,26,21,303.4583435058594,R_A2
0.0,1.0,2018-01-01,303.9021301269531,0,1682.412109375,STANDARD,29,22,27,22,303.9021301269531,R_A2
0.0,1.0,2018-01-01,304.06292724609375,0,1684.1092529296875,STANDARD,29,22,28,23,304.06292724609375,R_A2
