ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,23207199,4373861,2828637,1972550,277735102,0,0,0,0,0
Valysar,CentralSouth,63274167,11049275,7772253,5419981,763133361,0,0,0,0,0
Valysar,CentralNorth,24938094,3803423,2523417,1759705,247766432,0,0,0,0,0
Valysar,NorthHorst,5231200,707841,375001,230345,45124546,19704984,2675293,1830946,425801466,65148
Valysar,CentralRamp,13964228,2441474,1785864,1245372,175348450,0,0,0,0,0
Valysar,CentralHorst,81900956,13011937,9485166,6614481,931318957,0,0,0,0,0
Valysar,EastLowland,0,0,0,0,0,0,0,0,0,0
Therys,WestLowland,8396081,2636945,1807797,1260667,177501979,0,0,0,0,0
Therys,CentralSouth,11350717,2946986,1864886,1300478,183107329,0,0,0,0,0
Therys,CentralNorth,9055610,1744636,889270,620132,87314632,0,0,0,0,0
Therys,NorthHorst,9035051,1289434,507100,311486,61020160,12354831,2090313,1379442,320800567,49082
Therys,CentralRamp,6875106,1751170,1255923,875818,123315142,0,0,0,0,0
Therys,CentralHorst,25941060,6780730,5197425,3624425,510319038,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,43082,5334,171,119,16764,0,0,0,0,0
Volon,CentralSouth,27405825,4811475,3264029,2276171,320484899,0,0,0,0,0
Volon,CentralNorth,675999,75308,20936,14600,2055616,0,0,0,0,0
Volon,NorthHorst,4945117,885226,617439,379262,74297466,1730303,294137,224609,52234661,7992
Volon,CentralRamp,11460035,1970961,1419254,989717,139352170,0,0,0,0,0
Volon,CentralHorst,73176769,13096378,10464752,7297595,1027501448,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
