SGAS,DEPTH,WELL,CONIDX,DATE,CONIPOS,CONKPOS,DRAWDOWN,PRESSURE,WELLMODEL,CONBPRES,CONJPOS,SWAT
0.0,1640.152099609375,R_A2,1,2018-01-01,22,1,0,300.7344970703125,STANDARD,300.7344970703125,30,0.05303479731082916
0.0,1641.89892578125,R_A2,2,2018-01-01,22,2,0,300.85162353515625,STANDARD,300.85162353515625,30,0.0543966144323349
0.0,1643.645751953125,R_A2,3,2018-01-01,22,3,0,300.96875,STANDARD,300.96875,30,0.0586906261742115
0.0,1645.3924560546875,R_A2,4,2018-01-01,22,4,0,301.0859069824219,STANDARD,301.0859069824219,30,0.06296908110380173
0.0,1647.1392822265625,R_A2,5,2018-01-01,22,5,0,301.2030334472656,STANDARD,301.2030334472656,30,0.06507796049118042
0.0,1648.8861083984375,R_A2,6,2018-01-01,22,6,0,301.3201904296875,STANDARD,301.3201904296875,30,0.6481541991233826
0.0,1650.6329345703125,R_A2,7,2018-01-01,22,7,0,301.43731689453125,STANDARD,301.43731689453125,30,0.8704668283462524
0.0,1652.3797607421875,R_A2,8,2018-01-01,22,8,0,301.5544738769531,STANDARD,301.5544738769531,30,0.853151261806488
0.0,1654.12646484375,R_A2,9,2018-01-01,22,9,0,301.671630859375,STANDARD,301.671630859375,30,0.6481541991233826
0.0,1655.873291015625,R_A2,10,2018-01-01,22,10,0,301.7887878417969,STANDARD,301.7887878417969,30,0.8789490461349487
0.0,1657.7547607421875,R_A2,11,2018-01-01,22,11,0,301.91497802734375,STANDARD,301.91497802734375,30,0.06628076732158661
0.0,1661.786865234375,R_A2,12,2018-01-01,22,13,0,302.1854248046875,STANDARD,302.1854248046875,30,0.4302540123462677
0.0,1663.802978515625,R_A2,13,2018-01-01,22,14,0,302.3206787109375,STANDARD,302.3206787109375,30,0.4575881361961365
0.0,1665.8189697265625,R_A2,14,2018-01-01,22,15,0,302.4559020996094,STANDARD,302.4559020996094,30,0.903810977935791
0.0,1667.8350830078125,R_A2,15,2018-01-01,22,16,0,302.5911560058594,STANDARD,302.5911560058594,30,0.9157788157463074
0.0,1669.85107421875,R_A2,16,2018-01-01,22,17,0,302.7264099121094,STANDARD,302.7264099121094,30,0.8823248147964478
0.0,1673.07666015625,R_A2,17,2018-01-01,22,17,0,302.94281005859375,STANDARD,302.94281005859375,29,0.8992600440979004
0.0,1675.001220703125,R_A2,18,2018-01-01,22,18,0,303.0719299316406,STANDARD,303.0719299316406,29,0.9662736058235168
0.0,1676.8734130859375,R_A2,19,2018-01-01,22,25,0,303.1975402832031,STANDARD,303.1975402832031,29,0.7272775769233704
0.0,1678.655029296875,R_A2,20,2018-01-01,22,26,0,303.31707763671875,STANDARD,303.31707763671875,29,0.797703206539154
0.0,1680.436767578125,R_A2,21,2018-01-01,22,27,0,303.4366149902344,STANDARD,303.4366149902344,29,0.8450222611427307
0.0,1682.2183837890625,R_A2,22,2018-01-01,22,28,0,303.8837585449219,STANDARD,303.8837585449219,29,1.0
0.0,1684.0,R_A2,23,2018-01-01,22,29,0,304.0525817871094,STANDARD,304.0525817871094,29,1.0
0.0,1608.295166015625,R_A3,1,2018-01-01,28,1,0,298.59893798828125,STANDARD,298.59893798828125,41,0.6481541991233826
0.0,1610.328369140625,R_A3,2,2018-01-01,28,2,0,298.7351989746094,STANDARD,298.7351989746094,41,0.1726522296667099
0.0,1612.361572265625,R_A3,3,2018-01-01,28,3,0,298.8714599609375,STANDARD,298.8714599609375,41,0.11091113090515137
0.0,1614.394775390625,R_A3,4,2018-01-01,28,4,0,299.00775146484375,STANDARD,299.00775146484375,41,0.14210227131843567
0.0,1616.4278564453125,R_A3,5,2018-01-01,28,5,0,299.1440124511719,STANDARD,299.1440124511719,41,0.6481541991233826
0.0,1609.00634765625,R_A3,6,2018-01-01,29,5,0,298.6466064453125,STANDARD,298.6466064453125,41,0.8041678667068481
0.0,1611.0361328125,R_A3,7,2018-01-01,29,6,0,298.78265380859375,STANDARD,298.78265380859375,41,0.1927707940340042
0.0,1613.06591796875,R_A3,8,2018-01-01,29,7,0,298.9186706542969,STANDARD,298.9186706542969,41,0.1658385694026947
0.0,1615.0955810546875,R_A3,9,2018-01-01,29,8,0,299.0547180175781,STANDARD,299.0547180175781,41,0.19586904346942902
