CONIDX,DEPTH,CONIPOS,CONBPRES,DRAWDOWN,SGAS,CONKPOS,PRESSURE,CONJPOS,SWAT,WELLMODEL,DATE,WELL
1,1639.932861328125,22,300.7220153808594,0,0.0,1,300.7220153808594,30,0.05257834121584892,STANDARD,2018-01-01,R_A2
2,1641.6949462890625,22,300.84014892578125,0,0.0,2,300.84014892578125,30,0.05508984252810478,STANDARD,2018-01-01,R_A2
3,1643.45703125,22,300.95831298828125,0,0.0,3,300.95831298828125,30,0.05724598467350006,STANDARD,2018-01-01,R_A2
4,1645.2191162109375,22,301.07647705078125,0,0.0,4,301.07647705078125,30,0.06217418238520622,STANDARD,2018-01-01,R_A2
5,1646.981201171875,22,301.19464111328125,0,0.0,5,301.19464111328125,30,0.06575572490692139,STANDARD,2018-01-01,R_A2
6,1648.743408203125,22,301.3128356933594,0,0.0,6,301.3128356933594,30,0.30324751138687134,STANDARD,2018-01-01,R_A2
7,1650.5054931640625,22,301.4309997558594,0,0.0,7,301.4309997558594,30,0.6672947406768799,STANDARD,2018-01-01,R_A2
8,1652.267578125,22,301.5491638183594,0,0.0,8,301.5491638183594,30,0.8705439567565918,STANDARD,2018-01-01,R_A2
9,1654.0296630859375,22,301.6673583984375,0,0.0,9,301.6673583984375,30,0.8682821989059448,STANDARD,2018-01-01,R_A2
10,1655.791748046875,22,301.7855224609375,0,0.0,10,301.7855224609375,30,0.8764529824256897,STANDARD,2018-01-01,R_A2
11,1657.6793212890625,22,301.9121398925781,0,0.0,11,301.9121398925781,30,0.06718779355287552,STANDARD,2018-01-01,R_A2
12,1659.6923828125,22,302.0471496582031,0,0.0,12,302.0471496582031,30,0.14068953692913055,STANDARD,2018-01-01,R_A2
13,1661.70556640625,22,302.18218994140625,0,0.0,13,302.18218994140625,30,0.42528077960014343,STANDARD,2018-01-01,R_A2
14,1663.7186279296875,22,302.3172302246094,0,0.0,14,302.3172302246094,30,0.4597024619579315,STANDARD,2018-01-01,R_A2
15,1665.731689453125,22,302.4522705078125,0,0.0,15,302.4522705078125,30,0.8967707753181458,STANDARD,2018-01-01,R_A2
16,1667.744873046875,22,302.5873107910156,0,0.0,16,302.5873107910156,30,0.9135109782218933,STANDARD,2018-01-01,R_A2
17,1670.794921875,22,302.79193115234375,0,0.0,16,302.79193115234375,29,0.9275704026222229,STANDARD,2018-01-01,R_A2
18,1672.893310546875,22,302.9327087402344,0,0.0,17,302.9327087402344,29,0.8944475650787354,STANDARD,2018-01-01,R_A2
