WELL,DATE,WELLMODEL,SGAS,CONIPOS,SWAT,PRESSURE,CONBPRES,CONIDX,DEPTH,CONKPOS,DRAWDOWN,CONJPOS
R_A2,2018-01-01,STANDARD,0.0,22,0.0540168397128582,300.80419921875,300.80419921875,1,1641.043212890625,1,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.05484194681048393,300.9254455566406,300.9254455566406,2,1642.851318359375,2,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.05822545662522316,301.04669189453125,301.04669189453125,3,1644.659423828125,3,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.06285156309604645,301.1679382324219,301.1679382324219,4,1646.4676513671875,4,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.06479451805353165,301.2892150878906,301.2892150878906,5,1648.2757568359375,5,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.3122641146183014,301.41046142578125,301.41046142578125,6,1650.083984375,6,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.8713648915290833,301.53173828125,301.53173828125,7,1651.89208984375,7,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.8600031733512878,301.6529846191406,301.6529846191406,8,1653.7001953125,8,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.8890911340713501,301.7742614746094,301.7742614746094,9,1655.50830078125,9,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.8943785429000854,301.8955383300781,301.8955383300781,10,1657.31640625,10,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.06880947947502136,302.0248718261719,302.0248718261719,11,1659.24462890625,11,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.42511194944381714,302.2996520996094,302.2996520996094,12,1663.3411865234375,13,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.4589623212814331,302.4370422363281,302.4370422363281,13,1665.3895263671875,14,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.6253117322921753,302.574462890625,302.574462890625,14,1667.437744140625,15,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.9235354065895081,302.7118835449219,302.7118835449219,15,1669.486083984375,16,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.8790074586868286,302.8492736816406,302.8492736816406,16,1671.5343017578125,17,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.9322490096092224,302.9754638671875,302.9754638671875,17,1673.4150390625,18,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.9833667874336243,303.0461730957031,303.0461730957031,18,1674.4688720703125,19,0,30
R_A2,2018-01-01,STANDARD,0.0,22,1.0,303.12005615234375,303.12005615234375,19,1675.5701904296875,28,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.7179729342460632,303.2413635253906,303.2413635253906,20,1677.3780517578125,29,0,30
R_A2,2018-01-01,STANDARD,0.0,22,0.6481541991233826,303.31146240234375,303.31146240234375,21,1678.4228515625,29,0,29
R_A2,2018-01-01,STANDARD,0.0,22,0.5008060932159424,303.43145751953125,303.43145751953125,22,1680.2115478515625,30,0,29
R_A2,2018-01-01,STANDARD,0.0,22,1.0,303.86309814453125,303.86309814453125,23,1682.0003662109375,31,0,29
R_A2,2018-01-01,STANDARD,0.0,22,1.0,304.0326232910156,304.0326232910156,24,1683.7891845703125,32,0,29
R_A3,2018-01-01,STANDARD,0.0,28,0.0941145122051239,298.39898681640625,298.39898681640625,1,1605.1629638671875,1,0,41
R_A3,2018-01-01,STANDARD,0.0,28,0.09141936153173447,298.5328063964844,298.5328063964844,2,1607.15966796875,2,0,41
R_A3,2018-01-01,STANDARD,0.0,28,0.11823459714651108,298.6666259765625,298.6666259765625,3,1609.156494140625,3,0,41
R_A3,2018-01-01,STANDARD,0.0,28,0.37241366505622864,298.8004455566406,298.8004455566406,4,1611.1533203125,4,0,41
R_A3,2018-01-01,STANDARD,0.0,28,0.8101702928543091,298.93426513671875,298.93426513671875,5,1613.1500244140625,5,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.8151627779006958,298.6481628417969,298.6481628417969,6,1608.8809814453125,5,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.6481541991233826,298.78216552734375,298.78216552734375,7,1610.8807373046875,6,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.19379204511642456,298.91619873046875,298.91619873046875,8,1612.88037109375,7,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.19518187642097473,299.05023193359375,299.05023193359375,9,1614.880126953125,8,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.7931270599365234,299.18426513671875,299.18426513671875,10,1616.8798828125,9,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.7967548370361328,299.31829833984375,299.31829833984375,11,1618.8795166015625,10,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.046861324459314346,299.463623046875,299.463623046875,12,1621.0477294921875,11,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.05240780860185623,299.6202697753906,299.6202697753906,13,1623.3843994140625,12,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.37212634086608887,299.77691650390625,299.77691650390625,14,1625.72119140625,13,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.3622674345970154,299.9335632324219,299.9335632324219,15,1628.057861328125,14,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.601466715335846,300.0902099609375,300.0902099609375,16,1630.39453125,15,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.8060769438743591,300.22515869140625,300.22515869140625,17,1632.4073486328125,16,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.6481541991233826,300.4036560058594,300.4036560058594,18,1635.0694580078125,28,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.04506833106279373,300.6473693847656,300.6473693847656,19,1638.704345703125,29,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.08454494923353195,300.89111328125,300.89111328125,20,1642.33935546875,30,0,41
R_A3,2018-01-01,STANDARD,0.0,29,1.0,301.1348571777344,301.1348571777344,21,1645.9742431640625,31,0,41
R_A3,2018-01-01,STANDARD,0.0,29,0.09859125316143036,301.3786315917969,301.3786315917969,22,1649.6092529296875,32,0,41
R_A4,2018-01-01,STANDARD,0.0,30,0.048878755420446396,300.2137756347656,300.2137756347656,1,1632.2373046875,1,0,52
R_A4,2018-01-01,STANDARD,0.0,31,0.04799797013401985,299.9723815917969,299.9723815917969,2,1628.636962890625,1,0,52
R_A4,2018-01-01,STANDARD,0.0,31,0.049811795353889465,300.1077880859375,300.1077880859375,3,1630.65673828125,2,0,52
R_A4,2018-01-01,STANDARD,0.0,31,0.051330093294382095,300.24322509765625,300.24322509765625,4,1632.6766357421875,3,0,52
R_A4,2018-01-01,STANDARD,0.0,32,0.05316290631890297,300.2410888671875,300.2410888671875,5,1632.6448974609375,3,0,52
R_A4,2018-01-01,STANDARD,0.0,32,0.057085126638412476,300.36419677734375,300.36419677734375,6,1634.4808349609375,4,0,52
R_A4,2018-01-01,STANDARD,0.0,32,0.05676592141389847,300.5550231933594,300.5550231933594,7,1637.3272705078125,4,0,51
R_A4,2018-01-01,STANDARD,0.0,32,0.05584214627742767,300.434326171875,300.434326171875,8,1635.5269775390625,3,0,51
R_A4,2018-01-01,STANDARD,0.0,33,0.05759960785508156,300.5563049316406,300.5563049316406,9,1637.3460693359375,3,0,51
R_A4,2018-01-01,STANDARD,0.0,33,0.05862879380583763,300.8837585449219,300.8837585449219,10,1642.229736328125,3,0,50
R_A4,2018-01-01,STANDARD,0.0,34,0.05649327114224434,300.69012451171875,300.69012451171875,11,1639.3421630859375,3,0,50
R_A4,2018-01-01,STANDARD,0.0,35,0.07149666547775269,300.7301025390625,300.7301025390625,12,1639.938232421875,3,0,50
R_A4,2018-01-01,STANDARD,0.0,35,0.6481541991233826,300.8653564453125,300.8653564453125,13,1641.955322265625,32,0,49
R_A4,2018-01-01,STANDARD,0.0,35,1.0,300.4610595703125,300.4610595703125,14,1635.9256591796875,31,0,49
R_A4,2018-01-01,STANDARD,0.0,36,0.6481541991233826,300.81072998046875,300.81072998046875,15,1641.1407470703125,31,0,49
R_A4,2018-01-01,STANDARD,0.0,36,0.7009238004684448,300.8354797363281,300.8354797363281,16,1641.5098876953125,31,0,48
R_A4,2018-01-01,STANDARD,0.0,37,0.2876098155975342,301.226806640625,301.226806640625,17,1647.34521484375,31,0,48
R_A4,2018-01-01,STANDARD,0.0,38,0.6481541991233826,301.76416015625,301.76416015625,18,1655.357421875,31,0,48
R_A4,2018-01-01,STANDARD,0.0,38,0.1867688149213791,301.3824157714844,301.3824157714844,19,1649.6658935546875,30,0,48
R_A4,2018-01-01,STANDARD,0.0,38,0.1201612651348114,302.0902099609375,302.0902099609375,20,1660.218994140625,30,0,47
R_A5,2018-01-01,STANDARD,0.0,31,1.0,303.70819091796875,303.70819091796875,1,1683.592529296875,1,0,20
R_A5,2018-01-01,STANDARD,0.0,31,1.0,303.9161682128906,303.9161682128906,2,1685.787353515625,2,0,20
R_A5,2018-01-01,STANDARD,0.0,31,1.0,304.1241760253906,304.1241760253906,3,1687.982177734375,3,0,20
R_A5,2018-01-01,STANDARD,0.0,31,1.0,304.3321533203125,304.3321533203125,4,1690.1768798828125,4,0,20
R_A5,2018-01-01,STANDARD,0.0,31,1.0,304.5401306152344,304.5401306152344,5,1692.3717041015625,5,0,20
R_A5,2018-01-01,STANDARD,0.0,31,1.0,304.7481384277344,304.7481384277344,6,1694.5665283203125,6,0,20
R_A5,2018-01-01,STANDARD,0.0,31,1.0,305.26190185546875,305.26190185546875,7,1696.7613525390625,7,0,20
R_A5,2018-01-01,STANDARD,0.0,31,1.0,305.46990966796875,305.46990966796875,8,1698.9560546875,8,0,20
