SGAS,CONIPOS,CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIDX,CONBPRES,CONJPOS,WELL,DATE,DEPTH,DRAWDOWN
0.0,22,1,0.053597718477249146,300.8152770996094,STANDARD,1,300.8152770996094,30,R_A2,2018-01-01,1641.1629638671875,0
0.0,22,2,0.05567797273397446,300.93658447265625,STANDARD,2,300.93658447265625,30,R_A2,2018-01-01,1642.9720458984375,0
0.0,22,3,0.05716636776924133,301.0578918457031,STANDARD,3,301.0578918457031,30,R_A2,2018-01-01,1644.78125,0
0.0,22,4,0.06139492243528366,301.17919921875,STANDARD,4,301.17919921875,30,R_A2,2018-01-01,1646.59033203125,0
0.0,22,5,0.06611952185630798,301.300537109375,STANDARD,5,301.300537109375,30,R_A2,2018-01-01,1648.3995361328125,0
0.0,22,6,0.6481541991233826,301.421875,STANDARD,6,301.421875,30,R_A2,2018-01-01,1650.208740234375,0
0.0,22,7,0.8734860420227051,301.543212890625,STANDARD,7,301.543212890625,30,R_A2,2018-01-01,1652.017822265625,0
0.0,22,8,0.8626689910888672,301.66455078125,STANDARD,8,301.66455078125,30,R_A2,2018-01-01,1653.8270263671875,0
0.0,22,9,0.8896960616111755,301.785888671875,STANDARD,9,301.785888671875,30,R_A2,2018-01-01,1655.6361083984375,0
0.0,22,10,0.888588011264801,301.9072265625,STANDARD,10,301.9072265625,30,R_A2,2018-01-01,1657.4453125,0
0.0,22,11,0.06873045861721039,302.0398864746094,STANDARD,11,302.0398864746094,30,R_A2,2018-01-01,1659.42333984375,0
0.0,22,12,0.0707470253109932,302.18389892578125,STANDARD,12,302.18389892578125,30,R_A2,2018-01-01,1661.5703125,0
0.0,22,13,0.43510717153549194,302.3279113769531,STANDARD,13,302.3279113769531,30,R_A2,2018-01-01,1663.71728515625,0
0.0,22,14,0.46652182936668396,302.4719543457031,STANDARD,14,302.4719543457031,30,R_A2,2018-01-01,1665.8641357421875,0
0.0,22,15,0.9090079069137573,302.615966796875,STANDARD,15,302.615966796875,30,R_A2,2018-01-01,1668.0111083984375,0
0.0,22,16,0.9283608794212341,302.7599792480469,STANDARD,16,302.7599792480469,30,R_A2,2018-01-01,1670.1580810546875,0
0.0,22,17,0.8839766979217529,302.9040222167969,STANDARD,17,302.9040222167969,30,R_A2,2018-01-01,1672.304931640625,0
