SGAS,DEPTH,PRESSURE,CONIDX,CONJPOS,WELL,SWAT,DATE,CONIPOS,WELLMODEL,DRAWDOWN,CONKPOS,CONBPRES
0.0,1643.5736083984375,300.94512939453125,1,30,R_A2,0.053661417216062546,2018-01-01,22,STANDARD,0,1,300.94512939453125
0.0,1645.38916015625,301.0668640136719,2,30,R_A2,0.05647467076778412,2018-01-01,22,STANDARD,0,2,301.0668640136719
0.0,1647.2047119140625,301.1886291503906,3,30,R_A2,0.060123149305582047,2018-01-01,22,STANDARD,0,3,301.1886291503906
0.0,1649.020263671875,301.31036376953125,4,30,R_A2,0.06590583175420761,2018-01-01,22,STANDARD,0,4,301.31036376953125
0.0,1650.8358154296875,301.43212890625,5,30,R_A2,0.0705728605389595,2018-01-01,22,STANDARD,0,5,301.43212890625
0.0,1652.6513671875,301.55389404296875,6,30,R_A2,0.3174188733100891,2018-01-01,22,STANDARD,0,6,301.55389404296875
0.0,1654.4669189453125,301.6756591796875,7,30,R_A2,0.8854032754898071,2018-01-01,22,STANDARD,0,7,301.6756591796875
0.0,1656.282470703125,301.79742431640625,8,30,R_A2,0.876474142074585,2018-01-01,22,STANDARD,0,8,301.79742431640625
0.0,1658.0980224609375,301.919189453125,9,30,R_A2,0.8954045176506042,2018-01-01,22,STANDARD,0,9,301.919189453125
0.0,1659.91357421875,302.0409851074219,10,30,R_A2,0.9126258492469788,2018-01-01,22,STANDARD,0,10,302.0409851074219
0.0,1661.82275390625,302.1690368652344,11,30,R_A2,0.0743735209107399,2018-01-01,22,STANDARD,0,11,302.1690368652344
0.0,1663.8253173828125,302.3033752441406,12,30,R_A2,0.0750691220164299,2018-01-01,22,STANDARD,0,12,302.3033752441406
0.0,1665.827880859375,302.4377136230469,13,30,R_A2,0.4418090283870697,2018-01-01,22,STANDARD,0,13,302.4377136230469
0.0,1667.83056640625,302.5720520019531,14,30,R_A2,0.48492714762687683,2018-01-01,22,STANDARD,0,14,302.5720520019531
0.0,1669.8331298828125,302.7063903808594,15,30,R_A2,0.6877140998840332,2018-01-01,22,STANDARD,0,15,302.7063903808594
0.0,1671.835693359375,302.8407287597656,16,30,R_A2,0.9673529267311096,2018-01-01,22,STANDARD,0,16,302.8407287597656
0.0,1673.83837890625,302.97509765625,17,30,R_A2,0.959079921245575,2018-01-01,22,STANDARD,0,17,302.97509765625
0.0,1675.7410888671875,303.1027526855469,18,30,R_A2,0.9700775742530823,2018-01-01,22,STANDARD,0,18,303.1027526855469
0.0,1676.7945556640625,303.1734313964844,19,30,R_A2,0.9907630681991577,2018-01-01,22,STANDARD,0,19,303.1734313964844
0.0,1677.88623046875,303.2466735839844,20,30,R_A2,0.20109285414218903,2018-01-01,22,STANDARD,0,26,303.2466735839844
0.0,1679.76513671875,303.37274169921875,21,30,R_A2,1.0,2018-01-01,22,STANDARD,0,27,303.37274169921875
0.0,1677.0994873046875,303.19390869140625,22,29,R_A2,1.0,2018-01-01,22,STANDARD,0,27,303.19390869140625
0.0,1678.811279296875,303.3087463378906,23,29,R_A2,1.0,2018-01-01,22,STANDARD,0,28,303.3087463378906
0.0,1680.5230712890625,303.4236145019531,24,29,R_A2,0.8552712202072144,2018-01-01,22,STANDARD,0,29,303.4236145019531
0.0,1682.23486328125,303.88531494140625,25,29,R_A2,1.0,2018-01-01,22,STANDARD,0,30,303.88531494140625
0.0,1612.149169921875,298.83843994140625,1,41,R_A3,0.6481541991233826,2018-01-01,28,STANDARD,0,1,298.83843994140625
0.0,1614.3140869140625,298.9835510253906,2,41,R_A3,0.19734875857830048,2018-01-01,28,STANDARD,0,2,298.9835510253906
0.0,1616.47900390625,299.128662109375,3,41,R_A3,0.19614335894584656,2018-01-01,28,STANDARD,0,3,299.128662109375
0.0,1618.64404296875,299.2737731933594,4,41,R_A3,0.3243686854839325,2018-01-01,28,STANDARD,0,4,299.2737731933594
0.0,1620.8089599609375,299.41888427734375,5,41,R_A3,0.6481541991233826,2018-01-01,28,STANDARD,0,5,299.41888427734375
