CONIDX,DEPTH,DATE,CONKPOS,CONIPOS,CONJPOS,PRESSURE,WELLMODEL,WELL,SWAT,SGAS,DRAWDOWN,CONBPRES
1,1640.1627197265625,2018-01-01,1,22,30,300.7001037597656,STANDARD,R_A2,0.053631022572517395,0.0,0,300.7001037597656
2,1641.951171875,2018-01-01,2,22,30,300.82000732421875,STANDARD,R_A2,0.05516229569911957,0.0,0,300.82000732421875
3,1643.73974609375,2018-01-01,3,22,30,300.93994140625,STANDARD,R_A2,0.05918731540441513,0.0,0,300.93994140625
4,1645.5281982421875,2018-01-01,4,22,30,301.05987548828125,STANDARD,R_A2,0.06355434656143188,0.0,0,301.05987548828125
5,1647.3167724609375,2018-01-01,5,22,30,301.1798095703125,STANDARD,R_A2,0.0662059336900711,0.0,0,301.1798095703125
6,1649.105224609375,2018-01-01,6,22,30,301.2997741699219,STANDARD,R_A2,0.3063606321811676,0.0,0,301.2997741699219
7,1650.893798828125,2018-01-01,7,22,30,301.4197082519531,STANDARD,R_A2,0.8705937266349792,0.0,0,301.4197082519531
8,1652.6822509765625,2018-01-01,8,22,30,301.5396423339844,STANDARD,R_A2,0.8549973964691162,0.0,0,301.5396423339844
9,1654.470703125,2018-01-01,9,22,30,301.65960693359375,STANDARD,R_A2,0.8979865908622742,0.0,0,301.65960693359375
10,1656.25927734375,2018-01-01,10,22,30,301.7795715332031,STANDARD,R_A2,0.9059432744979858,0.0,0,301.7795715332031
11,1658.1827392578125,2018-01-01,11,22,30,301.9085693359375,STANDARD,R_A2,0.07048330456018448,0.0,0,301.9085693359375
12,1662.2994384765625,2018-01-01,13,22,30,302.1846923828125,STANDARD,R_A2,0.43203017115592957,0.0,0,302.1846923828125
13,1664.3577880859375,2018-01-01,14,22,30,302.3227844238281,STANDARD,R_A2,0.4790318012237549,0.0,0,302.3227844238281
14,1666.416259765625,2018-01-01,15,22,30,302.4608459472656,STANDARD,R_A2,0.9097207188606262,0.0,0,302.4608459472656
15,1668.474609375,2018-01-01,16,22,30,302.59893798828125,STANDARD,R_A2,0.9262351393699646,0.0,0,302.59893798828125
16,1670.532958984375,2018-01-01,17,22,30,302.7370300292969,STANDARD,R_A2,0.8844970464706421,0.0,0,302.7370300292969
17,1672.8055419921875,2018-01-01,17,22,29,302.8894958496094,STANDARD,R_A2,0.9356725215911865,0.0,0,302.8894958496094
18,1674.661376953125,2018-01-01,18,22,29,303.01397705078125,STANDARD,R_A2,0.9656069278717041,0.0,0,303.01397705078125
19,1676.686279296875,2018-01-01,26,22,29,303.14984130859375,STANDARD,R_A2,1.0,0.0,0,303.14984130859375
20,1678.46630859375,2018-01-01,27,22,29,303.269287109375,STANDARD,R_A2,0.8118575215339661,0.0,0,303.269287109375
21,1680.246337890625,2018-01-01,28,22,29,303.6968994140625,STANDARD,R_A2,1.0,0.0,0,303.6968994140625
22,1682.0263671875,2018-01-01,29,22,29,303.8655700683594,STANDARD,R_A2,1.0,0.0,0,303.8655700683594
23,1683.806396484375,2018-01-01,30,22,29,304.03424072265625,STANDARD,R_A2,1.0,0.0,0,304.03424072265625
1,1607.847900390625,2018-01-01,1,28,41,298.53387451171875,STANDARD,R_A3,0.13095338642597198,0.0,0,298.53387451171875
2,1609.76025390625,2018-01-01,2,28,41,298.66204833984375,STANDARD,R_A3,0.1476166695356369,0.0,0,298.66204833984375
3,1611.672607421875,2018-01-01,3,28,41,298.79022216796875,STANDARD,R_A3,0.1915372759103775,0.0,0,298.79022216796875
4,1613.5850830078125,2018-01-01,4,28,41,298.91839599609375,STANDARD,R_A3,0.6481541991233826,0.0,0,298.91839599609375
5,1610.0318603515625,2018-01-01,4,29,41,298.68023681640625,STANDARD,R_A3,0.6481541991233826,0.0,0,298.68023681640625
6,1611.86328125,2018-01-01,5,29,41,298.802978515625,STANDARD,R_A3,0.8127359747886658,0.0,0,298.802978515625
7,1613.6947021484375,2018-01-01,6,29,41,298.92572021484375,STANDARD,R_A3,0.6481541991233826,0.0,0,298.92572021484375
8,1615.526123046875,2018-01-01,7,29,41,299.0484924316406,STANDARD,R_A3,0.19562117755413055,0.0,0,299.0484924316406
9,1617.357421875,2018-01-01,8,29,41,299.1712341308594,STANDARD,R_A3,0.1991000771522522,0.0,0,299.1712341308594
10,1619.1888427734375,2018-01-01,9,29,41,299.2939758300781,STANDARD,R_A3,0.803490936756134,0.0,0,299.2939758300781
11,1621.020263671875,2018-01-01,10,29,41,299.416748046875,STANDARD,R_A3,0.7928467392921448,0.0,0,299.416748046875
12,1623.0546875,2018-01-01,11,29,41,299.5531311035156,STANDARD,R_A3,0.04843197390437126,0.0,0,299.5531311035156
13,1625.2921142578125,2018-01-01,12,29,41,299.7030944824219,STANDARD,R_A3,0.05584937706589699,0.0,0,299.7030944824219
14,1627.529541015625,2018-01-01,13,29,41,299.85308837890625,STANDARD,R_A3,0.3701349198818207,0.0,0,299.85308837890625
15,1629.76708984375,2018-01-01,14,29,41,300.0030822753906,STANDARD,R_A3,0.34925296902656555,0.0,0,300.0030822753906
16,1631.94482421875,2018-01-01,15,29,41,300.14910888671875,STANDARD,R_A3,0.79752516746521,0.0,0,300.14910888671875
17,1633.241943359375,2018-01-01,16,29,41,300.2360534667969,STANDARD,R_A3,0.7840666770935059,0.0,0,300.2360534667969
18,1635.08251953125,2018-01-01,26,29,41,300.3594665527344,STANDARD,R_A3,1.0,0.0,0,300.3594665527344
19,1638.28759765625,2018-01-01,27,29,41,300.5743713378906,STANDARD,R_A3,0.04550767317414284,0.0,0,300.5743713378906
20,1641.49267578125,2018-01-01,28,29,41,300.7892761230469,STANDARD,R_A3,0.04553942382335663,0.0,0,300.7892761230469
21,1644.69775390625,2018-01-01,29,29,41,301.00421142578125,STANDARD,R_A3,0.6481541991233826,0.0,0,301.00421142578125
22,1647.9029541015625,2018-01-01,30,29,41,301.2191467285156,STANDARD,R_A3,0.6481541991233826,0.0,0,301.2191467285156
1,1629.423095703125,2018-01-01,1,30,52,299.98004150390625,STANDARD,R_A4,0.04761554300785065,0.0,0,299.98004150390625
2,1625.382080078125,2018-01-01,1,31,52,299.7091369628906,STANDARD,R_A4,0.04765070974826813,0.0,0,299.7091369628906
3,1627.5263671875,2018-01-01,2,31,52,299.8528747558594,STANDARD,R_A4,0.048234760761260986,0.0,0,299.8528747558594
4,1629.6707763671875,2018-01-01,3,31,52,299.99664306640625,STANDARD,R_A4,0.0495758093893528,0.0,0,299.99664306640625
5,1631.815185546875,2018-01-01,4,31,52,300.1404113769531,STANDARD,R_A4,0.051761846989393234,0.0,0,300.1404113769531
6,1633.95947265625,2018-01-01,5,31,52,300.2841796875,STANDARD,R_A4,0.05484466254711151,0.0,0,300.2841796875
7,1633.1556396484375,2018-01-01,5,32,52,300.23028564453125,STANDARD,R_A4,0.05436904355883598,0.0,0,300.23028564453125
8,1635.09130859375,2018-01-01,6,32,52,300.36004638671875,STANDARD,R_A4,0.05669936537742615,0.0,0,300.36004638671875
9,1635.51513671875,2018-01-01,6,32,51,300.38848876953125,STANDARD,R_A4,0.05610616132616997,0.0,0,300.38848876953125
10,1633.6885986328125,2018-01-01,5,32,51,300.2660217285156,STANDARD,R_A4,0.055910367518663406,0.0,0,300.2660217285156
11,1637.3138427734375,2018-01-01,5,33,51,300.5090637207031,STANDARD,R_A4,0.05821825936436653,0.0,0,300.5090637207031
12,1635.4739990234375,2018-01-01,4,33,51,300.3857116699219,STANDARD,R_A4,0.05705099180340767,0.0,0,300.3857116699219
13,1639.539794921875,2018-01-01,4,33,50,300.6583251953125,STANDARD,R_A4,0.05972091108560562,0.0,0,300.6583251953125
14,1639.595947265625,2018-01-01,4,34,50,300.662109375,STANDARD,R_A4,0.0605287030339241,0.0,0,300.662109375
15,1644.0771484375,2018-01-01,4,35,50,300.96258544921875,STANDARD,R_A4,0.0625562071800232,0.0,0,300.96258544921875
16,1642.2032470703125,2018-01-01,3,35,50,300.8369140625,STANDARD,R_A4,0.2256118655204773,0.0,0,300.8369140625
17,1640.3292236328125,2018-01-01,2,35,50,300.7112731933594,STANDARD,R_A4,0.22652429342269897,0.0,0,300.7112731933594
18,1643.327392578125,2018-01-01,2,35,49,300.91229248046875,STANDARD,R_A4,0.23527218401432037,0.0,0,300.91229248046875
19,1641.400390625,2018-01-01,1,35,49,300.7830810546875,STANDARD,R_A4,0.22900483012199402,0.0,0,300.7830810546875
20,1644.4359130859375,2018-01-01,29,36,49,300.98663330078125,STANDARD,R_A4,0.6481541991233826,0.0,0,300.98663330078125
21,1642.075439453125,2018-01-01,29,36,48,300.8283386230469,STANDARD,R_A4,0.23393110930919647,0.0,0,300.8283386230469
22,1651.8681640625,2018-01-01,29,37,48,301.48504638671875,STANDARD,R_A4,0.6481541991233826,0.0,0,301.48504638671875
23,1646.4482421875,2018-01-01,28,37,48,301.12158203125,STANDARD,R_A4,1.0,0.0,0,301.12158203125
24,1655.39208984375,2018-01-01,28,38,48,301.7214050292969,STANDARD,R_A4,0.8570961356163025,0.0,0,301.7214050292969
25,1649.8236083984375,2018-01-01,27,38,48,301.3479309082031,STANDARD,R_A4,0.0951547920703888,0.0,0,301.3479309082031
26,1654.935302734375,2018-01-01,27,38,47,301.6907653808594,STANDARD,R_A4,0.06513144820928574,0.0,0,301.6907653808594
1,1685.238525390625,2018-01-01,1,31,20,303.8641662597656,STANDARD,R_A5,1.0,0.0,0,303.8641662597656
2,1687.4189453125,2018-01-01,2,31,20,304.07080078125,STANDARD,R_A5,1.0,0.0,0,304.07080078125
