CONIDX,CONBPRES,SGAS,DEPTH,CONKPOS,WELL,CONJPOS,DATE,CONIPOS,PRESSURE,DRAWDOWN,SWAT,WELLMODEL
1,300.66802978515625,0.0,1640.946044921875,1,R_A2,30,2018-01-01,22,300.66802978515625,0,0.05570615828037262,STANDARD
2,300.7875061035156,0.0,1642.7281494140625,2,R_A2,30,2018-01-01,22,300.7875061035156,0,0.058582156896591187,STANDARD
3,300.9070129394531,0.0,1644.51025390625,3,R_A2,30,2018-01-01,22,300.9070129394531,0,0.06295208632946014,STANDARD
4,301.0265197753906,0.0,1646.29248046875,4,R_A2,30,2018-01-01,22,301.0265197753906,0,0.06738196313381195,STANDARD
5,301.1460266113281,0.0,1648.0745849609375,5,R_A2,30,2018-01-01,22,301.1460266113281,0,0.07111089676618576,STANDARD
6,301.2655334472656,0.0,1649.856689453125,6,R_A2,30,2018-01-01,22,301.2655334472656,0,0.17686685919761658,STANDARD
7,301.38507080078125,0.0,1651.6387939453125,7,R_A2,30,2018-01-01,22,301.38507080078125,0,0.6749522686004639,STANDARD
8,301.50457763671875,0.0,1653.4208984375,8,R_A2,30,2018-01-01,22,301.50457763671875,0,0.8887761235237122,STANDARD
9,301.62408447265625,0.0,1655.203125,9,R_A2,30,2018-01-01,22,301.62408447265625,0,0.9041810631752014,STANDARD
10,301.7436218261719,0.0,1656.9852294921875,10,R_A2,30,2018-01-01,22,301.7436218261719,0,0.9018407464027405,STANDARD
11,301.8704833984375,0.0,1658.8763427734375,11,R_A2,30,2018-01-01,22,301.8704833984375,0,0.07452744990587234,STANDARD
12,302.004638671875,0.0,1660.8765869140625,12,R_A2,30,2018-01-01,22,302.004638671875,0,0.07483100146055222,STANDARD
13,302.1387939453125,0.0,1662.876708984375,13,R_A2,30,2018-01-01,22,302.1387939453125,0,0.44744163751602173,STANDARD
14,302.27294921875,0.0,1664.876953125,14,R_A2,30,2018-01-01,22,302.27294921875,0,0.5070417523384094,STANDARD
15,302.4071350097656,0.0,1666.877197265625,15,R_A2,30,2018-01-01,22,302.4071350097656,0,0.6822944283485413,STANDARD
16,302.3424987792969,0.0,1665.9134521484375,15,R_A2,29,2018-01-01,22,302.3424987792969,0,0.9361740350723267,STANDARD
17,302.48358154296875,0.0,1668.0167236328125,16,R_A2,29,2018-01-01,22,302.48358154296875,0,0.9547421336174011,STANDARD
18,302.6246643066406,0.0,1670.1199951171875,17,R_A2,29,2018-01-01,22,302.6246643066406,0,0.9343322515487671,STANDARD
19,302.7617492675781,0.0,1672.1634521484375,18,R_A2,29,2018-01-01,22,302.7617492675781,0,0.9733052253723145,STANDARD
20,302.9051818847656,0.0,1674.301025390625,28,R_A2,29,2018-01-01,22,302.9051818847656,0,1.0,STANDARD
21,303.0284729003906,0.0,1676.138671875,29,R_A2,29,2018-01-01,22,303.0284729003906,0,0.6481541991233826,STANDARD
22,303.4817810058594,0.0,1677.9764404296875,30,R_A2,29,2018-01-01,22,303.4817810058594,0,1.0,STANDARD
23,303.6559143066406,0.0,1679.8140869140625,31,R_A2,29,2018-01-01,22,303.6559143066406,0,1.0,STANDARD
24,303.830078125,0.0,1681.6517333984375,32,R_A2,29,2018-01-01,22,303.830078125,0,1.0,STANDARD
1,298.4608459472656,0.0,1608.019775390625,1,R_A3,41,2018-01-01,28,298.4608459472656,0,0.7742046117782593,STANDARD
2,298.0877380371094,0.0,1602.4521484375,1,R_A3,41,2018-01-01,29,298.0877380371094,0,0.32437705993652344,STANDARD
3,298.22406005859375,0.0,1604.4864501953125,2,R_A3,41,2018-01-01,29,298.22406005859375,0,0.18955904245376587,STANDARD
4,298.3603820800781,0.0,1606.520751953125,3,R_A3,41,2018-01-01,29,298.3603820800781,0,0.18463702499866486,STANDARD
5,298.4967041015625,0.0,1608.5550537109375,4,R_A3,41,2018-01-01,29,298.4967041015625,0,0.3735490143299103,STANDARD
6,298.633056640625,0.0,1610.58935546875,5,R_A3,41,2018-01-01,29,298.633056640625,0,0.8152954578399658,STANDARD
7,298.7693786621094,0.0,1612.62353515625,6,R_A3,41,2018-01-01,29,298.7693786621094,0,0.6481541991233826,STANDARD
8,298.9057312011719,0.0,1614.6578369140625,7,R_A3,41,2018-01-01,29,298.9057312011719,0,0.24415239691734314,STANDARD
9,299.04205322265625,0.0,1616.692138671875,8,R_A3,41,2018-01-01,29,299.04205322265625,0,0.20212122797966003,STANDARD
10,299.17840576171875,0.0,1618.7264404296875,9,R_A3,41,2018-01-01,29,299.17840576171875,0,0.803987979888916,STANDARD
11,299.3147888183594,0.0,1620.7607421875,10,R_A3,41,2018-01-01,29,299.3147888183594,0,0.8076995015144348,STANDARD
12,299.45654296875,0.0,1622.87548828125,11,R_A3,41,2018-01-01,29,299.45654296875,0,0.04883050173521042,STANDARD
13,299.60369873046875,0.0,1625.071044921875,12,R_A3,41,2018-01-01,29,299.60369873046875,0,0.0556834414601326,STANDARD
14,299.7508850097656,0.0,1627.2664794921875,13,R_A3,41,2018-01-01,29,299.7508850097656,0,0.3730124235153198,STANDARD
15,299.8980712890625,0.0,1629.4619140625,14,R_A3,41,2018-01-01,29,299.8980712890625,0,0.2565028667449951,STANDARD
16,300.04522705078125,0.0,1631.6573486328125,15,R_A3,41,2018-01-01,29,300.04522705078125,0,0.5030998587608337,STANDARD
17,300.16943359375,0.0,1633.509765625,16,R_A3,41,2018-01-01,29,300.16943359375,0,0.815281093120575,STANDARD
18,300.336181640625,0.0,1635.9967041015625,28,R_A3,41,2018-01-01,29,300.336181640625,0,0.6481541991233826,STANDARD
19,300.5684814453125,0.0,1639.4613037109375,29,R_A3,41,2018-01-01,29,300.5684814453125,0,0.04464692249894142,STANDARD
20,300.80078125,0.0,1642.926025390625,30,R_A3,41,2018-01-01,29,300.80078125,0,0.6481541991233826,STANDARD
21,301.0331115722656,0.0,1646.390625,31,R_A3,41,2018-01-01,29,301.0331115722656,0,1.0,STANDARD
22,301.26544189453125,0.0,1649.855224609375,32,R_A3,41,2018-01-01,29,301.26544189453125,0,0.1918843537569046,STANDARD
1,300.0938415527344,0.0,1632.38232421875,1,R_A4,52,2018-01-01,30,300.0938415527344,0,0.08481696248054504,STANDARD
2,299.70037841796875,0.0,1626.51318359375,1,R_A4,52,2018-01-01,31,299.70037841796875,0,0.11137815564870834,STANDARD
3,299.8404235839844,0.0,1628.60205078125,2,R_A4,52,2018-01-01,31,299.8404235839844,0,0.09769617766141891,STANDARD
4,299.98046875,0.0,1630.6910400390625,3,R_A4,52,2018-01-01,31,299.98046875,0,0.05266402289271355,STANDARD
5,300.1205139160156,0.0,1632.780029296875,4,R_A4,52,2018-01-01,31,300.1205139160156,0,0.05515448376536369,STANDARD
