WELL,CONJPOS,CONIPOS,CONKPOS,SGAS,WELLMODEL,PRESSURE,DEPTH,CONBPRES,CONIDX,DATE,DRAWDOWN,SWAT
R_A2,30,22,1,0.0,STANDARD,300.8777770996094,1642.2806396484375,300.8777770996094,1,2018-01-01,0,0.05382290855050087
R_A2,30,22,2,0.0,STANDARD,300.99603271484375,1644.0440673828125,300.99603271484375,2,2018-01-01,0,0.0561748705804348
R_A2,30,22,3,0.0,STANDARD,301.1142883300781,1645.8074951171875,301.1142883300781,3,2018-01-01,0,0.058632951229810715
R_A2,30,22,4,0.0,STANDARD,301.2325439453125,1647.5709228515625,301.2325439453125,4,2018-01-01,0,0.06447348743677139
R_A2,30,22,5,0.0,STANDARD,301.3507995605469,1649.3343505859375,301.3507995605469,5,2018-01-01,0,0.0657501071691513
R_A2,30,22,6,0.0,STANDARD,301.46905517578125,1651.0977783203125,301.46905517578125,6,2018-01-01,0,0.3086519241333008
R_A2,30,22,7,0.0,STANDARD,301.5873107910156,1652.8612060546875,301.5873107910156,7,2018-01-01,0,0.6481541991233826
R_A2,30,22,8,0.0,STANDARD,301.7055969238281,1654.6246337890625,301.7055969238281,8,2018-01-01,0,0.6481541991233826
R_A2,30,22,9,0.0,STANDARD,301.8238830566406,1656.3880615234375,301.8238830566406,9,2018-01-01,0,0.8799302577972412
R_A2,30,22,10,0.0,STANDARD,301.942138671875,1658.151611328125,301.942138671875,10,2018-01-01,0,0.8883804678916931
R_A2,30,22,11,0.0,STANDARD,302.0692138671875,1660.0458984375,302.0692138671875,11,2018-01-01,0,0.07084785401821136
R_A2,30,22,12,0.0,STANDARD,302.205078125,1662.0712890625,302.205078125,12,2018-01-01,0,0.12409401684999466
R_A2,30,22,13,0.0,STANDARD,302.3409118652344,1664.0965576171875,302.3409118652344,13,2018-01-01,0,0.42524468898773193
R_A2,30,22,14,0.0,STANDARD,302.4767761230469,1666.121826171875,302.4767761230469,14,2018-01-01,0,0.4765646159648895
R_A2,30,22,15,0.0,STANDARD,302.6126403808594,1668.1470947265625,302.6126403808594,15,2018-01-01,0,0.915867269039154
R_A2,30,22,16,0.0,STANDARD,302.7485046386719,1670.17236328125,302.7485046386719,16,2018-01-01,0,0.9295567870140076
R_A2,30,22,17,0.0,STANDARD,302.8843688964844,1672.1976318359375,302.8843688964844,17,2018-01-01,0,0.9009515643119812
R_A2,29,22,17,0.0,STANDARD,303.0089416503906,1674.05419921875,303.0089416503906,18,2018-01-01,0,0.9121300578117371
R_A2,29,22,18,0.0,STANDARD,303.13299560546875,1675.9033203125,303.13299560546875,19,2018-01-01,0,0.9854983687400818
R_A2,29,22,26,0.0,STANDARD,303.2442321777344,1677.561279296875,303.2442321777344,20,2018-01-01,0,0.3436124622821808
R_A2,29,22,27,0.0,STANDARD,303.3624572753906,1679.3232421875,303.3624572753906,21,2018-01-01,0,1.0
R_A2,29,22,28,0.0,STANDARD,303.4806823730469,1681.085205078125,303.4806823730469,22,2018-01-01,0,1.0
R_A2,29,22,29,0.0,STANDARD,303.9433288574219,1682.84716796875,303.9433288574219,23,2018-01-01,0,1.0
R_A2,29,22,30,0.0,STANDARD,304.1103210449219,1684.609130859375,304.1103210449219,24,2018-01-01,0,1.0
R_A3,41,28,1,0.0,STANDARD,298.7451477050781,1610.468505859375,298.7451477050781,1,2018-01-01,0,0.6481541991233826
R_A3,41,28,2,0.0,STANDARD,298.8807373046875,1612.491455078125,298.8807373046875,2,2018-01-01,0,0.11823459714651108
R_A3,41,28,3,0.0,STANDARD,299.01629638671875,1614.51416015625,299.01629638671875,3,2018-01-01,0,0.11823459714651108
R_A3,41,29,3,0.0,STANDARD,298.2984924316406,1603.8037109375,298.2984924316406,4,2018-01-01,0,0.143557608127594
R_A3,41,29,4,0.0,STANDARD,298.4383850097656,1605.89111328125,298.4383850097656,5,2018-01-01,0,0.1367347687482834
R_A3,41,29,5,0.0,STANDARD,298.5782775878906,1607.9786376953125,298.5782775878906,6,2018-01-01,0,0.8059279322624207
R_A3,41,29,6,0.0,STANDARD,298.7181701660156,1610.0660400390625,298.7181701660156,7,2018-01-01,0,0.6481541991233826
R_A3,41,29,7,0.0,STANDARD,298.85809326171875,1612.153564453125,298.85809326171875,8,2018-01-01,0,0.19462138414382935
R_A3,41,29,8,0.0,STANDARD,298.99798583984375,1614.240966796875,298.99798583984375,9,2018-01-01,0,0.3275776207447052
R_A3,41,29,9,0.0,STANDARD,299.1379089355469,1616.328369140625,299.1379089355469,10,2018-01-01,0,0.793414831161499
R_A3,41,29,10,0.0,STANDARD,299.27783203125,1618.4158935546875,299.27783203125,11,2018-01-01,0,0.798610508441925
R_A3,41,29,11,0.0,STANDARD,299.4246520996094,1620.6065673828125,299.4246520996094,12,2018-01-01,0,0.04744796082377434
R_A3,41,29,12,0.0,STANDARD,299.57843017578125,1622.9005126953125,299.57843017578125,13,2018-01-01,0,0.05323348939418793
R_A3,41,29,13,0.0,STANDARD,299.7322082519531,1625.1944580078125,299.7322082519531,14,2018-01-01,0,0.3661300837993622
R_A3,41,29,14,0.0,STANDARD,299.885986328125,1627.4884033203125,299.885986328125,15,2018-01-01,0,0.22927351295948029
R_A3,41,29,15,0.0,STANDARD,300.0397644042969,1629.7823486328125,300.0397644042969,16,2018-01-01,0,0.4942847192287445
R_A3,41,29,16,0.0,STANDARD,300.1648254394531,1631.647705078125,300.1648254394531,17,2018-01-01,0,0.7914180755615234
R_A3,41,29,26,0.0,STANDARD,300.33135986328125,1634.13134765625,300.33135986328125,18,2018-01-01,0,0.20349209010601044
R_A3,41,29,27,0.0,STANDARD,300.5680847167969,1637.662109375,300.5680847167969,19,2018-01-01,0,0.046702586114406586
R_A3,41,29,28,0.0,STANDARD,300.8048095703125,1641.1927490234375,300.8048095703125,20,2018-01-01,0,0.0496072955429554
R_A3,41,29,29,0.0,STANDARD,301.0415954589844,1644.723388671875,301.0415954589844,21,2018-01-01,0,0.6481541991233826
