SGAS,SWAT,CONJPOS,WELLMODEL,DATE,DRAWDOWN,CONIDX,CONIPOS,CONBPRES,WELL,PRESSURE,CONKPOS,DEPTH
0.0,0.055762678384780884,30,STANDARD,2018-01-01,0,1,22,300.5064697265625,R_A2,300.5064697265625,1,1638.837890625
0.0,0.058246955275535583,30,STANDARD,2018-01-01,0,2,22,300.6234130859375,R_A2,300.6234130859375,2,1640.581787109375
0.0,0.059662703424692154,30,STANDARD,2018-01-01,0,3,22,300.7403564453125,R_A2,300.7403564453125,3,1642.32568359375
0.0,0.06594088673591614,30,STANDARD,2018-01-01,0,4,22,300.8572692871094,R_A2,300.8572692871094,4,1644.069580078125
0.0,0.0698101818561554,30,STANDARD,2018-01-01,0,5,22,300.9742126464844,R_A2,300.9742126464844,5,1645.8133544921875
0.0,0.3022903800010681,30,STANDARD,2018-01-01,0,6,22,301.0911560058594,R_A2,301.0911560058594,6,1647.5572509765625
0.0,0.8863953351974487,30,STANDARD,2018-01-01,0,7,22,301.2080993652344,R_A2,301.2080993652344,7,1649.3011474609375
0.0,0.8557621836662292,30,STANDARD,2018-01-01,0,8,22,301.3250427246094,R_A2,301.3250427246094,8,1651.044921875
0.0,0.8960390090942383,30,STANDARD,2018-01-01,0,9,22,301.4419860839844,R_A2,301.4419860839844,9,1652.788818359375
0.0,0.9080164432525635,30,STANDARD,2018-01-01,0,10,22,301.5589599609375,R_A2,301.5589599609375,10,1654.53271484375
0.0,0.07296650111675262,30,STANDARD,2018-01-01,0,11,22,301.6816101074219,R_A2,301.6816101074219,11,1656.3616943359375
0.0,0.43890103697776794,30,STANDARD,2018-01-01,0,12,22,301.9383850097656,R_A2,301.9383850097656,13,1660.190185546875
0.0,0.4849415719509125,30,STANDARD,2018-01-01,0,13,22,302.0668029785156,R_A2,302.0668029785156,14,1662.1043701171875
0.0,0.48725655674934387,29,STANDARD,2018-01-01,0,14,22,302.06964111328125,R_A2,302.06964111328125,14,1662.146728515625
0.0,0.5648679137229919,29,STANDARD,2018-01-01,0,15,22,302.211181640625,R_A2,302.211181640625,15,1664.257080078125
0.0,0.9536604285240173,29,STANDARD,2018-01-01,0,16,22,302.3527526855469,R_A2,302.3527526855469,16,1666.367431640625
0.0,0.9455991387367249,29,STANDARD,2018-01-01,0,17,22,302.49432373046875,R_A2,302.49432373046875,17,1668.477783203125
0.0,0.9552031755447388,29,STANDARD,2018-01-01,0,18,22,302.6339111328125,R_A2,302.6339111328125,18,1670.558837890625
0.0,0.9643186330795288,29,STANDARD,2018-01-01,0,19,22,302.7313232421875,R_A2,302.7313232421875,19,1672.0107421875
0.0,1.0,29,STANDARD,2018-01-01,0,20,22,302.8220520019531,R_A2,302.8220520019531,32,1673.3629150390625
0.0,0.6481541991233826,29,STANDARD,2018-01-01,0,21,22,302.9463195800781,R_A2,302.9463195800781,33,1675.21533203125
0.0,1.0,29,STANDARD,2018-01-01,0,22,22,303.39569091796875,R_A2,303.39569091796875,34,1677.0677490234375
0.0,1.0,29,STANDARD,2018-01-01,0,23,22,303.57122802734375,R_A2,303.57122802734375,35,1678.9202880859375
0.0,1.0,29,STANDARD,2018-01-01,0,24,22,303.74676513671875,R_A2,303.74676513671875,36,1680.772705078125
0.0,0.6481541991233826,41,STANDARD,2018-01-01,0,1,28,298.5244140625,R_A3,298.5244140625,1,1609.2694091796875
0.0,0.19831582903862,41,STANDARD,2018-01-01,0,2,28,298.6725158691406,R_A3,298.6725158691406,2,1611.47900390625
0.0,0.19346776604652405,41,STANDARD,2018-01-01,0,3,28,298.8205871582031,R_A3,298.8205871582031,3,1613.6888427734375
0.0,0.6481541991233826,41,STANDARD,2018-01-01,0,4,28,298.96868896484375,R_A3,298.96868896484375,4,1615.8985595703125
0.0,0.6481541991233826,41,STANDARD,2018-01-01,0,5,28,299.1168212890625,R_A3,299.1168212890625,5,1618.1082763671875
0.0,0.1802569031715393,41,STANDARD,2018-01-01,0,6,28,299.2649230957031,R_A3,299.2649230957031,6,1620.31787109375
0.0,0.19291315972805023,41,STANDARD,2018-01-01,0,7,29,298.2713317871094,R_A3,298.2713317871094,6,1605.4927978515625
0.0,0.19459299743175507,41,STANDARD,2018-01-01,0,8,29,298.42413330078125,R_A3,298.42413330078125,7,1607.77294921875
0.0,0.19646385312080383,41,STANDARD,2018-01-01,0,9,29,298.5769348144531,R_A3,298.5769348144531,8,1610.05322265625
0.0,0.8003582954406738,41,STANDARD,2018-01-01,0,10,29,298.7297668457031,R_A3,298.7297668457031,9,1612.3333740234375
0.0,0.7977049946784973,41,STANDARD,2018-01-01,0,11,29,298.882568359375,R_A3,298.882568359375,10,1614.613525390625
0.0,0.04730069637298584,41,STANDARD,2018-01-01,0,12,29,299.0375671386719,R_A3,299.0375671386719,11,1616.926025390625
0.0,0.052788399159908295,41,STANDARD,2018-01-01,0,13,29,299.1947326660156,R_A3,299.1947326660156,12,1619.2708740234375
0.0,0.19649581611156464,41,STANDARD,2018-01-01,0,14,29,299.3518981933594,R_A3,299.3518981933594,13,1621.61572265625
0.0,0.3994469940662384,41,STANDARD,2018-01-01,0,15,29,299.50909423828125,R_A3,299.50909423828125,14,1623.96044921875
0.0,0.3565813899040222,41,STANDARD,2018-01-01,0,16,29,299.666259765625,R_A3,299.666259765625,15,1626.3052978515625
0.0,0.8019496202468872,41,STANDARD,2018-01-01,0,17,29,299.8196105957031,R_A3,299.8196105957031,16,1628.593017578125
0.0,0.7785777449607849,41,STANDARD,2018-01-01,0,18,29,299.9179382324219,R_A3,299.9179382324219,17,1630.0594482421875
0.0,0.3017083406448364,41,STANDARD,2018-01-01,0,19,29,300.0771484375,R_A3,300.0771484375,32,1632.434326171875
0.0,0.043304912745952606,41,STANDARD,2018-01-01,0,20,29,300.3485107421875,R_A3,300.3485107421875,33,1636.481689453125
0.0,0.049760349094867706,41,STANDARD,2018-01-01,0,21,29,300.619873046875,R_A3,300.619873046875,34,1640.529052734375
0.0,0.6481541991233826,41,STANDARD,2018-01-01,0,22,29,300.8912658691406,R_A3,300.8912658691406,35,1644.576416015625
0.0,0.06554050743579865,41,STANDARD,2018-01-01,0,23,29,301.16265869140625,R_A3,301.16265869140625,36,1648.6236572265625
0.0,0.054225627332925797,52,STANDARD,2018-01-01,0,1,30,300.11431884765625,R_A4,300.11431884765625,1,1632.9886474609375
0.0,0.04889743775129318,52,STANDARD,2018-01-01,0,2,31,299.5599670410156,R_A4,299.5599670410156,1,1624.7196044921875
