CONJPOS,DRAWDOWN,SGAS,WELLMODEL,SWAT,CONBPRES,PRESSURE,WELL,CONKPOS,CONIDX,DATE,DEPTH,CONIPOS
30,0,0.0,STANDARD,0.05336891487240791,300.5955810546875,300.5955810546875,R_A2,1,1,2018-01-01,1638.41455078125,22
30,0,0.0,STANDARD,0.054163627326488495,300.71087646484375,300.71087646484375,R_A2,2,2,2018-01-01,1640.1339111328125,22
30,0,0.0,STANDARD,0.05659942328929901,300.826171875,300.826171875,R_A2,3,3,2018-01-01,1641.853271484375,22
30,0,0.0,STANDARD,0.09923704713582993,300.94146728515625,300.94146728515625,R_A2,4,4,2018-01-01,1643.57275390625,22
30,0,0.0,STANDARD,0.15583212673664093,301.0567626953125,301.0567626953125,R_A2,5,5,2018-01-01,1645.292236328125,22
30,0,0.0,STANDARD,0.6481541991233826,301.1720886230469,301.1720886230469,R_A2,6,6,2018-01-01,1647.0115966796875,22
30,0,0.0,STANDARD,0.8724383115768433,301.2873840332031,301.2873840332031,R_A2,7,7,2018-01-01,1648.73095703125,22
30,0,0.0,STANDARD,0.882828950881958,301.4026794433594,301.4026794433594,R_A2,8,8,2018-01-01,1650.450439453125,22
30,0,0.0,STANDARD,0.8900514841079712,301.51800537109375,301.51800537109375,R_A2,9,9,2018-01-01,1652.169921875,22
30,0,0.0,STANDARD,0.8992831110954285,301.6333312988281,301.6333312988281,R_A2,10,10,2018-01-01,1653.8892822265625,22
30,0,0.0,STANDARD,0.06536399573087692,301.75860595703125,301.75860595703125,R_A2,11,11,2018-01-01,1655.757080078125,22
30,0,0.0,STANDARD,0.4228114187717438,302.029052734375,302.029052734375,R_A2,13,12,2018-01-01,1659.789306640625,22
30,0,0.0,STANDARD,0.4550950229167938,302.1642761230469,302.1642761230469,R_A2,14,13,2018-01-01,1661.805419921875,22
30,0,0.0,STANDARD,0.8909249901771545,302.2995300292969,302.2995300292969,R_A2,15,14,2018-01-01,1663.821533203125,22
30,0,0.0,STANDARD,0.9055981636047363,302.43475341796875,302.43475341796875,R_A2,16,15,2018-01-01,1665.837646484375,22
29,0,0.0,STANDARD,0.9600459933280945,302.85675048828125,302.85675048828125,R_A2,16,16,2018-01-01,1672.1280517578125,22
29,0,0.0,STANDARD,0.9479641318321228,302.9969482421875,302.9969482421875,R_A2,17,17,2018-01-01,1674.2177734375,22
29,0,0.0,STANDARD,0.9825584292411804,303.1169738769531,303.1169738769531,R_A2,18,18,2018-01-01,1676.0067138671875,22
29,0,0.0,STANDARD,1.0,303.224853515625,303.224853515625,R_A2,24,19,2018-01-01,1677.61474609375,22
29,0,0.0,STANDARD,0.8306363821029663,303.3407897949219,303.3407897949219,R_A2,25,20,2018-01-01,1679.342529296875,22
29,0,0.0,STANDARD,1.0,303.7749938964844,303.7749938964844,R_A2,26,21,2018-01-01,1681.0704345703125,22
29,0,0.0,STANDARD,1.0,303.938720703125,303.938720703125,R_A2,27,22,2018-01-01,1682.7982177734375,22
29,0,0.0,STANDARD,1.0,304.1024475097656,304.1024475097656,R_A2,28,23,2018-01-01,1684.526123046875,22
41,0,0.0,STANDARD,0.7607178092002869,298.6941223144531,298.6941223144531,R_A3,1,1,2018-01-01,1610.04931640625,28
