CONIDX,SGAS,WELLMODEL,DRAWDOWN,DATE,SWAT,DEPTH,CONJPOS,PRESSURE,CONIPOS,CONBPRES,CONKPOS,WELL
1,0.0,STANDARD,0,2018-01-01,0.05548769235610962,1641.70458984375,30,300.759521484375,22,300.759521484375,1,R_A2
2,0.0,STANDARD,0,2018-01-01,0.05680930241942406,1643.4635009765625,30,300.8774719238281,22,300.8774719238281,2,R_A2
3,0.0,STANDARD,0,2018-01-01,0.061465777456760406,1645.2225341796875,30,300.99542236328125,22,300.99542236328125,3,R_A2
4,0.0,STANDARD,0,2018-01-01,0.0651208832859993,1646.9814453125,30,301.1133728027344,22,301.1133728027344,4,R_A2
5,0.0,STANDARD,0,2018-01-01,0.06734339147806168,1648.7403564453125,30,301.2313232421875,22,301.2313232421875,5,R_A2
6,0.0,STANDARD,0,2018-01-01,0.3150196373462677,1650.4993896484375,30,301.34930419921875,22,301.34930419921875,6,R_A2
7,0.0,STANDARD,0,2018-01-01,0.888677179813385,1652.25830078125,30,301.4672546386719,22,301.4672546386719,7,R_A2
8,0.0,STANDARD,0,2018-01-01,0.8728217482566833,1654.017333984375,30,301.5852355957031,22,301.5852355957031,8,R_A2
9,0.0,STANDARD,0,2018-01-01,0.8880446553230286,1655.7762451171875,30,301.70318603515625,22,301.70318603515625,9,R_A2
10,0.0,STANDARD,0,2018-01-01,0.9097352027893066,1657.53515625,30,301.8211669921875,22,301.8211669921875,10,R_A2
11,0.0,STANDARD,0,2018-01-01,0.07320977747440338,1659.450927734375,30,301.9496765136719,22,301.9496765136719,11,R_A2
12,0.0,STANDARD,0,2018-01-01,0.07662218064069748,1661.5235595703125,30,302.08868408203125,22,302.08868408203125,12,R_A2
13,0.0,STANDARD,0,2018-01-01,0.4527238607406616,1663.59619140625,30,302.22772216796875,22,302.22772216796875,13,R_A2
14,0.0,STANDARD,0,2018-01-01,0.5009120106697083,1665.668701171875,30,302.3667297363281,22,302.3667297363281,14,R_A2
15,0.0,STANDARD,0,2018-01-01,0.936985194683075,1667.7413330078125,30,302.5057678222656,22,302.5057678222656,15,R_A2
16,0.0,STANDARD,0,2018-01-01,0.9671431183815002,1669.81396484375,30,302.6448059082031,22,302.6448059082031,16,R_A2
17,0.0,STANDARD,0,2018-01-01,0.9319943785667419,1671.8865966796875,30,302.7838439941406,22,302.7838439941406,17,R_A2
18,0.0,STANDARD,0,2018-01-01,0.9798502326011658,1673.624755859375,30,302.90045166015625,22,302.90045166015625,18,R_A2
19,0.0,STANDARD,0,2018-01-01,0.706692099571228,1675.2216796875,30,303.0075988769531,22,303.0075988769531,26,R_A2
20,0.0,STANDARD,0,2018-01-01,1.0,1677.0120849609375,30,303.1277160644531,22,303.1277160644531,27,R_A2
21,0.0,STANDARD,0,2018-01-01,1.0,1678.8023681640625,30,303.56005859375,22,303.56005859375,28,R_A2
22,0.0,STANDARD,0,2018-01-01,1.0,1681.0584716796875,29,303.77386474609375,22,303.77386474609375,28,R_A2
23,0.0,STANDARD,0,2018-01-01,1.0,1682.741943359375,29,303.9333801269531,22,303.9333801269531,29,R_A2
24,0.0,STANDARD,0,2018-01-01,1.0,1684.42529296875,29,304.0928955078125,22,304.0928955078125,30,R_A2
1,0.0,STANDARD,0,2018-01-01,0.22479161620140076,1608.0645751953125,41,298.50445556640625,28,298.50445556640625,1,R_A3
2,0.0,STANDARD,0,2018-01-01,0.1935625821352005,1609.991943359375,41,298.6336364746094,28,298.6336364746094,2,R_A3
3,0.0,STANDARD,0,2018-01-01,0.19057276844978333,1611.91943359375,41,298.7628173828125,28,298.7628173828125,3,R_A3
4,0.0,STANDARD,0,2018-01-01,0.3109888434410095,1613.846923828125,41,298.8919982910156,28,298.8919982910156,4,R_A3
5,0.0,STANDARD,0,2018-01-01,0.807612955570221,1609.90380859375,41,298.62774658203125,29,298.62774658203125,5,R_A3
6,0.0,STANDARD,0,2018-01-01,0.6481541991233826,1611.9046630859375,41,298.7618408203125,29,298.7618408203125,6,R_A3
7,0.0,STANDARD,0,2018-01-01,0.19948847591876984,1613.905517578125,41,298.89593505859375,29,298.89593505859375,7,R_A3
8,0.0,STANDARD,0,2018-01-01,0.20067521929740906,1615.9063720703125,41,299.030029296875,29,299.030029296875,8,R_A3
9,0.0,STANDARD,0,2018-01-01,0.8031630516052246,1617.9072265625,41,299.16412353515625,29,299.16412353515625,9,R_A3
10,0.0,STANDARD,0,2018-01-01,0.8062917590141296,1619.907958984375,41,299.2982482910156,29,299.2982482910156,10,R_A3
11,0.0,STANDARD,0,2018-01-01,0.0491282194852829,1622.03076171875,41,299.4405517578125,29,299.4405517578125,11,R_A3
12,0.0,STANDARD,0,2018-01-01,0.05543748289346695,1624.275390625,41,299.59100341796875,29,299.59100341796875,12,R_A3
13,0.0,STANDARD,0,2018-01-01,0.370937317609787,1626.52001953125,41,299.7414855957031,29,299.7414855957031,13,R_A3
