SGAS,DEPTH,DRAWDOWN,PRESSURE,CONIPOS,SWAT,CONIDX,CONBPRES,WELLMODEL,CONKPOS,DATE,CONJPOS,WELL
0.0,1639.7047119140625,0,300.6961975097656,22,0.05263901129364967,1,300.6961975097656,STANDARD,1,2018-01-01,30,R_A2
0.0,1641.426513671875,0,300.8116455078125,22,0.05375281721353531,2,300.8116455078125,STANDARD,2,2018-01-01,30,R_A2
0.0,1643.1484375,0,300.9271240234375,22,0.05795669928193092,3,300.9271240234375,STANDARD,3,2018-01-01,30,R_A2
0.0,1644.8702392578125,0,301.0425720214844,22,0.06122502312064171,4,301.0425720214844,STANDARD,4,2018-01-01,30,R_A2
0.0,1646.5921630859375,0,301.1580505371094,22,0.0630512610077858,5,301.1580505371094,STANDARD,5,2018-01-01,30,R_A2
0.0,1648.31396484375,0,301.2735290527344,22,0.30119389295578003,6,301.2735290527344,STANDARD,6,2018-01-01,30,R_A2
0.0,1650.0357666015625,0,301.38897705078125,22,0.870451807975769,7,301.38897705078125,STANDARD,7,2018-01-01,30,R_A2
0.0,1651.7576904296875,0,301.50445556640625,22,0.8510491251945496,8,301.50445556640625,STANDARD,8,2018-01-01,30,R_A2
0.0,1653.4796142578125,0,301.61993408203125,22,0.8796191215515137,9,301.61993408203125,STANDARD,9,2018-01-01,30,R_A2
0.0,1655.201416015625,0,301.7354431152344,22,0.8742080926895142,10,301.7354431152344,STANDARD,10,2018-01-01,30,R_A2
0.0,1657.0697021484375,0,301.8607482910156,22,0.06600126624107361,11,301.8607482910156,STANDARD,11,2018-01-01,30,R_A2
0.0,1659.0845947265625,0,301.9958801269531,22,0.06709285825490952,12,301.9958801269531,STANDARD,12,2018-01-01,30,R_A2
0.0,1661.099365234375,0,302.13104248046875,22,0.4267222285270691,13,302.13104248046875,STANDARD,13,2018-01-01,30,R_A2
0.0,1663.1142578125,0,302.26617431640625,22,0.4669780731201172,14,302.26617431640625,STANDARD,14,2018-01-01,30,R_A2
0.0,1665.129150390625,0,302.4013366699219,22,0.8909348845481873,15,302.4013366699219,STANDARD,15,2018-01-01,30,R_A2
0.0,1667.1439208984375,0,302.5364990234375,22,0.9099442958831787,16,302.5364990234375,STANDARD,16,2018-01-01,30,R_A2
0.0,1671.9908447265625,0,302.8616638183594,22,0.9526013731956482,17,302.8616638183594,STANDARD,16,2018-01-01,29,R_A2
0.0,1674.0811767578125,0,303.00189208984375,22,0.9245496392250061,18,303.00189208984375,STANDARD,17,2018-01-01,29,R_A2
0.0,1675.724853515625,0,303.1121826171875,22,0.9805269837379456,19,303.1121826171875,STANDARD,18,2018-01-01,29,R_A2
0.0,1677.18505859375,0,303.21014404296875,22,0.6481541991233826,20,303.21014404296875,STANDARD,26,2018-01-01,29,R_A2
0.0,1678.90869140625,0,303.3258056640625,22,1.0,21,303.3258056640625,STANDARD,27,2018-01-01,29,R_A2
0.0,1680.6322021484375,0,303.4414367675781,22,1.0,22,303.4414367675781,STANDARD,28,2018-01-01,29,R_A2
0.0,1682.355712890625,0,303.89678955078125,22,1.0,23,303.89678955078125,STANDARD,29,2018-01-01,29,R_A2
0.0,1684.079345703125,0,304.06011962890625,22,1.0,24,304.06011962890625,STANDARD,30,2018-01-01,29,R_A2
0.0,1606.6126708984375,0,298.4779052734375,28,0.22186288237571716,1,298.4779052734375,STANDARD,1,2018-01-01,41,R_A3
0.0,1608.5145263671875,0,298.6053466796875,28,0.1931825429201126,2,298.6053466796875,STANDARD,2,2018-01-01,41,R_A3
0.0,1610.41650390625,0,298.7328186035156,28,0.19042789936065674,3,298.7328186035156,STANDARD,3,2018-01-01,41,R_A3
0.0,1606.641357421875,0,298.4798278808594,29,0.18861940503120422,4,298.4798278808594,STANDARD,3,2018-01-01,41,R_A3
0.0,1608.6512451171875,0,298.6145324707031,29,0.22368977963924408,5,298.6145324707031,STANDARD,4,2018-01-01,41,R_A3
0.0,1610.6611328125,0,298.7492370605469,29,0.8130845427513123,6,298.7492370605469,STANDARD,5,2018-01-01,41,R_A3
0.0,1612.671142578125,0,298.8839416503906,29,0.6481541991233826,7,298.8839416503906,STANDARD,6,2018-01-01,41,R_A3
0.0,1614.680908203125,0,299.0186462402344,29,0.19707347452640533,8,299.0186462402344,STANDARD,7,2018-01-01,41,R_A3
0.0,1616.6907958984375,0,299.1533508300781,29,0.1967649757862091,9,299.1533508300781,STANDARD,8,2018-01-01,41,R_A3
0.0,1618.70068359375,0,299.2880859375,29,0.794853150844574,10,299.2880859375,STANDARD,9,2018-01-01,41,R_A3
0.0,1620.710693359375,0,299.42279052734375,29,0.8092851042747498,11,299.42279052734375,STANDARD,10,2018-01-01,41,R_A3
0.0,1622.8408203125,0,299.5655822753906,29,0.048366088420152664,12,299.5655822753906,STANDARD,11,2018-01-01,41,R_A3
0.0,1625.09130859375,0,299.7164611816406,29,0.05400780215859413,13,299.7164611816406,STANDARD,12,2018-01-01,41,R_A3
0.0,1627.341796875,0,299.8673095703125,29,0.37627556920051575,14,299.8673095703125,STANDARD,13,2018-01-01,41,R_A3
0.0,1631.8427734375,0,300.1690673828125,29,0.79787677526474,15,300.1690673828125,STANDARD,15,2018-01-01,41,R_A3
0.0,1633.4124755859375,0,300.2743225097656,29,0.794002890586853,16,300.2743225097656,STANDARD,16,2018-01-01,41,R_A3
