WELLMODEL,CONJPOS,SGAS,PRESSURE,CONKPOS,CONIPOS,DATE,SWAT,CONBPRES,WELL,DEPTH,CONIDX,DRAWDOWN
STANDARD,30,0.0,300.694580078125,1,22,2018-01-01,0.05440942198038101,300.694580078125,R_A2,1640.3277587890625,1,0
STANDARD,30,0.0,300.8100280761719,2,22,2018-01-01,0.05616110935807228,300.8100280761719,R_A2,1642.049560546875,2,0
STANDARD,30,0.0,300.92547607421875,3,22,2018-01-01,0.05926631763577461,300.92547607421875,R_A2,1643.7711181640625,3,0
STANDARD,30,0.0,301.0409240722656,4,22,2018-01-01,0.06434454023838043,301.0409240722656,R_A2,1645.4927978515625,4,0
STANDARD,30,0.0,301.1563720703125,5,22,2018-01-01,0.1161077544093132,301.1563720703125,R_A2,1647.2144775390625,5,0
STANDARD,30,0.0,301.2718505859375,6,22,2018-01-01,0.6481541991233826,301.2718505859375,R_A2,1648.936279296875,6,0
STANDARD,30,0.0,301.3872985839844,7,22,2018-01-01,0.881005048751831,301.3872985839844,R_A2,1650.657958984375,7,0
STANDARD,30,0.0,301.5027770996094,8,22,2018-01-01,0.8664911389350891,301.5027770996094,R_A2,1652.379638671875,8,0
STANDARD,30,0.0,301.61822509765625,9,22,2018-01-01,0.8951836824417114,301.61822509765625,R_A2,1654.101318359375,9,0
STANDARD,30,0.0,301.73370361328125,10,22,2018-01-01,0.9092483520507812,301.73370361328125,R_A2,1655.822998046875,10,0
STANDARD,30,0.0,301.86346435546875,11,22,2018-01-01,0.06921129673719406,301.86346435546875,R_A2,1657.7576904296875,11,0
STANDARD,30,0.0,302.1515808105469,13,22,2018-01-01,0.44522714614868164,302.1515808105469,R_A2,1662.0531005859375,12,0
STANDARD,30,0.0,302.295654296875,14,22,2018-01-01,0.4862373173236847,302.295654296875,R_A2,1664.2008056640625,13,0
STANDARD,30,0.0,302.4397277832031,15,22,2018-01-01,0.9141791462898254,302.4397277832031,R_A2,1666.3485107421875,14,0
STANDARD,30,0.0,302.58380126953125,16,22,2018-01-01,0.912575900554657,302.58380126953125,R_A2,1668.4962158203125,15,0
STANDARD,30,0.0,302.7269592285156,17,22,2018-01-01,0.9187674522399902,302.7269592285156,R_A2,1670.630126953125,16,0
STANDARD,30,0.0,302.82427978515625,18,22,2018-01-01,0.9513132572174072,302.82427978515625,R_A2,1672.0809326171875,17,0
STANDARD,30,0.0,302.9226379394531,26,22,2018-01-01,0.7791334986686707,302.9226379394531,R_A2,1673.546875,18,0
STANDARD,29,0.0,303.81427001953125,27,22,2018-01-01,1.0,303.81427001953125,R_A2,1681.4852294921875,19,0
STANDARD,29,0.0,303.98236083984375,28,22,2018-01-01,1.0,303.98236083984375,R_A2,1683.2589111328125,20,0
STANDARD,29,0.0,304.15045166015625,29,22,2018-01-01,1.0,304.15045166015625,R_A2,1685.0325927734375,21,0
STANDARD,29,0.0,304.3185119628906,30,22,2018-01-01,1.0,304.3185119628906,R_A2,1686.8062744140625,22,0
STANDARD,41,0.0,298.57275390625,1,28,2018-01-01,0.7744529843330383,298.57275390625,R_A3,1608.675537109375,1,0
STANDARD,41,0.0,298.1328125,1,29,2018-01-01,0.6481541991233826,298.1328125,R_A3,1602.1104736328125,2,0
STANDARD,41,0.0,298.26800537109375,2,29,2018-01-01,0.18996478617191315,298.26800537109375,R_A3,1604.1278076171875,3,0
STANDARD,41,0.0,298.4031982421875,3,29,2018-01-01,0.11823459714651108,298.4031982421875,R_A3,1606.1451416015625,4,0
STANDARD,41,0.0,298.53839111328125,4,29,2018-01-01,0.1542288362979889,298.53839111328125,R_A3,1608.1624755859375,5,0
STANDARD,41,0.0,298.673583984375,5,29,2018-01-01,0.6740451455116272,298.673583984375,R_A3,1610.1796875,6,0
STANDARD,41,0.0,298.80877685546875,6,29,2018-01-01,0.6481541991233826,298.80877685546875,R_A3,1612.197021484375,7,0
STANDARD,41,0.0,298.9439697265625,7,29,2018-01-01,0.19900506734848022,298.9439697265625,R_A3,1614.21435546875,8,0
STANDARD,41,0.0,299.0791931152344,8,29,2018-01-01,0.19933070242404938,299.0791931152344,R_A3,1616.2315673828125,9,0
