WELLMODEL,CONJPOS,CONKPOS,CONBPRES,DRAWDOWN,CONIDX,SGAS,DEPTH,WELL,CONIPOS,SWAT,DATE,PRESSURE
STANDARD,30,1,300.73236083984375,0,1,0.0,1640.1903076171875,R_A2,22,0.05324697494506836,2018-01-01,300.73236083984375
STANDARD,30,2,300.8504638671875,0,2,0.0,1641.95166015625,R_A2,22,0.054965101182460785,2018-01-01,300.8504638671875
STANDARD,30,3,300.96856689453125,0,3,0.0,1643.7130126953125,R_A2,22,0.05790025368332863,2018-01-01,300.96856689453125
STANDARD,30,4,301.086669921875,0,4,0.0,1645.474365234375,R_A2,22,0.0628746747970581,2018-01-01,301.086669921875
STANDARD,30,5,301.2048034667969,0,5,0.0,1647.235595703125,R_A2,22,0.11383089423179626,2018-01-01,301.2048034667969
STANDARD,30,6,301.3229064941406,0,6,0.0,1648.9969482421875,R_A2,22,0.6481541991233826,2018-01-01,301.3229064941406
STANDARD,30,7,301.4410400390625,0,7,0.0,1650.7581787109375,R_A2,22,0.8753281831741333,2018-01-01,301.4410400390625
STANDARD,30,8,301.55914306640625,0,8,0.0,1652.51953125,R_A2,22,0.8603911995887756,2018-01-01,301.55914306640625
STANDARD,30,9,301.6772766113281,0,9,0.0,1654.2808837890625,R_A2,22,0.6481541991233826,2018-01-01,301.6772766113281
STANDARD,30,10,301.79541015625,0,10,0.0,1656.0421142578125,R_A2,22,0.288409560918808,2018-01-01,301.79541015625
STANDARD,30,11,301.92254638671875,0,11,0.0,1657.9376220703125,R_A2,22,0.06771541386842728,2018-01-01,301.92254638671875
STANDARD,30,13,302.19482421875,0,12,0.0,1661.996826171875,R_A2,22,0.42535439133644104,2018-01-01,302.19482421875
STANDARD,30,14,302.3309631347656,0,13,0.0,1664.0264892578125,R_A2,22,0.4630208909511566,2018-01-01,302.3309631347656
STANDARD,30,15,302.46710205078125,0,14,0.0,1666.05615234375,R_A2,22,0.8957837224006653,2018-01-01,302.46710205078125
STANDARD,30,16,302.603271484375,0,15,0.0,1668.085693359375,R_A2,22,0.9170874357223511,2018-01-01,302.603271484375
STANDARD,30,17,302.73944091796875,0,16,0.0,1670.1153564453125,R_A2,22,0.8606552481651306,2018-01-01,302.73944091796875
STANDARD,29,17,303.013671875,0,17,0.0,1674.2032470703125,R_A2,22,0.9360660910606384,2018-01-01,303.013671875
STANDARD,29,18,303.14154052734375,0,18,0.0,1676.1090087890625,R_A2,22,0.9845485091209412,2018-01-01,303.14154052734375
STANDARD,29,24,303.2599792480469,0,19,0.0,1677.8740234375,R_A2,22,1.0,2018-01-01,303.2599792480469
STANDARD,29,25,303.3773193359375,0,20,0.0,1679.622802734375,R_A2,22,0.7975497245788574,2018-01-01,303.3773193359375
STANDARD,29,26,303.80352783203125,0,21,0.0,1681.37158203125,R_A2,22,1.0,2018-01-01,303.80352783203125
STANDARD,29,27,303.96923828125,0,22,0.0,1683.1202392578125,R_A2,22,1.0,2018-01-01,303.96923828125
STANDARD,29,28,304.13494873046875,0,23,0.0,1684.868896484375,R_A2,22,1.0,2018-01-01,304.13494873046875
STANDARD,41,1,298.6163024902344,0,1,0.0,1608.6240234375,R_A3,28,0.6481541991233826,2018-01-01,298.6163024902344
STANDARD,41,2,298.7491149902344,0,2,0.0,1610.605712890625,R_A3,28,0.18928667902946472,2018-01-01,298.7491149902344
STANDARD,41,3,298.8819274902344,0,3,0.0,1612.58740234375,R_A3,28,0.1262086033821106,2018-01-01,298.8819274902344
STANDARD,41,4,299.0147399902344,0,4,0.0,1614.569091796875,R_A3,28,0.11823459714651108,2018-01-01,299.0147399902344
STANDARD,41,4,298.5265197753906,0,5,0.0,1607.284423828125,R_A3,29,0.24044887721538544,2018-01-01,298.5265197753906
STANDARD,41,5,298.6614990234375,0,6,0.0,1609.298583984375,R_A3,29,0.8030645251274109,2018-01-01,298.6614990234375
