CONKPOS,DATE,CONJPOS,DEPTH,CONIDX,CONBPRES,WELL,SWAT,CONIPOS,DRAWDOWN,WELLMODEL,PRESSURE,SGAS
1,2018-01-01,30,1640.2093505859375,1,300.75103759765625,R_A2,0.05204202979803085,22,0,STANDARD,300.75103759765625,0.0
2,2018-01-01,30,1641.959228515625,2,300.8683776855469,R_A2,0.05465065687894821,22,0,STANDARD,300.8683776855469,0.0
3,2018-01-01,30,1643.708984375,3,300.9857177734375,R_A2,0.05716874822974205,22,0,STANDARD,300.9857177734375,0.0
4,2018-01-01,30,1645.4588623046875,4,301.1030578613281,R_A2,0.1472124457359314,22,0,STANDARD,301.1030578613281,0.0
5,2018-01-01,30,1647.208740234375,5,301.22039794921875,R_A2,0.6481541991233826,22,0,STANDARD,301.22039794921875,0.0
6,2018-01-01,30,1648.95849609375,6,301.3377380371094,R_A2,0.6752063035964966,22,0,STANDARD,301.3377380371094,0.0
7,2018-01-01,30,1650.7083740234375,7,301.4551086425781,R_A2,0.8618491888046265,22,0,STANDARD,301.4551086425781,0.0
8,2018-01-01,30,1652.458251953125,8,301.57244873046875,R_A2,0.8537805080413818,22,0,STANDARD,301.57244873046875,0.0
9,2018-01-01,30,1654.2081298828125,9,301.6898193359375,R_A2,0.8780758380889893,22,0,STANDARD,301.6898193359375,0.0
10,2018-01-01,30,1655.9578857421875,10,301.80718994140625,R_A2,0.8909797668457031,22,0,STANDARD,301.80718994140625,0.0
11,2018-01-01,30,1657.8363037109375,11,301.93316650390625,R_A2,0.06699464470148087,22,0,STANDARD,301.93316650390625,0.0
12,2018-01-01,30,1659.84326171875,12,302.0677795410156,R_A2,0.06550876051187515,22,0,STANDARD,302.0677795410156,0.0
13,2018-01-01,30,1661.8502197265625,13,302.202392578125,R_A2,0.41650769114494324,22,0,STANDARD,302.202392578125,0.0
14,2018-01-01,30,1663.857177734375,14,302.3370361328125,R_A2,0.46363669633865356,22,0,STANDARD,302.3370361328125,0.0
15,2018-01-01,30,1665.8641357421875,15,302.4716491699219,R_A2,0.8932470083236694,22,0,STANDARD,302.4716491699219,0.0
16,2018-01-01,30,1667.87109375,16,302.6062927246094,R_A2,0.9010153412818909,22,0,STANDARD,302.6062927246094,0.0
17,2018-01-01,30,1669.878173828125,17,302.7409362792969,R_A2,0.8601604104042053,22,0,STANDARD,302.7409362792969,0.0
17,2018-01-01,29,1675.394287109375,18,303.11102294921875,R_A2,0.9419350028038025,22,0,STANDARD,303.11102294921875,0.0
18,2018-01-01,29,1677.2093505859375,19,303.2327880859375,R_A2,0.9811685681343079,22,0,STANDARD,303.2327880859375,0.0
25,2018-01-01,29,1678.83251953125,20,303.3417053222656,R_A2,0.8623998761177063,22,0,STANDARD,303.3417053222656,0.0
26,2018-01-01,29,1680.540771484375,21,303.4563293457031,R_A2,1.0,22,0,STANDARD,303.4563293457031,0.0
27,2018-01-01,29,1682.2491455078125,22,303.8866882324219,R_A2,1.0,22,0,STANDARD,303.8866882324219,0.0
28,2018-01-01,29,1683.95751953125,23,304.048583984375,R_A2,1.0,22,0,STANDARD,304.048583984375,0.0
29,2018-01-01,29,1685.6658935546875,24,303.9046630859375,R_A2,1.0,22,0,STANDARD,303.9046630859375,0.0
1,2018-01-01,41,1610.3203125,1,298.74737548828125,R_A3,0.24722768366336823,28,0,STANDARD,298.74737548828125,0.0
2,2018-01-01,41,1612.344970703125,2,298.8830871582031,R_A3,0.11823459714651108,28,0,STANDARD,298.8830871582031,0.0
3,2018-01-01,41,1614.3697509765625,3,299.0187683105469,R_A3,0.08956053107976913,28,0,STANDARD,299.0187683105469,0.0
3,2018-01-01,41,1602.910400390625,4,298.25079345703125,R_A3,0.14079247415065765,29,0,STANDARD,298.25079345703125,0.0
4,2018-01-01,41,1605.0224609375,5,298.392333984375,R_A3,0.13318295776844025,29,0,STANDARD,298.392333984375,0.0
5,2018-01-01,41,1607.1346435546875,6,298.53387451171875,R_A3,0.6481541991233826,29,0,STANDARD,298.53387451171875,0.0
6,2018-01-01,41,1609.246826171875,7,298.6754455566406,R_A3,0.6481541991233826,29,0,STANDARD,298.6754455566406,0.0
7,2018-01-01,41,1611.3590087890625,8,298.8169860839844,R_A3,0.1950683295726776,29,0,STANDARD,298.8169860839844,0.0
8,2018-01-01,41,1613.47119140625,9,298.95855712890625,R_A3,0.19629746675491333,29,0,STANDARD,298.95855712890625,0.0
9,2018-01-01,41,1615.5833740234375,10,299.1001281738281,R_A3,0.7896903157234192,29,0,STANDARD,299.1001281738281,0.0
10,2018-01-01,41,1617.695556640625,11,299.24169921875,R_A3,0.7988086938858032,29,0,STANDARD,299.24169921875,0.0
11,2018-01-01,41,1619.896484375,12,299.38922119140625,R_A3,0.04835829138755798,29,0,STANDARD,299.38922119140625,0.0
12,2018-01-01,41,1622.186279296875,13,299.542724609375,R_A3,0.0517541728913784,29,0,STANDARD,299.542724609375,0.0
13,2018-01-01,41,1624.4761962890625,14,299.69622802734375,R_A3,0.3629251718521118,29,0,STANDARD,299.69622802734375,0.0
15,2018-01-01,41,1629.055908203125,15,300.00323486328125,R_A3,0.48508912324905396,29,0,STANDARD,300.00323486328125,0.0
16,2018-01-01,41,1631.0350341796875,16,300.13592529296875,R_A3,0.7992286682128906,29,0,STANDARD,300.13592529296875,0.0
25,2018-01-01,41,1633.8466796875,17,300.3244323730469,R_A3,0.6481541991233826,29,0,STANDARD,300.3244323730469,0.0
26,2018-01-01,41,1637.5140380859375,18,300.5703125,R_A3,0.04160313308238983,29,0,STANDARD,300.5703125,0.0
27,2018-01-01,41,1641.181396484375,19,300.81622314453125,R_A3,0.04976098984479904,29,0,STANDARD,300.81622314453125,0.0
28,2018-01-01,41,1644.8487548828125,20,301.0621337890625,R_A3,0.6481541991233826,29,0,STANDARD,301.0621337890625,0.0
29,2018-01-01,41,1648.5159912109375,21,301.3080749511719,R_A3,0.0597073920071125,29,0,STANDARD,301.3080749511719,0.0
1,2018-01-01,52,1631.90185546875,1,300.19403076171875,R_A4,0.0487588532269001,30,0,STANDARD,300.19403076171875,0.0
1,2018-01-01,52,1627.1734619140625,2,299.8770446777344,R_A4,0.04919419810175896,31,0,STANDARD,299.8770446777344,0.0
2,2018-01-01,52,1629.2088623046875,3,300.01348876953125,R_A4,0.04985242709517479,31,0,STANDARD,300.01348876953125,0.0
3,2018-01-01,52,1631.244140625,4,300.1499328613281,R_A4,0.050118058919906616,31,0,STANDARD,300.1499328613281,0.0
4,2018-01-01,52,1633.2794189453125,5,300.2864074707031,R_A4,0.05340443179011345,31,0,STANDARD,300.2864074707031,0.0
4,2018-01-01,52,1631.35009765625,6,300.15704345703125,R_A4,0.05109323561191559,32,0,STANDARD,300.15704345703125,0.0
5,2018-01-01,52,1633.241943359375,7,300.28387451171875,R_A4,0.05396656692028046,32,0,STANDARD,300.28387451171875,0.0
5,2018-01-01,51,1635.7353515625,8,300.4510498046875,R_A4,0.05572827160358429,32,0,STANDARD,300.4510498046875,0.0
5,2018-01-01,51,1636.02880859375,9,300.4707336425781,R_A4,0.056141603738069534,33,0,STANDARD,300.4707336425781,0.0
5,2018-01-01,50,1641.5054931640625,10,300.83795166015625,R_A4,0.22568467259407043,33,0,STANDARD,300.83795166015625,0.0
5,2018-01-01,50,1641.2828369140625,11,300.8230285644531,R_A4,0.05956314131617546,34,0,STANDARD,300.8230285644531,0.0
4,2018-01-01,50,1639.4267578125,12,300.6985778808594,R_A4,0.06098749488592148,34,0,STANDARD,300.6985778808594,0.0
4,2018-01-01,50,1641.628662109375,13,300.8462219238281,R_A4,0.06001591682434082,35,0,STANDARD,300.8462219238281,0.0
3,2018-01-01,50,1639.806640625,14,300.72406005859375,R_A4,0.1955164670944214,35,0,STANDARD,300.72406005859375,0.0
3,2018-01-01,49,1643.7423095703125,15,300.9879455566406,R_A4,0.23266427218914032,35,0,STANDARD,300.9879455566406,0.0
2,2018-01-01,49,1641.9334716796875,16,300.8666687011719,R_A4,0.23100729286670685,35,0,STANDARD,300.8666687011719,0.0
