WELLMODEL,CONJPOS,PRESSURE,SWAT,WELL,CONIDX,CONKPOS,DATE,CONBPRES,DEPTH,DRAWDOWN,CONIPOS,SGAS
STANDARD,30,300.65087890625,0.05384844169020653,R_A2,1,1,2018-01-01,300.65087890625,1639.593505859375,0,22,0.0
STANDARD,30,300.7756652832031,0.05564119666814804,R_A2,2,2,2018-01-01,300.7756652832031,1641.454345703125,0,22,0.0
STANDARD,30,300.9004211425781,0.059039585292339325,R_A2,3,3,2018-01-01,300.9004211425781,1643.3153076171875,0,22,0.0
STANDARD,30,301.0252380371094,0.06333813071250916,R_A2,4,4,2018-01-01,301.0252380371094,1645.17626953125,0,22,0.0
STANDARD,30,301.1500244140625,0.0653456449508667,R_A2,5,5,2018-01-01,301.1500244140625,1647.0372314453125,0,22,0.0
STANDARD,30,301.2748107910156,0.1624956578016281,R_A2,6,6,2018-01-01,301.2748107910156,1648.898193359375,0,22,0.0
STANDARD,30,301.3996276855469,0.6495833992958069,R_A2,7,7,2018-01-01,301.3996276855469,1650.759033203125,0,22,0.0
STANDARD,30,301.5244140625,0.8495962619781494,R_A2,8,8,2018-01-01,301.5244140625,1652.6199951171875,0,22,0.0
STANDARD,30,301.64923095703125,0.878788948059082,R_A2,9,9,2018-01-01,301.64923095703125,1654.48095703125,0,22,0.0
STANDARD,30,301.7740478515625,0.6481541991233826,R_A2,10,10,2018-01-01,301.7740478515625,1656.3419189453125,0,22,0.0
STANDARD,30,301.907470703125,0.07036535441875458,R_A2,11,11,2018-01-01,301.907470703125,1658.331298828125,0,22,0.0
STANDARD,30,302.0495300292969,0.06855282932519913,R_A2,12,12,2018-01-01,302.0495300292969,1660.44921875,0,22,0.0
STANDARD,30,302.19158935546875,0.43331336975097656,R_A2,13,13,2018-01-01,302.19158935546875,1662.567138671875,0,22,0.0
STANDARD,30,302.3336486816406,0.4808475077152252,R_A2,14,14,2018-01-01,302.3336486816406,1664.68505859375,0,22,0.0
STANDARD,30,302.4757385253906,0.6583181023597717,R_A2,15,15,2018-01-01,302.4757385253906,1666.802978515625,0,22,0.0
