SGAS,SWAT,CONJPOS,DEPTH,CONBPRES,CONIPOS,DRAWDOWN,PRESSURE,CONIDX,CONKPOS,DATE,WELLMODEL,WELL
0.0,0.052088961005210876,30,1639.90478515625,300.70849609375,22,0,300.70849609375,1,1,2018-01-01,STANDARD,R_A2
0.0,0.05474734678864479,30,1641.68603515625,300.82794189453125,22,0,300.82794189453125,2,2,2018-01-01,STANDARD,R_A2
0.0,0.057430069893598557,30,1643.46728515625,300.9473876953125,22,0,300.9473876953125,3,3,2018-01-01,STANDARD,R_A2
0.0,0.08383606374263763,30,1645.2486572265625,301.06683349609375,22,0,301.06683349609375,4,4,2018-01-01,STANDARD,R_A2
0.0,0.08675451576709747,30,1647.0299072265625,301.1863098144531,22,0,301.1863098144531,5,5,2018-01-01,STANDARD,R_A2
0.0,0.29984191060066223,30,1648.811279296875,301.3057556152344,22,0,301.3057556152344,6,6,2018-01-01,STANDARD,R_A2
0.0,0.8693599104881287,30,1650.592529296875,301.42523193359375,22,0,301.42523193359375,7,7,2018-01-01,STANDARD,R_A2
0.0,0.8663525581359863,30,1652.3739013671875,301.544677734375,22,0,301.544677734375,8,8,2018-01-01,STANDARD,R_A2
0.0,0.8919946551322937,30,1654.1551513671875,301.6641540527344,22,0,301.6641540527344,9,9,2018-01-01,STANDARD,R_A2
0.0,0.8879120945930481,30,1655.9364013671875,301.78363037109375,22,0,301.78363037109375,10,10,2018-01-01,STANDARD,R_A2
0.0,0.06770478934049606,30,1657.834716796875,301.91094970703125,22,0,301.91094970703125,11,11,2018-01-01,STANDARD,R_A2
0.0,0.12584564089775085,30,1659.85009765625,302.0461120605469,22,0,302.0461120605469,12,12,2018-01-01,STANDARD,R_A2
0.0,0.4199806749820709,30,1661.8653564453125,302.1813049316406,22,0,302.1813049316406,13,13,2018-01-01,STANDARD,R_A2
0.0,0.45977532863616943,30,1663.8807373046875,302.3164978027344,22,0,302.3164978027344,14,14,2018-01-01,STANDARD,R_A2
0.0,0.9003137350082397,30,1665.89599609375,302.4516906738281,22,0,302.4516906738281,15,15,2018-01-01,STANDARD,R_A2
0.0,0.9080414175987244,30,1667.911376953125,302.5868835449219,22,0,302.5868835449219,16,16,2018-01-01,STANDARD,R_A2
0.0,0.8635978102684021,30,1669.9266357421875,302.7220764160156,22,0,302.7220764160156,17,17,2018-01-01,STANDARD,R_A2
0.0,0.92209792137146,29,1672.4818115234375,302.89349365234375,22,0,302.89349365234375,18,17,2018-01-01,STANDARD,R_A2
0.0,0.9646506905555725,29,1674.3243408203125,303.01708984375,22,0,303.01708984375,19,18,2018-01-01,STANDARD,R_A2
0.0,0.7632344365119934,29,1675.9716796875,303.12762451171875,22,0,303.12762451171875,20,26,2018-01-01,STANDARD,R_A2
0.0,1.0,29,1677.740234375,303.24627685546875,22,0,303.24627685546875,21,27,2018-01-01,STANDARD,R_A2
0.0,1.0,29,1679.5089111328125,303.3649597167969,22,0,303.3649597167969,22,28,2018-01-01,STANDARD,R_A2
0.0,1.0,29,1681.277587890625,303.79461669921875,22,0,303.79461669921875,23,29,2018-01-01,STANDARD,R_A2
0.0,1.0,29,1683.046142578125,303.96221923828125,22,0,303.96221923828125,24,30,2018-01-01,STANDARD,R_A2
0.0,0.6481541991233826,41,1598.44140625,297.9292297363281,29,0,297.9292297363281,1,1,2018-01-01,STANDARD,R_A3
0.0,0.18698063492774963,41,1600.7095947265625,298.0812072753906,29,0,298.0812072753906,2,2,2018-01-01,STANDARD,R_A3
0.0,0.16611391305923462,41,1602.9779052734375,298.23321533203125,29,0,298.23321533203125,3,3,2018-01-01,STANDARD,R_A3
0.0,0.15108753740787506,41,1605.24609375,298.3852233886719,29,0,298.3852233886719,4,4,2018-01-01,STANDARD,R_A3
0.0,0.2638992965221405,41,1607.514404296875,298.5372314453125,29,0,298.5372314453125,5,5,2018-01-01,STANDARD,R_A3
0.0,0.6481541991233826,41,1609.78271484375,298.6892395019531,29,0,298.6892395019531,6,6,2018-01-01,STANDARD,R_A3
0.0,0.1924585998058319,41,1612.051025390625,298.8412780761719,29,0,298.8412780761719,7,7,2018-01-01,STANDARD,R_A3
0.0,0.19645869731903076,41,1614.3192138671875,298.9932861328125,29,0,298.9932861328125,8,8,2018-01-01,STANDARD,R_A3
0.0,0.793810248374939,41,1616.5875244140625,299.14532470703125,29,0,299.14532470703125,9,9,2018-01-01,STANDARD,R_A3
0.0,0.8022372126579285,41,1618.855712890625,299.29736328125,29,0,299.29736328125,10,10,2018-01-01,STANDARD,R_A3
0.0,0.04850465804338455,41,1621.1148681640625,299.44879150390625,29,0,299.44879150390625,11,11,2018-01-01,STANDARD,R_A3
0.0,0.05289919674396515,41,1623.3648681640625,299.599609375,29,0,299.599609375,12,12,2018-01-01,STANDARD,R_A3
0.0,0.37021806836128235,41,1625.6148681640625,299.7504577636719,29,0,299.7504577636719,13,13,2018-01-01,STANDARD,R_A3
0.0,0.5017286539077759,41,1630.114990234375,300.0521240234375,29,0,300.0521240234375,14,15,2018-01-01,STANDARD,R_A3
0.0,0.8052404522895813,41,1632.138427734375,300.18780517578125,29,0,300.18780517578125,15,16,2018-01-01,STANDARD,R_A3
0.0,0.37647202610969543,41,1635.0062255859375,300.38006591796875,29,0,300.38006591796875,16,26,2018-01-01,STANDARD,R_A3
0.0,0.043760303407907486,41,1638.5938720703125,300.62060546875,29,0,300.62060546875,17,27,2018-01-01,STANDARD,R_A3
0.0,0.049657199531793594,41,1642.1815185546875,300.8611755371094,29,0,300.8611755371094,18,28,2018-01-01,STANDARD,R_A3
0.0,0.8017147779464722,41,1645.7691650390625,301.10174560546875,29,0,301.10174560546875,19,29,2018-01-01,STANDARD,R_A3
0.0,0.10087656229734421,41,1649.3568115234375,301.34234619140625,29,0,301.34234619140625,20,30,2018-01-01,STANDARD,R_A3
0.0,0.050262100994586945,52,1632.22607421875,300.19366455078125,30,0,300.19366455078125,1,1,2018-01-01,STANDARD,R_A4
0.0,0.04973427951335907,52,1627.484130859375,299.8757629394531,31,0,299.8757629394531,2,1,2018-01-01,STANDARD,R_A4
0.0,0.04955856129527092,52,1629.5050048828125,300.01123046875,31,0,300.01123046875,3,2,2018-01-01,STANDARD,R_A4
0.0,0.051346555352211,52,1631.52587890625,300.146728515625,31,0,300.146728515625,4,3,2018-01-01,STANDARD,R_A4
0.0,0.05209706351161003,52,1633.546875,300.2822265625,31,0,300.2822265625,5,4,2018-01-01,STANDARD,R_A4
0.0,0.053100284188985825,52,1631.7088623046875,300.15899658203125,32,0,300.15899658203125,6,4,2018-01-01,STANDARD,R_A4
0.0,0.054521504789590836,52,1633.5689697265625,300.28369140625,32,0,300.28369140625,7,5,2018-01-01,STANDARD,R_A4
0.0,0.05694691836833954,51,1636.9901123046875,300.5130920410156,32,0,300.5130920410156,8,5,2018-01-01,STANDARD,R_A4
0.0,0.05603967607021332,51,1635.160400390625,300.390380859375,32,0,300.390380859375,9,4,2018-01-01,STANDARD,R_A4
0.0,0.057440027594566345,51,1636.81396484375,300.50128173828125,33,0,300.50128173828125,10,5,2018-01-01,STANDARD,R_A4
0.0,0.055816758424043655,51,1634.951171875,300.3763732910156,33,0,300.3763732910156,11,4,2018-01-01,STANDARD,R_A4
0.0,0.06285560876131058,50,1643.5966796875,300.9560852050781,33,0,300.9560852050781,12,5,2018-01-01,STANDARD,R_A4
0.0,0.06053324043750763,50,1641.2705078125,300.8000793457031,34,0,300.8000793457031,13,5,2018-01-01,STANDARD,R_A4
0.0,0.07733724266290665,50,1639.4150390625,300.6756591796875,34,0,300.6756591796875,14,4,2018-01-01,STANDARD,R_A4
