DRAWDOWN,PRESSURE,SWAT,CONIDX,CONBPRES,SGAS,DATE,DEPTH,CONIPOS,WELL,WELLMODEL,CONJPOS,CONKPOS
0,300.7643127441406,0.05205262079834938,1,300.7643127441406,0.0,2018-01-01,1640.4937744140625,22,R_A2,STANDARD,30,1
0,300.8818054199219,0.0546882338821888,2,300.8818054199219,0.0,2018-01-01,1642.245849609375,22,R_A2,STANDARD,30,2
0,300.9992980957031,0.057335224002599716,3,300.9992980957031,0.0,2018-01-01,1643.9979248046875,22,R_A2,STANDARD,30,3
0,301.1167907714844,0.06304609775543213,4,301.1167907714844,0.0,2018-01-01,1645.7501220703125,22,R_A2,STANDARD,30,4
0,301.2342834472656,0.06550122797489166,5,301.2342834472656,0.0,2018-01-01,1647.502197265625,22,R_A2,STANDARD,30,5
0,301.3517761230469,0.30290886759757996,6,301.3517761230469,0.0,2018-01-01,1649.2542724609375,22,R_A2,STANDARD,30,6
0,301.46929931640625,0.8680554032325745,7,301.46929931640625,0.0,2018-01-01,1651.00634765625,22,R_A2,STANDARD,30,7
0,301.5867919921875,0.6481541991233826,8,301.5867919921875,0.0,2018-01-01,1652.7584228515625,22,R_A2,STANDARD,30,8
0,301.7043151855469,0.873555600643158,9,301.7043151855469,0.0,2018-01-01,1654.5106201171875,22,R_A2,STANDARD,30,9
0,301.8218078613281,0.8823761343955994,10,301.8218078613281,0.0,2018-01-01,1656.2626953125,22,R_A2,STANDARD,30,10
0,301.9488830566406,0.06715536117553711,11,301.9488830566406,0.0,2018-01-01,1658.156982421875,22,R_A2,STANDARD,30,11
0,302.08544921875,0.13414227962493896,12,302.08544921875,0.0,2018-01-01,1660.193359375,22,R_A2,STANDARD,30,12
0,302.2220458984375,0.4218439757823944,13,302.2220458984375,0.0,2018-01-01,1662.229736328125,22,R_A2,STANDARD,30,13
0,302.358642578125,0.4736661911010742,14,302.358642578125,0.0,2018-01-01,1664.26611328125,22,R_A2,STANDARD,30,14
0,302.4952697753906,0.9033659100532532,15,302.4952697753906,0.0,2018-01-01,1666.302490234375,22,R_A2,STANDARD,30,15
0,302.6318664550781,0.9267324209213257,16,302.6318664550781,0.0,2018-01-01,1668.3387451171875,22,R_A2,STANDARD,30,16
0,302.7978210449219,0.9331483840942383,17,302.7978210449219,0.0,2018-01-01,1670.8125,22,R_A2,STANDARD,29,16
0,302.9376525878906,0.8832077980041504,18,302.9376525878906,0.0,2018-01-01,1672.89697265625,22,R_A2,STANDARD,29,17
0,303.0656433105469,0.9567715525627136,19,303.0656433105469,0.0,2018-01-01,1674.8046875,22,R_A2,STANDARD,29,18
0,303.189697265625,0.7722935676574707,20,303.189697265625,0.0,2018-01-01,1676.6533203125,22,R_A2,STANDARD,29,26
0,303.3092956542969,1.0,21,303.3092956542969,0.0,2018-01-01,1678.43603515625,22,R_A2,STANDARD,29,27
0,303.42889404296875,1.0,22,303.42889404296875,0.0,2018-01-01,1680.2186279296875,22,R_A2,STANDARD,29,28
0,303.8631896972656,1.0,23,303.8631896972656,0.0,2018-01-01,1682.001220703125,22,R_A2,STANDARD,29,29
0,304.0321044921875,1.0,24,304.0321044921875,0.0,2018-01-01,1683.783935546875,22,R_A2,STANDARD,29,30
0,298.63494873046875,0.33236604928970337,1,298.63494873046875,0.0,2018-01-01,1608.7294921875,28,R_A3,STANDARD,41,1
0,298.77142333984375,0.19261471927165985,2,298.77142333984375,0.0,2018-01-01,1610.7657470703125,28,R_A3,STANDARD,41,2
0,298.90789794921875,0.15336573123931885,3,298.90789794921875,0.0,2018-01-01,1612.8021240234375,28,R_A3,STANDARD,41,3
0,298.3464050292969,0.1455344259738922,4,298.3464050292969,0.0,2018-01-01,1604.4239501953125,29,R_A3,STANDARD,41,3
0,298.48468017578125,0.13865187764167786,5,298.48468017578125,0.0,2018-01-01,1606.4871826171875,29,R_A3,STANDARD,41,4
0,298.6229553222656,0.8070533275604248,6,298.6229553222656,0.0,2018-01-01,1608.550537109375,29,R_A3,STANDARD,41,5
0,298.7612609863281,0.28681403398513794,7,298.7612609863281,0.0,2018-01-01,1610.6138916015625,29,R_A3,STANDARD,41,6
0,298.8995361328125,0.19288793206214905,8,298.8995361328125,0.0,2018-01-01,1612.67724609375,29,R_A3,STANDARD,41,7
0,299.037841796875,0.19603808224201202,9,299.037841796875,0.0,2018-01-01,1614.740478515625,29,R_A3,STANDARD,41,8
0,299.1761169433594,0.7935147285461426,10,299.1761169433594,0.0,2018-01-01,1616.8038330078125,29,R_A3,STANDARD,41,9
0,299.3144226074219,0.7999594211578369,11,299.3144226074219,0.0,2018-01-01,1618.8671875,29,R_A3,STANDARD,41,10
0,299.4601135253906,0.04700309410691261,12,299.4601135253906,0.0,2018-01-01,1621.040771484375,29,R_A3,STANDARD,41,11
0,299.61322021484375,0.052993014454841614,13,299.61322021484375,0.0,2018-01-01,1623.3245849609375,29,R_A3,STANDARD,41,12
0,299.7663269042969,0.36362186074256897,14,299.7663269042969,0.0,2018-01-01,1625.6083984375,29,R_A3,STANDARD,41,13
0,300.0725402832031,0.601466715335846,15,300.0725402832031,0.0,2018-01-01,1630.176025390625,29,R_A3,STANDARD,41,15
0,300.200439453125,0.7985430955886841,16,300.200439453125,0.0,2018-01-01,1632.083740234375,29,R_A3,STANDARD,41,16
0,300.3700256347656,0.3212842345237732,17,300.3700256347656,0.0,2018-01-01,1634.61328125,29,R_A3,STANDARD,41,26
0,300.6065368652344,0.04330120235681534,18,300.6065368652344,0.0,2018-01-01,1638.140869140625,29,R_A3,STANDARD,41,27
0,300.84307861328125,0.04890405014157295,19,300.84307861328125,0.0,2018-01-01,1641.66845703125,29,R_A3,STANDARD,41,28
0,301.0796203613281,0.7926977872848511,20,301.0796203613281,0.0,2018-01-01,1645.196044921875,29,R_A3,STANDARD,41,29
0,301.3161926269531,0.13886737823486328,21,301.3161926269531,0.0,2018-01-01,1648.7236328125,29,R_A3,STANDARD,41,30
0,300.2604675292969,0.05028380826115608,1,300.2604675292969,0.0,2018-01-01,1632.9793701171875,30,R_A4,STANDARD,52,1
0,299.8909606933594,0.04935019463300705,2,299.8909606933594,0.0,2018-01-01,1627.467529296875,31,R_A4,STANDARD,52,1
0,300.0289306640625,0.049311988055706024,3,300.0289306640625,0.0,2018-01-01,1629.5257568359375,31,R_A4,STANDARD,52,2
0,300.1669006347656,0.051163237541913986,4,300.1669006347656,0.0,2018-01-01,1631.5838623046875,31,R_A4,STANDARD,52,3
0,300.3049011230469,0.05195134878158569,5,300.3049011230469,0.0,2018-01-01,1633.64208984375,31,R_A4,STANDARD,52,4
0,300.2032470703125,0.05344969779253006,6,300.2032470703125,0.0,2018-01-01,1632.1258544921875,32,R_A4,STANDARD,52,4
0,300.4554138183594,0.056806132197380066,7,300.4554138183594,0.0,2018-01-01,1635.886962890625,32,R_A4,STANDARD,51,4
0,300.51318359375,0.05662456154823303,8,300.51318359375,0.0,2018-01-01,1636.74853515625,33,R_A4,STANDARD,51,4
0,300.84295654296875,0.06020598113536835,9,300.84295654296875,0.0,2018-01-01,1641.666748046875,33,R_A4,STANDARD,50,4
0,300.7415466308594,0.060055553913116455,10,300.7415466308594,0.0,2018-01-01,1640.154052734375,34,R_A4,STANDARD,50,4
0,300.7789611816406,0.06112420931458473,11,300.7789611816406,0.0,2018-01-01,1640.7122802734375,35,R_A4,STANDARD,50,4
0,300.6595153808594,0.22302985191345215,12,300.6595153808594,0.0,2018-01-01,1638.9306640625,35,R_A4,STANDARD,50,3
0,301.01995849609375,0.24448570609092712,13,301.01995849609375,0.0,2018-01-01,1644.30615234375,35,R_A4,STANDARD,49,3
0,300.90081787109375,0.2290903925895691,14,300.90081787109375,0.0,2018-01-01,1642.529541015625,35,R_A4,STANDARD,49,2
0,300.9333190917969,0.0539034940302372,15,300.9333190917969,0.0,2018-01-01,1643.0142822265625,36,R_A4,STANDARD,49,29
0,300.9621887207031,0.05453096330165863,16,300.9621887207031,0.0,2018-01-01,1643.44482421875,36,R_A4,STANDARD,48,29
0,301.292236328125,0.055238522589206696,17,301.292236328125,0.0,2018-01-01,1648.3663330078125,37,R_A4,STANDARD,48,29
0,301.5610656738281,0.05503712221980095,18,301.5610656738281,0.0,2018-01-01,1652.375,38,R_A4,STANDARD,48,29
0,302.1031494140625,0.19133122265338898,19,302.1031494140625,0.0,2018-01-01,1660.457275390625,38,R_A4,STANDARD,47,29
0,303.9447937011719,1.0,1,303.9447937011719,0.0,2018-01-01,1686.08935546875,31,R_A5,STANDARD,20,1
0,304.1514587402344,1.0,2,304.1514587402344,0.0,2018-01-01,1688.270263671875,31,R_A5,STANDARD,20,2
0,304.358154296875,1.0,3,304.358154296875,0.0,2018-01-01,1690.451171875,31,R_A5,STANDARD,20,3
0,304.5648193359375,1.0,4,304.5648193359375,0.0,2018-01-01,1692.632080078125,31,R_A5,STANDARD,20,4
0,304.771484375,1.0,5,304.771484375,0.0,2018-01-01,1694.81298828125,31,R_A5,STANDARD,20,5
0,304.9781799316406,1.0,6,304.9781799316406,0.0,2018-01-01,1696.993896484375,31,R_A5,STANDARD,20,6
0,305.4906311035156,1.0,7,305.4906311035156,0.0,2018-01-01,1699.1748046875,31,R_A5,STANDARD,20,7
0,305.2475280761719,1.0,8,305.2475280761719,0.0,2018-01-01,1699.834716796875,31,R_A5,STANDARD,21,11
0,305.4364318847656,1.0,9,305.4364318847656,0.0,2018-01-01,1701.828369140625,31,R_A5,STANDARD,21,12
0,305.6373291015625,1.0,10,305.6373291015625,0.0,2018-01-01,1703.8218994140625,31,R_A5,STANDARD,21,13
0,305.8262634277344,1.0,11,305.8262634277344,0.0,2018-01-01,1705.8155517578125,31,R_A5,STANDARD,21,14
0,306.01519775390625,1.0,12,306.01519775390625,0.0,2018-01-01,1707.8092041015625,31,R_A5,STANDARD,21,15
0,306.3491516113281,1.0,13,306.3491516113281,0.0,2018-01-01,1709.802734375,31,R_A5,STANDARD,21,16
0,306.5380859375,1.0,14,306.5380859375,0.0,2018-01-01,1711.7962646484375,31,R_A5,STANDARD,21,17
0,306.6843566894531,1.0,15,306.6843566894531,0.0,2018-01-01,1713.3394775390625,31,R_A5,STANDARD,21,18
0,306.75067138671875,1.0,16,306.75067138671875,0.0,2018-01-01,1714.0391845703125,31,R_A5,STANDARD,21,19
0,306.7173156738281,1.0,17,306.7173156738281,0.0,2018-01-01,1715.3450927734375,31,R_A5,STANDARD,21,26
0,306.935791015625,1.0,18,306.935791015625,0.0,2018-01-01,1717.650390625,31,R_A5,STANDARD,21,27
0,307.4600830078125,1.0,19,307.4600830078125,0.0,2018-01-01,1719.95556640625,31,R_A5,STANDARD,21,28
0,307.6785583496094,1.0,20,307.6785583496094,0.0,2018-01-01,1722.2607421875,31,R_A5,STANDARD,21,29
0,307.89703369140625,1.0,21,307.89703369140625,0.0,2018-01-01,1724.5660400390625,31,R_A5,STANDARD,21,30
0,304.97540283203125,1.0,1,304.97540283203125,0.0,2018-01-01,1693.7379150390625,17,R_A6,STANDARD,42,1
0,305.119873046875,1.0,2,305.119873046875,0.0,2018-01-01,1695.262451171875,17,R_A6,STANDARD,42,2
0,305.26434326171875,1.0,3,305.26434326171875,0.0,2018-01-01,1696.7869873046875,17,R_A6,STANDARD,42,3
0,305.4088134765625,1.0,4,305.4088134765625,0.0,2018-01-01,1698.3115234375,17,R_A6,STANDARD,42,4
0,305.55328369140625,1.0,5,305.55328369140625,0.0,2018-01-01,1699.8360595703125,17,R_A6,STANDARD,42,5
0,305.6977844238281,1.0,6,305.6977844238281,0.0,2018-01-01,1701.360595703125,17,R_A6,STANDARD,42,6
0,305.543212890625,1.0,7,305.543212890625,0.0,2018-01-01,1702.885009765625,17,R_A6,STANDARD,42,7
0,305.68768310546875,1.0,8,305.68768310546875,0.0,2018-01-01,1704.4095458984375,17,R_A6,STANDARD,42,8
0,306.1311950683594,1.0,9,306.1311950683594,0.0,2018-01-01,1705.93408203125,17,R_A6,STANDARD,42,9
0,305.96990966796875,1.0,10,305.96990966796875,0.0,2018-01-01,1707.45849609375,17,R_A6,STANDARD,42,10
0,306.1497497558594,1.0,11,306.1497497558594,0.0,2018-01-01,1709.3551025390625,17,R_A6,STANDARD,42,11
0,306.36474609375,1.0,12,306.36474609375,0.0,2018-01-01,1711.62353515625,17,R_A6,STANDARD,42,12
0,306.5917053222656,1.0,13,306.5917053222656,0.0,2018-01-01,1713.89208984375,17,R_A6,STANDARD,42,13
0,306.80670166015625,1.0,14,306.80670166015625,0.0,2018-01-01,1716.1605224609375,17,R_A6,STANDARD,42,14
