CONIPOS,WELL,DEPTH,CONIDX,CONKPOS,DRAWDOWN,CONBPRES,DATE,WELLMODEL,PRESSURE,CONJPOS,SGAS,SWAT
22,R_A2,1639.462158203125,1,1,0,300.52899169921875,2018-01-01,STANDARD,300.52899169921875,30,0.0,0.0724017471075058
22,R_A2,1641.3885498046875,2,2,0,300.65814208984375,2018-01-01,STANDARD,300.65814208984375,30,0.0,0.05773386359214783
22,R_A2,1643.31494140625,3,3,0,300.7873229980469,2018-01-01,STANDARD,300.7873229980469,30,0.0,0.059968043118715286
22,R_A2,1645.2413330078125,4,4,0,300.91650390625,2018-01-01,STANDARD,300.91650390625,30,0.0,0.066482312977314
22,R_A2,1647.1678466796875,5,5,0,301.0456848144531,2018-01-01,STANDARD,301.0456848144531,30,0.0,0.07044769823551178
22,R_A2,1649.09423828125,6,6,0,301.17486572265625,2018-01-01,STANDARD,301.17486572265625,30,0.0,0.6481541991233826
22,R_A2,1651.020751953125,7,7,0,301.3040466308594,2018-01-01,STANDARD,301.3040466308594,30,0.0,0.9060121178627014
22,R_A2,1652.9471435546875,8,8,0,301.4332580566406,2018-01-01,STANDARD,301.4332580566406,30,0.0,0.8823896050453186
22,R_A2,1654.87353515625,9,9,0,301.56243896484375,2018-01-01,STANDARD,301.56243896484375,30,0.0,0.9102041721343994
22,R_A2,1656.7999267578125,10,10,0,301.691650390625,2018-01-01,STANDARD,301.691650390625,30,0.0,0.9167238473892212
22,R_A2,1658.7890625,11,11,0,301.8250732421875,2018-01-01,STANDARD,301.8250732421875,30,0.0,0.07837401330471039
22,R_A2,1660.841064453125,12,12,0,301.96270751953125,2018-01-01,STANDARD,301.96270751953125,30,0.0,0.08977145701646805
22,R_A2,1662.89306640625,13,13,0,302.100341796875,2018-01-01,STANDARD,302.100341796875,30,0.0,0.46996989846229553
22,R_A2,1664.9449462890625,14,14,0,302.23797607421875,2018-01-01,STANDARD,302.23797607421875,30,0.0,0.5193470120429993
22,R_A2,1666.9969482421875,15,15,0,302.3756103515625,2018-01-01,STANDARD,302.3756103515625,30,0.0,0.7210725545883179
22,R_A2,1669.0489501953125,16,16,0,302.5132751464844,2018-01-01,STANDARD,302.5132751464844,30,0.0,0.9708531498908997
22,R_A2,1671.100830078125,17,17,0,302.6509094238281,2018-01-01,STANDARD,302.6509094238281,30,0.0,0.9632856249809265
22,R_A2,1673.147705078125,18,18,0,302.7882385253906,2018-01-01,STANDARD,302.7882385253906,30,0.0,0.9774920344352722
22,R_A2,1674.814208984375,19,19,0,302.9000244140625,2018-01-01,STANDARD,302.9000244140625,30,0.0,1.0
22,R_A2,1676.3868408203125,20,24,0,303.025390625,2018-01-01,STANDARD,303.025390625,30,0.0,1.0
22,R_A2,1674.0692138671875,21,24,0,302.8500671386719,2018-01-01,STANDARD,302.8500671386719,29,0.0,0.47684887051582336
22,R_A2,1675.9542236328125,22,25,0,303.2901611328125,2018-01-01,STANDARD,303.2901611328125,29,0.0,1.0
22,R_A2,1677.839111328125,23,26,0,303.4687805175781,2018-01-01,STANDARD,303.4687805175781,29,0.0,1.0
