SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
0.0205601,0.0,1.0,9.95715,1,SWOF,,,,
0.0305601,0.0,0.9633194,4.1634181,1,SWOF,,,,
0.0405601,9.4e-05,0.9255313,2.2334317,1,SWOF,,,,
0.0605601,0.0007102,0.8495971,0.9246556,1,SWOF,,,,
0.0805601,0.0018772,0.7749472,0.4935447,1,SWOF,,,,
0.1005601,0.0036199,0.7025363,0.3030079,1,SWOF,,,,
0.1205601,0.0059782,0.6330005,0.2033024,1,SWOF,,,,
0.1405601,0.0089993,0.5667983,0.1450421,1,SWOF,,,,
0.1605601,0.0127363,0.5042852,0.10824,1,SWOF,,,,
0.1805601,0.017247,0.4457423,0.0836031,1,SWOF,,,,
0.2005601,0.0225932,0.3913838,0.0663518,1,SWOF,,,,
0.2205601,0.0288408,0.3413533,0.0538308,1,SWOF,,,,
0.2405601,0.0360593,0.2957186,0.0444732,1,SWOF,,,,
0.2605601,0.0443213,0.2544677,0.0373072,1,SWOF,,,,
0.2805601,0.0537025,0.2175117,0.0317054,1,SWOF,,,,
0.3005601,0.0642809,0.1846912,0.0272484,1,SWOF,,,,
0.3205601,0.0761364,0.1557887,0.0236477,1,SWOF,,,,
0.3405601,0.0893495,0.1305419,0.0206997,1,SWOF,,,,
0.3605601,0.1040013,0.108659,0.0182574,1,SWOF,,,,
0.3805601,0.1201714,0.0898325,0.0162129,1,SWOF,,,,
0.4005601,0.1379373,0.0737517,0.0144851,1,SWOF,,,,
0.4205601,0.1573725,0.0601117,0.0130127,1,SWOF,,,,
0.4405601,0.1785446,0.0486219,0.0117484,1,SWOF,,,,
0.4605601,0.2015139,0.0390099,0.0106552,1,SWOF,,,,
0.4805601,0.2263304,0.0310255,0.0097039,1,SWOF,,,,
0.5005601,0.253032,0.0244414,0.0088713,1,SWOF,,,,
0.5205601,0.2816412,0.0190539,0.0081387,1,SWOF,,,,
0.5405601,0.3121625,0.0146821,0.0074909,1,SWOF,,,,
0.5605601,0.3445792,0.0111666,0.0069155,1,SWOF,,,,
0.5805601,0.3788496,0.0083683,0.0064022,1,SWOF,,,,
0.6005601,0.4149039,0.0061661,0.0059425,1,SWOF,,,,
0.6205601,0.4526395,0.0044554,0.0055293,1,SWOF,,,,
0.6405601,0.4919174,0.0031465,0.0051565,1,SWOF,,,,
0.6605601,0.5325574,0.0021627,0.0048193,1,SWOF,,,,
0.6805601,0.5743326,0.0014389,0.0045132,1,SWOF,,,,
0.7005601,0.6169484,0.0009205,0.0042346,1,SWOF,,,,
