CONKPOS,DRAWDOWN,DEPTH,CONJPOS,PRESSURE,SWAT,CONBPRES,SGAS,WELL,WELLMODEL,CONIDX,DATE,CONIPOS
1,0,1638.281982421875,30,300.61297607421875,0.051237039268016815,300.61297607421875,0.0,R_A2,STANDARD,1,2018-01-01,22
2,0,1640.0224609375,30,300.72967529296875,0.05378090217709541,300.72967529296875,0.0,R_A2,STANDARD,2,2018-01-01,22
3,0,1641.762939453125,30,300.84637451171875,0.05573893338441849,300.84637451171875,0.0,R_A2,STANDARD,3,2018-01-01,22
4,0,1643.50341796875,30,300.96307373046875,0.060749366879463196,300.96307373046875,0.0,R_A2,STANDARD,4,2018-01-01,22
5,0,1645.243896484375,30,301.0798034667969,0.12412362545728683,301.0798034667969,0.0,R_A2,STANDARD,5,2018-01-01,22
6,0,1646.984375,30,301.196533203125,0.2927115857601166,301.196533203125,0.0,R_A2,STANDARD,6,2018-01-01,22
7,0,1648.7249755859375,30,301.313232421875,0.8646766543388367,301.313232421875,0.0,R_A2,STANDARD,7,2018-01-01,22
8,0,1650.4654541015625,30,301.4299621582031,0.6481541991233826,301.4299621582031,0.0,R_A2,STANDARD,8,2018-01-01,22
9,0,1652.2059326171875,30,301.54669189453125,0.1745007187128067,301.54669189453125,0.0,R_A2,STANDARD,9,2018-01-01,22
10,0,1653.9464111328125,30,301.6634216308594,0.8670079708099365,301.6634216308594,0.0,R_A2,STANDARD,10,2018-01-01,22
11,0,1655.8311767578125,30,301.7898254394531,0.06556335836648941,301.7898254394531,0.0,R_A2,STANDARD,11,2018-01-01,22
12,0,1657.8602294921875,30,301.9259338378906,0.06382366269826889,301.9259338378906,0.0,R_A2,STANDARD,12,2018-01-01,22
13,0,1659.88916015625,30,302.06201171875,0.4125857949256897,302.06201171875,0.0,R_A2,STANDARD,13,2018-01-01,22
14,0,1661.918212890625,30,302.1981201171875,0.4537945091724396,302.1981201171875,0.0,R_A2,STANDARD,14,2018-01-01,22
15,0,1663.947265625,30,302.334228515625,0.8825798034667969,302.334228515625,0.0,R_A2,STANDARD,15,2018-01-01,22
16,0,1665.976318359375,30,302.4703369140625,0.8999002575874329,302.4703369140625,0.0,R_A2,STANDARD,16,2018-01-01,22
17,0,1668.0052490234375,30,302.6064453125,0.8515927195549011,302.6064453125,0.0,R_A2,STANDARD,17,2018-01-01,22
18,0,1669.6453857421875,30,302.71649169921875,0.9011229872703552,302.71649169921875,0.0,R_A2,STANDARD,18,2018-01-01,22
29,0,1671.134521484375,30,302.8163757324219,1.0,302.8163757324219,0.0,R_A2,STANDARD,19,2018-01-01,22
29,0,1677.0386962890625,29,303.2124938964844,1.0,303.2124938964844,0.0,R_A2,STANDARD,20,2018-01-01,22
30,0,1678.7882080078125,29,303.32989501953125,1.0,303.32989501953125,0.0,R_A2,STANDARD,21,2018-01-01,22
31,0,1680.5377197265625,29,303.447265625,1.0,303.447265625,0.0,R_A2,STANDARD,22,2018-01-01,22
32,0,1682.287353515625,29,303.8902893066406,1.0,303.8902893066406,0.0,R_A2,STANDARD,23,2018-01-01,22
33,0,1684.036865234375,29,304.05609130859375,1.0,304.05609130859375,0.0,R_A2,STANDARD,24,2018-01-01,22
1,0,1609.2181396484375,41,298.6646728515625,0.6481541991233826,298.6646728515625,0.0,R_A3,STANDARD,1,2018-01-01,28
2,0,1611.3121337890625,41,298.8050231933594,0.19332222640514374,298.8050231933594,0.0,R_A3,STANDARD,2,2018-01-01,28
3,0,1613.40625,41,298.9453430175781,0.15383906662464142,298.9453430175781,0.0,R_A3,STANDARD,3,2018-01-01,28
4,0,1615.500244140625,41,299.0857238769531,0.16575711965560913,299.0857238769531,0.0,R_A3,STANDARD,4,2018-01-01,28
5,0,1617.5943603515625,41,299.22607421875,0.6481541991233826,299.22607421875,0.0,R_A3,STANDARD,5,2018-01-01,28
6,0,1619.6883544921875,41,299.3664245605469,0.3339468240737915,299.3664245605469,0.0,R_A3,STANDARD,6,2018-01-01,28
6,0,1609.8175048828125,41,298.704833984375,0.6481541991233826,298.704833984375,0.0,R_A3,STANDARD,7,2018-01-01,29
7,0,1611.880615234375,41,298.8431091308594,0.19290916621685028,298.8431091308594,0.0,R_A3,STANDARD,8,2018-01-01,29
8,0,1613.9437255859375,41,298.98138427734375,0.3023544251918793,298.98138427734375,0.0,R_A3,STANDARD,9,2018-01-01,29
9,0,1616.0069580078125,41,299.1196594238281,0.7961938977241516,299.1196594238281,0.0,R_A3,STANDARD,10,2018-01-01,29
10,0,1618.070068359375,41,299.2579650878906,0.7907573580741882,299.2579650878906,0.0,R_A3,STANDARD,11,2018-01-01,29
11,0,1620.24462890625,41,299.4037170410156,0.04756094887852669,299.4037170410156,0.0,R_A3,STANDARD,12,2018-01-01,29
12,0,1622.53076171875,41,299.5569763183594,0.05196889489889145,299.5569763183594,0.0,R_A3,STANDARD,13,2018-01-01,29
