CONJPOS,PRESSURE,SWAT,WELLMODEL,CONIPOS,CONBPRES,DEPTH,SGAS,WELL,DATE,CONKPOS,DRAWDOWN,CONIDX
30,300.5078125,0.05198877304792404,STANDARD,22,300.5078125,1637.022705078125,0.0,R_A2,2018-01-01,1,0,1
30,300.6177673339844,0.05324160307645798,STANDARD,22,300.6177673339844,1638.66259765625,0.0,R_A2,2018-01-01,2,0,2
30,300.7276916503906,0.056645698845386505,STANDARD,22,300.7276916503906,1640.3023681640625,0.0,R_A2,2018-01-01,3,0,3
30,300.8376770019531,0.05951850488781929,STANDARD,22,300.8376770019531,1641.9422607421875,0.0,R_A2,2018-01-01,4,0,4
30,300.9476318359375,0.061621882021427155,STANDARD,22,300.9476318359375,1643.5821533203125,0.0,R_A2,2018-01-01,5,0,5
30,301.0575866699219,0.10872906446456909,STANDARD,22,301.0575866699219,1645.221923828125,0.0,R_A2,2018-01-01,6,0,6
30,301.1675720214844,0.6481541991233826,STANDARD,22,301.1675720214844,1646.86181640625,0.0,R_A2,2018-01-01,7,0,7
30,301.27752685546875,0.858165442943573,STANDARD,22,301.27752685546875,1648.501708984375,0.0,R_A2,2018-01-01,8,0,8
30,301.38751220703125,0.8602010011672974,STANDARD,22,301.38751220703125,1650.1414794921875,0.0,R_A2,2018-01-01,9,0,9
30,301.4974670410156,0.865225076675415,STANDARD,22,301.4974670410156,1651.78125,0.0,R_A2,2018-01-01,10,0,10
30,301.6199035644531,0.06337709724903107,STANDARD,22,301.6199035644531,1653.6065673828125,0.0,R_A2,2018-01-01,11,0,11
30,301.7547607421875,0.06955543905496597,STANDARD,22,301.7547607421875,1655.6175537109375,0.0,R_A2,2018-01-01,12,0,12
30,301.8896484375,0.41234302520751953,STANDARD,22,301.8896484375,1657.62841796875,0.0,R_A2,2018-01-01,13,0,13
30,302.0245361328125,0.4451751708984375,STANDARD,22,302.0245361328125,1659.639404296875,0.0,R_A2,2018-01-01,14,0,14
30,302.1593933105469,0.8729304075241089,STANDARD,22,302.1593933105469,1661.6502685546875,0.0,R_A2,2018-01-01,15,0,15
30,302.2942810058594,0.8774136304855347,STANDARD,22,302.2942810058594,1663.6611328125,0.0,R_A2,2018-01-01,16,0,16
29,303.0211486816406,0.9739395380020142,STANDARD,22,303.0211486816406,1674.495849609375,0.0,R_A2,2018-01-01,16,0,17
29,303.1573791503906,0.9672350287437439,STANDARD,22,303.1573791503906,1676.5263671875,0.0,R_A2,2018-01-01,17,0,18
29,303.261962890625,1.0,STANDARD,22,303.261962890625,1678.085205078125,0.0,R_A2,2018-01-01,18,0,19
29,303.3551940917969,1.0,STANDARD,22,303.3551940917969,1679.4747314453125,0.0,R_A2,2018-01-01,25,0,20
29,303.7840881347656,1.0,STANDARD,22,303.7840881347656,1681.1666259765625,0.0,R_A2,2018-01-01,26,0,21
29,303.9444274902344,1.0,STANDARD,22,303.9444274902344,1682.858642578125,0.0,R_A2,2018-01-01,27,0,22
29,304.1047668457031,1.0,STANDARD,22,304.1047668457031,1684.550537109375,0.0,R_A2,2018-01-01,28,0,23
29,304.26507568359375,1.0,STANDARD,22,304.26507568359375,1686.242431640625,0.0,R_A2,2018-01-01,29,0,24
41,298.64031982421875,0.13804900646209717,STANDARD,28,298.64031982421875,1609.1639404296875,0.0,R_A3,2018-01-01,1,0,1
41,298.7857971191406,0.11823459714651108,STANDARD,28,298.7857971191406,1611.3348388671875,0.0,R_A3,2018-01-01,2,0,2
41,298.9313049316406,0.1915046125650406,STANDARD,28,298.9313049316406,1613.5057373046875,0.0,R_A3,2018-01-01,3,0,3
41,299.0768127441406,0.36662861704826355,STANDARD,28,299.0768127441406,1615.6767578125,0.0,R_A3,2018-01-01,4,0,4
41,299.2223205566406,0.8265417814254761,STANDARD,28,299.2223205566406,1617.84765625,0.0,R_A3,2018-01-01,5,0,5
41,299.3678283691406,0.6481541991233826,STANDARD,28,299.3678283691406,1620.0185546875,0.0,R_A3,2018-01-01,6,0,6
41,299.51336669921875,0.203899547457695,STANDARD,28,299.51336669921875,1622.189453125,0.0,R_A3,2018-01-01,7,0,7
41,299.6589050292969,0.20574907958507538,STANDARD,28,299.6589050292969,1624.3604736328125,0.0,R_A3,2018-01-01,8,0,8
41,299.07196044921875,0.7913451194763184,STANDARD,29,299.07196044921875,1615.604248046875,0.0,R_A3,2018-01-01,9,0,9
41,299.2025451660156,0.7915098667144775,STANDARD,29,299.2025451660156,1617.552490234375,0.0,R_A3,2018-01-01,10,0,10
41,299.3437805175781,0.04743851348757744,STANDARD,29,299.3437805175781,1619.6597900390625,0.0,R_A3,2018-01-01,11,0,11
41,299.4957275390625,0.05207841843366623,STANDARD,29,299.4957275390625,1621.92626953125,0.0,R_A3,2018-01-01,12,0,12
41,299.64764404296875,0.3598410189151764,STANDARD,29,299.64764404296875,1624.192626953125,0.0,R_A3,2018-01-01,13,0,13
41,299.9466552734375,0.601466715335846,STANDARD,29,299.9466552734375,1628.653076171875,0.0,R_A3,2018-01-01,15,0,14
41,300.0556945800781,0.7983389496803284,STANDARD,29,300.0556945800781,1630.2796630859375,0.0,R_A3,2018-01-01,16,0,15
41,300.1029052734375,0.7773012518882751,STANDARD,29,300.1029052734375,1630.983642578125,0.0,R_A3,2018-01-01,17,0,16
41,300.2350769042969,1.0,STANDARD,29,300.2350769042969,1632.955078125,0.0,R_A3,2018-01-01,25,0,17
41,300.4809265136719,0.15102612972259521,STANDARD,29,300.4809265136719,1636.621826171875,0.0,R_A3,2018-01-01,26,0,18
41,300.7267761230469,0.05057906359434128,STANDARD,29,300.7267761230469,1640.28857421875,0.0,R_A3,2018-01-01,27,0,19
41,300.97265625,0.22675122320652008,STANDARD,29,300.97265625,1643.9552001953125,0.0,R_A3,2018-01-01,28,0,20
41,301.2185363769531,0.05673956125974655,STANDARD,29,301.2185363769531,1647.6219482421875,0.0,R_A3,2018-01-01,29,0,21
52,300.07415771484375,0.04946724697947502,STANDARD,30,300.07415771484375,1630.5546875,0.0,R_A4,2018-01-01,1,0,1
52,299.8641662597656,0.04804976284503937,STANDARD,31,299.8641662597656,1627.422607421875,0.0,R_A4,2018-01-01,1,0,2
52,300.0008239746094,0.0495695024728775,STANDARD,31,300.0008239746094,1629.461181640625,0.0,R_A4,2018-01-01,2,0,3
52,300.13751220703125,0.05108882859349251,STANDARD,31,300.13751220703125,1631.499755859375,0.0,R_A4,2018-01-01,3,0,4
52,300.274169921875,0.05340583622455597,STANDARD,31,300.274169921875,1633.538330078125,0.0,R_A4,2018-01-01,4,0,5
52,300.17913818359375,0.05478207394480705,STANDARD,32,300.17913818359375,1632.12060546875,0.0,R_A4,2018-01-01,4,0,6
52,300.3056945800781,0.055843155831098557,STANDARD,32,300.3056945800781,1634.00830078125,0.0,R_A4,2018-01-01,5,0,7
51,300.41143798828125,0.05604652687907219,STANDARD,32,300.41143798828125,1635.585693359375,0.0,R_A4,2018-01-01,5,0,8
51,300.5889587402344,0.05573660135269165,STANDARD,33,300.5889587402344,1638.23291015625,0.0,R_A4,2018-01-01,5,0,9
51,300.4692077636719,0.05709594115614891,STANDARD,33,300.4692077636719,1636.447265625,0.0,R_A4,2018-01-01,4,0,10
51,300.3494873046875,0.05564109608530998,STANDARD,33,300.3494873046875,1634.6617431640625,0.0,R_A4,2018-01-01,3,0,11
50,300.6807861328125,0.06026354804635048,STANDARD,33,300.6807861328125,1639.6024169921875,0.0,R_A4,2018-01-01,3,0,12
50,300.7527160644531,0.0606197752058506,STANDARD,34,300.7527160644531,1640.675537109375,0.0,R_A4,2018-01-01,3,0,13
50,300.6285705566406,0.19828982651233673,STANDARD,34,300.6285705566406,1638.8238525390625,0.0,R_A4,2018-01-01,2,0,14
50,300.9283142089844,0.27784228324890137,STANDARD,35,300.9283142089844,1643.2939453125,0.0,R_A4,2018-01-01,2,0,15
50,300.81182861328125,0.22472064197063446,STANDARD,35,300.81182861328125,1641.5567626953125,0.0,R_A4,2018-01-01,1,0,16
49,301.10565185546875,0.05779736489057541,STANDARD,36,301.10565185546875,1645.9384765625,0.0,R_A4,2018-01-01,27,0,17
49,300.7004089355469,0.09286876022815704,STANDARD,36,300.7004089355469,1639.8953857421875,0.0,R_A4,2018-01-01,26,0,18
48,300.46746826171875,0.09628724306821823,STANDARD,36,300.46746826171875,1636.421142578125,0.0,R_A4,2018-01-01,26,0,19
48,301.2301025390625,0.371102511882782,STANDARD,37,301.2301025390625,1647.7945556640625,0.0,R_A4,2018-01-01,26,0,20
48,301.64300537109375,0.2907247841358185,STANDARD,38,301.64300537109375,1653.9510498046875,0.0,R_A4,2018-01-01,26,0,21
47,301.83544921875,0.294002503156662,STANDARD,38,301.83544921875,1656.8204345703125,0.0,R_A4,2018-01-01,26,0,22
20,303.77978515625,1.0,STANDARD,31,303.77978515625,1684.347900390625,0.0,R_A5,2018-01-01,1,0,1
20,303.9716796875,1.0,STANDARD,31,303.9716796875,1686.3731689453125,0.0,R_A5,2018-01-01,2,0,2
20,304.1636047363281,1.0,STANDARD,31,304.1636047363281,1688.3984375,0.0,R_A5,2018-01-01,3,0,3
20,304.3555603027344,1.0,STANDARD,31,304.3555603027344,1690.423828125,0.0,R_A5,2018-01-01,4,0,4
20,304.5474548339844,1.0,STANDARD,31,304.5474548339844,1692.448974609375,0.0,R_A5,2018-01-01,5,0,5
20,304.7394104003906,1.0,STANDARD,31,304.7394104003906,1694.474365234375,0.0,R_A5,2018-01-01,6,0,6
20,305.23712158203125,1.0,STANDARD,31,305.23712158203125,1696.49951171875,0.0,R_A5,2018-01-01,7,0,7
20,305.6991882324219,1.0,STANDARD,31,305.6991882324219,1704.6007080078125,0.0,R_A5,2018-01-01,11,0,8
21,305.5624694824219,1.0,STANDARD,31,305.5624694824219,1703.158203125,0.0,R_A5,2018-01-01,12,0,9
21,305.7699279785156,1.0,STANDARD,31,305.7699279785156,1705.220947265625,0.0,R_A5,2018-01-01,13,0,10
21,305.9654235839844,1.0,STANDARD,31,305.9654235839844,1707.28369140625,0.0,R_A5,2018-01-01,14,0,11
21,306.160888671875,1.0,STANDARD,31,306.160888671875,1709.346435546875,0.0,R_A5,2018-01-01,15,0,12
21,306.50140380859375,1.0,STANDARD,31,306.50140380859375,1711.4091796875,0.0,R_A5,2018-01-01,16,0,13
21,306.6968994140625,1.0,STANDARD,31,306.6968994140625,1713.4720458984375,0.0,R_A5,2018-01-01,17,0,14
21,306.833984375,1.0,STANDARD,31,306.833984375,1714.918212890625,0.0,R_A5,2018-01-01,18,0,15
21,306.8428649902344,1.0,STANDARD,31,306.8428649902344,1716.6697998046875,0.0,R_A5,2018-01-01,25,0,16
21,307.0563049316406,1.0,STANDARD,31,307.0563049316406,1718.9217529296875,0.0,R_A5,2018-01-01,26,0,17
21,307.5755310058594,1.0,STANDARD,31,307.5755310058594,1721.1737060546875,0.0,R_A5,2018-01-01,27,0,18
21,307.7889404296875,1.0,STANDARD,31,307.7889404296875,1723.4256591796875,0.0,R_A5,2018-01-01,28,0,19
21,308.00238037109375,1.0,STANDARD,31,308.00238037109375,1725.6776123046875,0.0,R_A5,2018-01-01,29,0,20
42,305.1833190917969,1.0,STANDARD,17,305.1833190917969,1695.931884765625,0.0,R_A6,2018-01-01,1,0,1
42,305.331298828125,1.0,STANDARD,17,305.331298828125,1697.4932861328125,0.0,R_A6,2018-01-01,2,0,2
42,305.4792785644531,1.0,STANDARD,17,305.4792785644531,1699.0548095703125,0.0,R_A6,2018-01-01,3,0,3
42,305.62725830078125,1.0,STANDARD,17,305.62725830078125,1700.6163330078125,0.0,R_A6,2018-01-01,4,0,4
42,305.7752380371094,1.0,STANDARD,17,305.7752380371094,1702.1778564453125,0.0,R_A6,2018-01-01,5,0,5
42,305.9232177734375,1.0,STANDARD,17,305.9232177734375,1703.7392578125,0.0,R_A6,2018-01-01,6,0,6
42,305.77215576171875,1.0,STANDARD,17,305.77215576171875,1705.30078125,0.0,R_A6,2018-01-01,7,0,7
42,305.9201354980469,1.0,STANDARD,17,305.9201354980469,1706.8623046875,0.0,R_A6,2018-01-01,8,0,8
42,306.3671569824219,1.0,STANDARD,17,306.3671569824219,1708.423828125,0.0,R_A6,2018-01-01,9,0,9
42,306.2093505859375,1.0,STANDARD,17,306.2093505859375,1709.9853515625,0.0,R_A6,2018-01-01,10,0,10
42,306.39068603515625,1.0,STANDARD,17,306.39068603515625,1711.897216796875,0.0,R_A6,2018-01-01,11,0,11
42,306.6050720214844,1.0,STANDARD,17,306.6050720214844,1714.1593017578125,0.0,R_A6,2018-01-01,12,0,12
42,306.8314208984375,1.0,STANDARD,17,306.8314208984375,1716.42138671875,0.0,R_A6,2018-01-01,13,0,13
42,307.0458068847656,1.0,STANDARD,17,307.0458068847656,1718.68359375,0.0,R_A6,2018-01-01,14,0,14
42,307.2602233886719,1.0,STANDARD,17,307.2602233886719,1720.94580078125,0.0,R_A6,2018-01-01,15,0,15
42,307.61962890625,1.0,STANDARD,17,307.61962890625,1723.2080078125,0.0,R_A6,2018-01-01,16,0,16
42,307.83404541015625,1.0,STANDARD,17,307.83404541015625,1725.47021484375,0.0,R_A6,2018-01-01,17,0,17
42,308.002685546875,1.0,STANDARD,17,308.002685546875,1727.24951171875,0.0,R_A6,2018-01-01,18,0,18
42,307.98944091796875,1.0,STANDARD,17,307.98944091796875,1728.767333984375,0.0,R_A6,2018-01-01,25,0,19
42,308.4600524902344,1.0,STANDARD,17,308.4600524902344,1730.50634765625,0.0,R_A6,2018-01-01,26,0,20
42,308.6248779296875,1.0,STANDARD,17,308.6248779296875,1732.245361328125,0.0,R_A6,2018-01-01,27,0,21
42,308.7897033691406,1.0,STANDARD,17,308.7897033691406,1733.9842529296875,0.0,R_A6,2018-01-01,28,0,22
42,308.6487121582031,1.0,STANDARD,17,308.6487121582031,1735.7232666015625,0.0,R_A6,2018-01-01,29,0,23
30,297.31109619140625,0.051999349147081375,STANDARD,22,297.31109619140625,1637.022705078125,0.0,R_A2,2018-03-01,1,0,1
30,297.42095947265625,0.05325273051857948,STANDARD,22,297.42095947265625,1638.66259765625,0.0,R_A2,2018-03-01,2,0,2
30,297.53082275390625,0.05665558949112892,STANDARD,22,297.53082275390625,1640.3023681640625,0.0,R_A2,2018-03-01,3,0,3
