DATE,SWAT,WELLMODEL,CONBPRES,PRESSURE,CONJPOS,CONIPOS,SGAS,DEPTH,CONIDX,DRAWDOWN,WELL,CONKPOS
2018-01-01,0.05460965260863304,STANDARD,300.91412353515625,300.91412353515625,30,22,0.0,1643.189453125,1,0,R_A2,1
2018-01-01,0.05635492876172066,STANDARD,301.03472900390625,301.03472900390625,30,22,0.0,1644.98828125,2,0,R_A2,2
2018-01-01,0.06098583713173866,STANDARD,301.1553649902344,301.1553649902344,30,22,0.0,1646.787109375,3,0,R_A2,3
2018-01-01,0.06660626083612442,STANDARD,301.2760009765625,301.2760009765625,30,22,0.0,1648.5858154296875,4,0,R_A2,4
2018-01-01,0.07034636288881302,STANDARD,301.3966064453125,301.3966064453125,30,22,0.0,1650.3846435546875,5,0,R_A2,5
2018-01-01,0.32544341683387756,STANDARD,301.5172424316406,301.5172424316406,30,22,0.0,1652.183349609375,6,0,R_A2,6
2018-01-01,0.8858439922332764,STANDARD,301.63787841796875,301.63787841796875,30,22,0.0,1653.982177734375,7,0,R_A2,7
2018-01-01,0.8695158958435059,STANDARD,301.758544921875,301.758544921875,30,22,0.0,1655.7808837890625,8,0,R_A2,8
2018-01-01,0.8982598781585693,STANDARD,301.8791809082031,301.8791809082031,30,22,0.0,1657.5797119140625,9,0,R_A2,9
2018-01-01,0.9054359197616577,STANDARD,301.99981689453125,301.99981689453125,30,22,0.0,1659.37841796875,10,0,R_A2,10
2018-01-01,0.0755382776260376,STANDARD,302.1283264160156,302.1283264160156,30,22,0.0,1661.294189453125,11,0,R_A2,11
2018-01-01,0.074604332447052,STANDARD,302.2646789550781,302.2646789550781,30,22,0.0,1663.3271484375,12,0,R_A2,12
2018-01-01,0.43914133310317993,STANDARD,302.40106201171875,302.40106201171875,30,22,0.0,1665.3599853515625,13,0,R_A2,13
2018-01-01,0.49223989248275757,STANDARD,302.53741455078125,302.53741455078125,30,22,0.0,1667.392822265625,14,0,R_A2,14
2018-01-01,0.7114486694335938,STANDARD,302.6737976074219,302.6737976074219,30,22,0.0,1669.4256591796875,15,0,R_A2,15
2018-01-01,0.9541300535202026,STANDARD,302.8101806640625,302.8101806640625,30,22,0.0,1671.45849609375,16,0,R_A2,16
2018-01-01,0.9322910904884338,STANDARD,302.9465637207031,302.9465637207031,30,22,0.0,1673.491455078125,17,0,R_A2,17
2018-01-01,0.9100592732429504,STANDARD,302.8453369140625,302.8453369140625,29,22,0.0,1671.9827880859375,18,0,R_A2,17
2018-01-01,0.9556754231452942,STANDARD,302.9780578613281,302.9780578613281,29,22,0.0,1673.960693359375,19,0,R_A2,18
2018-01-01,1.0,STANDARD,303.1135559082031,303.1135559082031,29,22,0.0,1675.9803466796875,20,0,R_A2,26
2018-01-01,1.0,STANDARD,303.23260498046875,303.23260498046875,29,22,0.0,1677.7547607421875,21,0,R_A2,27
2018-01-01,1.0,STANDARD,303.3516540527344,303.3516540527344,29,22,0.0,1679.529052734375,22,0,R_A2,28
2018-01-01,1.0,STANDARD,303.79705810546875,303.79705810546875,29,22,0.0,1681.303466796875,23,0,R_A2,29
2018-01-01,1.0,STANDARD,303.9652099609375,303.9652099609375,29,22,0.0,1683.0777587890625,24,0,R_A2,30
2018-01-01,0.3580852746963501,STANDARD,298.5208435058594,298.5208435058594,41,28,0.0,1607.4884033203125,1,0,R_A3,1
2018-01-01,0.6481541991233826,STANDARD,298.1355895996094,298.1355895996094,41,29,0.0,1601.7396240234375,2,0,R_A3,1
2018-01-01,0.18793842196464539,STANDARD,298.2691345214844,298.2691345214844,41,29,0.0,1603.732177734375,3,0,R_A3,2
2018-01-01,0.16420038044452667,STANDARD,298.40264892578125,298.40264892578125,41,29,0.0,1605.724853515625,4,0,R_A3,3
2018-01-01,0.17987658083438873,STANDARD,298.53619384765625,298.53619384765625,41,29,0.0,1607.717529296875,5,0,R_A3,4
2018-01-01,0.8142199516296387,STANDARD,298.66973876953125,298.66973876953125,41,29,0.0,1609.710205078125,6,0,R_A3,5
2018-01-01,0.6481541991233826,STANDARD,298.80328369140625,298.80328369140625,41,29,0.0,1611.702880859375,7,0,R_A3,6
2018-01-01,0.19963617622852325,STANDARD,298.93682861328125,298.93682861328125,41,29,0.0,1613.6954345703125,8,0,R_A3,7
2018-01-01,0.20007109642028809,STANDARD,299.0704040527344,299.0704040527344,41,29,0.0,1615.6881103515625,9,0,R_A3,8
2018-01-01,0.7975645661354065,STANDARD,299.2039489746094,299.2039489746094,41,29,0.0,1617.6807861328125,10,0,R_A3,9
