PROPERTY,ZONE,FACIES,Avg,Avg_Weighted,Count,Max,Min,P10,P90,Stddev,ID,SOURCE
PERM,Therys,Calcite,0.0010000000474974513,0.0010000000474974513,18189,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0,Geogrid,Geogrid
PORO,Therys,Calcite,0.0,0.0,18189,0.0,0.0,0.0,0.0,0.0,Geogrid,Geogrid
SW,Therys,Calcite,1.0,,18189,1.0,1.0,1.0,1.0,0.0,Geogrid,Geogrid
PERM,Therys,Lowershoreface,27.08688735961914,27.086149215698242,44339,150.0,5.0,11.337725639343262,48.4874267578125,19.273616790771484,Geogrid,Geogrid
PORO,Therys,Lowershoreface,0.2528155446052551,0.2532286047935486,44339,0.30000001192092896,0.20076251029968262,0.2320604771375656,0.27535495162010193,0.016597922891378403,Geogrid,Geogrid
SW,Therys,Lowershoreface,0.9223009943962097,,44339,1.0,0.24922031164169312,0.4444885551929474,1.0,0.2023046463727951,Geogrid,Geogrid
PERM,Therys,Offshore,1.9408677816390991,2.001176118850708,67223,5.005854606628418,0.26014912128448486,1.1297096014022827,2.8122828006744385,0.6573854684829712,Geogrid,Geogrid
PORO,Therys,Offshore,0.08825695514678955,0.09055903553962708,67223,0.1899999976158142,0.019999999552965164,0.05191107839345932,0.12447283416986465,0.02817055769264698,Geogrid,Geogrid
SW,Therys,Offshore,0.9870598316192627,,67223,1.0,0.6852614283561707,1.0,1.0,0.04769665002822876,Geogrid,Geogrid
PERM,Therys,Uppershoreface,1246.4072265625,1262.32470703125,60409,2500.0,500.0,713.4202880859375,1905.3896484375,459.8806457519531,Geogrid,Geogrid
PORO,Therys,Uppershoreface,0.3282095491886139,0.3290551006793976,60409,0.3849610686302185,0.2672523856163025,0.3065039813518524,0.34943124651908875,0.016515418887138367,Geogrid,Geogrid
SW,Therys,Uppershoreface,0.9141713976860046,,60409,1.0,0.031056057661771774,1.0,1.0,0.268088698387146,Geogrid,Geogrid
PERM,Valysar,Channel,1072.0716552734375,1070.7371826171875,81184,2000.0,400.0,763.6510009765625,1415.839111328125,258.70806884765625,Geogrid,Geogrid
PORO,Valysar,Channel,0.2738063931465149,0.27396154403686523,81184,0.3400000035762787,0.20000000298023224,0.24659363925457,0.3013738989830017,0.021409928798675537,Geogrid,Geogrid
SW,Valysar,Channel,0.8003124594688416,,81184,1.0,0.0272419024258852,0.06041228771209717,1.0,0.3803018033504486,Geogrid,Geogrid
PERM,Valysar,Coal,0.0010000000474974513,0.0010000000474974513,47135,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0,Geogrid,Geogrid
PORO,Valysar,Coal,0.0,0.0,47135,0.0,0.0,0.0,0.0,0.0,Geogrid,Geogrid
SW,Valysar,Coal,1.0,,47135,1.0,1.0,1.0,1.0,0.0,Geogrid,Geogrid
PERM,Valysar,Crevasse,94.77141571044922,94.6482925415039,41362,200.0,50.0,77.97386932373047,115.59150695800781,19.009111404418945,Geogrid,Geogrid
PORO,Valysar,Crevasse,0.21158315241336823,0.21150505542755127,41362,0.27000001072883606,0.14000000059604645,0.184500589966774,0.2385769486427307,0.021016934886574745,Geogrid,Geogrid
SW,Valysar,Crevasse,0.8637454509735107,,41362,1.0,0.14289149641990662,0.2269831746816635,1.0,0.289394348859787,Geogrid,Geogrid
PERM,Valysar,Floodplain,0.8444307446479797,0.8237680792808533,98959,4.663333892822266,0.1253495067358017,0.4671872556209564,1.3008683919906616,0.35402166843414307,Geogrid,Geogrid
PORO,Valysar,Floodplain,0.10268639028072357,0.10294320434331894,98959,0.13473226130008698,0.0633501261472702,0.09116018563508987,0.11408914625644684,0.008950856514275074,Geogrid,Geogrid
