DATE,WELLMODEL,CONJPOS,DRAWDOWN,PRESSURE,CONIPOS,SWAT,WELL,CONIDX,CONKPOS,SGAS,CONBPRES,DEPTH
2018-01-01,STANDARD,30,0,300.7459716796875,22,0.052009217441082,R_A2,1,1,0.0,300.7459716796875,1640.2078857421875
2018-01-01,STANDARD,30,0,300.8618469238281,22,0.055605143308639526,R_A2,2,2,0.0,300.8618469238281,1641.935791015625
2018-01-01,STANDARD,30,0,300.97772216796875,22,0.05615968257188797,R_A2,3,3,0.0,300.97772216796875,1643.663818359375
2018-01-01,STANDARD,30,0,301.0935974121094,22,0.0620264858007431,R_A2,4,4,0.0,301.0935974121094,1645.391845703125
2018-01-01,STANDARD,30,0,301.20947265625,22,0.06424248963594437,R_A2,5,5,0.0,301.20947265625,1647.119873046875
2018-01-01,STANDARD,30,0,301.3253479003906,22,0.2961593568325043,R_A2,6,6,0.0,301.3253479003906,1648.8477783203125
2018-01-01,STANDARD,30,0,301.44122314453125,22,0.8714548349380493,R_A2,7,7,0.0,301.44122314453125,1650.5758056640625
2018-01-01,STANDARD,30,0,301.55712890625,22,0.8475472927093506,R_A2,8,8,0.0,301.55712890625,1652.3037109375
2018-01-01,STANDARD,30,0,301.6730041503906,22,0.8668670058250427,R_A2,9,9,0.0,301.6730041503906,1654.03173828125
2018-01-01,STANDARD,30,0,301.7889099121094,22,0.8861234188079834,R_A2,10,10,0.0,301.7889099121094,1655.759765625
2018-01-01,STANDARD,30,0,301.9144287109375,22,0.06723109632730484,R_A2,11,11,0.0,301.9144287109375,1657.631103515625
2018-01-01,STANDARD,30,0,302.049560546875,22,0.1302957981824875,R_A2,12,12,0.0,302.049560546875,1659.64599609375
2018-01-01,STANDARD,30,0,302.1847229003906,22,0.42354875802993774,R_A2,13,13,0.0,302.1847229003906,1661.6607666015625
2018-01-01,STANDARD,30,0,302.31988525390625,22,0.4582940936088562,R_A2,14,14,0.0,302.31988525390625,1663.675537109375
2018-01-01,STANDARD,30,0,302.45501708984375,22,0.8928941488265991,R_A2,15,15,0.0,302.45501708984375,1665.6903076171875
2018-01-01,STANDARD,30,0,302.5901794433594,22,0.9095051288604736,R_A2,16,16,0.0,302.5901794433594,1667.7052001953125
2018-01-01,STANDARD,29,0,302.94903564453125,22,0.9400444626808167,R_A2,17,16,0.0,302.94903564453125,1673.0543212890625
2018-01-01,STANDARD,29,0,303.08880615234375,22,0.9334112405776978,R_A2,18,17,0.0,303.08880615234375,1675.137451171875
