CONKPOS,SGAS,DATE,DRAWDOWN,SWAT,CONJPOS,CONIPOS,CONIDX,PRESSURE,DEPTH,CONBPRES,WELLMODEL,WELL
1,0.0,2018-01-01,0,0.05445269122719765,30,22,1,300.7381896972656,1641.0732421875,300.7381896972656,STANDARD,R_A2
2,0.0,2018-01-01,0,0.05650279298424721,30,22,2,300.8584289550781,1642.8660888671875,300.8584289550781,STANDARD,R_A2
3,0.0,2018-01-01,0,0.06008203327655792,30,22,3,300.9786376953125,1644.658935546875,300.9786376953125,STANDARD,R_A2
4,0.0,2018-01-01,0,0.06459226459264755,30,22,4,301.098876953125,1646.45166015625,301.098876953125,STANDARD,R_A2
5,0.0,2018-01-01,0,0.06970182806253433,30,22,5,301.2190856933594,1648.2445068359375,301.2190856933594,STANDARD,R_A2
6,0.0,2018-01-01,0,0.31730711460113525,30,22,6,301.3393249511719,1650.037353515625,301.3393249511719,STANDARD,R_A2
7,0.0,2018-01-01,0,0.8894867897033691,30,22,7,301.4595642089844,1651.8302001953125,301.4595642089844,STANDARD,R_A2
8,0.0,2018-01-01,0,0.8501129150390625,30,22,8,301.5798034667969,1653.623046875,301.5798034667969,STANDARD,R_A2
9,0.0,2018-01-01,0,0.8962684273719788,30,22,9,301.7000427246094,1655.415771484375,301.7000427246094,STANDARD,R_A2
10,0.0,2018-01-01,0,0.8965203166007996,30,22,10,301.8202819824219,1657.2086181640625,301.8202819824219,STANDARD,R_A2
11,0.0,2018-01-01,0,0.07208161801099777,30,22,11,301.9485778808594,1659.12158203125,301.9485778808594,STANDARD,R_A2
13,0.0,2018-01-01,0,0.4497080445289612,30,22,12,302.2213134765625,1663.187744140625,302.2213134765625,STANDARD,R_A2
14,0.0,2018-01-01,0,0.4773218333721161,30,22,13,302.3576965332031,1665.220703125,302.3576965332031,STANDARD,R_A2
15,0.0,2018-01-01,0,0.5657956600189209,30,22,14,302.49407958984375,1667.2537841796875,302.49407958984375,STANDARD,R_A2
16,0.0,2018-01-01,0,0.9563280344009399,30,22,15,302.6304626464844,1669.286865234375,302.6304626464844,STANDARD,R_A2
17,0.0,2018-01-01,0,0.9063602089881897,30,22,16,302.7668762207031,1671.3199462890625,302.7668762207031,STANDARD,R_A2
17,0.0,2018-01-01,0,0.9078130722045898,29,22,17,302.7611999511719,1671.2353515625,302.7611999511719,STANDARD,R_A2
18,0.0,2018-01-01,0,0.9520981907844543,29,22,18,302.8924255371094,1673.1917724609375,302.8924255371094,STANDARD,R_A2
19,0.0,2018-01-01,0,0.9798027873039246,29,22,19,302.9603576660156,1674.2041015625,302.9603576660156,STANDARD,R_A2
26,0.0,2018-01-01,0,1.0,29,22,20,303.0271911621094,1675.2003173828125,303.0271911621094,STANDARD,R_A2
27,0.0,2018-01-01,0,1.0,29,22,21,303.1485290527344,1677.0087890625,303.1485290527344,STANDARD,R_A2
28,0.0,2018-01-01,0,1.0,29,22,22,303.2698669433594,1678.8172607421875,303.2698669433594,STANDARD,R_A2
29,0.0,2018-01-01,0,1.0,29,22,23,303.73284912109375,1680.625732421875,303.73284912109375,STANDARD,R_A2
