CONIDX,SWAT,WELLMODEL,SGAS,WELL,DATE,CONJPOS,CONIPOS,CONBPRES,DRAWDOWN,CONKPOS,DEPTH,PRESSURE
1,0.057952988892793655,STANDARD,0.0,R_A2,2018-01-01,30,22,300.5863342285156,0,1,1640.86181640625,300.5863342285156
2,0.059515442699193954,STANDARD,0.0,R_A2,2018-01-01,30,22,300.7008972167969,0,2,1642.5703125,300.7008972167969
3,0.06389416754245758,STANDARD,0.0,R_A2,2018-01-01,30,22,300.8154296875,0,3,1644.27880859375,300.8154296875
4,0.06971455365419388,STANDARD,0.0,R_A2,2018-01-01,30,22,300.9300231933594,0,4,1645.9873046875,300.9300231933594
5,0.07374471426010132,STANDARD,0.0,R_A2,2018-01-01,30,22,301.0445861816406,0,5,1647.69580078125,301.0445861816406
6,0.32566961646080017,STANDARD,0.0,R_A2,2018-01-01,30,22,301.1591491699219,0,6,1649.404296875,301.1591491699219
7,0.9006554484367371,STANDARD,0.0,R_A2,2018-01-01,30,22,301.2737121582031,0,7,1651.11279296875,301.2737121582031
8,0.8821414709091187,STANDARD,0.0,R_A2,2018-01-01,30,22,301.3883056640625,0,8,1652.8214111328125,301.3883056640625
9,0.9030572772026062,STANDARD,0.0,R_A2,2018-01-01,30,22,301.50286865234375,0,9,1654.52978515625,301.50286865234375
10,0.9240988492965698,STANDARD,0.0,R_A2,2018-01-01,30,22,301.6174621582031,0,10,1656.23828125,301.6174621582031
11,0.08092322200536728,STANDARD,0.0,R_A2,2018-01-01,30,22,301.7436218261719,0,11,1658.119140625,301.7436218261719
12,0.0702335461974144,STANDARD,0.0,R_A2,2018-01-01,30,22,301.8813171386719,0,12,1660.172119140625,301.8813171386719
13,0.4734477698802948,STANDARD,0.0,R_A2,2018-01-01,30,22,302.0190124511719,0,13,1662.2252197265625,302.0190124511719
14,0.534669816493988,STANDARD,0.0,R_A2,2018-01-01,30,22,302.15673828125,0,14,1664.2783203125,302.15673828125
15,0.9633768796920776,STANDARD,0.0,R_A2,2018-01-01,30,22,302.29443359375,0,15,1666.3314208984375,302.29443359375
16,0.9866499304771423,STANDARD,0.0,R_A2,2018-01-01,30,22,302.4321594238281,0,16,1668.384521484375,302.4321594238281
17,0.9667630791664124,STANDARD,0.0,R_A2,2018-01-01,30,22,302.56988525390625,0,17,1670.4375,302.56988525390625
18,0.9995520710945129,STANDARD,0.0,R_A2,2018-01-01,30,22,302.677978515625,0,18,1672.048828125,302.677978515625
19,1.0,STANDARD,0.0,R_A2,2018-01-01,30,22,302.77587890625,0,27,1673.5078125,302.77587890625
20,1.0,STANDARD,0.0,R_A2,2018-01-01,30,22,303.2240295410156,0,28,1675.2562255859375,303.2240295410156
21,1.0,STANDARD,0.0,R_A2,2018-01-01,30,22,303.38970947265625,0,29,1677.004638671875,303.38970947265625
22,1.0,STANDARD,0.0,R_A2,2018-01-01,29,22,304.0282897949219,0,29,1683.743408203125,304.0282897949219
23,1.0,STANDARD,0.0,R_A2,2018-01-01,29,22,304.1893615722656,0,30,1685.4432373046875,304.1893615722656
24,1.0,STANDARD,0.0,R_A2,2018-01-01,29,22,304.3504333496094,0,31,1687.14306640625,304.3504333496094
1,0.6481541991233826,STANDARD,0.0,R_A3,2018-01-01,41,28,298.4285583496094,0,1,1608.672119140625,298.4285583496094
2,0.19352608919143677,STANDARD,0.0,R_A3,2018-01-01,41,28,298.5570068359375,0,2,1610.5888671875,298.5570068359375
3,0.1929159015417099,STANDARD,0.0,R_A3,2018-01-01,41,28,298.68548583984375,0,3,1612.5057373046875,298.68548583984375
4,0.2228737771511078,STANDARD,0.0,R_A3,2018-01-01,41,29,298.0071716308594,0,3,1602.3839111328125,298.0071716308594
5,0.36625152826309204,STANDARD,0.0,R_A3,2018-01-01,41,29,298.1509704589844,0,4,1604.5296630859375,298.1509704589844
6,0.8184672594070435,STANDARD,0.0,R_A3,2018-01-01,41,29,298.2947692871094,0,5,1606.675537109375,298.2947692871094
7,0.6481541991233826,STANDARD,0.0,R_A3,2018-01-01,41,29,298.4385681152344,0,6,1608.8212890625,298.4385681152344
8,0.2018086314201355,STANDARD,0.0,R_A3,2018-01-01,41,29,298.5823669433594,0,7,1610.9671630859375,298.5823669433594
9,0.20278887450695038,STANDARD,0.0,R_A3,2018-01-01,41,29,298.7261657714844,0,8,1613.113037109375,298.7261657714844
10,0.808295726776123,STANDARD,0.0,R_A3,2018-01-01,41,29,298.8699951171875,0,9,1615.2589111328125,298.8699951171875
11,0.7998126149177551,STANDARD,0.0,R_A3,2018-01-01,41,29,299.0138244628906,0,10,1617.40478515625,299.0138244628906
12,0.052143096923828125,STANDARD,0.0,R_A3,2018-01-01,41,29,299.1663513183594,0,11,1619.6805419921875,299.1663513183594
13,0.05637026205658913,STANDARD,0.0,R_A3,2018-01-01,41,29,299.3276062011719,0,12,1622.0863037109375,299.3276062011719
14,0.37969303131103516,STANDARD,0.0,R_A3,2018-01-01,41,29,299.4888610839844,0,13,1624.4921875,299.4888610839844
15,0.653033971786499,STANDARD,0.0,R_A3,2018-01-01,41,29,299.8074035644531,0,15,1629.243896484375,299.8074035644531
16,0.8206525444984436,STANDARD,0.0,R_A3,2018-01-01,41,29,299.9275207519531,0,16,1631.035400390625,299.9275207519531
17,0.6481541991233826,STANDARD,0.0,R_A3,2018-01-01,41,29,300.0979919433594,0,27,1633.5782470703125,300.0979919433594
18,0.048223186284303665,STANDARD,0.0,R_A3,2018-01-01,41,29,300.338134765625,0,28,1637.1600341796875,300.338134765625
19,0.051707491278648376,STANDARD,0.0,R_A3,2018-01-01,41,29,300.5782775878906,0,29,1640.741943359375,300.5782775878906
20,0.6481541991233826,STANDARD,0.0,R_A3,2018-01-01,41,29,300.8184814453125,0,30,1644.3238525390625,300.8184814453125
21,0.06577200442552567,STANDARD,0.0,R_A3,2018-01-01,41,29,301.05865478515625,0,31,1647.90576171875,301.05865478515625
1,0.05418603867292404,STANDARD,0.0,R_A4,2018-01-01,52,30,300.1435852050781,0,1,1634.25830078125,300.1435852050781
2,0.05108615383505821,STANDARD,0.0,R_A4,2018-01-01,52,31,299.6640319824219,0,1,1627.1053466796875,299.6640319824219
3,0.052312854677438736,STANDARD,0.0,R_A4,2018-01-01,52,31,299.80194091796875,0,2,1629.162353515625,299.80194091796875
4,0.05501042306423187,STANDARD,0.0,R_A4,2018-01-01,52,31,299.9398498535156,0,3,1631.219482421875,299.9398498535156
5,0.10836362093687057,STANDARD,0.0,R_A4,2018-01-01,52,31,300.0777587890625,0,4,1633.276611328125,300.0777587890625
6,0.21670973300933838,STANDARD,0.0,R_A4,2018-01-01,52,31,300.2156677246094,0,5,1635.333740234375,300.2156677246094
7,0.05692049488425255,STANDARD,0.0,R_A4,2018-01-01,52,32,300.0003967285156,0,5,1632.122314453125,300.0003967285156
