SGAS,DRAWDOWN,DEPTH,WELL,CONIPOS,CONIDX,CONBPRES,CONJPOS,SWAT,DATE,CONKPOS,PRESSURE,WELLMODEL
0.0,0,1641.9775390625,R_A2,22,1,300.7974548339844,30,0.05513647943735123,2018-01-01,1,300.7974548339844,STANDARD
0.0,0,1643.70947265625,R_A2,22,2,300.9136047363281,30,0.05647972598671913,2018-01-01,2,300.9136047363281,STANDARD
0.0,0,1645.44140625,R_A2,22,3,301.02972412109375,30,0.06044932082295418,2018-01-01,3,301.02972412109375,STANDARD
0.0,0,1647.17333984375,R_A2,22,4,301.1458740234375,30,0.06579054147005081,2018-01-01,4,301.1458740234375,STANDARD
0.0,0,1648.9052734375,R_A2,22,5,301.26202392578125,30,0.06938955932855606,2018-01-01,5,301.26202392578125,STANDARD
0.0,0,1650.63720703125,R_A2,22,6,301.378173828125,30,0.31738245487213135,2018-01-01,6,301.378173828125,STANDARD
0.0,0,1652.369140625,R_A2,22,7,301.49432373046875,30,0.8832206130027771,2018-01-01,7,301.49432373046875,STANDARD
0.0,0,1654.10107421875,R_A2,22,8,301.6104736328125,30,0.8642033934593201,2018-01-01,8,301.6104736328125,STANDARD
0.0,0,1655.8330078125,R_A2,22,9,301.72662353515625,30,0.8826863169670105,2018-01-01,9,301.72662353515625,STANDARD
0.0,0,1657.5648193359375,R_A2,22,10,301.8428039550781,30,0.9021890759468079,2018-01-01,10,301.8428039550781,STANDARD
0.0,0,1659.4691162109375,R_A2,22,11,301.97052001953125,30,0.07304193824529648,2018-01-01,11,301.97052001953125,STANDARD
0.0,0,1663.6219482421875,R_A2,22,12,302.24908447265625,30,0.44353312253952026,2018-01-01,13,302.24908447265625,STANDARD
0.0,0,1665.698486328125,R_A2,22,13,302.38836669921875,30,0.49237364530563354,2018-01-01,14,302.38836669921875,STANDARD
0.0,0,1667.77490234375,R_A2,22,14,302.52764892578125,30,0.9285335540771484,2018-01-01,15,302.52764892578125,STANDARD
0.0,0,1669.851318359375,R_A2,22,15,302.6669616699219,30,0.9504230618476868,2018-01-01,16,302.6669616699219,STANDARD
0.0,0,1671.9278564453125,R_A2,22,16,302.8062438964844,30,0.9076541662216187,2018-01-01,17,302.8062438964844,STANDARD
0.0,0,1673.573974609375,R_A2,22,17,302.91668701171875,30,0.9774811267852783,2018-01-01,18,302.91668701171875,STANDARD
0.0,0,1675.0419921875,R_A2,22,18,303.01519775390625,30,1.0,2018-01-01,27,303.01519775390625,STANDARD
0.0,0,1676.7620849609375,R_A2,22,19,303.1305847167969,30,1.0,2018-01-01,28,303.1305847167969,STANDARD
0.0,0,1680.78759765625,R_A2,22,20,303.7481689453125,29,1.0,2018-01-01,28,303.7481689453125,STANDARD
0.0,0,1682.5458984375,R_A2,22,21,303.914794921875,29,1.0,2018-01-01,29,303.914794921875,STANDARD
0.0,0,1684.30419921875,R_A2,22,22,304.0814208984375,29,1.0,2018-01-01,30,304.0814208984375,STANDARD
0.0,0,1686.0626220703125,R_A2,22,23,304.248046875,29,1.0,2018-01-01,31,304.248046875,STANDARD
0.0,0,1609.3447265625,R_A3,28,1,298.6098937988281,41,0.6481541991233826,2018-01-01,1,298.6098937988281,STANDARD
0.0,0,1611.2911376953125,R_A3,28,2,298.7403259277344,41,0.19030749797821045,2018-01-01,2,298.7403259277344,STANDARD
0.0,0,1613.237548828125,R_A3,28,3,298.87078857421875,41,0.17253409326076508,2018-01-01,3,298.87078857421875,STANDARD
0.0,0,1602.1475830078125,R_A3,29,4,298.1275634765625,41,0.1834031194448471,2018-01-01,3,298.1275634765625,STANDARD
0.0,0,1604.34912109375,R_A3,29,5,298.27508544921875,41,0.35852065682411194,2018-01-01,4,298.27508544921875,STANDARD
0.0,0,1606.550537109375,R_A3,29,6,298.4226379394531,41,0.8102490305900574,2018-01-01,5,298.4226379394531,STANDARD
