CONIDX,PRESSURE,WELLMODEL,CONKPOS,DEPTH,CONIPOS,SWAT,SGAS,DRAWDOWN,WELL,DATE,CONBPRES,CONJPOS
1,300.7447204589844,STANDARD,1,1640.3955078125,22,0.05292033404111862,0.0,0,R_A2,2018-01-01,300.7447204589844,30
2,300.86077880859375,STANDARD,2,1642.1263427734375,22,0.056530874222517014,0.0,0,R_A2,2018-01-01,300.86077880859375,30
3,300.9768371582031,STANDARD,3,1643.857177734375,22,0.05827334523200989,0.0,0,R_A2,2018-01-01,300.9768371582031,30
4,301.0929260253906,STANDARD,4,1645.587890625,22,0.06268774718046188,0.0,0,R_A2,2018-01-01,301.0929260253906,30
5,301.208984375,STANDARD,5,1647.3187255859375,22,0.23668497800827026,0.0,0,R_A2,2018-01-01,301.208984375,30
6,301.3250732421875,STANDARD,6,1649.049560546875,22,0.3112839460372925,0.0,0,R_A2,2018-01-01,301.3250732421875,30
7,301.4411315917969,STANDARD,7,1650.7803955078125,22,0.8725841045379639,0.0,0,R_A2,2018-01-01,301.4411315917969,30
8,301.5572204589844,STANDARD,8,1652.51123046875,22,0.8502500653266907,0.0,0,R_A2,2018-01-01,301.5572204589844,30
9,301.67327880859375,STANDARD,9,1654.241943359375,22,0.8701418042182922,0.0,0,R_A2,2018-01-01,301.67327880859375,30
10,301.78936767578125,STANDARD,10,1655.9727783203125,22,0.8797175288200378,0.0,0,R_A2,2018-01-01,301.78936767578125,30
11,301.9148254394531,STANDARD,11,1657.8431396484375,22,0.06847865879535675,0.0,0,R_A2,2018-01-01,301.9148254394531,30
12,302.1844787597656,STANDARD,13,1661.8631591796875,22,0.425570011138916,0.0,0,R_A2,2018-01-01,302.1844787597656,30
13,302.3193054199219,STANDARD,14,1663.873046875,22,0.47054335474967957,0.0,0,R_A2,2018-01-01,302.3193054199219,30
14,302.4541320800781,STANDARD,15,1665.883056640625,22,0.8913605809211731,0.0,0,R_A2,2018-01-01,302.4541320800781,30
15,302.5889587402344,STANDARD,16,1667.89306640625,22,0.9112345576286316,0.0,0,R_A2,2018-01-01,302.5889587402344,30
16,302.72381591796875,STANDARD,17,1669.903076171875,22,0.8750889301300049,0.0,0,R_A2,2018-01-01,302.72381591796875,30
17,303.02532958984375,STANDARD,17,1674.3975830078125,22,0.9273311495780945,0.0,0,R_A2,2018-01-01,303.02532958984375,29
18,303.1380920410156,STANDARD,18,1676.078125,22,0.9801082015037537,0.0,0,R_A2,2018-01-01,303.1380920410156,29
19,303.2384948730469,STANDARD,26,1677.574462890625,22,1.0,0.0,0,R_A2,2018-01-01,303.2384948730469,29
20,303.35400390625,STANDARD,27,1679.296142578125,22,1.0,0.0,0,R_A2,2018-01-01,303.35400390625,29
21,303.4695129394531,STANDARD,28,1681.0177001953125,22,0.6481541991233826,0.0,0,R_A2,2018-01-01,303.4695129394531,29
22,303.9331359863281,STANDARD,29,1682.7392578125,22,1.0,0.0,0,R_A2,2018-01-01,303.9331359863281,29
23,304.0962829589844,STANDARD,30,1684.4609375,22,1.0,0.0,0,R_A2,2018-01-01,304.0962829589844,29
1,298.7967529296875,STANDARD,1,1611.33740234375,28,0.6481541991233826,0.0,0,R_A3,2018-01-01,298.7967529296875,41
2,298.9259948730469,STANDARD,2,1613.265869140625,28,0.11823459714651108,0.0,0,R_A3,2018-01-01,298.9259948730469,41
3,298.2018127441406,STANDARD,2,1602.4599609375,29,0.11823459714651108,0.0,0,R_A3,2018-01-01,298.2018127441406,41
4,298.3377990722656,STANDARD,3,1604.4891357421875,29,0.11823459714651108,0.0,0,R_A3,2018-01-01,298.3377990722656,41
5,298.4737854003906,STANDARD,4,1606.518310546875,29,0.22038748860359192,0.0,0,R_A3,2018-01-01,298.4737854003906,41
6,298.6097717285156,STANDARD,5,1608.547607421875,29,0.8045964241027832,0.0,0,R_A3,2018-01-01,298.6097717285156,41
7,298.74578857421875,STANDARD,6,1610.576904296875,29,0.6481541991233826,0.0,0,R_A3,2018-01-01,298.74578857421875,41
8,298.88177490234375,STANDARD,7,1612.6060791015625,29,0.19422629475593567,0.0,0,R_A3,2018-01-01,298.88177490234375,41
9,299.0177917480469,STANDARD,8,1614.63525390625,29,0.1984609216451645,0.0,0,R_A3,2018-01-01,299.0177917480469,41
10,299.15380859375,STANDARD,9,1616.66455078125,29,0.7953522801399231,0.0,0,R_A3,2018-01-01,299.15380859375,41
11,299.2898254394531,STANDARD,10,1618.6937255859375,29,0.7942724823951721,0.0,0,R_A3,2018-01-01,299.2898254394531,41
12,299.4338073730469,STANDARD,11,1620.842041015625,29,0.04592350870370865,0.0,0,R_A3,2018-01-01,299.4338073730469,41
13,299.5858154296875,STANDARD,12,1623.1094970703125,29,0.05329180881381035,0.0,0,R_A3,2018-01-01,299.5858154296875,41
14,299.7378234863281,STANDARD,13,1625.376953125,29,0.36651942133903503,0.0,0,R_A3,2018-01-01,299.7378234863281,41
15,299.8898010253906,STANDARD,14,1627.6444091796875,29,0.18964305520057678,0.0,0,R_A3,2018-01-01,299.8898010253906,41
16,300.0418395996094,STANDARD,15,1629.911865234375,29,0.601466715335846,0.0,0,R_A3,2018-01-01,300.0418395996094,41
17,300.157470703125,STANDARD,16,1631.63671875,29,0.799645721912384,0.0,0,R_A3,2018-01-01,300.157470703125,41
18,300.3147277832031,STANDARD,26,1633.982421875,29,0.6670339107513428,0.0,0,R_A3,2018-01-01,300.3147277832031,41
19,300.5491027832031,STANDARD,27,1637.47802734375,29,0.04422510415315628,0.0,0,R_A3,2018-01-01,300.5491027832031,41
