CONIPOS,PRESSURE,DATE,DEPTH,CONBPRES,DRAWDOWN,CONJPOS,CONKPOS,SGAS,CONIDX,SWAT,WELL,WELLMODEL
22,300.8401184082031,2018-01-01,1641.70654296875,300.8401184082031,0,30,1,0.0,1,0.05357032269239426,R_A2,STANDARD
22,300.95733642578125,2018-01-01,1643.4549560546875,300.95733642578125,0,30,2,0.0,2,0.055257316678762436,R_A2,STANDARD
22,301.0745849609375,2018-01-01,1645.2032470703125,301.0745849609375,0,30,3,0.0,3,0.057874467223882675,R_A2,STANDARD
22,301.19183349609375,2018-01-01,1646.95166015625,301.19183349609375,0,30,4,0.0,4,0.06318919360637665,R_A2,STANDARD
22,301.30908203125,2018-01-01,1648.699951171875,301.30908203125,0,30,5,0.0,5,0.06711545586585999,R_A2,STANDARD
22,301.42633056640625,2018-01-01,1650.4482421875,301.42633056640625,0,30,6,0.0,6,0.6481541991233826,R_A2,STANDARD
22,301.5435791015625,2018-01-01,1652.196533203125,301.5435791015625,0,30,7,0.0,7,0.8727501630783081,R_A2,STANDARD
22,301.66082763671875,2018-01-01,1653.9449462890625,301.66082763671875,0,30,8,0.0,8,0.8687320351600647,R_A2,STANDARD
22,301.7781066894531,2018-01-01,1655.693359375,301.7781066894531,0,30,9,0.0,9,0.8814079761505127,R_A2,STANDARD
22,301.8953552246094,2018-01-01,1657.441650390625,301.8953552246094,0,30,10,0.0,10,0.8895811438560486,R_A2,STANDARD
22,302.0227355957031,2018-01-01,1659.340576171875,302.0227355957031,0,30,11,0.0,11,0.06881499290466309,R_A2,STANDARD
22,302.16021728515625,2018-01-01,1661.39013671875,302.16021728515625,0,30,12,0.0,12,0.11762283742427826,R_A2,STANDARD
22,302.2976989746094,2018-01-01,1663.439697265625,302.2976989746094,0,30,13,0.0,13,0.4346979856491089,R_A2,STANDARD
22,302.4351806640625,2018-01-01,1665.4892578125,302.4351806640625,0,30,14,0.0,14,0.4737549424171448,R_A2,STANDARD
22,302.5726623535156,2018-01-01,1667.538818359375,302.5726623535156,0,30,15,0.0,15,0.9048773050308228,R_A2,STANDARD
22,302.7101745605469,2018-01-01,1669.58837890625,302.7101745605469,0,30,16,0.0,16,0.9257503151893616,R_A2,STANDARD
22,302.84765625,2018-01-01,1671.637939453125,302.84765625,0,30,17,0.0,17,0.8748809695243835,R_A2,STANDARD
22,303.0452880859375,2018-01-01,1674.583740234375,303.0452880859375,0,29,17,0.0,18,0.9350529909133911,R_A2,STANDARD
22,303.1691589355469,2018-01-01,1676.4296875,303.1691589355469,0,29,18,0.0,19,0.9915668368339539,R_A2,STANDARD
22,303.2821350097656,2018-01-01,1678.113525390625,303.2821350097656,0,29,26,0.0,20,1.0,R_A2,STANDARD
22,303.400390625,2018-01-01,1679.8760986328125,303.400390625,0,29,27,0.0,21,1.0,R_A2,STANDARD
22,303.8288269042969,2018-01-01,1681.638671875,303.8288269042969,0,29,28,0.0,22,1.0,R_A2,STANDARD
22,303.995849609375,2018-01-01,1683.4012451171875,303.995849609375,0,29,29,0.0,23,1.0,R_A2,STANDARD
22,304.1628723144531,2018-01-01,1685.163818359375,304.1628723144531,0,29,30,0.0,24,1.0,R_A2,STANDARD
28,298.61236572265625,2018-01-01,1608.474853515625,298.61236572265625,0,41,1,0.0,1,0.6481541991233826,R_A3,STANDARD
28,298.7482604980469,2018-01-01,1610.50244140625,298.7482604980469,0,41,2,0.0,2,0.14687711000442505,R_A3,STANDARD
29,298.1202697753906,2018-01-01,1601.1317138671875,298.1202697753906,0,41,2,0.0,3,0.16074232757091522,R_A3,STANDARD
29,298.2665710449219,2018-01-01,1603.314697265625,298.2665710449219,0,41,3,0.0,4,0.11823459714651108,R_A3,STANDARD
29,298.412841796875,2018-01-01,1605.4976806640625,298.412841796875,0,41,4,0.0,5,0.1854153573513031,R_A3,STANDARD
29,298.55914306640625,2018-01-01,1607.6806640625,298.55914306640625,0,41,5,0.0,6,0.8038927912712097,R_A3,STANDARD
29,298.7054443359375,2018-01-01,1609.8636474609375,298.7054443359375,0,41,6,0.0,7,0.6481541991233826,R_A3,STANDARD
