WELLMODEL,DEPTH,WELL,SWAT,SGAS,CONIDX,CONKPOS,CONJPOS,CONIPOS,DRAWDOWN,CONBPRES,DATE,PRESSURE
STANDARD,1640.478759765625,R_A2,0.053267426788806915,0.0,1,1,30,22,0,300.7370300292969,2018-01-01,300.7370300292969
STANDARD,1642.2222900390625,R_A2,0.05479063093662262,0.0,2,2,30,22,0,300.85394287109375,2018-01-01,300.85394287109375
STANDARD,1643.9658203125,R_A2,0.058122072368860245,0.0,3,3,30,22,0,300.97088623046875,2018-01-01,300.97088623046875
STANDARD,1645.70947265625,R_A2,0.06376174837350845,0.0,4,4,30,22,0,301.0877990722656,2018-01-01,301.0877990722656
STANDARD,1647.452880859375,R_A2,0.06797471642494202,0.0,5,5,30,22,0,301.2047119140625,2018-01-01,301.2047119140625
STANDARD,1649.1964111328125,R_A2,0.6481541991233826,0.0,6,6,30,22,0,301.3216247558594,2018-01-01,301.3216247558594
STANDARD,1650.93994140625,R_A2,0.8814419507980347,0.0,7,7,30,22,0,301.4385681152344,2018-01-01,301.4385681152344
STANDARD,1652.68359375,R_A2,0.8645488023757935,0.0,8,8,30,22,0,301.5555114746094,2018-01-01,301.5555114746094
STANDARD,1654.4271240234375,R_A2,0.8776916265487671,0.0,9,9,30,22,0,301.6724548339844,2018-01-01,301.6724548339844
STANDARD,1656.1707763671875,R_A2,0.6481541991233826,0.0,10,10,30,22,0,301.7893981933594,2018-01-01,301.7893981933594
STANDARD,1658.0550537109375,R_A2,0.06855292618274689,0.0,11,11,30,22,0,301.915771484375,2018-01-01,301.915771484375
STANDARD,1660.0802001953125,R_A2,0.12520276010036469,0.0,12,12,30,22,0,302.0516052246094,2018-01-01,302.0516052246094
STANDARD,1662.105224609375,R_A2,0.42539921402931213,0.0,13,13,30,22,0,302.18743896484375,2018-01-01,302.18743896484375
STANDARD,1664.13037109375,R_A2,0.4692119359970093,0.0,14,14,30,22,0,302.3232727050781,2018-01-01,302.3232727050781
STANDARD,1666.1553955078125,R_A2,0.9092815518379211,0.0,15,15,30,22,0,302.4591369628906,2018-01-01,302.4591369628906
STANDARD,1668.1805419921875,R_A2,0.9161890745162964,0.0,16,16,30,22,0,302.594970703125,2018-01-01,302.594970703125
STANDARD,1670.2056884765625,R_A2,0.8894445300102234,0.0,17,17,30,22,0,302.7308349609375,2018-01-01,302.7308349609375
STANDARD,1672.6943359375,R_A2,0.905880331993103,0.0,18,17,29,22,0,302.8977966308594,2018-01-01,302.8977966308594
STANDARD,1674.5677490234375,R_A2,0.965826690196991,0.0,19,18,29,22,0,303.0234680175781,2018-01-01,303.0234680175781
STANDARD,1676.4000244140625,R_A2,0.6481541991233826,0.0,20,26,29,22,0,303.14642333984375,2018-01-01,303.14642333984375
STANDARD,1678.189697265625,R_A2,0.8313435912132263,0.0,21,27,29,22,0,303.2664794921875,2018-01-01,303.2664794921875
STANDARD,1679.9793701171875,R_A2,1.0,0.0,22,28,29,22,0,303.3865661621094,2018-01-01,303.3865661621094
STANDARD,1681.7691650390625,R_A2,1.0,0.0,23,29,29,22,0,303.8411865234375,2018-01-01,303.8411865234375
STANDARD,1683.558837890625,R_A2,1.0,0.0,24,30,29,22,0,304.0107727050781,2018-01-01,304.0107727050781
STANDARD,1609.07861328125,R_A3,0.2918858528137207,0.0,1,1,41,28,0,298.6321105957031,2018-01-01,298.6321105957031
STANDARD,1611.10205078125,R_A3,0.1745888888835907,0.0,2,2,41,28,0,298.7677307128906,2018-01-01,298.7677307128906
STANDARD,1613.12548828125,R_A3,0.11823459714651108,0.0,3,3,41,28,0,298.9033203125,2018-01-01,298.9033203125
STANDARD,1615.14892578125,R_A3,0.08437979221343994,0.0,4,4,41,28,0,299.0389404296875,2018-01-01,299.0389404296875
STANDARD,1607.228515625,R_A3,0.1399109959602356,0.0,5,4,41,29,0,298.50811767578125,2018-01-01,298.50811767578125
STANDARD,1609.2293701171875,R_A3,0.8045383095741272,0.0,6,5,41,29,0,298.6422119140625,2018-01-01,298.6422119140625
STANDARD,1611.230224609375,R_A3,0.27795782685279846,0.0,7,6,41,29,0,298.77630615234375,2018-01-01,298.77630615234375
STANDARD,1613.23095703125,R_A3,0.1955212950706482,0.0,8,7,41,29,0,298.910400390625,2018-01-01,298.910400390625
STANDARD,1615.2318115234375,R_A3,0.1949421465396881,0.0,9,8,41,29,0,299.04449462890625,2018-01-01,299.04449462890625
STANDARD,1617.232666015625,R_A3,0.8003747463226318,0.0,10,9,41,29,0,299.1786193847656,2018-01-01,299.1786193847656
STANDARD,1619.2333984375,R_A3,0.8063037395477295,0.0,11,10,41,29,0,299.3127136230469,2018-01-01,299.3127136230469
STANDARD,1621.363525390625,R_A3,0.04855683445930481,0.0,12,11,41,29,0,299.45550537109375,2018-01-01,299.45550537109375
STANDARD,1623.6229248046875,R_A3,0.0544118657708168,0.0,13,12,41,29,0,299.6069641113281,2018-01-01,299.6069641113281
STANDARD,1625.88232421875,R_A3,0.36562782526016235,0.0,14,13,41,29,0,299.7584228515625,2018-01-01,299.7584228515625
STANDARD,1628.1417236328125,R_A3,0.26230940222740173,0.0,15,14,41,29,0,299.9098815917969,2018-01-01,299.9098815917969
STANDARD,1630.401123046875,R_A3,0.5068557858467102,0.0,16,15,41,29,0,300.0613708496094,2018-01-01,300.0613708496094
STANDARD,1632.1910400390625,R_A3,0.8074699640274048,0.0,17,16,41,29,0,300.1813659667969,2018-01-01,300.1813659667969
STANDARD,1634.587158203125,R_A3,0.2894487977027893,0.0,18,26,41,29,0,300.3420104980469,2018-01-01,300.3420104980469
STANDARD,1638.05908203125,R_A3,0.04268346354365349,0.0,19,27,41,29,0,300.5747985839844,2018-01-01,300.5747985839844
STANDARD,1641.531005859375,R_A3,0.04773148149251938,0.0,20,28,41,29,0,300.8076171875,2018-01-01,300.8076171875
STANDARD,1645.0030517578125,R_A3,0.6481541991233826,0.0,21,29,41,29,0,301.0404357910156,2018-01-01,301.0404357910156
STANDARD,1648.4749755859375,R_A3,0.10103058815002441,0.0,22,30,41,29,0,301.27325439453125,2018-01-01,301.27325439453125
STANDARD,1631.3935546875,R_A4,0.04904869571328163,0.0,1,1,52,30,0,300.1278991699219,2018-01-01,300.1278991699219
STANDARD,1626.059326171875,R_A4,0.048087239265441895,0.0,2,1,52,31,0,299.7702941894531,2018-01-01,299.7702941894531
STANDARD,1628.1572265625,R_A4,0.04833627864718437,0.0,3,2,52,31,0,299.9109191894531,2018-01-01,299.9109191894531
STANDARD,1630.255126953125,R_A4,0.050067100673913956,0.0,4,3,52,31,0,300.05157470703125,2018-01-01,300.05157470703125
STANDARD,1632.3529052734375,R_A4,0.052020907402038574,0.0,5,4,52,31,0,300.1922302246094,2018-01-01,300.1922302246094
STANDARD,1634.4508056640625,R_A4,0.05279035121202469,0.0,6,5,52,31,0,300.3328857421875,2018-01-01,300.3328857421875
STANDARD,1631.981689453125,R_A4,0.05295524746179581,0.0,7,5,52,32,0,300.1673278808594,2018-01-01,300.1673278808594
STANDARD,1635.7630615234375,R_A4,0.054922349750995636,0.0,8,5,51,32,0,300.42083740234375,2018-01-01,300.42083740234375
STANDARD,1636.843017578125,R_A4,0.05823883041739464,0.0,9,5,51,33,0,300.4932556152344,2018-01-01,300.4932556152344
STANDARD,1634.9859619140625,R_A4,0.055184055119752884,0.0,10,4,51,33,0,300.3687438964844,2018-01-01,300.3687438964844
STANDARD,1642.576416015625,R_A4,0.06193670630455017,0.0,11,5,50,33,0,300.8777160644531,2018-01-01,300.8777160644531
STANDARD,1641.53564453125,R_A4,0.06121925637125969,0.0,12,5,50,34,0,300.80792236328125,2018-01-01,300.80792236328125
STANDARD,1639.638427734375,R_A4,0.06027799844741821,0.0,13,4,50,34,0,300.6806945800781,2018-01-01,300.6806945800781
STANDARD,1640.103759765625,R_A4,0.056619200855493546,0.0,14,4,50,35,0,300.7119140625,2018-01-01,300.7119140625
STANDARD,1638.298095703125,R_A4,0.18040040135383606,0.0,15,3,50,35,0,300.5908203125,2018-01-01,300.5908203125
STANDARD,1643.21630859375,R_A4,0.182789146900177,0.0,16,3,49,35,0,300.9206237792969,2018-01-01,300.9206237792969
