CONKPOS,CONIDX,SGAS,WELL,DEPTH,CONJPOS,DATE,DRAWDOWN,CONBPRES,PRESSURE,SWAT,CONIPOS,WELLMODEL
1,1,0.0,R_A2,1642.0123291015625,30,2018-01-01,0,300.7633056640625,300.7633056640625,0.05664391070604324,22,STANDARD
2,2,0.0,R_A2,1643.7734375,30,2018-01-01,0,300.8813781738281,300.8813781738281,0.05897284671664238,22,STANDARD
3,3,0.0,R_A2,1645.5345458984375,30,2018-01-01,0,300.9994812011719,300.9994812011719,0.06255260854959488,22,STANDARD
4,4,0.0,R_A2,1647.2955322265625,30,2018-01-01,0,301.1175842285156,301.1175842285156,0.06760779768228531,22,STANDARD
5,5,0.0,R_A2,1649.056640625,30,2018-01-01,0,301.23565673828125,301.23565673828125,0.07189280539751053,22,STANDARD
6,6,0.0,R_A2,1650.817626953125,30,2018-01-01,0,301.353759765625,301.353759765625,0.3162052035331726,22,STANDARD
7,7,0.0,R_A2,1652.5787353515625,30,2018-01-01,0,301.47186279296875,301.47186279296875,0.8930172920227051,22,STANDARD
8,8,0.0,R_A2,1654.3397216796875,30,2018-01-01,0,301.5899658203125,301.5899658203125,0.8862094879150391,22,STANDARD
9,9,0.0,R_A2,1656.100830078125,30,2018-01-01,0,301.7080993652344,301.7080993652344,0.9054049849510193,22,STANDARD
10,10,0.0,R_A2,1657.86181640625,30,2018-01-01,0,301.8262023925781,301.8262023925781,0.9024861454963684,22,STANDARD
11,11,0.0,R_A2,1659.7672119140625,30,2018-01-01,0,301.9540100097656,301.9540100097656,0.07608969509601593,22,STANDARD
12,12,0.0,R_A2,1661.81689453125,30,2018-01-01,0,302.09149169921875,302.09149169921875,0.0797543004155159,22,STANDARD
13,13,0.0,R_A2,1663.86669921875,30,2018-01-01,0,302.2289733886719,302.2289733886719,0.4565117061138153,22,STANDARD
14,14,0.0,R_A2,1665.91650390625,30,2018-01-01,0,302.3664855957031,302.3664855957031,0.4983226954936981,22,STANDARD
15,15,0.0,R_A2,1667.9661865234375,30,2018-01-01,0,302.50396728515625,302.50396728515625,0.9561939835548401,22,STANDARD
16,16,0.0,R_A2,1670.015869140625,30,2018-01-01,0,302.6414794921875,302.6414794921875,0.9800264239311218,22,STANDARD
16,17,0.0,R_A2,1673.80908203125,29,2018-01-01,0,302.8959655761719,302.8959655761719,1.0,22,STANDARD
17,18,0.0,R_A2,1675.990234375,29,2018-01-01,0,303.04229736328125,303.04229736328125,0.9999932050704956,22,STANDARD
18,19,0.0,R_A2,1677.5626220703125,29,2018-01-01,0,303.1477966308594,303.1477966308594,1.0,22,STANDARD
27,20,0.0,R_A2,1678.902587890625,29,2018-01-01,0,303.5695495605469,303.5695495605469,1.0,22,STANDARD
28,21,0.0,R_A2,1680.618896484375,29,2018-01-01,0,303.7322082519531,303.7322082519531,1.0,22,STANDARD
29,22,0.0,R_A2,1682.3353271484375,29,2018-01-01,0,303.89483642578125,303.89483642578125,1.0,22,STANDARD
30,23,0.0,R_A2,1684.0516357421875,29,2018-01-01,0,304.0574951171875,304.0574951171875,1.0,22,STANDARD
31,24,0.0,R_A2,1685.7679443359375,29,2018-01-01,0,304.2201232910156,304.2201232910156,1.0,22,STANDARD
1,1,0.0,R_A3,1607.3372802734375,41,2018-01-01,0,298.4388732910156,298.4388732910156,0.22537420690059662,28,STANDARD
2,2,0.0,R_A3,1609.3201904296875,41,2018-01-01,0,298.5717468261719,298.5717468261719,0.1945733278989792,28,STANDARD
3,3,0.0,R_A3,1611.302978515625,41,2018-01-01,0,298.70465087890625,298.70465087890625,0.11823459714651108,28,STANDARD
3,4,0.0,R_A3,1604.7686767578125,41,2018-01-01,0,298.2667541503906,298.2667541503906,0.18722301721572876,29,STANDARD
4,5,0.0,R_A3,1606.8104248046875,41,2018-01-01,0,298.403564453125,298.403564453125,0.27210068702697754,29,STANDARD
5,6,0.0,R_A3,1608.8521728515625,41,2018-01-01,0,298.5404052734375,298.5404052734375,0.812458336353302,29,STANDARD
6,7,0.0,R_A3,1610.89404296875,41,2018-01-01,0,298.67724609375,298.67724609375,0.6508286595344543,29,STANDARD
7,8,0.0,R_A3,1612.935791015625,41,2018-01-01,0,298.8140869140625,298.8140869140625,0.19697876274585724,29,STANDARD
8,9,0.0,R_A3,1614.9775390625,41,2018-01-01,0,298.950927734375,298.950927734375,0.19736388325691223,29,STANDARD
9,10,0.0,R_A3,1617.0194091796875,41,2018-01-01,0,299.0877685546875,299.0877685546875,0.8015530705451965,29,STANDARD
10,11,0.0,R_A3,1619.0611572265625,41,2018-01-01,0,299.2246398925781,299.2246398925781,0.8060191869735718,29,STANDARD
11,12,0.0,R_A3,1621.263427734375,41,2018-01-01,0,299.37225341796875,299.37225341796875,0.04779284819960594,29,STANDARD
12,13,0.0,R_A3,1623.626220703125,41,2018-01-01,0,299.5306396484375,299.5306396484375,0.05668473243713379,29,STANDARD
13,14,0.0,R_A3,1625.989013671875,41,2018-01-01,0,299.68902587890625,299.68902587890625,0.37355929613113403,29,STANDARD
15,15,0.0,R_A3,1630.7147216796875,41,2018-01-01,0,300.0058288574219,300.0058288574219,0.4981822967529297,29,STANDARD
16,16,0.0,R_A3,1632.4453125,41,2018-01-01,0,300.121826171875,300.121826171875,0.800561249256134,29,STANDARD
27,17,0.0,R_A3,1634.75830078125,41,2018-01-01,0,300.27691650390625,300.27691650390625,0.1729843020439148,29,STANDARD
28,18,0.0,R_A3,1638.2857666015625,41,2018-01-01,0,300.513427734375,300.513427734375,0.044291019439697266,29,STANDARD
29,19,0.0,R_A3,1641.813232421875,41,2018-01-01,0,300.74993896484375,300.74993896484375,0.05130726471543312,29,STANDARD
30,20,0.0,R_A3,1645.340576171875,41,2018-01-01,0,300.9864807128906,300.9864807128906,1.0,29,STANDARD
31,21,0.0,R_A3,1648.8680419921875,41,2018-01-01,0,301.2230224609375,301.2230224609375,0.06530684232711792,29,STANDARD
1,1,0.0,R_A4,1630.6932373046875,52,2018-01-01,0,300.0043640136719,300.0043640136719,0.05113748088479042,30,STANDARD
1,2,0.0,R_A4,1627.104248046875,52,2018-01-01,0,299.7637634277344,299.7637634277344,0.04925215244293213,31,STANDARD
2,3,0.0,R_A4,1629.1634521484375,52,2018-01-01,0,299.9018249511719,299.9018249511719,0.05133464187383652,31,STANDARD
3,4,0.0,R_A4,1631.22265625,52,2018-01-01,0,300.0398864746094,300.0398864746094,0.05278053879737854,31,STANDARD
4,5,0.0,R_A4,1633.281982421875,52,2018-01-01,0,300.1779479980469,300.1779479980469,0.05437096953392029,31,STANDARD
4,6,0.0,R_A4,1631.157470703125,52,2018-01-01,0,300.0354919433594,300.0354919433594,0.05306664854288101,32,STANDARD
5,7,0.0,R_A4,1633.06689453125,52,2018-01-01,0,300.16351318359375,300.16351318359375,0.055698368698358536,32,STANDARD
5,8,0.0,R_A4,1635.1854248046875,51,2018-01-01,0,300.3055419921875,300.3055419921875,0.09933419525623322,32,STANDARD
5,9,0.0,R_A4,1634.4072265625,51,2018-01-01,0,300.2533874511719,300.2533874511719,0.2421284168958664,33,STANDARD
6,10,0.0,R_A4,1636.276611328125,51,2018-01-01,0,300.37872314453125,300.37872314453125,0.2624686360359192,33,STANDARD
6,11,0.0,R_A4,1640.73291015625,50,2018-01-01,0,300.677490234375,300.677490234375,0.6481541991233826,33,STANDARD
6,12,0.0,R_A4,1640.6005859375,50,2018-01-01,0,300.66864013671875,300.66864013671875,0.6481541991233826,34,STANDARD
5,13,0.0,R_A4,1638.742431640625,50,2018-01-01,0,300.5440368652344,300.5440368652344,0.06296864151954651,34,STANDARD
5,14,0.0,R_A4,1642.564697265625,50,2018-01-01,0,300.8003234863281,300.8003234863281,0.08059598505496979,35,STANDARD
4,15,0.0,R_A4,1640.781982421875,50,2018-01-01,0,300.6807861328125,300.6807861328125,0.23204973340034485,35,STANDARD
3,16,0.0,R_A4,1638.9991455078125,50,2018-01-01,0,300.5612487792969,300.5612487792969,0.20313619077205658,35,STANDARD
3,17,0.0,R_A4,1641.8369140625,49,2018-01-01,0,300.75152587890625,300.75152587890625,0.23712722957134247,35,STANDARD
2,18,0.0,R_A4,1639.960693359375,49,2018-01-01,0,300.625732421875,300.625732421875,0.1810256838798523,35,STANDARD
30,19,0.0,R_A4,1644.268310546875,49,2018-01-01,0,300.9145812988281,300.9145812988281,0.06086426228284836,36,STANDARD
30,20,0.0,R_A4,1642.1470947265625,48,2018-01-01,0,300.7723388671875,300.7723388671875,0.2329428642988205,36,STANDARD
30,21,0.0,R_A4,1649.9071044921875,48,2018-01-01,0,301.2926940917969,301.2926940917969,0.20937466621398926,37,STANDARD
29,22,0.0,R_A4,1644.111328125,48,2018-01-01,0,300.904052734375,300.904052734375,0.6926683783531189,37,STANDARD
29,23,0.0,R_A4,1648.8485107421875,48,2018-01-01,0,301.2217102050781,301.2217102050781,0.3123231828212738,38,STANDARD
30,24,0.0,R_A4,1654.6639404296875,48,2018-01-01,0,301.6117248535156,301.6117248535156,0.1699594259262085,38,STANDARD
29,25,0.0,R_A4,1656.1253662109375,47,2018-01-01,0,301.7097473144531,301.7097473144531,0.6481541991233826,38,STANDARD
1,1,0.0,R_A5,1684.3292236328125,20,2018-01-01,0,303.77801513671875,303.77801513671875,1.0,31,STANDARD
2,2,0.0,R_A5,1686.5216064453125,20,2018-01-01,0,303.98577880859375,303.98577880859375,1.0,31,STANDARD
3,3,0.0,R_A5,1688.7139892578125,20,2018-01-01,0,304.1935119628906,304.1935119628906,1.0,31,STANDARD
4,4,0.0,R_A5,1690.9063720703125,20,2018-01-01,0,304.4012756347656,304.4012756347656,1.0,31,STANDARD
5,5,0.0,R_A5,1693.0987548828125,20,2018-01-01,0,304.6090393066406,304.6090393066406,1.0,31,STANDARD
6,6,0.0,R_A5,1695.2911376953125,20,2018-01-01,0,304.8168029785156,304.8168029785156,1.0,31,STANDARD
7,7,0.0,R_A5,1697.4835205078125,20,2018-01-01,0,305.3303527832031,305.3303527832031,1.0,31,STANDARD
11,8,0.0,R_A5,1706.1617431640625,20,2018-01-01,0,305.84710693359375,305.84710693359375,1.0,31,STANDARD
12,9,0.0,R_A5,1703.49755859375,21,2018-01-01,0,305.5946350097656,305.5946350097656,1.0,31,STANDARD
13,10,0.0,R_A5,1705.44189453125,21,2018-01-01,0,305.7908630371094,305.7908630371094,1.0,31,STANDARD
14,11,0.0,R_A5,1707.38623046875,21,2018-01-01,0,305.9751281738281,305.9751281738281,1.0,31,STANDARD
15,12,0.0,R_A5,1709.33056640625,21,2018-01-01,0,306.1593933105469,306.1593933105469,1.0,31,STANDARD
16,13,0.0,R_A5,1711.27490234375,21,2018-01-01,0,306.4886779785156,306.4886779785156,1.0,31,STANDARD
17,14,0.0,R_A5,1713.21923828125,21,2018-01-01,0,306.6729431152344,306.6729431152344,1.0,31,STANDARD
18,15,0.0,R_A5,1714.82373046875,21,2018-01-01,0,306.82501220703125,306.82501220703125,1.0,31,STANDARD
27,16,0.0,R_A5,1716.7071533203125,21,2018-01-01,0,306.8464050292969,306.8464050292969,1.0,31,STANDARD
28,17,0.0,R_A5,1718.9755859375,21,2018-01-01,0,307.0614013671875,307.0614013671875,1.0,31,STANDARD
29,18,0.0,R_A5,1721.2440185546875,21,2018-01-01,0,307.5821838378906,307.5821838378906,1.0,31,STANDARD
30,19,0.0,R_A5,1723.512451171875,21,2018-01-01,0,307.79718017578125,307.79718017578125,1.0,31,STANDARD
31,20,0.0,R_A5,1725.7808837890625,21,2018-01-01,0,308.0121765136719,308.0121765136719,1.0,31,STANDARD
1,1,0.0,R_A6,1695.280029296875,42,2018-01-01,0,305.12152099609375,305.12152099609375,1.0,17,STANDARD
2,2,0.0,R_A6,1696.833984375,42,2018-01-01,0,305.268798828125,305.268798828125,1.0,17,STANDARD
3,3,0.0,R_A6,1698.3880615234375,42,2018-01-01,0,305.41607666015625,305.41607666015625,1.0,17,STANDARD
4,4,0.0,R_A6,1699.9420166015625,42,2018-01-01,0,305.5633239746094,305.5633239746094,1.0,17,STANDARD
5,5,0.0,R_A6,1701.4959716796875,42,2018-01-01,0,305.7106018066406,305.7106018066406,1.0,17,STANDARD
6,6,0.0,R_A6,1703.0499267578125,42,2018-01-01,0,305.8578796386719,305.8578796386719,1.0,17,STANDARD
7,7,0.0,R_A6,1704.60400390625,42,2018-01-01,0,305.70611572265625,305.70611572265625,1.0,17,STANDARD
8,8,0.0,R_A6,1706.157958984375,42,2018-01-01,0,306.1524353027344,306.1524353027344,1.0,17,STANDARD
9,9,0.0,R_A6,1707.7119140625,42,2018-01-01,0,306.2996826171875,306.2996826171875,1.0,17,STANDARD
10,10,0.0,R_A6,1709.2659912109375,42,2018-01-01,0,306.14117431640625,306.14117431640625,1.0,17,STANDARD
11,11,0.0,R_A6,1711.237548828125,42,2018-01-01,0,306.3281555175781,306.3281555175781,1.0,17,STANDARD
12,12,0.0,R_A6,1713.626708984375,42,2018-01-01,0,306.5545959472656,306.5545959472656,1.0,17,STANDARD
13,13,0.0,R_A6,1716.015869140625,42,2018-01-01,0,306.7929992675781,306.7929992675781,1.0,17,STANDARD
14,14,0.0,R_A6,1718.405029296875,42,2018-01-01,0,307.0194091796875,307.0194091796875,1.0,17,STANDARD
15,15,0.0,R_A6,1720.794189453125,42,2018-01-01,0,307.245849609375,307.245849609375,1.0,17,STANDARD
16,16,0.0,R_A6,1723.183349609375,42,2018-01-01,0,307.6173095703125,307.6173095703125,1.0,17,STANDARD
17,17,0.0,R_A6,1725.563232421875,42,2018-01-01,0,307.8428649902344,307.8428649902344,1.0,17,STANDARD
18,18,0.0,R_A6,1726.919677734375,42,2018-01-01,0,307.9714050292969,307.9714050292969,1.0,17,STANDARD
27,19,0.0,R_A6,1727.957275390625,42,2018-01-01,0,307.91265869140625,307.91265869140625,1.0,17,STANDARD
28,20,0.0,R_A6,1729.6903076171875,42,2018-01-01,0,308.3826904296875,308.3826904296875,1.0,17,STANDARD
29,21,0.0,R_A6,1731.42333984375,42,2018-01-01,0,308.5469665527344,308.5469665527344,1.0,17,STANDARD
30,22,0.0,R_A6,1733.15625,42,2018-01-01,0,308.7112121582031,308.7112121582031,1.0,17,STANDARD
31,23,0.0,R_A6,1734.8892822265625,42,2018-01-01,0,308.5696716308594,308.5696716308594,1.0,17,STANDARD
1,1,0.0,R_A2,1642.0123291015625,30,2018-03-01,0,297.1416931152344,297.1416931152344,0.0566633939743042,22,STANDARD
2,2,0.0,R_A2,1643.7734375,30,2018-03-01,0,297.2597351074219,297.2597351074219,0.05899040400981903,22,STANDARD
3,3,0.0,R_A2,1645.5345458984375,30,2018-03-01,0,297.3777770996094,297.3777770996094,0.0625804141163826,22,STANDARD
4,4,0.0,R_A2,1647.2955322265625,30,2018-03-01,0,297.4958190917969,297.4958190917969,0.06764248758554459,22,STANDARD
5,5,0.0,R_A2,1649.056640625,30,2018-03-01,0,297.6138610839844,297.6138610839844,0.071968212723732,22,STANDARD
6,6,0.0,R_A2,1650.817626953125,30,2018-03-01,0,297.7461853027344,297.7461853027344,0.3164042830467224,22,STANDARD
7,7,0.0,R_A2,1652.5787353515625,30,2018-03-01,0,297.8717956542969,297.8717956542969,0.8928995728492737,22,STANDARD
8,8,0.0,R_A2,1654.3397216796875,30,2018-03-01,0,297.9948425292969,297.9948425292969,0.8860844969749451,22,STANDARD
9,9,0.0,R_A2,1656.100830078125,30,2018-03-01,0,298.3486328125,298.3486328125,0.9053078889846802,22,STANDARD
10,10,0.0,R_A2,1657.86181640625,30,2018-03-01,0,298.8004455566406,298.8004455566406,0.9023392200469971,22,STANDARD
11,11,0.0,R_A2,1659.7672119140625,30,2018-03-01,0,299.2028503417969,299.2028503417969,0.07614310085773468,22,STANDARD
