CONIPOS,DRAWDOWN,PRESSURE,SWAT,CONJPOS,CONKPOS,DATE,CONIDX,WELL,DEPTH,WELLMODEL,SGAS,CONBPRES
22,0,300.78424072265625,0.05326991528272629,30,1,2018-01-01,1,R_A2,1640.7991943359375,STANDARD,0.0,300.78424072265625
22,0,300.9023742675781,0.055021848529577255,30,2,2018-01-01,2,R_A2,1642.5609130859375,STANDARD,0.0,300.9023742675781
22,0,301.0205078125,0.05911906063556671,30,3,2018-01-01,3,R_A2,1644.32275390625,STANDARD,0.0,301.0205078125
22,0,301.138671875,0.06338769942522049,30,4,2018-01-01,4,R_A2,1646.0845947265625,STANDARD,0.0,301.138671875
22,0,301.2568054199219,0.066432885825634,30,5,2018-01-01,5,R_A2,1647.8463134765625,STANDARD,0.0,301.2568054199219
22,0,301.3749694824219,0.30460500717163086,30,6,2018-01-01,6,R_A2,1649.608154296875,STANDARD,0.0,301.3749694824219
22,0,301.4931335449219,0.8723024129867554,30,7,2018-01-01,7,R_A2,1651.3699951171875,STANDARD,0.0,301.4931335449219
22,0,301.61126708984375,0.8581149578094482,30,8,2018-01-01,8,R_A2,1653.1318359375,STANDARD,0.0,301.61126708984375
22,0,301.72943115234375,0.6481541991233826,30,9,2018-01-01,9,R_A2,1654.8935546875,STANDARD,0.0,301.72943115234375
22,0,301.84759521484375,0.888663649559021,30,10,2018-01-01,10,R_A2,1656.6553955078125,STANDARD,0.0,301.84759521484375
22,0,301.97412109375,0.06724534928798676,30,11,2018-01-01,11,R_A2,1658.5416259765625,STANDARD,0.0,301.97412109375
22,0,302.1089782714844,0.07008547335863113,30,12,2018-01-01,12,R_A2,1660.5523681640625,STANDARD,0.0,302.1089782714844
22,0,302.2438659667969,0.4289994537830353,30,13,2018-01-01,13,R_A2,1662.5631103515625,STANDARD,0.0,302.2438659667969
22,0,302.3787536621094,0.4692521393299103,30,14,2018-01-01,14,R_A2,1664.5738525390625,STANDARD,0.0,302.3787536621094
22,0,302.5136413574219,0.5373170375823975,30,15,2018-01-01,15,R_A2,1666.5845947265625,STANDARD,0.0,302.5136413574219
22,0,302.6485290527344,0.9282511472702026,30,16,2018-01-01,16,R_A2,1668.5953369140625,STANDARD,0.0,302.6485290527344
22,0,302.7834167480469,0.8641847372055054,30,17,2018-01-01,17,R_A2,1670.6060791015625,STANDARD,0.0,302.7834167480469
22,0,302.86181640625,0.893471360206604,29,17,2018-01-01,18,R_A2,1671.774658203125,STANDARD,0.0,302.86181640625
22,0,302.99176025390625,0.9337443709373474,29,18,2018-01-01,19,R_A2,1673.711669921875,STANDARD,0.0,302.99176025390625
22,0,303.0645751953125,0.9278611540794373,29,19,2018-01-01,20,R_A2,1674.7967529296875,STANDARD,0.0,303.0645751953125
22,0,303.1369934082031,1.0,29,25,2018-01-01,21,R_A2,1675.8763427734375,STANDARD,0.0,303.1369934082031
22,0,303.2586975097656,1.0,29,26,2018-01-01,22,R_A2,1677.6904296875,STANDARD,0.0,303.2586975097656
22,0,303.38043212890625,1.0,29,27,2018-01-01,23,R_A2,1679.5045166015625,STANDARD,0.0,303.38043212890625
22,0,303.5021667480469,1.0,29,28,2018-01-01,24,R_A2,1681.318603515625,STANDARD,0.0,303.5021667480469
