CONIDX,CONJPOS,PRESSURE,DATE,WELL,CONKPOS,SWAT,DRAWDOWN,CONIPOS,SGAS,DEPTH,WELLMODEL,CONBPRES
1,30,300.74755859375,2018-01-01,R_A2,1,0.052415043115615845,0,22,0.0,1640.6810302734375,STANDARD,300.74755859375
2,30,300.87078857421875,2018-01-01,R_A2,2,0.056669872254133224,0,22,0.0,1642.5185546875,STANDARD,300.87078857421875
3,30,300.9939880371094,2018-01-01,R_A2,3,0.05847010388970375,0,22,0.0,1644.3560791015625,STANDARD,300.9939880371094
4,30,301.1172180175781,2018-01-01,R_A2,4,0.06435690075159073,0,22,0.0,1646.193603515625,STANDARD,301.1172180175781
5,30,301.2404479980469,2018-01-01,R_A2,5,0.06702501326799393,0,22,0.0,1648.0311279296875,STANDARD,301.2404479980469
6,30,301.3636779785156,2018-01-01,R_A2,6,0.30219051241874695,0,22,0.0,1649.86865234375,STANDARD,301.3636779785156
7,30,301.4869079589844,2018-01-01,R_A2,7,0.8713682889938354,0,22,0.0,1651.7061767578125,STANDARD,301.4869079589844
8,30,301.6101379394531,2018-01-01,R_A2,8,0.8632603287696838,0,22,0.0,1653.543701171875,STANDARD,301.6101379394531
9,30,301.7333984375,2018-01-01,R_A2,9,0.8728899359703064,0,22,0.0,1655.3812255859375,STANDARD,301.7333984375
10,30,301.85662841796875,2018-01-01,R_A2,10,0.8931909203529358,0,22,0.0,1657.21875,STANDARD,301.85662841796875
11,30,301.98828125,2018-01-01,R_A2,11,0.07177047431468964,0,22,0.0,1659.181396484375,STANDARD,301.98828125
12,30,302.2683410644531,2018-01-01,R_A2,13,0.4287553131580353,0,22,0.0,1663.3568115234375,STANDARD,302.2683410644531
13,30,302.40838623046875,2018-01-01,R_A2,14,0.47553616762161255,0,22,0.0,1665.444580078125,STANDARD,302.40838623046875
14,30,302.5484313964844,2018-01-01,R_A2,15,0.6344866752624512,0,22,0.0,1667.5323486328125,STANDARD,302.5484313964844
15,30,302.6885070800781,2018-01-01,R_A2,16,0.9381025433540344,0,22,0.0,1669.6199951171875,STANDARD,302.6885070800781
16,30,302.82855224609375,2018-01-01,R_A2,17,0.9002311825752258,0,22,0.0,1671.707763671875,STANDARD,302.82855224609375
17,30,302.95989990234375,2018-01-01,R_A2,18,0.9485401511192322,0,22,0.0,1673.665283203125,STANDARD,302.95989990234375
18,30,303.0426025390625,2018-01-01,R_A2,19,0.9733797311782837,0,22,0.0,1674.898193359375,STANDARD,303.0426025390625
19,30,303.12847900390625,2018-01-01,R_A2,26,0.24545182287693024,0,22,0.0,1676.1781005859375,STANDARD,303.12847900390625
20,29,303.0476989746094,2018-01-01,R_A2,26,0.6490141153335571,0,22,0.0,1674.97412109375,STANDARD,303.0476989746094
21,29,303.17352294921875,2018-01-01,R_A2,27,1.0,0,22,0.0,1676.849609375,STANDARD,303.17352294921875
22,29,303.29937744140625,2018-01-01,R_A2,28,1.0,0,22,0.0,1678.7252197265625,STANDARD,303.29937744140625
23,29,303.42523193359375,2018-01-01,R_A2,29,0.8322193026542664,0,22,0.0,1680.600830078125,STANDARD,303.42523193359375
24,29,303.6024169921875,2018-01-01,R_A2,30,1.0,0,22,0.0,1682.4764404296875,STANDARD,303.6024169921875
1,41,298.5921936035156,2018-01-01,R_A3,1,0.6481541991233826,0,28,0.0,1608.5284423828125,STANDARD,298.5921936035156
2,41,298.73907470703125,2018-01-01,R_A3,2,0.19396281242370605,0,28,0.0,1610.72021484375,STANDARD,298.73907470703125
3,41,298.885986328125,2018-01-01,R_A3,3,0.19418075680732727,0,28,0.0,1612.911865234375,STANDARD,298.885986328125
4,41,299.0328674316406,2018-01-01,R_A3,4,0.13580501079559326,0,28,0.0,1615.1036376953125,STANDARD,299.0328674316406
5,41,299.1797790527344,2018-01-01,R_A3,5,0.8113067150115967,0,28,0.0,1617.29541015625,STANDARD,299.1797790527344
6,41,298.66217041015625,2018-01-01,R_A3,5,0.8114194869995117,0,29,0.0,1609.572265625,STANDARD,298.66217041015625
7,41,298.7938232421875,2018-01-01,R_A3,6,0.6481541991233826,0,29,0.0,1611.536865234375,STANDARD,298.7938232421875
8,41,298.9255065917969,2018-01-01,R_A3,7,0.14517143368721008,0,29,0.0,1613.5015869140625,STANDARD,298.9255065917969
9,41,299.05718994140625,2018-01-01,R_A3,8,0.12475400418043137,0,29,0.0,1615.46630859375,STANDARD,299.05718994140625
10,41,299.1888732910156,2018-01-01,R_A3,9,0.6481541991233826,0,29,0.0,1617.430908203125,STANDARD,299.1888732910156
11,41,299.320556640625,2018-01-01,R_A3,10,0.7990660071372986,0,29,0.0,1619.3955078125,STANDARD,299.320556640625
12,41,299.4609680175781,2018-01-01,R_A3,11,0.04934559762477875,0,29,0.0,1621.490234375,STANDARD,299.4609680175781
13,41,299.6100769042969,2018-01-01,R_A3,12,0.053204119205474854,0,29,0.0,1623.7147216796875,STANDARD,299.6100769042969
14,41,299.75921630859375,2018-01-01,R_A3,13,0.3704319894313812,0,29,0.0,1625.9393310546875,STANDARD,299.75921630859375
15,41,300.0574645996094,2018-01-01,R_A3,15,0.43521150946617126,0,29,0.0,1630.388427734375,STANDARD,300.0574645996094
16,41,300.1916809082031,2018-01-01,R_A3,16,0.8044695854187012,0,29,0.0,1632.39013671875,STANDARD,300.1916809082031
17,41,300.3761291503906,2018-01-01,R_A3,26,0.6481541991233826,0,29,0.0,1635.1414794921875,STANDARD,300.3761291503906
18,41,300.616455078125,2018-01-01,R_A3,27,0.6481541991233826,0,29,0.0,1638.7254638671875,STANDARD,300.616455078125
19,41,300.85675048828125,2018-01-01,R_A3,28,0.19706714153289795,0,29,0.0,1642.3094482421875,STANDARD,300.85675048828125
20,41,301.09710693359375,2018-01-01,R_A3,29,0.6481541991233826,0,29,0.0,1645.8935546875,STANDARD,301.09710693359375
21,41,301.33746337890625,2018-01-01,R_A3,30,0.06392619013786316,0,29,0.0,1649.4775390625,STANDARD,301.33746337890625
1,52,300.1684265136719,2018-01-01,R_A4,1,0.04846245050430298,0,30,0.0,1632.04345703125,STANDARD,300.1684265136719
2,52,299.8484191894531,2018-01-01,R_A4,1,0.09096863120794296,0,31,0.0,1627.2701416015625,STANDARD,299.8484191894531
3,52,299.9877624511719,2018-01-01,R_A4,2,0.1009155735373497,0,31,0.0,1629.3485107421875,STANDARD,299.9877624511719
4,52,300.1271057128906,2018-01-01,R_A4,3,0.11175660789012909,0,31,0.0,1631.4268798828125,STANDARD,300.1271057128906
5,52,300.2664489746094,2018-01-01,R_A4,4,0.11000733822584152,0,31,0.0,1633.5052490234375,STANDARD,300.2664489746094
6,52,300.3755798339844,2018-01-01,R_A4,4,0.056495580822229385,0,32,0.0,1635.1334228515625,STANDARD,300.3755798339844
7,51,300.3330993652344,2018-01-01,R_A4,4,0.05330204591155052,0,32,0.0,1634.4996337890625,STANDARD,300.3330993652344
8,51,300.5265197753906,2018-01-01,R_A4,4,0.05568310618400574,0,33,0.0,1637.384521484375,STANDARD,300.5265197753906
9,51,300.6529541015625,2018-01-01,R_A4,5,0.05757790803909302,0,33,0.0,1639.27001953125,STANDARD,300.6529541015625
10,50,300.7103271484375,2018-01-01,R_A4,5,0.060089170932769775,0,33,0.0,1640.1258544921875,STANDARD,300.7103271484375
11,50,300.7746276855469,2018-01-01,R_A4,5,0.06131807342171669,0,34,0.0,1641.08447265625,STANDARD,300.7746276855469
12,50,300.64654541015625,2018-01-01,R_A4,4,0.06015351414680481,0,34,0.0,1639.174560546875,STANDARD,300.64654541015625
13,50,300.51849365234375,2018-01-01,R_A4,3,0.13635890185832977,0,34,0.0,1637.2646484375,STANDARD,300.51849365234375
14,50,300.8609619140625,2018-01-01,R_A4,3,0.14499232172966003,0,35,0.0,1642.3721923828125,STANDARD,300.8609619140625
15,50,300.73931884765625,2018-01-01,R_A4,2,0.22787797451019287,0,35,0.0,1640.55810546875,STANDARD,300.73931884765625
16,49,300.8341979980469,2018-01-01,R_A4,2,0.2309432327747345,0,35,0.0,1641.97314453125,STANDARD,300.8341979980469
17,49,300.71026611328125,2018-01-01,R_A4,1,0.2231329083442688,0,35,0.0,1640.1248779296875,STANDARD,300.71026611328125
18,49,301.1703186035156,2018-01-01,R_A4,30,0.08579321205615997,0,36,0.0,1646.9852294921875,STANDARD,301.1703186035156
19,48,300.63232421875,2018-01-01,R_A4,30,0.05105233192443848,0,36,0.0,1638.96240234375,STANDARD,300.63232421875
20,48,301.35504150390625,2018-01-01,R_A4,30,0.12599368393421173,0,37,0.0,1649.739990234375,STANDARD,301.35504150390625
21,48,300.9627380371094,2018-01-01,R_A4,29,1.0,0,37,0.0,1643.889892578125,STANDARD,300.9627380371094
22,48,301.64727783203125,2018-01-01,R_A4,29,0.724823534488678,0,38,0.0,1654.09716796875,STANDARD,301.64727783203125
