CONJPOS,DEPTH,DRAWDOWN,CONKPOS,CONIDX,CONIPOS,CONBPRES,PRESSURE,SGAS,SWAT,WELLMODEL,WELL,DATE
30,1640.683837890625,0,1,1,22,300.7776184082031,300.7776184082031,0.0,0.05302084982395172,STANDARD,R_A2,2018-01-01
30,1642.4471435546875,0,2,2,22,300.8958435058594,300.8958435058594,0.0,0.05457458272576332,STANDARD,R_A2,2018-01-01
30,1644.21044921875,0,3,3,22,301.01409912109375,301.01409912109375,0.0,0.057323556393384933,STANDARD,R_A2,2018-01-01
30,1645.9736328125,0,4,4,22,301.13232421875,301.13232421875,0.0,0.06238358095288277,STANDARD,R_A2,2018-01-01
30,1647.7369384765625,0,5,5,22,301.2505798339844,301.2505798339844,0.0,0.06523445248603821,STANDARD,R_A2,2018-01-01
30,1649.500244140625,0,6,6,22,301.36883544921875,301.36883544921875,0.0,0.6481541991233826,STANDARD,R_A2,2018-01-01
30,1651.263427734375,0,7,7,22,301.4870910644531,301.4870910644531,0.0,0.8737885355949402,STANDARD,R_A2,2018-01-01
30,1653.0267333984375,0,8,8,22,301.6053466796875,301.6053466796875,0.0,0.8666105270385742,STANDARD,R_A2,2018-01-01
30,1654.7900390625,0,9,9,22,301.7236022949219,301.7236022949219,0.0,0.8886955976486206,STANDARD,R_A2,2018-01-01
30,1656.55322265625,0,10,10,22,301.84185791015625,301.84185791015625,0.0,0.8784064650535583,STANDARD,R_A2,2018-01-01
30,1658.437255859375,0,11,11,22,301.9682312011719,301.9682312011719,0.0,0.06737899035215378,STANDARD,R_A2,2018-01-01
30,1660.44189453125,0,12,12,22,302.1026916503906,302.1026916503906,0.0,0.07298722118139267,STANDARD,R_A2,2018-01-01
30,1662.446533203125,0,13,13,22,302.2371520996094,302.2371520996094,0.0,0.41697782278060913,STANDARD,R_A2,2018-01-01
30,1664.451171875,0,14,14,22,302.3716125488281,302.3716125488281,0.0,0.4595417380332947,STANDARD,R_A2,2018-01-01
30,1666.4559326171875,0,15,15,22,302.506103515625,302.506103515625,0.0,0.905375599861145,STANDARD,R_A2,2018-01-01
30,1668.4605712890625,0,16,16,22,302.6405944824219,302.6405944824219,0.0,0.9073051810264587,STANDARD,R_A2,2018-01-01
29,1671.2664794921875,0,16,17,22,302.8288269042969,302.8288269042969,0.0,0.9289831519126892,STANDARD,R_A2,2018-01-01
29,1673.35009765625,0,17,18,22,302.9685974121094,302.9685974121094,0.0,0.8994516730308533,STANDARD,R_A2,2018-01-01
29,1675.30712890625,0,18,19,22,303.09991455078125,303.09991455078125,0.0,0.9614967107772827,STANDARD,R_A2,2018-01-01
29,1677.253662109375,0,26,20,22,303.23052978515625,303.23052978515625,0.0,0.6481541991233826,STANDARD,R_A2,2018-01-01
29,1679.0201416015625,0,27,21,22,303.3490295410156,303.3490295410156,0.0,1.0,STANDARD,R_A2,2018-01-01
29,1680.78662109375,0,28,22,22,303.4675598144531,303.4675598144531,0.0,1.0,STANDARD,R_A2,2018-01-01
29,1682.5531005859375,0,29,23,22,303.9154968261719,303.9154968261719,0.0,1.0,STANDARD,R_A2,2018-01-01
29,1684.319580078125,0,30,24,22,304.0828857421875,304.0828857421875,0.0,1.0,STANDARD,R_A2,2018-01-01
41,1608.8489990234375,0,1,1,28,298.6435241699219,298.6435241699219,0.0,0.6481541991233826,STANDARD,R_A3,2018-01-01
41,1610.8515625,0,2,2,28,298.7777404785156,298.7777404785156,0.0,0.19152547419071198,STANDARD,R_A3,2018-01-01
41,1612.85400390625,0,3,3,28,298.91192626953125,298.91192626953125,0.0,0.15070463716983795,STANDARD,R_A3,2018-01-01
41,1614.8564453125,0,4,4,28,299.046142578125,299.046142578125,0.0,0.07576121389865875,STANDARD,R_A3,2018-01-01
41,1606.86474609375,0,4,5,29,298.5105285644531,298.5105285644531,0.0,0.13608494400978088,STANDARD,R_A3,2018-01-01
41,1608.919921875,0,5,6,29,298.6482849121094,298.6482849121094,0.0,0.8081575632095337,STANDARD,R_A3,2018-01-01
41,1610.97509765625,0,6,7,29,298.7860107421875,298.7860107421875,0.0,0.6481541991233826,STANDARD,R_A3,2018-01-01
41,1613.0302734375,0,7,8,29,298.9237365722656,298.9237365722656,0.0,0.19589021801948547,STANDARD,R_A3,2018-01-01
41,1615.08544921875,0,8,9,29,299.0614929199219,299.0614929199219,0.0,0.23303450644016266,STANDARD,R_A3,2018-01-01
41,1617.140625,0,9,10,29,299.1992492675781,299.1992492675781,0.0,0.7951249480247498,STANDARD,R_A3,2018-01-01
41,1619.19580078125,0,10,11,29,299.3370056152344,299.3370056152344,0.0,0.7935366034507751,STANDARD,R_A3,2018-01-01
41,1621.3380126953125,0,11,12,29,299.4805908203125,299.4805908203125,0.0,0.048584334552288055,STANDARD,R_A3,2018-01-01
41,1623.5672607421875,0,12,13,29,299.6300354003906,299.6300354003906,0.0,0.05297826603055,STANDARD,R_A3,2018-01-01
41,1625.7965087890625,0,13,14,29,299.77947998046875,299.77947998046875,0.0,0.36927539110183716,STANDARD,R_A3,2018-01-01
41,1628.02587890625,0,14,15,29,299.9289245605469,299.9289245605469,0.0,0.23637573421001434,STANDARD,R_A3,2018-01-01
41,1630.255126953125,0,15,16,29,300.078369140625,300.078369140625,0.0,0.49806761741638184,STANDARD,R_A3,2018-01-01
41,1632.1634521484375,0,16,17,29,300.2063293457031,300.2063293457031,0.0,0.8064364790916443,STANDARD,R_A3,2018-01-01
41,1634.701416015625,0,26,18,29,300.3764953613281,300.3764953613281,0.0,0.2852233052253723,STANDARD,R_A3,2018-01-01
41,1638.1900634765625,0,27,19,29,300.6103820800781,300.6103820800781,0.0,0.043641287833452225,STANDARD,R_A3,2018-01-01
41,1641.6787109375,0,28,20,29,300.8443298339844,300.8443298339844,0.0,0.049019407480955124,STANDARD,R_A3,2018-01-01
41,1645.167236328125,0,29,21,29,301.0782470703125,301.0782470703125,0.0,0.6481541991233826,STANDARD,R_A3,2018-01-01
41,1648.6558837890625,0,30,22,29,301.31219482421875,301.31219482421875,0.0,0.05962380766868591,STANDARD,R_A3,2018-01-01
52,1632.71337890625,0,1,1,30,300.2431945800781,300.2431945800781,0.0,0.13366010785102844,STANDARD,R_A4,2018-01-01
52,1627.1810302734375,0,1,2,31,299.8722839355469,299.8722839355469,0.0,0.24815355241298676,STANDARD,R_A4,2018-01-01
52,1629.221923828125,0,2,3,31,300.0091247558594,300.0091247558594,0.0,0.2218029499053955,STANDARD,R_A4,2018-01-01
52,1631.2628173828125,0,3,4,31,300.14593505859375,300.14593505859375,0.0,0.08522497117519379,STANDARD,R_A4,2018-01-01
52,1633.3037109375,0,4,5,31,300.28277587890625,300.28277587890625,0.0,0.0550643727183342,STANDARD,R_A4,2018-01-01
52,1632.7740478515625,0,4,6,32,300.24725341796875,300.24725341796875,0.0,0.05506586655974388,STANDARD,R_A4,2018-01-01
51,1635.5050048828125,0,4,7,32,300.43035888671875,300.43035888671875,0.0,0.05466185137629509,STANDARD,R_A4,2018-01-01
51,1637.05126953125,0,4,8,33,300.5340270996094,300.5340270996094,0.0,0.05582532286643982,STANDARD,R_A4,2018-01-01
51,1635.1820068359375,0,3,9,33,300.4087219238281,300.4087219238281,0.0,0.23529379069805145,STANDARD,R_A4,2018-01-01
50,1641.6395263671875,0,4,10,33,300.8417053222656,300.8417053222656,0.0,0.05951240658760071,STANDARD,R_A4,2018-01-01
50,1639.767578125,0,4,11,34,300.7161560058594,300.7161560058594,0.0,0.06055886670947075,STANDARD,R_A4,2018-01-01
50,1640.708984375,0,4,12,35,300.779296875,300.779296875,0.0,0.06206972524523735,STANDARD,R_A4,2018-01-01
50,1638.9130859375,0,3,13,35,300.65887451171875,300.65887451171875,0.0,0.2228478193283081,STANDARD,R_A4,2018-01-01
49,1643.025146484375,0,3,14,35,300.9346008300781,300.9346008300781,0.0,0.23304174840450287,STANDARD,R_A4,2018-01-01
49,1641.2218017578125,0,2,15,35,300.8136901855469,300.8136901855469,0.0,0.2277209609746933,STANDARD,R_A4,2018-01-01
49,1643.9346923828125,0,29,16,36,300.99560546875,300.99560546875,0.0,0.05426948145031929,STANDARD,R_A4,2018-01-01
48,1644.3231201171875,0,29,17,36,301.0216369628906,301.0216369628906,0.0,0.05731116235256195,STANDARD,R_A4,2018-01-01
48,1649.57177734375,0,29,18,37,301.3736267089844,301.3736267089844,0.0,0.2362574189901352,STANDARD,R_A4,2018-01-01
48,1653.18212890625,0,29,19,38,301.6157531738281,301.6157531738281,0.0,0.35997095704078674,STANDARD,R_A4,2018-01-01
