CONIDX,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,SGAS,CONKPOS,PRESSURE,WELLMODEL,SWAT,DEPTH,WELL
1,30,300.4027099609375,2018-01-01,22,0,0.0,1,300.4027099609375,STANDARD,0.056873973459005356,1638.762451171875,R_A2
2,30,300.51434326171875,2018-01-01,22,0,0.0,2,300.51434326171875,STANDARD,0.06037558987736702,1640.4273681640625,R_A2
3,30,300.6259765625,2018-01-01,22,0,0.0,3,300.6259765625,STANDARD,0.06360378861427307,1642.0924072265625,R_A2
4,30,300.73760986328125,2018-01-01,22,0,0.0,4,300.73760986328125,STANDARD,0.06870250403881073,1643.7574462890625,R_A2
5,30,300.8492736816406,2018-01-01,22,0,0.0,5,300.8492736816406,STANDARD,0.07071920484304428,1645.42236328125,R_A2
6,30,300.9609069824219,2018-01-01,22,0,0.0,6,300.9609069824219,STANDARD,0.6481541991233826,1647.08740234375,R_A2
7,30,301.07257080078125,2018-01-01,22,0,0.0,7,301.07257080078125,STANDARD,0.8989439010620117,1648.7523193359375,R_A2
8,30,301.1842041015625,2018-01-01,22,0,0.0,8,301.1842041015625,STANDARD,0.8822079300880432,1650.4173583984375,R_A2
9,30,301.2958679199219,2018-01-01,22,0,0.0,9,301.2958679199219,STANDARD,0.91685551404953,1652.082275390625,R_A2
10,30,301.40753173828125,2018-01-01,22,0,0.0,10,301.40753173828125,STANDARD,0.914222776889801,1653.747314453125,R_A2
11,30,301.5293884277344,2018-01-01,22,0,0.0,11,301.5293884277344,STANDARD,0.08170654624700546,1655.564208984375,R_A2
12,30,301.6614074707031,2018-01-01,22,0,0.0,12,301.6614074707031,STANDARD,0.17306704819202423,1657.532958984375,R_A2
13,30,301.79345703125,2018-01-01,22,0,0.0,13,301.79345703125,STANDARD,0.46966418623924255,1659.5015869140625,R_A2
14,30,301.9255065917969,2018-01-01,22,0,0.0,14,301.9255065917969,STANDARD,0.5318255424499512,1661.4703369140625,R_A2
15,30,302.05755615234375,2018-01-01,22,0,0.0,15,302.05755615234375,STANDARD,0.955569863319397,1663.43896484375,R_A2
16,30,302.1896057128906,2018-01-01,22,0,0.0,16,302.1896057128906,STANDARD,0.9615707993507385,1665.40771484375,R_A2
17,29,303.0508728027344,2018-01-01,22,0,0.0,16,303.0508728027344,STANDARD,1.0,1674.9981689453125,R_A2
18,29,303.2454833984375,2018-01-01,22,0,0.0,17,303.2454833984375,STANDARD,1.0,1677.0517578125,R_A2
19,29,303.4103088378906,2018-01-01,22,0,0.0,18,303.4103088378906,STANDARD,1.0,1678.791015625,R_A2
20,29,303.4026184082031,2018-01-01,22,0,0.0,26,303.4026184082031,STANDARD,1.0,1680.3677978515625,R_A2
21,29,303.8700866699219,2018-01-01,22,0,0.0,27,303.8700866699219,STANDARD,1.0,1682.0740966796875,R_A2
22,29,304.0317687988281,2018-01-01,22,0,0.0,28,304.0317687988281,STANDARD,1.0,1683.7803955078125,R_A2
23,29,304.1934814453125,2018-01-01,22,0,0.0,29,304.1934814453125,STANDARD,1.0,1685.4866943359375,R_A2
24,29,304.35516357421875,2018-01-01,22,0,0.0,30,304.35516357421875,STANDARD,1.0,1687.19287109375,R_A2
1,41,298.3962097167969,2018-01-01,28,0,0.0,1,298.3962097167969,STANDARD,0.6481541991233826,1608.82861328125,R_A3
2,41,298.5316162109375,2018-01-01,28,0,0.0,2,298.5316162109375,STANDARD,0.20259323716163635,1610.84912109375,R_A3
3,41,297.8614196777344,2018-01-01,29,0,0.0,2,297.8614196777344,STANDARD,0.190393328666687,1600.84814453125,R_A3
4,41,298.0087890625,2018-01-01,29,0,0.0,3,298.0087890625,STANDARD,0.19384188950061798,1603.0472412109375,R_A3
5,41,298.1561584472656,2018-01-01,29,0,0.0,4,298.1561584472656,STANDARD,0.35972702503204346,1605.246337890625,R_A3
6,41,298.30352783203125,2018-01-01,29,0,0.0,5,298.30352783203125,STANDARD,0.8162317872047424,1607.4454345703125,R_A3
7,41,298.4508972167969,2018-01-01,29,0,0.0,6,298.4508972167969,STANDARD,0.6481541991233826,1609.6446533203125,R_A3
8,41,298.5982666015625,2018-01-01,29,0,0.0,7,298.5982666015625,STANDARD,0.2031743824481964,1611.8438720703125,R_A3
9,41,298.74566650390625,2018-01-01,29,0,0.0,8,298.74566650390625,STANDARD,0.2919577658176422,1614.04296875,R_A3
10,41,298.8930358886719,2018-01-01,29,0,0.0,9,298.8930358886719,STANDARD,0.8112941980361938,1616.2420654296875,R_A3
11,41,299.0404357910156,2018-01-01,29,0,0.0,10,299.0404357910156,STANDARD,0.8088250756263733,1618.4412841796875,R_A3
12,41,299.18768310546875,2018-01-01,29,0,0.0,11,299.18768310546875,STANDARD,0.05306098982691765,1620.6380615234375,R_A3
13,41,299.33477783203125,2018-01-01,29,0,0.0,12,299.33477783203125,STANDARD,0.057213593274354935,1622.8326416015625,R_A3
14,41,299.48187255859375,2018-01-01,29,0,0.0,13,299.48187255859375,STANDARD,0.37827104330062866,1625.027099609375,R_A3
15,41,299.6289978027344,2018-01-01,29,0,0.0,14,299.6289978027344,STANDARD,0.27904853224754333,1627.2216796875,R_A3
16,41,299.7760925292969,2018-01-01,29,0,0.0,15,299.7760925292969,STANDARD,0.3557531535625458,1629.4161376953125,R_A3
