WELL,DATE,CONJPOS,WELLMODEL,DRAWDOWN,CONBPRES,DEPTH,CONKPOS,SWAT,CONIDX,PRESSURE,CONIPOS,SGAS
R_A2,2018-01-01,30,STANDARD,0,300.6273498535156,1639.07373046875,1,0.05258398503065109,1,300.6273498535156,22,0.0
R_A2,2018-01-01,30,STANDARD,0,300.7418212890625,1640.781005859375,2,0.05524595454335213,2,300.7418212890625,22,0.0
R_A2,2018-01-01,30,STANDARD,0,300.8563232421875,1642.4884033203125,3,0.05806420370936394,3,300.8563232421875,22,0.0
R_A2,2018-01-01,30,STANDARD,0,300.9708251953125,1644.19580078125,4,0.06169969215989113,4,300.9708251953125,22,0.0
R_A2,2018-01-01,30,STANDARD,0,301.0852966308594,1645.9031982421875,5,0.06461351364850998,5,301.0852966308594,22,0.0
R_A2,2018-01-01,30,STANDARD,0,301.1997985839844,1647.610595703125,6,0.3011426031589508,6,301.1997985839844,22,0.0
R_A2,2018-01-01,30,STANDARD,0,301.3143005371094,1649.3179931640625,7,0.8618320822715759,7,301.3143005371094,22,0.0
R_A2,2018-01-01,30,STANDARD,0,301.4288024902344,1651.025390625,8,0.8619011640548706,8,301.4288024902344,22,0.0
R_A2,2018-01-01,30,STANDARD,0,301.5433044433594,1652.7327880859375,9,0.8781836628913879,9,301.5433044433594,22,0.0
R_A2,2018-01-01,30,STANDARD,0,301.6578369140625,1654.440185546875,10,0.8899423480033875,10,301.6578369140625,22,0.0
R_A2,2018-01-01,30,STANDARD,0,301.78466796875,1656.33154296875,11,0.06653296202421188,11,301.78466796875,22,0.0
R_A2,2018-01-01,30,STANDARD,0,301.92388916015625,1658.4068603515625,12,0.06736815720796585,12,301.92388916015625,22,0.0
R_A2,2018-01-01,30,STANDARD,0,302.0630798339844,1660.482177734375,13,0.4183153212070465,13,302.0630798339844,22,0.0
R_A2,2018-01-01,30,STANDARD,0,302.2023010253906,1662.5576171875,14,0.4612400233745575,14,302.2023010253906,22,0.0
R_A2,2018-01-01,30,STANDARD,0,302.34149169921875,1664.6329345703125,15,0.8941498398780823,15,302.34149169921875,22,0.0
R_A2,2018-01-01,30,STANDARD,0,302.480712890625,1666.708251953125,16,0.8853861689567566,16,302.480712890625,22,0.0
R_A2,2018-01-01,29,STANDARD,0,302.9175720214844,1673.219970703125,16,0.9558621048927307,17,302.9175720214844,22,0.0
R_A2,2018-01-01,29,STANDARD,0,303.05877685546875,1675.324462890625,17,0.9655437469482422,18,303.05877685546875,22,0.0
R_A2,2018-01-01,29,STANDARD,0,303.1605224609375,1676.841064453125,18,0.9969262480735779,19,303.1605224609375,22,0.0
R_A2,2018-01-01,29,STANDARD,0,303.25091552734375,1678.1884765625,24,1.0,20,303.25091552734375,22,0.0
R_A2,2018-01-01,29,STANDARD,0,303.3672790527344,1679.9228515625,25,1.0,21,303.3672790527344,22,0.0
R_A2,2018-01-01,29,STANDARD,0,303.8305969238281,1681.6572265625,26,1.0,22,303.8305969238281,22,0.0
R_A2,2018-01-01,29,STANDARD,0,303.99493408203125,1683.3917236328125,27,1.0,23,303.99493408203125,22,0.0
R_A2,2018-01-01,29,STANDARD,0,304.1593017578125,1685.1260986328125,28,1.0,24,304.1593017578125,22,0.0
R_A3,2018-01-01,41,STANDARD,0,298.0465087890625,1600.57080078125,1,0.32151782512664795,1,298.0465087890625,29,0.0
R_A3,2018-01-01,41,STANDARD,0,298.19049072265625,1602.719482421875,2,0.16542008519172668,2,298.19049072265625,29,0.0
R_A3,2018-01-01,41,STANDARD,0,298.33447265625,1604.8680419921875,3,0.11823459714651108,3,298.33447265625,29,0.0
R_A3,2018-01-01,41,STANDARD,0,298.47845458984375,1607.0167236328125,4,0.15494999289512634,4,298.47845458984375,29,0.0
R_A3,2018-01-01,41,STANDARD,0,298.6224365234375,1609.165283203125,5,0.8064794540405273,5,298.6224365234375,29,0.0
R_A3,2018-01-01,41,STANDARD,0,298.7664489746094,1611.3138427734375,6,0.6481541991233826,6,298.7664489746094,29,0.0
R_A3,2018-01-01,41,STANDARD,0,298.91046142578125,1613.4625244140625,7,0.19448547065258026,7,298.91046142578125,29,0.0
