CONJPOS,CONIPOS,CONBPRES,SGAS,CONIDX,CONKPOS,PRESSURE,DRAWDOWN,DEPTH,SWAT,DATE,WELLMODEL,WELL
30,22,300.7832336425781,0.0,1,1,300.7832336425781,0,1640.8585205078125,0.05468369275331497,2018-01-01,STANDARD,R_A2
30,22,300.90185546875,0.0,2,2,300.90185546875,0,1642.6273193359375,0.05574240908026695,2018-01-01,STANDARD,R_A2
30,22,301.0204772949219,0.0,3,3,301.0204772949219,0,1644.3963623046875,0.059242941439151764,2018-01-01,STANDARD,R_A2
30,22,301.13909912109375,0.0,4,4,301.13909912109375,0,1646.165283203125,0.06410013884305954,2018-01-01,STANDARD,R_A2
30,22,301.2577209472656,0.0,5,5,301.2577209472656,0,1647.9342041015625,0.06638525426387787,2018-01-01,STANDARD,R_A2
30,22,301.3763427734375,0.0,6,6,301.3763427734375,0,1649.703125,0.6481541991233826,2018-01-01,STANDARD,R_A2
30,22,301.4949951171875,0.0,7,7,301.4949951171875,0,1651.471923828125,0.8774071931838989,2018-01-01,STANDARD,R_A2
30,22,301.6136169433594,0.0,8,8,301.6136169433594,0,1653.240966796875,0.856243371963501,2018-01-01,STANDARD,R_A2
30,22,301.7322692871094,0.0,9,9,301.7322692871094,0,1655.0098876953125,0.8885063529014587,2018-01-01,STANDARD,R_A2
30,22,301.85089111328125,0.0,10,10,301.85089111328125,0,1656.77880859375,0.8922460675239563,2018-01-01,STANDARD,R_A2
30,22,301.97808837890625,0.0,11,11,301.97808837890625,0,1658.6749267578125,0.06762684136629105,2018-01-01,STANDARD,R_A2
30,22,302.1138000488281,0.0,12,12,302.1138000488281,0,1660.6983642578125,0.07083065807819366,2018-01-01,STANDARD,R_A2
30,22,302.2495422363281,0.0,13,13,302.2495422363281,0,1662.7218017578125,0.4312833249568939,2018-01-01,STANDARD,R_A2
30,22,302.38525390625,0.0,14,14,302.38525390625,0,1664.7452392578125,0.4716937839984894,2018-01-01,STANDARD,R_A2
30,22,302.52099609375,0.0,15,15,302.52099609375,0,1666.7686767578125,0.8975088000297546,2018-01-01,STANDARD,R_A2
30,22,302.65673828125,0.0,16,16,302.65673828125,0,1668.7921142578125,0.9204511642456055,2018-01-01,STANDARD,R_A2
30,22,302.79248046875,0.0,17,17,302.79248046875,0,1670.8155517578125,0.8704740405082703,2018-01-01,STANDARD,R_A2
29,22,303.1260681152344,0.0,18,17,303.1260681152344,0,1675.78759765625,0.9620335102081299,2018-01-01,STANDARD,R_A2
