WELLMODEL,CONJPOS,DEPTH,WELL,DATE,CONIPOS,SWAT,SGAS,PRESSURE,CONIDX,CONBPRES,DRAWDOWN,CONKPOS
STANDARD,30,1640.001220703125,R_A2,2018-01-01,22,0.05252973735332489,0.0,300.7301940917969,1,300.7301940917969,0,1
STANDARD,30,1641.7952880859375,R_A2,2018-01-01,22,0.05509227514266968,0.0,300.8504943847656,2,300.8504943847656,0,2
STANDARD,30,1643.58935546875,R_A2,2018-01-01,22,0.05706387758255005,0.0,300.9707946777344,3,300.9707946777344,0,3
STANDARD,30,1645.383544921875,R_A2,2018-01-01,22,0.06148075684905052,0.0,301.0910949707031,4,301.0910949707031,0,4
STANDARD,30,1647.177490234375,R_A2,2018-01-01,22,0.06433501094579697,0.0,301.2113952636719,5,301.2113952636719,0,5
STANDARD,30,1648.9716796875,R_A2,2018-01-01,22,0.2990815341472626,0.0,301.33172607421875,6,301.33172607421875,0,6
STANDARD,30,1650.7657470703125,R_A2,2018-01-01,22,0.885276198387146,0.0,301.4520263671875,7,301.4520263671875,0,7
STANDARD,30,1652.559814453125,R_A2,2018-01-01,22,0.8639601469039917,0.0,301.5723571777344,8,301.5723571777344,0,8
STANDARD,30,1654.3538818359375,R_A2,2018-01-01,22,0.8894748091697693,0.0,301.69268798828125,9,301.69268798828125,0,9
STANDARD,30,1656.14794921875,R_A2,2018-01-01,22,0.8852696418762207,0.0,301.8130187988281,10,301.8130187988281,0,10
STANDARD,30,1658.04150390625,R_A2,2018-01-01,22,0.06762222200632095,0.0,301.9400329589844,11,301.9400329589844,0,11
STANDARD,30,1660.03466796875,R_A2,2018-01-01,22,0.06975998729467392,0.0,302.0736999511719,12,302.0736999511719,0,12
STANDARD,30,1662.0277099609375,R_A2,2018-01-01,22,0.42043355107307434,0.0,302.2073974609375,13,302.2073974609375,0,13
STANDARD,30,1664.020751953125,R_A2,2018-01-01,22,0.46388331055641174,0.0,302.3410949707031,14,302.3410949707031,0,14
STANDARD,30,1666.0137939453125,R_A2,2018-01-01,22,0.5739343166351318,0.0,302.47479248046875,15,302.47479248046875,0,15
STANDARD,30,1668.0068359375,R_A2,2018-01-01,22,0.9069104194641113,0.0,302.6084899902344,16,302.6084899902344,0,16
STANDARD,30,1669.9998779296875,R_A2,2018-01-01,22,0.868640661239624,0.0,302.7421875,17,302.7421875,0,17
STANDARD,30,1671.9102783203125,R_A2,2018-01-01,22,0.9032449722290039,0.0,302.870361328125,18,302.870361328125,0,18
STANDARD,30,1673.11181640625,R_A2,2018-01-01,22,0.9265129566192627,0.0,302.9509582519531,19,302.9509582519531,0,19
STANDARD,30,1674.314208984375,R_A2,2018-01-01,22,0.11536668986082077,0.0,303.0316467285156,20,303.0316467285156,0,25
STANDARD,29,1675.260009765625,R_A2,2018-01-01,22,1.0,0.0,303.0950927734375,21,303.0950927734375,0,25
STANDARD,29,1677.0592041015625,R_A2,2018-01-01,22,1.0,0.0,303.2158203125,22,303.2158203125,0,26
STANDARD,29,1678.8583984375,R_A2,2018-01-01,22,1.0,0.0,303.3365173339844,23,303.3365173339844,0,27
STANDARD,29,1680.657470703125,R_A2,2018-01-01,22,1.0,0.0,303.4572448730469,24,303.4572448730469,0,28
STANDARD,29,1682.4566650390625,R_A2,2018-01-01,22,1.0,0.0,303.9063415527344,25,303.9063415527344,0,29
STANDARD,41,1599.3154296875,R_A3,2018-01-01,29,0.6481541991233826,0.0,298.00299072265625,1,298.00299072265625,0,1
STANDARD,41,1601.5306396484375,R_A3,2018-01-01,29,0.11823459714651108,0.0,298.15142822265625,2,298.15142822265625,0,2
STANDARD,41,1603.745849609375,R_A3,2018-01-01,29,0.13554638624191284,0.0,298.29986572265625,3,298.29986572265625,0,3
STANDARD,41,1605.961181640625,R_A3,2018-01-01,29,0.19939130544662476,0.0,298.4483337402344,4,298.4483337402344,0,4
STANDARD,41,1608.176513671875,R_A3,2018-01-01,29,0.8100773096084595,0.0,298.5968017578125,5,298.5968017578125,0,5
STANDARD,41,1610.3917236328125,R_A3,2018-01-01,29,0.6481541991233826,0.0,298.7452697753906,6,298.7452697753906,0,6
STANDARD,41,1612.6070556640625,R_A3,2018-01-01,29,0.1947624683380127,0.0,298.89373779296875,7,298.89373779296875,0,7
STANDARD,41,1614.822265625,R_A3,2018-01-01,29,0.19754569232463837,0.0,299.0422058105469,8,299.0422058105469,0,8
STANDARD,41,1617.03759765625,R_A3,2018-01-01,29,0.795609176158905,0.0,299.190673828125,9,299.190673828125,0,9
STANDARD,41,1619.2528076171875,R_A3,2018-01-01,29,0.7939856648445129,0.0,299.33917236328125,10,299.33917236328125,0,10
STANDARD,41,1621.459228515625,R_A3,2018-01-01,29,0.04602931812405586,0.0,299.487060546875,11,299.487060546875,0,11
STANDARD,41,1623.6571044921875,R_A3,2018-01-01,29,0.05214764177799225,0.0,299.6343994140625,12,299.6343994140625,0,12
STANDARD,41,1625.85498046875,R_A3,2018-01-01,29,0.3651689887046814,0.0,299.78173828125,13,299.78173828125,0,13
STANDARD,41,1628.052734375,R_A3,2018-01-01,29,0.28447362780570984,0.0,299.9290771484375,14,299.9290771484375,0,14
STANDARD,41,1630.2506103515625,R_A3,2018-01-01,29,0.5006316304206848,0.0,300.076416015625,15,300.076416015625,0,15
STANDARD,41,1632.34228515625,R_A3,2018-01-01,29,0.8027325868606567,0.0,300.2166442871094,16,300.2166442871094,0,16
STANDARD,41,1635.381103515625,R_A3,2018-01-01,29,1.0,0.0,300.42041015625,17,300.42041015625,0,25
STANDARD,41,1639.0218505859375,R_A3,2018-01-01,29,0.04513683170080185,0.0,300.6645202636719,18,300.6645202636719,0,26
STANDARD,41,1642.66259765625,R_A3,2018-01-01,29,0.0511813722550869,0.0,300.90863037109375,19,300.90863037109375,0,27
STANDARD,41,1646.303466796875,R_A3,2018-01-01,29,0.6481541991233826,0.0,301.15277099609375,20,301.15277099609375,0,28
STANDARD,41,1649.9442138671875,R_A3,2018-01-01,29,0.05962910130620003,0.0,301.3969421386719,21,301.3969421386719,0,29
STANDARD,52,1630.44384765625,R_A4,2018-01-01,30,0.048341989517211914,0.0,300.0893859863281,1,300.0893859863281,0,1
STANDARD,52,1627.150146484375,R_A4,2018-01-01,31,0.04838898777961731,0.0,299.8685607910156,2,299.8685607910156,0,1
STANDARD,52,1629.1329345703125,R_A4,2018-01-01,31,0.16358451545238495,0.0,300.0014953613281,3,300.0014953613281,0,2
STANDARD,52,1631.1156005859375,R_A4,2018-01-01,31,0.10435142368078232,0.0,300.1344299316406,4,300.1344299316406,0,3
STANDARD,52,1633.098388671875,R_A4,2018-01-01,31,0.05351315811276436,0.0,300.2673645019531,5,300.2673645019531,0,4
STANDARD,52,1632.5042724609375,R_A4,2018-01-01,32,0.07160395383834839,0.0,300.2275085449219,6,300.2275085449219,0,4
STANDARD,51,1635.4615478515625,R_A4,2018-01-01,32,0.05588856711983681,0.0,300.42578125,7,300.42578125,0,4
STANDARD,51,1637.0615234375,R_A4,2018-01-01,33,0.07620819658041,0.0,300.5330505371094,8,300.5330505371094,0,4
