CONKPOS,CONJPOS,DEPTH,DATE,PRESSURE,CONIPOS,WELL,WELLMODEL,CONIDX,SWAT,SGAS,CONBPRES,DRAWDOWN
1,30,1640.402099609375,2018-01-01,300.7407531738281,22,R_A2,STANDARD,1,0.05307241156697273,0.0,300.7407531738281,0
2,30,1642.1737060546875,2018-01-01,300.85955810546875,22,R_A2,STANDARD,2,0.054940588772296906,0.0,300.85955810546875,0
3,30,1643.9453125,2018-01-01,300.97833251953125,22,R_A2,STANDARD,3,0.0593559555709362,0.0,300.97833251953125,0
4,30,1645.7169189453125,2018-01-01,301.0971374511719,22,R_A2,STANDARD,4,0.06370429694652557,0.0,301.0971374511719,0
5,30,1647.488525390625,2018-01-01,301.2159423828125,22,R_A2,STANDARD,5,0.06392790377140045,0.0,301.2159423828125,0
6,30,1649.2601318359375,2018-01-01,301.3347473144531,22,R_A2,STANDARD,6,0.2939266264438629,0.0,301.3347473144531,0
7,30,1651.03173828125,2018-01-01,301.45355224609375,22,R_A2,STANDARD,7,0.6516535878181458,0.0,301.45355224609375,0
8,30,1652.8033447265625,2018-01-01,301.5723876953125,22,R_A2,STANDARD,8,0.6481541991233826,0.0,301.5723876953125,0
9,30,1654.574951171875,2018-01-01,301.6911926269531,22,R_A2,STANDARD,9,0.6481541991233826,0.0,301.6911926269531,0
10,30,1656.3465576171875,2018-01-01,301.8100280761719,22,R_A2,STANDARD,10,0.8848660588264465,0.0,301.8100280761719,0
11,30,1658.25244140625,2018-01-01,301.9378662109375,22,R_A2,STANDARD,11,0.06874147802591324,0.0,301.9378662109375,0
12,30,1660.2926025390625,2018-01-01,302.07470703125,22,R_A2,STANDARD,12,0.13406974077224731,0.0,302.07470703125,0
13,30,1662.332763671875,2018-01-01,302.2115478515625,22,R_A2,STANDARD,13,0.43712082505226135,0.0,302.2115478515625,0
14,30,1664.3729248046875,2018-01-01,302.348388671875,22,R_A2,STANDARD,14,0.46970999240875244,0.0,302.348388671875,0
15,30,1666.4130859375,2018-01-01,302.4852600097656,22,R_A2,STANDARD,15,0.8975886702537537,0.0,302.4852600097656,0
16,29,1669.5926513671875,2018-01-01,302.69854736328125,22,R_A2,STANDARD,16,0.9323858022689819,0.0,302.69854736328125,0
17,29,1671.6953125,2018-01-01,302.839599609375,22,R_A2,STANDARD,17,0.8945054411888123,0.0,302.839599609375,0
18,29,1673.65087890625,2018-01-01,302.9708251953125,22,R_A2,STANDARD,18,0.945186972618103,0.0,302.9708251953125,0
19,29,1674.67431640625,2018-01-01,303.03948974609375,22,R_A2,STANDARD,19,0.995114266872406,0.0,303.03948974609375,0
27,29,1675.7037353515625,2018-01-01,303.1085510253906,22,R_A2,STANDARD,20,1.0,0.0,303.1085510253906,0
28,29,1677.5238037109375,2018-01-01,303.23065185546875,22,R_A2,STANDARD,21,0.8179383277893066,0.0,303.23065185546875,0
29,29,1679.343994140625,2018-01-01,303.352783203125,22,R_A2,STANDARD,22,0.8347060680389404,0.0,303.352783203125,0
30,29,1681.1641845703125,2018-01-01,303.78387451171875,22,R_A2,STANDARD,23,1.0,0.0,303.78387451171875,0
31,29,1682.984375,2018-01-01,303.95635986328125,22,R_A2,STANDARD,24,1.0,0.0,303.95635986328125,0
1,41,1608.183349609375,2018-01-01,298.5809631347656,28,R_A3,STANDARD,1,0.6481541991233826,0.0,298.5809631347656,0
2,41,1610.1558837890625,2018-01-01,298.713134765625,28,R_A3,STANDARD,2,0.1931711882352829,0.0,298.713134765625,0
2,41,1602.2109375,2018-01-01,298.18072509765625,29,R_A3,STANDARD,3,0.17946162819862366,0.0,298.18072509765625,0
3,41,1604.343505859375,2018-01-01,298.3236083984375,29,R_A3,STANDARD,4,0.1434420794248581,0.0,298.3236083984375,0
4,41,1606.4759521484375,2018-01-01,298.4665222167969,29,R_A3,STANDARD,5,0.6481541991233826,0.0,298.4665222167969,0
5,41,1608.6083984375,2018-01-01,298.60943603515625,29,R_A3,STANDARD,6,0.8084086179733276,0.0,298.60943603515625,0
6,41,1610.7408447265625,2018-01-01,298.7523498535156,29,R_A3,STANDARD,7,0.17989574372768402,0.0,298.7523498535156,0
7,41,1612.873291015625,2018-01-01,298.895263671875,29,R_A3,STANDARD,8,0.1953272670507431,0.0,298.895263671875,0
8,41,1615.0057373046875,2018-01-01,299.0382080078125,29,R_A3,STANDARD,9,0.19775062799453735,0.0,299.0382080078125,0
9,41,1617.1383056640625,2018-01-01,299.1811218261719,29,R_A3,STANDARD,10,0.8008646965026855,0.0,299.1811218261719,0
10,41,1619.270751953125,2018-01-01,299.3240661621094,29,R_A3,STANDARD,11,0.8000931739807129,0.0,299.3240661621094,0
11,41,1621.47021484375,2018-01-01,299.47149658203125,29,R_A3,STANDARD,12,0.04925135150551796,0.0,299.47149658203125,0
12,41,1623.7369384765625,2018-01-01,299.6234436035156,29,R_A3,STANDARD,13,0.05324789509177208,0.0,299.6234436035156,0
13,41,1626.0035400390625,2018-01-01,299.775390625,29,R_A3,STANDARD,14,0.36640483140945435,0.0,299.775390625,0
14,41,1628.2701416015625,2018-01-01,299.9273376464844,29,R_A3,STANDARD,15,0.23726536333560944,0.0,299.9273376464844,0
15,41,1630.536865234375,2018-01-01,300.0793151855469,29,R_A3,STANDARD,16,0.5033789277076721,0.0,300.0793151855469,0
16,41,1632.456787109375,2018-01-01,300.2080078125,29,R_A3,STANDARD,17,0.8099162578582764,0.0,300.2080078125,0
27,41,1635.0478515625,2018-01-01,300.3817443847656,29,R_A3,STANDARD,18,0.3532264828681946,0.0,300.3817443847656,0
28,41,1638.5823974609375,2018-01-01,300.6187438964844,29,R_A3,STANDARD,19,0.043565742671489716,0.0,300.6187438964844,0
29,41,1642.116943359375,2018-01-01,300.8557434082031,29,R_A3,STANDARD,20,0.048589251935482025,0.0,300.8557434082031,0
30,41,1645.6513671875,2018-01-01,301.0927429199219,29,R_A3,STANDARD,21,0.6481541991233826,0.0,301.0927429199219,0
