CONIDX,DATE,WELLMODEL,WELL,CONKPOS,DRAWDOWN,SWAT,SGAS,PRESSURE,CONIPOS,CONJPOS,DEPTH,CONBPRES
1,2018-01-01,STANDARD,R_A2,1,0,0.05199844017624855,0.0,300.7456970214844,22,30,1640.3272705078125,300.7456970214844
2,2018-01-01,STANDARD,R_A2,2,0,0.055519506335258484,0.0,300.8642883300781,22,30,1642.095947265625,300.8642883300781
3,2018-01-01,STANDARD,R_A2,3,0,0.05846363678574562,0.0,300.9828796386719,22,30,1643.8646240234375,300.9828796386719
4,2018-01-01,STANDARD,R_A2,4,0,0.06329811364412308,0.0,301.10150146484375,22,30,1645.6334228515625,301.10150146484375
5,2018-01-01,STANDARD,R_A2,5,0,0.06514230370521545,0.0,301.2200927734375,22,30,1647.402099609375,301.2200927734375
6,2018-01-01,STANDARD,R_A2,6,0,0.6481541991233826,0.0,301.3387145996094,22,30,1649.1707763671875,301.3387145996094
7,2018-01-01,STANDARD,R_A2,7,0,0.8713147044181824,0.0,301.45733642578125,22,30,1650.939453125,301.45733642578125
8,2018-01-01,STANDARD,R_A2,8,0,0.6481541991233826,0.0,301.5759582519531,22,30,1652.7081298828125,301.5759582519531
9,2018-01-01,STANDARD,R_A2,9,0,0.2601760923862457,0.0,301.694580078125,22,30,1654.476806640625,301.694580078125
10,2018-01-01,STANDARD,R_A2,10,0,0.6481541991233826,0.0,301.8132019042969,22,30,1656.2454833984375,301.8132019042969
11,2018-01-01,STANDARD,R_A2,11,0,0.06779412925243378,0.0,301.94024658203125,22,30,1658.1395263671875,301.94024658203125
12,2018-01-01,STANDARD,R_A2,12,0,0.06566216051578522,0.0,302.07568359375,22,30,1660.1588134765625,302.07568359375
13,2018-01-01,STANDARD,R_A2,13,0,0.42446452379226685,0.0,302.21112060546875,22,30,1662.177978515625,302.21112060546875
14,2018-01-01,STANDARD,R_A2,14,0,0.4653265178203583,0.0,302.3465576171875,22,30,1664.197265625,302.3465576171875
15,2018-01-01,STANDARD,R_A2,15,0,0.8999426364898682,0.0,302.4820251464844,22,30,1666.216552734375,302.4820251464844
16,2018-01-01,STANDARD,R_A2,16,0,0.9233134388923645,0.0,302.61749267578125,22,30,1668.23583984375,302.61749267578125
17,2018-01-01,STANDARD,R_A2,16,0,0.9335287809371948,0.0,302.7311706542969,22,29,1669.9305419921875,302.7311706542969
18,2018-01-01,STANDARD,R_A2,17,0,0.8938695788383484,0.0,302.8741455078125,22,29,1672.0614013671875,302.8741455078125
19,2018-01-01,STANDARD,R_A2,18,0,0.9568990468978882,0.0,303.0052795410156,22,29,1674.01611328125,303.0052795410156
20,2018-01-01,STANDARD,R_A2,19,0,0.9646652936935425,0.0,303.07379150390625,22,29,1675.0372314453125,303.07379150390625
21,2018-01-01,STANDARD,R_A2,25,0,0.7809720635414124,0.0,303.1436462402344,22,29,1676.0787353515625,303.1436462402344
22,2018-01-01,STANDARD,R_A2,26,0,0.6699004769325256,0.0,303.2657165527344,22,29,1677.8978271484375,303.2657165527344
