CONIDX,DATE,DRAWDOWN,CONKPOS,PRESSURE,SWAT,CONJPOS,CONBPRES,CONIPOS,WELL,DEPTH,SGAS,WELLMODEL
1,2018-01-01,0,1,300.7831115722656,0.053676776587963104,30,300.7831115722656,22,R_A2,1640.8277587890625,0.0,STANDARD
2,2018-01-01,0,2,300.90087890625,0.05555111914873123,30,300.90087890625,22,R_A2,1642.583984375,0.0,STANDARD
3,2018-01-01,0,3,301.0186462402344,0.05812584608793259,30,301.0186462402344,22,R_A2,1644.340087890625,0.0,STANDARD
4,2018-01-01,0,4,301.13641357421875,0.062024589627981186,30,301.13641357421875,22,R_A2,1646.0963134765625,0.0,STANDARD
5,2018-01-01,0,5,301.2541809082031,0.2279834896326065,30,301.2541809082031,22,R_A2,1647.8524169921875,0.0,STANDARD
6,2018-01-01,0,6,301.3719482421875,0.6831849813461304,30,301.3719482421875,22,R_A2,1649.6085205078125,0.0,STANDARD
7,2018-01-01,0,7,301.4897155761719,0.8784328699111938,30,301.4897155761719,22,R_A2,1651.36474609375,0.0,STANDARD
8,2018-01-01,0,8,301.6075134277344,0.851189136505127,30,301.6075134277344,22,R_A2,1653.1209716796875,0.0,STANDARD
9,2018-01-01,0,9,301.72528076171875,0.8699426651000977,30,301.72528076171875,22,R_A2,1654.8770751953125,0.0,STANDARD
10,2018-01-01,0,10,301.84307861328125,0.8860396146774292,30,301.84307861328125,22,R_A2,1656.63330078125,0.0,STANDARD
11,2018-01-01,0,11,301.96990966796875,0.06776707619428635,30,301.96990966796875,22,R_A2,1658.5242919921875,0.0,STANDARD
12,2018-01-01,0,12,302.1058044433594,0.06437546014785767,30,302.1058044433594,22,R_A2,1660.5501708984375,0.0,STANDARD
13,2018-01-01,0,13,302.24169921875,0.42720723152160645,30,302.24169921875,22,R_A2,1662.576171875,0.0,STANDARD
14,2018-01-01,0,14,302.3775939941406,0.45661696791648865,30,302.3775939941406,22,R_A2,1664.60205078125,0.0,STANDARD
15,2018-01-01,0,15,302.51348876953125,0.903294563293457,30,302.51348876953125,22,R_A2,1666.6279296875,0.0,STANDARD
16,2018-01-01,0,16,302.6494140625,0.9135962128639221,30,302.6494140625,22,R_A2,1668.6539306640625,0.0,STANDARD
17,2018-01-01,0,17,302.7853088378906,0.8718183040618896,30,302.7853088378906,22,R_A2,1670.6798095703125,0.0,STANDARD
18,2018-01-01,0,18,302.9103088378906,0.9330739974975586,30,302.9103088378906,22,R_A2,1672.54296875,0.0,STANDARD
19,2018-01-01,0,26,303.38232421875,1.0,29,303.38232421875,22,R_A2,1679.5782470703125,0.0,STANDARD
20,2018-01-01,0,27,303.49713134765625,1.0,29,303.49713134765625,22,R_A2,1681.2889404296875,0.0,STANDARD
21,2018-01-01,0,28,303.9577941894531,1.0,29,303.9577941894531,22,R_A2,1682.99951171875,0.0,STANDARD
22,2018-01-01,0,29,304.1199035644531,1.0,29,304.1199035644531,22,R_A2,1684.710205078125,0.0,STANDARD
23,2018-01-01,0,30,304.2820129394531,1.0,29,304.2820129394531,22,R_A2,1686.4208984375,0.0,STANDARD
1,2018-01-01,0,1,298.7181396484375,0.33996453881263733,41,298.7181396484375,28,R_A3,1610.024169921875,0.0,STANDARD
2,2018-01-01,0,2,298.8549499511719,0.12857520580291748,41,298.8549499511719,28,R_A3,1612.0654296875,0.0,STANDARD
3,2018-01-01,0,3,298.99176025390625,0.11823459714651108,41,298.99176025390625,28,R_A3,1614.1068115234375,0.0,STANDARD
4,2018-01-01,0,3,298.1690979003906,0.1831078678369522,41,298.1690979003906,29,R_A3,1601.831298828125,0.0,STANDARD
5,2018-01-01,0,4,298.3140563964844,0.21927139163017273,41,298.3140563964844,29,R_A3,1603.99462890625,0.0,STANDARD
6,2018-01-01,0,5,298.45904541015625,0.8053363561630249,41,298.45904541015625,29,R_A3,1606.158203125,0.0,STANDARD
7,2018-01-01,0,6,298.6040344238281,0.6481541991233826,41,298.6040344238281,29,R_A3,1608.321533203125,0.0,STANDARD
