CONKPOS,WELLMODEL,SGAS,CONJPOS,SWAT,CONBPRES,CONIDX,CONIPOS,PRESSURE,WELL,DRAWDOWN,DATE,DEPTH
1,STANDARD,0.0,30,0.053668249398469925,300.7636413574219,1,22,300.7636413574219,R_A2,0,2018-01-01,1640.50439453125
2,STANDARD,0.0,30,0.05560385435819626,300.8797302246094,2,22,300.8797302246094,R_A2,0,2018-01-01,1642.235595703125
3,STANDARD,0.0,30,0.058122530579566956,300.9958190917969,3,22,300.9958190917969,R_A2,0,2018-01-01,1643.9669189453125
4,STANDARD,0.0,30,0.06291620433330536,301.1119079589844,4,22,301.1119079589844,R_A2,0,2018-01-01,1645.6982421875
5,STANDARD,0.0,30,0.16211329400539398,301.22802734375,5,22,301.22802734375,R_A2,0,2018-01-01,1647.429443359375
6,STANDARD,0.0,30,0.6614316701889038,301.3441162109375,6,22,301.3441162109375,R_A2,0,2018-01-01,1649.1607666015625
7,STANDARD,0.0,30,0.6627514362335205,301.4602355957031,7,22,301.4602355957031,R_A2,0,2018-01-01,1650.8919677734375
8,STANDARD,0.0,30,0.6481541991233826,301.57635498046875,8,22,301.57635498046875,R_A2,0,2018-01-01,1652.623291015625
9,STANDARD,0.0,30,0.1309661865234375,301.69244384765625,9,22,301.69244384765625,R_A2,0,2018-01-01,1654.3544921875
10,STANDARD,0.0,30,0.21004639565944672,301.8085632324219,10,22,301.8085632324219,R_A2,0,2018-01-01,1656.0858154296875
11,STANDARD,0.0,30,0.0664350762963295,301.935302734375,11,22,301.935302734375,R_A2,0,2018-01-01,1657.975341796875
13,STANDARD,0.0,30,0.4248929023742676,302.21002197265625,12,22,302.21002197265625,R_A2,0,2018-01-01,1662.071044921875
14,STANDARD,0.0,30,0.47386664152145386,302.3473815917969,13,22,302.3473815917969,R_A2,0,2018-01-01,1664.1187744140625
15,STANDARD,0.0,30,0.8935707807540894,302.4847717285156,14,22,302.4847717285156,R_A2,0,2018-01-01,1666.1666259765625
15,STANDARD,0.0,29,0.9320509433746338,302.7790832519531,15,22,302.7790832519531,R_A2,0,2018-01-01,1670.5540771484375
16,STANDARD,0.0,29,0.948017954826355,302.92333984375,16,22,302.92333984375,R_A2,0,2018-01-01,1672.704345703125
17,STANDARD,0.0,29,0.9380221366882324,303.067626953125,17,22,303.067626953125,R_A2,0,2018-01-01,1674.8544921875
18,STANDARD,0.0,29,0.9900388121604919,303.1872253417969,18,22,303.1872253417969,R_A2,0,2018-01-01,1676.6370849609375
25,STANDARD,0.0,29,1.0,303.29339599609375,19,22,303.29339599609375,R_A2,0,2018-01-01,1678.219482421875
26,STANDARD,0.0,29,0.6481541991233826,303.4107971191406,20,22,303.4107971191406,R_A2,0,2018-01-01,1679.969482421875
27,STANDARD,0.0,29,1.0,303.83648681640625,21,22,303.83648681640625,R_A2,0,2018-01-01,1681.7193603515625
28,STANDARD,0.0,29,1.0,304.0022888183594,22,22,304.0022888183594,R_A2,0,2018-01-01,1683.46923828125
29,STANDARD,0.0,29,1.0,304.1681213378906,23,22,304.1681213378906,R_A2,0,2018-01-01,1685.2191162109375
1,STANDARD,0.0,41,0.3296634256839752,298.7458190917969,1,28,298.7458190917969,R_A3,0,2018-01-01,1610.4044189453125
2,STANDARD,0.0,41,0.1938784420490265,298.8800048828125,2,28,298.8800048828125,R_A3,0,2018-01-01,1612.406494140625
3,STANDARD,0.0,41,0.11158253252506256,299.0141906738281,3,28,299.0141906738281,R_A3,0,2018-01-01,1614.4085693359375
4,STANDARD,0.0,41,0.11362884938716888,299.1484069824219,4,28,299.1484069824219,R_A3,0,2018-01-01,1616.4107666015625
4,STANDARD,0.0,41,0.15184286236763,298.45819091796875,5,29,298.45819091796875,R_A3,0,2018-01-01,1606.1123046875
