WELLMODEL,DEPTH,DATE,CONKPOS,SGAS,WELL,CONBPRES,CONIPOS,DRAWDOWN,PRESSURE,SWAT,CONIDX,CONJPOS
STANDARD,1636.760009765625,2018-01-01,1,0.0,R_A2,300.2723083496094,22,0,300.2723083496094,0.05747266858816147,1,30
STANDARD,1638.5157470703125,2018-01-01,2,0.0,R_A2,300.3900146484375,22,0,300.3900146484375,0.05804974213242531,2,30
STANDARD,1640.271484375,2018-01-01,3,0.0,R_A2,300.50775146484375,22,0,300.50775146484375,0.06188653036952019,3,30
STANDARD,1642.0272216796875,2018-01-01,4,0.0,R_A2,300.6254577636719,22,0,300.6254577636719,0.06633474677801132,4,30
STANDARD,1643.782958984375,2018-01-01,5,0.0,R_A2,300.7431945800781,22,0,300.7431945800781,0.06998676806688309,5,30
STANDARD,1645.53857421875,2018-01-01,6,0.0,R_A2,300.8609313964844,22,0,300.8609313964844,0.13801097869873047,6,30
STANDARD,1647.2943115234375,2018-01-01,7,0.0,R_A2,300.9786682128906,22,0,300.9786682128906,0.7286425232887268,7,30
STANDARD,1649.050048828125,2018-01-01,8,0.0,R_A2,301.0964050292969,22,0,301.0964050292969,0.8794974684715271,8,30
STANDARD,1650.8056640625,2018-01-01,9,0.0,R_A2,301.2141418457031,22,0,301.2141418457031,0.8921152949333191,9,30
STANDARD,1652.5615234375,2018-01-01,10,0.0,R_A2,301.3318786621094,22,0,301.3318786621094,0.9166635870933533,10,30
STANDARD,1654.4404296875,2018-01-01,11,0.0,R_A2,301.4578857421875,22,0,301.4578857421875,0.08110896497964859,11,30
STANDARD,1656.4425048828125,2018-01-01,12,0.0,R_A2,301.5921630859375,22,0,301.5921630859375,0.24708473682403564,12,30
STANDARD,1658.4447021484375,2018-01-01,13,0.0,R_A2,301.7264404296875,22,0,301.7264404296875,0.46704161167144775,13,30
STANDARD,1660.44677734375,2018-01-01,14,0.0,R_A2,301.8607177734375,22,0,301.8607177734375,0.6179607510566711,14,30
STANDARD,1662.448974609375,2018-01-01,15,0.0,R_A2,301.9950256347656,22,0,301.9950256347656,0.9581945538520813,15,30
STANDARD,1665.7318115234375,2018-01-01,15,0.0,R_A2,302.2152099609375,22,0,302.2152099609375,0.9739938974380493,16,29
STANDARD,1667.9818115234375,2018-01-01,16,0.0,R_A2,302.36614990234375,22,0,302.36614990234375,0.9710150361061096,17,29
STANDARD,1670.2318115234375,2018-01-01,17,0.0,R_A2,302.51708984375,22,0,302.51708984375,0.9660507440567017,18,29
STANDARD,1671.966796875,2018-01-01,18,0.0,R_A2,302.63348388671875,22,0,302.63348388671875,0.9954013228416443,19,29
STANDARD,1673.482177734375,2018-01-01,26,0.0,R_A2,303.055908203125,22,0,303.055908203125,1.0,20,29
STANDARD,1675.2928466796875,2018-01-01,27,0.0,R_A2,303.2275085449219,22,0,303.2275085449219,1.0,21,29
STANDARD,1677.103515625,2018-01-01,28,0.0,R_A2,303.3990783691406,22,0,303.3990783691406,1.0,22,29
STANDARD,1678.9141845703125,2018-01-01,29,0.0,R_A2,303.5706481933594,22,0,303.5706481933594,1.0,23,29
STANDARD,1680.724853515625,2018-01-01,30,0.0,R_A2,303.74224853515625,22,0,303.74224853515625,1.0,24,29
STANDARD,1607.3599853515625,2018-01-01,1,0.0,R_A3,298.3016662597656,28,0,298.3016662597656,0.6481541991233826,1,41
STANDARD,1609.44091796875,2018-01-01,2,0.0,R_A3,298.44110107421875,28,0,298.44110107421875,0.11823459714651108,2,41
STANDARD,1611.52197265625,2018-01-01,3,0.0,R_A3,298.58056640625,28,0,298.58056640625,0.11823459714651108,3,41
STANDARD,1613.602783203125,2018-01-01,4,0.0,R_A3,298.72003173828125,28,0,298.72003173828125,0.6481541991233826,4,41
STANDARD,1615.683837890625,2018-01-01,5,0.0,R_A3,298.8594970703125,28,0,298.8594970703125,0.8399216532707214,5,41
STANDARD,1617.7647705078125,2018-01-01,6,0.0,R_A3,298.99896240234375,28,0,298.99896240234375,0.20642678439617157,6,41
STANDARD,1619.8458251953125,2018-01-01,7,0.0,R_A3,299.1384582519531,28,0,299.1384582519531,0.21137595176696777,7,41
STANDARD,1621.9267578125,2018-01-01,8,0.0,R_A3,299.2779235839844,28,0,299.2779235839844,0.20747724175453186,8,41
STANDARD,1624.0076904296875,2018-01-01,9,0.0,R_A3,299.41741943359375,28,0,299.41741943359375,0.8197359442710876,9,41
STANDARD,1626.088623046875,2018-01-01,10,0.0,R_A3,299.5569152832031,28,0,299.5569152832031,0.8296363949775696,10,41
STANDARD,1618.323974609375,2018-01-01,10,0.0,R_A3,299.03643798828125,29,0,299.03643798828125,0.8142160773277283,11,41
STANDARD,1620.52490234375,2018-01-01,11,0.0,R_A3,299.1839599609375,29,0,299.1839599609375,0.0509415827691555,12,41
STANDARD,1622.9832763671875,2018-01-01,12,0.0,R_A3,299.3487548828125,29,0,299.3487548828125,0.058622825890779495,13,41
STANDARD,1625.4417724609375,2018-01-01,13,0.0,R_A3,299.5135498046875,29,0,299.5135498046875,0.38989168405532837,14,41
STANDARD,1627.9002685546875,2018-01-01,14,0.0,R_A3,299.6783447265625,29,0,299.6783447265625,0.3618234694004059,15,41
STANDARD,1630.2333984375,2018-01-01,15,0.0,R_A3,299.8347473144531,29,0,299.8347473144531,0.8116308450698853,16,41
STANDARD,1631.6339111328125,2018-01-01,16,0.0,R_A3,299.92864990234375,29,0,299.92864990234375,0.7970240116119385,17,41
STANDARD,1633.6932373046875,2018-01-01,26,0.0,R_A3,300.06671142578125,29,0,300.06671142578125,0.6481541991233826,18,41
STANDARD,1637.21875,2018-01-01,27,0.0,R_A3,300.3030700683594,29,0,300.3030700683594,0.04783554747700691,19,41
STANDARD,1640.7442626953125,2018-01-01,28,0.0,R_A3,300.5394592285156,29,0,300.5394592285156,0.2246285080909729,20,41
STANDARD,1644.269775390625,2018-01-01,29,0.0,R_A3,300.7758483886719,29,0,300.7758483886719,1.0,21,41
STANDARD,1647.7952880859375,2018-01-01,30,0.0,R_A3,301.0122375488281,29,0,301.0122375488281,0.18053875863552094,22,41
STANDARD,1630.05078125,2018-01-01,1,0.0,R_A4,299.822509765625,30,0,299.822509765625,0.052405551075935364,1,52
STANDARD,1626.39013671875,2018-01-01,1,0.0,R_A4,299.5771179199219,31,0,299.5771179199219,0.0515279695391655,2,52
STANDARD,1628.4451904296875,2018-01-01,2,0.0,R_A4,299.7148742675781,31,0,299.7148742675781,0.0535445511341095,3,52
STANDARD,1630.5003662109375,2018-01-01,3,0.0,R_A4,299.8526611328125,31,0,299.8526611328125,0.053844910115003586,4,52
STANDARD,1632.555419921875,2018-01-01,4,0.0,R_A4,299.99041748046875,31,0,299.99041748046875,0.05602472275495529,5,52
STANDARD,1634.6104736328125,2018-01-01,5,0.0,R_A4,300.1282043457031,31,0,300.1282043457031,0.05911649763584137,6,52
STANDARD,1630.703125,2018-01-01,5,0.0,R_A4,299.8662414550781,32,0,299.8662414550781,0.05638018622994423,7,52
STANDARD,1632.607666015625,2018-01-01,6,0.0,R_A4,299.9939270019531,32,0,299.9939270019531,0.0569704994559288,8,52
STANDARD,1638.4322509765625,2018-01-01,6,0.0,R_A4,300.3844299316406,32,0,300.3844299316406,0.0640997439622879,9,51
STANDARD,1636.575439453125,2018-01-01,5,0.0,R_A4,300.25994873046875,32,0,300.25994873046875,0.06068704277276993,10,51
STANDARD,1634.125,2018-01-01,5,0.0,R_A4,300.09564208984375,33,0,300.09564208984375,0.07713654637336731,11,51
STANDARD,1636.008056640625,2018-01-01,6,0.0,R_A4,300.2218933105469,33,0,300.2218933105469,0.061457403004169464,12,51
STANDARD,1637.89111328125,2018-01-01,7,0.0,R_A4,300.34814453125,33,0,300.34814453125,0.06338895857334137,13,51
STANDARD,1645.149658203125,2018-01-01,7,0.0,R_A4,300.8348388671875,33,0,300.8348388671875,0.13766618072986603,14,50
STANDARD,1642.075439453125,2018-01-01,7,0.0,R_A4,300.6286926269531,34,0,300.6286926269531,0.14863723516464233,15,50
STANDARD,1640.19970703125,2018-01-01,6,0.0,R_A4,300.5029296875,34,0,300.5029296875,0.06635583937168121,16,50
STANDARD,1638.3240966796875,2018-01-01,5,0.0,R_A4,300.3771667480469,34,0,300.3771667480469,0.14682024717330933,17,50
STANDARD,1639.210205078125,2018-01-01,5,0.0,R_A4,300.43658447265625,35,0,300.43658447265625,0.19091343879699707,18,50
STANDARD,1643.5582275390625,2018-01-01,5,0.0,R_A4,300.7281188964844,35,0,300.7281188964844,0.17764629423618317,19,49
STANDARD,1641.678466796875,2018-01-01,4,0.0,R_A4,300.6020812988281,35,0,300.6020812988281,0.22083745896816254,20,49
STANDARD,1643.500244140625,2018-01-01,29,0.0,R_A4,300.7242431640625,36,0,300.7242431640625,0.29828861355781555,21,49
STANDARD,1643.53662109375,2018-01-01,29,0.0,R_A4,300.7266845703125,36,0,300.7266845703125,0.6481541991233826,22,48
STANDARD,1651.361572265625,2018-01-01,29,0.0,R_A4,301.25140380859375,37,0,301.25140380859375,0.295101523399353,23,48
STANDARD,1645.8404541015625,2018-01-01,28,0.0,R_A4,300.88116455078125,37,0,300.88116455078125,0.7802577018737793,24,48
STANDARD,1649.4061279296875,2018-01-01,28,0.0,R_A4,301.1202697753906,38,0,301.1202697753906,0.6481541991233826,25,48
STANDARD,1652.3856201171875,2018-01-01,28,0.0,R_A4,301.320068359375,38,0,301.320068359375,0.6481541991233826,26,47
STANDARD,1657.805419921875,2018-01-01,29,0.0,R_A4,301.6835632324219,38,0,301.6835632324219,0.15293511748313904,27,47
STANDARD,1684.932861328125,2018-01-01,1,0.0,R_A5,303.835205078125,31,0,303.835205078125,1.0,1,20
STANDARD,1687.2569580078125,2018-01-01,2,0.0,R_A5,304.0554504394531,31,0,304.0554504394531,1.0,2,20
STANDARD,1689.5810546875,2018-01-01,3,0.0,R_A5,304.2756652832031,31,0,304.2756652832031,1.0,3,20
STANDARD,1691.905029296875,2018-01-01,4,0.0,R_A5,304.49591064453125,31,0,304.49591064453125,1.0,4,20
STANDARD,1694.2291259765625,2018-01-01,5,0.0,R_A5,304.7161560058594,31,0,304.7161560058594,1.0,5,20
STANDARD,1696.55322265625,2018-01-01,6,0.0,R_A5,304.9364013671875,31,0,304.9364013671875,1.0,6,20
STANDARD,1698.877197265625,2018-01-01,7,0.0,R_A5,305.4624328613281,31,0,305.4624328613281,1.0,7,20
STANDARD,1708.017822265625,2018-01-01,11,0.0,R_A5,306.02301025390625,31,0,306.02301025390625,1.0,8,20
STANDARD,1710.030517578125,2018-01-01,12,0.0,R_A5,306.2137756347656,31,0,306.2137756347656,1.0,9,20
STANDARD,1697.832275390625,2018-01-01,12,0.0,R_A5,305.0577392578125,31,0,305.0577392578125,1.0,10,21
