CONJPOS,CONIPOS,WELLMODEL,CONBPRES,PRESSURE,SWAT,CONKPOS,DEPTH,SGAS,DRAWDOWN,WELL,DATE,CONIDX
30,22,STANDARD,300.6842346191406,300.6842346191406,0.06038988009095192,1,1642.606689453125,0.0,0,R_A2,2018-01-01,1
30,22,STANDARD,300.8077697753906,300.8077697753906,0.06241906061768532,2,1644.448974609375,0.0,0,R_A2,2018-01-01,2
30,22,STANDARD,300.9313049316406,300.9313049316406,0.06642888486385345,3,1646.291015625,0.0,0,R_A2,2018-01-01,3
30,22,STANDARD,301.0548095703125,301.0548095703125,0.07173172384500504,4,1648.1331787109375,0.0,0,R_A2,2018-01-01,4
30,22,STANDARD,301.1783447265625,301.1783447265625,0.07480686157941818,5,1649.975341796875,0.0,0,R_A2,2018-01-01,5
30,22,STANDARD,301.3019104003906,301.3019104003906,0.17800913751125336,6,1651.8175048828125,0.0,0,R_A2,2018-01-01,6
30,22,STANDARD,301.4254455566406,301.4254455566406,0.9212518334388733,7,1653.65966796875,0.0,0,R_A2,2018-01-01,7
30,22,STANDARD,301.5489807128906,301.5489807128906,0.9109742641448975,8,1655.501708984375,0.0,0,R_A2,2018-01-01,8
30,22,STANDARD,301.6725158691406,301.6725158691406,0.9247204065322876,9,1657.3438720703125,0.0,0,R_A2,2018-01-01,9
30,22,STANDARD,301.79608154296875,301.79608154296875,0.9406615495681763,10,1659.18603515625,0.0,0,R_A2,2018-01-01,10
30,22,STANDARD,301.923828125,301.923828125,0.08780555427074432,11,1661.0906982421875,0.0,0,R_A2,2018-01-01,11
30,22,STANDARD,302.0557556152344,302.0557556152344,0.09551364183425903,12,1663.0576171875,0.0,0,R_A2,2018-01-01,12
30,22,STANDARD,302.18768310546875,302.18768310546875,0.5051437616348267,13,1665.0245361328125,0.0,0,R_A2,2018-01-01,13
30,22,STANDARD,302.31964111328125,302.31964111328125,0.5759599208831787,14,1666.9915771484375,0.0,0,R_A2,2018-01-01,14
30,22,STANDARD,302.45159912109375,302.45159912109375,0.7757174372673035,15,1668.95849609375,0.0,0,R_A2,2018-01-01,15
30,22,STANDARD,302.5835266113281,302.5835266113281,1.0,16,1670.9254150390625,0.0,0,R_A2,2018-01-01,16
30,22,STANDARD,302.7154846191406,302.7154846191406,1.0,17,1672.8924560546875,0.0,0,R_A2,2018-01-01,17
30,22,STANDARD,303.0377502441406,303.0377502441406,1.0,18,1674.859375,0.0,0,R_A2,2018-01-01,18
29,22,STANDARD,302.7225646972656,302.7225646972656,1.0,18,1672.997802734375,0.0,0,R_A2,2018-01-01,19
29,22,STANDARD,302.9693908691406,302.9693908691406,1.0,19,1674.1383056640625,0.0,0,R_A2,2018-01-01,20
29,22,STANDARD,302.9150085449219,302.9150085449219,1.0,26,1675.22216796875,0.0,0,R_A2,2018-01-01,21
29,22,STANDARD,303.38946533203125,303.38946533203125,1.0,27,1677.002197265625,0.0,0,R_A2,2018-01-01,22
29,22,STANDARD,303.5581359863281,303.5581359863281,1.0,28,1678.7821044921875,0.0,0,R_A2,2018-01-01,23
29,22,STANDARD,303.726806640625,303.726806640625,1.0,29,1680.5621337890625,0.0,0,R_A2,2018-01-01,24
29,22,STANDARD,303.8954772949219,303.8954772949219,1.0,30,1682.342041015625,0.0,0,R_A2,2018-01-01,25
41,28,STANDARD,298.5846252441406,298.5846252441406,0.23292970657348633,1,1611.28564453125,0.0,0,R_A3,2018-01-01,1
41,28,STANDARD,298.72698974609375,298.72698974609375,0.2014445960521698,2,1613.4097900390625,0.0,0,R_A3,2018-01-01,2
41,28,STANDARD,298.8693542480469,298.8693542480469,0.12240465730428696,3,1615.533935546875,0.0,0,R_A3,2018-01-01,3
41,28,STANDARD,299.01171875,299.01171875,0.14735426008701324,4,1617.6580810546875,0.0,0,R_A3,2018-01-01,4
41,28,STANDARD,299.1540832519531,299.1540832519531,0.6481541991233826,5,1619.7822265625,0.0,0,R_A3,2018-01-01,5
41,28,STANDARD,299.2964782714844,299.2964782714844,0.6481541991233826,6,1621.90625,0.0,0,R_A3,2018-01-01,6
41,29,STANDARD,298.3974609375,298.3974609375,0.3451969623565674,6,1608.4927978515625,0.0,0,R_A3,2018-01-01,7
41,29,STANDARD,298.53582763671875,298.53582763671875,0.19898822903633118,7,1610.5572509765625,0.0,0,R_A3,2018-01-01,8
41,29,STANDARD,298.6741638183594,298.6741638183594,0.12805138528347015,8,1612.62158203125,0.0,0,R_A3,2018-01-01,9
41,29,STANDARD,298.8125305175781,298.8125305175781,0.8065690994262695,9,1614.68603515625,0.0,0,R_A3,2018-01-01,10
41,29,STANDARD,298.9508972167969,298.9508972167969,0.8026705980300903,10,1616.75048828125,0.0,0,R_A3,2018-01-01,11
41,29,STANDARD,299.1015930175781,299.1015930175781,0.04902656376361847,11,1618.998779296875,0.0,0,R_A3,2018-01-01,12
41,29,STANDARD,299.26458740234375,299.26458740234375,0.056726083159446716,12,1621.4306640625,0.0,0,R_A3,2018-01-01,13
41,29,STANDARD,299.4276123046875,299.4276123046875,0.3756496012210846,13,1623.8626708984375,0.0,0,R_A3,2018-01-01,14
41,29,STANDARD,299.59063720703125,299.59063720703125,0.3741580843925476,14,1626.294677734375,0.0,0,R_A3,2018-01-01,15
41,29,STANDARD,299.751220703125,299.751220703125,0.5081929564476013,15,1628.690185546875,0.0,0,R_A3,2018-01-01,16
41,29,STANDARD,299.8667297363281,299.8667297363281,0.8159525394439697,16,1630.413330078125,0.0,0,R_A3,2018-01-01,17
41,29,STANDARD,300.02642822265625,300.02642822265625,0.8003516793251038,26,1632.7952880859375,0.0,0,R_A3,2018-01-01,18
41,29,STANDARD,300.2729187011719,300.2729187011719,0.08551204204559326,27,1636.4720458984375,0.0,0,R_A3,2018-01-01,19
41,29,STANDARD,300.5194396972656,300.5194396972656,0.05245044454932213,28,1640.1488037109375,0.0,0,R_A3,2018-01-01,20
41,29,STANDARD,300.7659606933594,300.7659606933594,0.698083221912384,29,1643.8255615234375,0.0,0,R_A3,2018-01-01,21
41,29,STANDARD,301.01251220703125,301.01251220703125,0.06735894083976746,30,1647.5023193359375,0.0,0,R_A3,2018-01-01,22
52,30,STANDARD,299.9710388183594,299.9710388183594,0.05355502665042877,1,1631.969482421875,0.0,0,R_A4,2018-01-01,1
52,31,STANDARD,299.7581481933594,299.7581481933594,0.053623318672180176,1,1628.7935791015625,0.0,0,R_A4,2018-01-01,2
52,31,STANDARD,299.8959045410156,299.8959045410156,0.05571119859814644,2,1630.8482666015625,0.0,0,R_A4,2018-01-01,3
52,31,STANDARD,300.03363037109375,300.03363037109375,0.05978209152817726,3,1632.9029541015625,0.0,0,R_A4,2018-01-01,4
52,32,STANDARD,299.8547058105469,299.8547058105469,0.056871961802244186,3,1630.23388671875,0.0,0,R_A4,2018-01-01,5
52,32,STANDARD,299.9805603027344,299.9805603027344,0.23057802021503448,4,1632.111083984375,0.0,0,R_A4,2018-01-01,6
51,32,STANDARD,300.4574279785156,300.4574279785156,0.8893389701843262,4,1639.22412109375,0.0,0,R_A4,2018-01-01,7
51,32,STANDARD,300.3368835449219,300.3368835449219,0.2833845317363739,3,1637.4261474609375,0.0,0,R_A4,2018-01-01,8
51,32,STANDARD,300.2163391113281,300.2163391113281,0.1478690803050995,2,1635.6280517578125,0.0,0,R_A4,2018-01-01,9
51,33,STANDARD,300.21319580078125,300.21319580078125,0.20919226109981537,2,1635.5814208984375,0.0,0,R_A4,2018-01-01,10
51,33,STANDARD,300.0923767089844,300.0923767089844,0.0613802932202816,1,1633.779052734375,0.0,0,R_A4,2018-01-01,11
50,33,STANDARD,300.78973388671875,300.78973388671875,0.2553471028804779,2,1644.179931640625,0.0,0,R_A4,2018-01-01,12
50,34,STANDARD,300.5370788574219,300.5370788574219,0.20917247235774994,2,1640.4119873046875,0.0,0,R_A4,2018-01-01,13
50,35,STANDARD,300.6122741699219,300.6122741699219,0.23211310803890228,2,1641.5335693359375,0.0,0,R_A4,2018-01-01,14
50,35,STANDARD,300.4866943359375,300.4866943359375,0.12216339260339737,1,1639.660400390625,0.0,0,R_A4,2018-01-01,15
49,35,STANDARD,300.7220153808594,300.7220153808594,0.24202819168567657,1,1643.170166015625,0.0,0,R_A4,2018-01-01,16
49,36,STANDARD,300.64666748046875,300.64666748046875,0.28789687156677246,29,1642.04638671875,0.0,0,R_A4,2018-01-01,17
48,36,STANDARD,300.436767578125,300.436767578125,0.057039402425289154,29,1638.9156494140625,0.0,0,R_A4,2018-01-01,18
48,37,STANDARD,300.9701843261719,300.9701843261719,0.6481541991233826,29,1646.8707275390625,0.0,0,R_A4,2018-01-01,19
48,38,STANDARD,301.53314208984375,301.53314208984375,0.14860692620277405,29,1655.2657470703125,0.0,0,R_A4,2018-01-01,20
47,38,STANDARD,301.767822265625,301.767822265625,0.7128782868385315,29,1658.7646484375,0.0,0,R_A4,2018-01-01,21
20,31,STANDARD,303.75164794921875,303.75164794921875,1.0,1,1684.0511474609375,0.0,0,R_A5,2018-01-01,1
20,31,STANDARD,303.9587097167969,303.9587097167969,1.0,2,1686.2362060546875,0.0,0,R_A5,2018-01-01,2
20,31,STANDARD,304.165771484375,304.165771484375,1.0,3,1688.421142578125,0.0,0,R_A5,2018-01-01,3
20,31,STANDARD,304.3728332519531,304.3728332519531,1.0,4,1690.6060791015625,0.0,0,R_A5,2018-01-01,4
20,31,STANDARD,304.5798645019531,304.5798645019531,1.0,5,1692.791015625,0.0,0,R_A5,2018-01-01,5
20,31,STANDARD,304.7869567871094,304.7869567871094,1.0,6,1694.97607421875,0.0,0,R_A5,2018-01-01,6
20,31,STANDARD,305.2998046875,305.2998046875,1.0,7,1697.1610107421875,0.0,0,R_A5,2018-01-01,7
21,31,STANDARD,305.5777893066406,305.5777893066406,1.0,11,1703.31982421875,0.0,0,R_A5,2018-01-01,8
21,31,STANDARD,305.74652099609375,305.74652099609375,1.0,12,1705.100341796875,0.0,0,R_A5,2018-01-01,9
21,31,STANDARD,305.92724609375,305.92724609375,1.0,13,1706.880859375,0.0,0,R_A5,2018-01-01,10
21,31,STANDARD,306.0959777832031,306.0959777832031,1.0,14,1708.661376953125,0.0,0,R_A5,2018-01-01,11
21,31,STANDARD,306.26470947265625,306.26470947265625,1.0,15,1710.44189453125,0.0,0,R_A5,2018-01-01,12
21,31,STANDARD,306.5784606933594,306.5784606933594,1.0,16,1712.222412109375,0.0,0,R_A5,2018-01-01,13
21,31,STANDARD,306.7472229003906,306.7472229003906,1.0,17,1714.0029296875,0.0,0,R_A5,2018-01-01,14
21,31,STANDARD,306.8981628417969,306.8981628417969,1.0,18,1715.5955810546875,0.0,0,R_A5,2018-01-01,15
21,31,STANDARD,306.93121337890625,306.93121337890625,1.0,26,1717.601806640625,0.0,0,R_A5,2018-01-01,16
21,31,STANDARD,307.1418762207031,307.1418762207031,1.0,27,1719.8248291015625,0.0,0,R_A5,2018-01-01,17
21,31,STANDARD,307.6583557128906,307.6583557128906,1.0,28,1722.0477294921875,0.0,0,R_A5,2018-01-01,18
21,31,STANDARD,307.8690490722656,307.8690490722656,1.0,29,1724.270751953125,0.0,0,R_A5,2018-01-01,19
21,31,STANDARD,308.0797424316406,308.0797424316406,1.0,30,1726.49365234375,0.0,0,R_A5,2018-01-01,20
42,17,STANDARD,305.1469421386719,305.1469421386719,1.0,1,1695.548095703125,0.0,0,R_A6,2018-01-01,1
42,17,STANDARD,305.2943115234375,305.2943115234375,1.0,2,1697.103271484375,0.0,0,R_A6,2018-01-01,2
42,17,STANDARD,305.44171142578125,305.44171142578125,1.0,3,1698.658447265625,0.0,0,R_A6,2018-01-01,3
42,17,STANDARD,305.5890808105469,305.5890808105469,1.0,4,1700.213623046875,0.0,0,R_A6,2018-01-01,4
42,17,STANDARD,305.7364807128906,305.7364807128906,1.0,5,1701.7689208984375,0.0,0,R_A6,2018-01-01,5
42,17,STANDARD,305.88385009765625,305.88385009765625,1.0,6,1703.3240966796875,0.0,0,R_A6,2018-01-01,6
42,17,STANDARD,305.732177734375,305.732177734375,1.0,7,1704.8792724609375,0.0,0,R_A6,2018-01-01,7
42,17,STANDARD,305.87957763671875,305.87957763671875,1.0,8,1706.4344482421875,0.0,0,R_A6,2018-01-01,8
42,17,STANDARD,306.3260192871094,306.3260192871094,1.0,9,1707.9896240234375,0.0,0,R_A6,2018-01-01,9
42,17,STANDARD,306.4734191894531,306.4734191894531,1.0,10,1709.544921875,0.0,0,R_A6,2018-01-01,10
42,17,STANDARD,306.3468017578125,306.3468017578125,1.0,11,1711.434326171875,0.0,0,R_A6,2018-01-01,11
42,17,STANDARD,306.5575256347656,306.5575256347656,1.0,12,1713.6578369140625,0.0,0,R_A6,2018-01-01,12
42,17,STANDARD,306.7802429199219,306.7802429199219,1.0,13,1715.88134765625,0.0,0,R_A6,2018-01-01,13
42,17,STANDARD,306.990966796875,306.990966796875,1.0,14,1718.1048583984375,0.0,0,R_A6,2018-01-01,14
42,17,STANDARD,307.3467102050781,307.3467102050781,1.0,15,1720.328369140625,0.0,0,R_A6,2018-01-01,15
42,17,STANDARD,307.5574645996094,307.5574645996094,1.0,16,1722.5518798828125,0.0,0,R_A6,2018-01-01,16
42,17,STANDARD,307.7681884765625,307.7681884765625,1.0,17,1724.775390625,0.0,0,R_A6,2018-01-01,17
42,17,STANDARD,307.9438781738281,307.9438781738281,1.0,18,1726.6290283203125,0.0,0,R_A6,2018-01-01,18
42,17,STANDARD,307.939208984375,307.939208984375,1.0,26,1728.237548828125,0.0,0,R_A6,2018-01-01,19
42,17,STANDARD,308.1034851074219,308.1034851074219,1.0,27,1729.970703125,0.0,0,R_A6,2018-01-01,20
42,17,STANDARD,308.57354736328125,308.57354736328125,1.0,28,1731.703857421875,0.0,0,R_A6,2018-01-01,21
42,17,STANDARD,308.7378234863281,308.7378234863281,1.0,29,1733.4368896484375,0.0,0,R_A6,2018-01-01,22
42,17,STANDARD,308.5962829589844,308.5962829589844,1.0,30,1735.1700439453125,0.0,0,R_A6,2018-01-01,23
30,22,STANDARD,297.852783203125,297.852783203125,0.06041453778743744,1,1642.606689453125,0.0,0,R_A2,2018-03-01,1
30,22,STANDARD,297.9761962890625,297.9761962890625,0.06249798461794853,2,1644.448974609375,0.0,0,R_A2,2018-03-01,2
30,22,STANDARD,298.0997009277344,298.0997009277344,0.0665019303560257,3,1646.291015625,0.0,0,R_A2,2018-03-01,3
30,22,STANDARD,298.2231750488281,298.2231750488281,0.07180607318878174,4,1648.1331787109375,0.0,0,R_A2,2018-03-01,4
30,22,STANDARD,298.3466491699219,298.3466491699219,0.07489343732595444,5,1649.975341796875,0.0,0,R_A2,2018-03-01,5
30,22,STANDARD,298.47027587890625,298.47027587890625,0.17823702096939087,6,1651.8175048828125,0.0,0,R_A2,2018-03-01,6
30,22,STANDARD,298.60113525390625,298.60113525390625,0.9211838245391846,7,1653.65966796875,0.0,0,R_A2,2018-03-01,7
30,22,STANDARD,298.7301330566406,298.7301330566406,0.9108975529670715,8,1655.501708984375,0.0,0,R_A2,2018-03-01,8
30,22,STANDARD,299.0439453125,299.0439453125,0.9246599674224854,9,1657.3438720703125,0.0,0,R_A2,2018-03-01,9
30,22,STANDARD,299.36370849609375,299.36370849609375,0.9406125545501709,10,1659.18603515625,0.0,0,R_A2,2018-03-01,10
30,22,STANDARD,300.2176818847656,300.2176818847656,0.08800581842660904,11,1661.0906982421875,0.0,0,R_A2,2018-03-01,11
30,22,STANDARD,300.34954833984375,300.34954833984375,0.09574020653963089,12,1663.0576171875,0.0,0,R_A2,2018-03-01,12
30,22,STANDARD,300.5754699707031,300.5754699707031,0.5050775408744812,13,1665.0245361328125,0.0,0,R_A2,2018-03-01,13
30,22,STANDARD,300.7567443847656,300.7567443847656,0.5758195519447327,14,1666.9915771484375,0.0,0,R_A2,2018-03-01,14
30,22,STANDARD,300.8879699707031,300.8879699707031,0.7755842804908752,15,1668.95849609375,0.0,0,R_A2,2018-03-01,15
30,22,STANDARD,301.01922607421875,301.01922607421875,0.9999998807907104,16,1670.9254150390625,-1.2886109068688256e-08,0,R_A2,2018-03-01,16
30,22,STANDARD,301.1509704589844,301.1509704589844,1.0,17,1672.8924560546875,-1.6425990567725535e-09,0,R_A2,2018-03-01,17
30,22,STANDARD,301.4732360839844,301.4732360839844,1.0,18,1674.859375,-4.799409203393168e-10,0,R_A2,2018-03-01,18
29,22,STANDARD,300.92626953125,300.92626953125,1.0,18,1672.997802734375,-6.234630034462896e-10,0,R_A2,2018-03-01,19
29,22,STANDARD,301.1630859375,301.1630859375,1.0,19,1674.1383056640625,-4.967448761356019e-12,0,R_A2,2018-03-01,20
29,22,STANDARD,300.9715576171875,300.9715576171875,0.9999999403953552,26,1675.22216796875,-1.9863362510363913e-08,0,R_A2,2018-03-01,21
29,22,STANDARD,302.00946044921875,302.00946044921875,1.0,27,1677.002197265625,-6.992126197697193e-14,0,R_A2,2018-03-01,22
29,22,STANDARD,302.2243957519531,302.2243957519531,1.0,28,1678.7821044921875,-8.795166607815028e-15,0,R_A2,2018-03-01,23
29,22,STANDARD,301.8623962402344,301.8623962402344,0.9999999403953552,29,1680.5621337890625,-3.5778371376693485e-09,0,R_A2,2018-03-01,24
29,22,STANDARD,302.1218566894531,302.1218566894531,1.0,30,1682.342041015625,-3.104740505249922e-16,0,R_A2,2018-03-01,25
20,31,STANDARD,281.3957214355469,281.3957214355469,1.0,1,1684.0511474609375,-4.274398977127669e-12,0,R_A5,2018-04-28,1
20,31,STANDARD,281.6025085449219,281.6025085449219,1.0,2,1686.2362060546875,-3.3751311207669277e-12,0,R_A5,2018-04-28,2
20,31,STANDARD,281.8094177246094,281.8094177246094,1.0,3,1688.421142578125,-3.5340196481020714e-12,0,R_A5,2018-04-28,3
20,31,STANDARD,282.0163269042969,282.0163269042969,1.0,4,1690.6060791015625,-4.524762509117153e-12,0,R_A5,2018-04-28,4
20,31,STANDARD,282.2232666015625,282.2232666015625,1.0,5,1692.791015625,-4.06042950998331e-12,0,R_A5,2018-04-28,5
20,31,STANDARD,282.43017578125,282.43017578125,1.0,6,1694.97607421875,-3.7917108688945156e-12,0,R_A5,2018-04-28,6
20,31,STANDARD,282.9616394042969,282.9616394042969,1.0,7,1697.1610107421875,-1.5426735409940218e-12,0,R_A5,2018-04-28,7
21,31,STANDARD,281.4576110839844,281.4576110839844,1.0,11,1703.31982421875,-3.78994502447938e-10,0,R_A5,2018-04-28,8
21,31,STANDARD,281.6260070800781,281.6260070800781,1.0,12,1705.100341796875,-2.4182369995351394e-10,0,R_A5,2018-04-28,9
21,31,STANDARD,281.80859375,281.80859375,1.0,13,1706.880859375,-1.7953543166027153e-11,0,R_A5,2018-04-28,10
21,31,STANDARD,281.97991943359375,281.97991943359375,1.0,14,1708.661376953125,-2.389021445947659e-11,0,R_A5,2018-04-28,11
21,31,STANDARD,282.1556091308594,282.1556091308594,1.0,15,1710.44189453125,0.0,0,R_A5,2018-04-28,12
21,31,STANDARD,282.4913330078125,282.4913330078125,1.0,16,1712.222412109375,-2.51543716411895e-11,0,R_A5,2018-04-28,13
21,31,STANDARD,282.6748352050781,282.6748352050781,1.0,17,1714.0029296875,-4.747717410186203e-12,0,R_A5,2018-04-28,14
21,31,STANDARD,282.8351135253906,282.8351135253906,1.0,18,1715.5955810546875,-1.1419084428032633e-11,0,R_A5,2018-04-28,15
