SGAS,SWAT,CONIDX,WELL,DEPTH,CONKPOS,CONBPRES,DATE,CONIPOS,PRESSURE,WELLMODEL,DRAWDOWN,CONJPOS
0.0,0.057745736092329025,1,R_A2,1643.2398681640625,1,300.8049621582031,2018-01-01,22,300.8049621582031,STANDARD,0,30
0.0,0.05998589098453522,2,R_A2,1645.01416015625,2,300.9239196777344,2018-01-01,22,300.9239196777344,STANDARD,0,30
0.0,0.06272591650485992,3,R_A2,1646.788330078125,3,301.04290771484375,2018-01-01,22,301.04290771484375,STANDARD,0,30
0.0,0.07037531584501266,4,R_A2,1648.5625,4,301.161865234375,2018-01-01,22,301.161865234375,STANDARD,0,30
0.0,0.07451008260250092,5,R_A2,1650.336669921875,5,301.2808532714844,2018-01-01,22,301.2808532714844,STANDARD,0,30
0.0,0.18412068486213684,6,R_A2,1652.11083984375,6,301.39984130859375,2018-01-01,22,301.39984130859375,STANDARD,0,30
0.0,0.6481541991233826,7,R_A2,1653.885009765625,7,301.5188293457031,2018-01-01,22,301.5188293457031,STANDARD,0,30
0.0,0.6481541991233826,8,R_A2,1655.6591796875,8,301.6378173828125,2018-01-01,22,301.6378173828125,STANDARD,0,30
0.0,0.6481541991233826,9,R_A2,1657.433349609375,9,301.7568054199219,2018-01-01,22,301.7568054199219,STANDARD,0,30
0.0,0.9280393719673157,10,R_A2,1659.2076416015625,10,301.8758239746094,2018-01-01,22,301.8758239746094,STANDARD,0,30
0.0,0.08340828865766525,11,R_A2,1661.0751953125,11,302.0010681152344,2018-01-01,22,302.0010681152344,STANDARD,0,30
0.0,0.08775459975004196,12,R_A2,1663.0361328125,12,302.1325988769531,2018-01-01,22,302.1325988769531,STANDARD,0,30
0.0,0.47714561223983765,13,R_A2,1664.9970703125,13,302.2641296386719,2018-01-01,22,302.2641296386719,STANDARD,0,30
0.0,0.5472532510757446,14,R_A2,1666.9580078125,14,302.39569091796875,2018-01-01,22,302.39569091796875,STANDARD,0,30
0.0,0.7252907156944275,15,R_A2,1668.9189453125,15,302.5272216796875,2018-01-01,22,302.5272216796875,STANDARD,0,30
0.0,0.6795578002929688,16,R_A2,1665.4862060546875,15,302.2969665527344,2018-01-01,22,302.2969665527344,STANDARD,0,29
0.0,0.955133855342865,17,R_A2,1667.4906005859375,16,302.4314270019531,2018-01-01,22,302.4314270019531,STANDARD,0,29
0.0,0.9547927975654602,18,R_A2,1669.4951171875,17,302.5658874511719,2018-01-01,22,302.5658874511719,STANDARD,0,29
0.0,0.9594445824623108,19,R_A2,1671.4996337890625,18,302.7003479003906,2018-01-01,22,302.7003479003906,STANDARD,0,29
0.0,1.0,20,R_A2,1673.0555419921875,19,302.80474853515625,2018-01-01,22,302.80474853515625,STANDARD,0,29
0.0,0.28919875621795654,21,R_A2,1674.5478515625,26,302.90484619140625,2018-01-01,22,302.90484619140625,STANDARD,0,29
0.0,0.8638932108879089,22,R_A2,1676.425048828125,27,303.0307922363281,2018-01-01,22,303.0307922363281,STANDARD,0,29
0.0,1.0,23,R_A2,1678.3021240234375,28,303.5126647949219,2018-01-01,22,303.5126647949219,STANDARD,0,29
0.0,1.0,24,R_A2,1680.17919921875,29,303.6905212402344,2018-01-01,22,303.6905212402344,STANDARD,0,29
0.0,1.0,25,R_A2,1682.056396484375,30,303.868408203125,2018-01-01,22,303.868408203125,STANDARD,0,29
0.0,0.30589979887008667,1,R_A3,1607.5479736328125,1,298.4123840332031,2018-01-01,28,298.4123840332031,STANDARD,0,41
0.0,0.20006825029850006,2,R_A3,1609.5286865234375,2,298.54510498046875,2018-01-01,28,298.54510498046875,STANDARD,0,41
0.0,0.18655362725257874,3,R_A3,1601.2490234375,2,297.9902648925781,2018-01-01,29,297.9902648925781,STANDARD,0,41
0.0,0.18294155597686768,4,R_A3,1603.406494140625,3,298.1348571777344,2018-01-01,29,298.1348571777344,STANDARD,0,41
0.0,0.6481541991233826,5,R_A3,1605.5640869140625,4,298.2794189453125,2018-01-01,29,298.2794189453125,STANDARD,0,41
0.0,0.8127481341362,6,R_A3,1607.7216796875,5,298.42401123046875,2018-01-01,29,298.42401123046875,STANDARD,0,41
