ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,5194868,789354,412900,287936,40541377,0,0,0,0,0
Valysar,CentralSouth,69738577,13752054,10623107,7408024,1043049870,0,0,0,0,0
Valysar,CentralNorth,44654076,7304767,5091131,3550301,499882336,0,0,0,0,0
Valysar,NorthHorst,4865388,656370,301992,185499,36339223,22866078,2980515,1795701,417604867,63894
Valysar,CentralRamp,13352277,2299845,1706027,1189698,167509515,0,0,0,0,0
Valysar,CentralHorst,87872390,15375530,12212341,8516277,1199091805,0,0,0,0,0
Valysar,EastLowland,4872570,738557,433956,302619,42608777,0,0,0,0,0
Therys,WestLowland,1891301,321526,155475,108421,15265637,0,0,0,0,0
Therys,CentralSouth,15408922,3640296,2389942,1666626,234660945,0,0,0,0,0
Therys,CentralNorth,21419973,4136576,2448925,1707758,240452292,0,0,0,0,0
Therys,NorthHorst,9295645,1188826,438321,269239,52743901,13330525,2345834,1550671,360621233,55175
Therys,CentralRamp,6674341,1542277,1206789,841555,118490892,0,0,0,0,0
Therys,CentralHorst,31206638,7344031,5740975,4003469,563688480,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,110143,18519,9173,6397,900694,0,0,0,0,0
Volon,CentralSouth,36479315,6810192,5220110,3640244,512546363,0,0,0,0,0
Volon,CentralNorth,6061248,911896,558674,389592,54854499,0,0,0,0,0
Volon,NorthHorst,6221368,1188670,939665,577190,113071495,847493,176937,163071,37923398,5802
Volon,CentralRamp,13024053,2400593,1938559,1351854,190341098,0,0,0,0,0
Volon,CentralHorst,84710724,14467637,11174359,7792440,1097175615,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
