CONKPOS,DATE,CONIPOS,DEPTH,CONIDX,SWAT,WELL,WELLMODEL,PRESSURE,DRAWDOWN,CONJPOS,CONBPRES,SGAS
1,2018-01-01,22,1640.6890869140625,1,0.05306017026305199,R_A2,STANDARD,300.77850341796875,0,30,300.77850341796875,0.0
2,2018-01-01,22,1642.402099609375,2,0.05500372499227524,R_A2,STANDARD,300.89337158203125,0,30,300.89337158203125,0.0
3,2018-01-01,22,1644.115234375,3,0.057974353432655334,R_A2,STANDARD,301.0082702636719,0,30,301.0082702636719,0.0
4,2018-01-01,22,1645.828369140625,4,0.06495045125484467,R_A2,STANDARD,301.1231384277344,0,30,301.1231384277344,0.0
5,2018-01-01,22,1647.5413818359375,5,0.06526004523038864,R_A2,STANDARD,301.2380065917969,0,30,301.2380065917969,0.0
6,2018-01-01,22,1649.25439453125,6,0.3033870756626129,R_A2,STANDARD,301.3529052734375,0,30,301.3529052734375,0.0
7,2018-01-01,22,1650.9674072265625,7,0.8714550137519836,R_A2,STANDARD,301.4677734375,0,30,301.4677734375,0.0
8,2018-01-01,22,1652.6805419921875,8,0.8443321585655212,R_A2,STANDARD,301.5826721191406,0,30,301.5826721191406,0.0
9,2018-01-01,22,1654.3935546875,9,0.8676036596298218,R_A2,STANDARD,301.69757080078125,0,30,301.69757080078125,0.0
10,2018-01-01,22,1656.106689453125,10,0.876395046710968,R_A2,STANDARD,301.8124694824219,0,30,301.8124694824219,0.0
11,2018-01-01,22,1657.9671630859375,11,0.06828510761260986,R_A2,STANDARD,301.937255859375,0,30,301.937255859375,0.0
12,2018-01-01,22,1659.97509765625,12,0.14019592106342316,R_A2,STANDARD,302.0719299316406,0,30,302.0719299316406,0.0
13,2018-01-01,22,1661.9830322265625,13,0.4184069335460663,R_A2,STANDARD,302.20660400390625,0,30,302.20660400390625,0.0
14,2018-01-01,22,1663.9910888671875,14,0.45120885968208313,R_A2,STANDARD,302.34130859375,0,30,302.34130859375,0.0
15,2018-01-01,22,1665.9990234375,15,0.9104139804840088,R_A2,STANDARD,302.47601318359375,0,30,302.47601318359375,0.0
16,2018-01-01,22,1668.0069580078125,16,0.9183588624000549,R_A2,STANDARD,302.6107177734375,0,30,302.6107177734375,0.0
16,2018-01-01,22,1673.607177734375,17,0.9480950236320496,R_A2,STANDARD,302.9864196777344,0,29,302.9864196777344,0.0
17,2018-01-01,22,1675.732177734375,18,0.9405206441879272,R_A2,STANDARD,303.1289978027344,0,29,303.1289978027344,0.0
18,2018-01-01,22,1677.341552734375,19,0.9878193140029907,R_A2,STANDARD,303.2369689941406,0,29,303.2369689941406,0.0
25,2018-01-01,22,1678.7442626953125,20,0.6481541991233826,R_A2,STANDARD,303.3310852050781,0,29,303.3310852050781,0.0
26,2018-01-01,22,1680.4556884765625,21,1.0,R_A2,STANDARD,303.4459228515625,0,29,303.4459228515625,0.0
27,2018-01-01,22,1682.1671142578125,22,1.0,R_A2,STANDARD,303.87890625,0,29,303.87890625,0.0
28,2018-01-01,22,1683.8785400390625,23,1.0,R_A2,STANDARD,304.04107666015625,0,29,304.04107666015625,0.0
29,2018-01-01,22,1685.590087890625,24,1.0,R_A2,STANDARD,304.2032775878906,0,29,304.2032775878906,0.0
