FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WIIP_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATPV_TOTAL,HCPV_GAS,HCPV_TOTAL,REGION,ZONE
1,227684.0,0.0,227684.0,83842333.0,0.0,32062394.0,32062394.0,87026184.0,326551.0,86699633.0,0.0,326551.0,WestLowland,Valysar
2,7766896.0,0.0,7766896.0,13078587.0,0.0,1093734284.0,1093734284.0,24660585.0,11135325.0,13525261.0,0.0,11135325.0,CentralSouth,Valysar
3,2946246.0,0.0,2946246.0,11478222.0,0.0,414890398.0,414890398.0,16094070.0,4224338.0,11869732.0,0.0,4224338.0,CentralNorth,Valysar
4,153963.0,54202.0,208164.0,3721996.0,353796402.0,30165885.0,383962287.0,5623550.0,250706.0,3849682.0,1523162.0,1773868.0,NorthHorst,Valysar
5,1017339.0,0.0,1017339.0,642890.0,0.0,143261617.0,143261617.0,2124435.0,1459387.0,665047.0,0.0,1459387.0,CentralRamp,Valysar
6,7295647.0,0.0,7295647.0,6326382.0,0.0,1027372968.0,1027372968.0,17010632.0,10467002.0,6543630.0,0.0,10467002.0,CentralHorst,Valysar
7,457040.0,0.0,457040.0,35029918.0,0.0,64360319.0,64360319.0,36865505.0,655371.0,36210134.0,0.0,655371.0,EastLowland,Valysar
8,144408.0,0.0,144408.0,111802246.0,0.0,20335511.0,20335511.0,115816851.0,207094.0,115609757.0,0.0,207094.0,WestLowland,Therys
9,1565090.0,0.0,1565090.0,5042937.0,0.0,220396019.0,220396019.0,7458724.0,2243303.0,5215420.0,0.0,2243303.0,CentralSouth,Therys
10,1726866.0,0.0,1726866.0,11484519.0,0.0,243177294.0,243177294.0,14351023.0,2475513.0,11875510.0,0.0,2475513.0,CentralNorth,Therys
11,151949.0,70159.0,222109.0,4020548.0,455700108.0,29771435.0,485471543.0,6365953.0,247425.0,4158273.0,1960255.0,2207680.0,NorthHorst,Therys
12,852721.0,0.0,852721.0,332212.0,-0.0,120080177.0,120080177.0,1566549.0,1222905.0,343644.0,0.0,1222905.0,CentralRamp,Therys
13,4029358.0,0.0,4029358.0,4457910.0,0.0,567414183.0,567414183.0,10390482.0,5780030.0,4610452.0,0.0,5780030.0,CentralHorst,Therys
14,0.0,0.0,0.0,18851855.0,0.0,0.0,0.0,19483003.0,0.0,19483003.0,0.0,0.0,EastLowland,Therys
15,17075.0,0.0,17075.0,80004456.0,0.0,2404452.0,2404452.0,82743877.0,24483.0,82719395.0,0.0,24483.0,WestLowland,Volon
16,3047958.0,0.0,3047958.0,33966040.0,0.0,429213415.0,429213415.0,39491473.0,4368727.0,35122746.0,0.0,4368727.0,CentralSouth,Volon
17,473668.0,0.0,473668.0,5988113.0,-0.0,66701904.0,66701904.0,6870755.0,678922.0,6191833.0,0.0,678922.0,CentralNorth,Volon
18,283716.0,26083.0,309799.0,1664459.0,168664158.0,55588520.0,224252678.0,2908371.0,462000.0,1721373.0,724997.0,1186998.0,NorthHorst,Volon
19,1176837.0,0.0,1176837.0,656916.0,0.0,165722161.0,165722161.0,2366653.0,1687186.0,679466.0,0.0,1687186.0,CentralRamp,Volon
20,7947443.0,0.0,7947443.0,7511407.0,-0.0,1119158925.0,1119158925.0,19166447.0,11397750.0,7768698.0,0.0,11397750.0,CentralHorst,Volon
21,0.0,0.0,0.0,33306712.0,0.0,0.0,0.0,34431055.0,0.0,34431055.0,0.0,0.0,EastLowland,Volon
