CONJPOS,CONBPRES,CONIPOS,DRAWDOWN,SWAT,PRESSURE,DEPTH,WELL,CONKPOS,SGAS,CONIDX,DATE,WELLMODEL
30,300.6981506347656,22,0,0.05321384593844414,300.6981506347656,1639.5274658203125,R_A2,1,0.0,1,2018-01-01,STANDARD
30,300.81622314453125,22,0,0.05523456260561943,300.81622314453125,1641.2886962890625,R_A2,2,0.0,2,2018-01-01,STANDARD
30,300.934326171875,22,0,0.05760810524225235,300.934326171875,1643.0498046875,R_A2,3,0.0,3,2018-01-01,STANDARD
30,301.05242919921875,22,0,0.07996755093336105,301.05242919921875,1644.81103515625,R_A2,4,0.0,4,2018-01-01,STANDARD
30,301.1705322265625,22,0,0.08246708661317825,301.1705322265625,1646.5721435546875,R_A2,5,0.0,5,2018-01-01,STANDARD
30,301.28863525390625,22,0,0.26047736406326294,301.28863525390625,1648.333251953125,R_A2,6,0.0,6,2018-01-01,STANDARD
30,301.40673828125,22,0,0.8646857738494873,301.40673828125,1650.094482421875,R_A2,7,0.0,7,2018-01-01,STANDARD
30,301.5248718261719,22,0,0.8609644174575806,301.5248718261719,1651.8555908203125,R_A2,8,0.0,8,2018-01-01,STANDARD
30,301.6429748535156,22,0,0.6481541991233826,301.6429748535156,1653.6168212890625,R_A2,9,0.0,9,2018-01-01,STANDARD
30,301.7611083984375,22,0,0.8812463879585266,301.7611083984375,1655.3779296875,R_A2,10,0.0,10,2018-01-01,STANDARD
30,301.888671875,22,0,0.06607791781425476,301.888671875,1657.2801513671875,R_A2,11,0.0,11,2018-01-01,STANDARD
30,302.0257263183594,22,0,0.06509151309728622,302.0257263183594,1659.323486328125,R_A2,12,0.0,12,2018-01-01,STANDARD
30,302.16278076171875,22,0,0.41267290711402893,302.16278076171875,1661.3668212890625,R_A2,13,0.0,13,2018-01-01,STANDARD
30,302.29986572265625,22,0,0.4505167603492737,302.29986572265625,1663.41015625,R_A2,14,0.0,14,2018-01-01,STANDARD
30,302.4369201660156,22,0,0.8928528428077698,302.4369201660156,1665.45361328125,R_A2,15,0.0,15,2018-01-01,STANDARD
30,302.5740051269531,22,0,0.8956559300422668,302.5740051269531,1667.4969482421875,R_A2,16,0.0,16,2018-01-01,STANDARD
30,302.7110900878906,22,0,0.8569937348365784,302.7110900878906,1669.540283203125,R_A2,17,0.0,17,2018-01-01,STANDARD
29,302.9493103027344,22,0,0.9127939343452454,302.9493103027344,1673.091064453125,R_A2,17,0.0,18,2018-01-01,STANDARD
