CONKPOS,PRESSURE,CONJPOS,CONIPOS,CONIDX,DRAWDOWN,WELLMODEL,WELL,DEPTH,CONBPRES,DATE,SGAS,SWAT
1,300.5290222167969,30,22,1,0,STANDARD,R_A2,1636.9105224609375,300.5290222167969,2018-01-01,0.0,0.051328469067811966
2,300.6487731933594,30,22,2,0,STANDARD,R_A2,1638.6966552734375,300.6487731933594,2018-01-01,0.0,0.052301011979579926
3,300.7685546875,30,22,3,0,STANDARD,R_A2,1640.482666015625,300.7685546875,2018-01-01,0.0,0.05449680611491203
4,300.8883056640625,30,22,4,0,STANDARD,R_A2,1642.268798828125,300.8883056640625,2018-01-01,0.0,0.06031117960810661
5,301.0080871582031,30,22,5,0,STANDARD,R_A2,1644.0548095703125,301.0080871582031,2018-01-01,0.0,0.06272435188293457
6,301.1278381347656,30,22,6,0,STANDARD,R_A2,1645.8409423828125,301.1278381347656,2018-01-01,0.0,0.30013689398765564
7,301.24761962890625,30,22,7,0,STANDARD,R_A2,1647.626953125,301.24761962890625,2018-01-01,0.0,0.859958291053772
8,301.3674011230469,30,22,8,0,STANDARD,R_A2,1649.4129638671875,301.3674011230469,2018-01-01,0.0,0.6481541991233826
9,301.4871826171875,30,22,9,0,STANDARD,R_A2,1651.1990966796875,301.4871826171875,2018-01-01,0.0,0.11426939815282822
10,301.6069641113281,30,22,10,0,STANDARD,R_A2,1652.985107421875,301.6069641113281,2018-01-01,0.0,0.15515126287937164
11,301.7335205078125,30,22,11,0,STANDARD,R_A2,1654.8720703125,301.7335205078125,2018-01-01,0.0,0.062266625463962555
12,301.8668518066406,30,22,12,0,STANDARD,R_A2,1656.85986328125,301.8668518066406,2018-01-01,0.0,0.15750770270824432
13,302.00018310546875,30,22,13,0,STANDARD,R_A2,1658.84765625,302.00018310546875,2018-01-01,0.0,0.4138038158416748
14,302.1335144042969,30,22,14,0,STANDARD,R_A2,1660.8353271484375,302.1335144042969,2018-01-01,0.0,0.45838746428489685
15,302.266845703125,30,22,15,0,STANDARD,R_A2,1662.8231201171875,302.266845703125,2018-01-01,0.0,0.873028576374054
16,302.4001770019531,30,22,16,0,STANDARD,R_A2,1664.8109130859375,302.4001770019531,2018-01-01,0.0,0.8837990760803223
16,303.03155517578125,29,22,17,0,STANDARD,R_A2,1674.222412109375,303.03155517578125,2018-01-01,0.0,0.950829267501831
17,303.1820373535156,29,22,18,0,STANDARD,R_A2,1676.46533203125,303.1820373535156,2018-01-01,0.0,0.9600822925567627
18,303.2943115234375,29,22,19,0,STANDARD,R_A2,1678.1385498046875,303.2943115234375,2018-01-01,0.0,0.9910414218902588
27,303.3895568847656,29,22,20,0,STANDARD,R_A2,1679.5579833984375,303.3895568847656,2018-01-01,0.0,1.0
28,303.5059814453125,29,22,21,0,STANDARD,R_A2,1681.2930908203125,303.5059814453125,2018-01-01,0.0,0.6739526391029358
29,303.96051025390625,29,22,22,0,STANDARD,R_A2,1683.0281982421875,303.96051025390625,2018-01-01,0.0,1.0
30,304.12493896484375,29,22,23,0,STANDARD,R_A2,1684.763427734375,304.12493896484375,2018-01-01,0.0,1.0
31,304.28936767578125,29,22,24,0,STANDARD,R_A2,1686.49853515625,304.28936767578125,2018-01-01,0.0,1.0
1,298.6387939453125,41,28,1,0,STANDARD,R_A3,1608.7125244140625,298.6387939453125,2018-01-01,0.0,0.6481541991233826
2,298.7716979980469,41,28,2,0,STANDARD,R_A3,1610.695556640625,298.7716979980469,2018-01-01,0.0,0.19453907012939453
3,298.90460205078125,41,28,3,0,STANDARD,R_A3,1612.678466796875,298.90460205078125,2018-01-01,0.0,0.11823459714651108
4,299.0375061035156,41,28,4,0,STANDARD,R_A3,1614.661376953125,299.0375061035156,2018-01-01,0.0,0.17451493442058563
5,299.17041015625,41,28,5,0,STANDARD,R_A3,1616.6444091796875,299.17041015625,2018-01-01,0.0,0.6481541991233826
6,299.3033142089844,41,28,6,0,STANDARD,R_A3,1618.6273193359375,299.3033142089844,2018-01-01,0.0,0.3346310555934906
7,299.4362487792969,41,28,7,0,STANDARD,R_A3,1620.6102294921875,299.4362487792969,2018-01-01,0.0,0.2008598893880844
7,298.97509765625,41,29,8,0,STANDARD,R_A3,1613.73046875,298.97509765625,2018-01-01,0.0,0.19459223747253418
8,299.1023254394531,41,29,9,0,STANDARD,R_A3,1615.62841796875,299.1023254394531,2018-01-01,0.0,0.1974548101425171
9,299.2295227050781,41,29,10,0,STANDARD,R_A3,1617.5262451171875,299.2295227050781,2018-01-01,0.0,0.7939575910568237
10,299.3567199707031,41,29,11,0,STANDARD,R_A3,1619.424072265625,299.3567199707031,2018-01-01,0.0,0.7930030226707458
11,299.49969482421875,41,29,12,0,STANDARD,R_A3,1621.556884765625,299.49969482421875,2018-01-01,0.0,0.04512953385710716
12,299.6584167480469,41,29,13,0,STANDARD,R_A3,1623.924560546875,299.6584167480469,2018-01-01,0.0,0.05572887882590294
13,299.817138671875,41,29,14,0,STANDARD,R_A3,1626.292236328125,299.817138671875,2018-01-01,0.0,0.36893031001091003
14,299.9758605957031,41,29,15,0,STANDARD,R_A3,1628.659912109375,299.9758605957031,2018-01-01,0.0,0.35203415155410767
15,300.1235656738281,41,29,16,0,STANDARD,R_A3,1630.86328125,300.1235656738281,2018-01-01,0.0,0.7949587106704712
16,300.2132873535156,41,29,17,0,STANDARD,R_A3,1632.2012939453125,300.2132873535156,2018-01-01,0.0,0.7789462208747864
27,300.3490295410156,41,29,18,0,STANDARD,R_A3,1634.2259521484375,300.3490295410156,2018-01-01,0.0,0.6481541991233826
28,300.5777893066406,41,29,19,0,STANDARD,R_A3,1637.637939453125,300.5777893066406,2018-01-01,0.0,0.04310303553938866
29,300.80657958984375,41,29,20,0,STANDARD,R_A3,1641.0498046875,300.80657958984375,2018-01-01,0.0,0.04926961660385132
30,301.0353698730469,41,29,21,0,STANDARD,R_A3,1644.4617919921875,301.0353698730469,2018-01-01,0.0,1.0
31,301.26416015625,41,29,22,0,STANDARD,R_A3,1647.873779296875,301.26416015625,2018-01-01,0.0,0.06046057119965553
1,300.29412841796875,52,30,1,0,STANDARD,R_A4,1633.4073486328125,300.29412841796875,2018-01-01,0.0,0.13094793260097504
1,300.0378112792969,52,31,2,0,STANDARD,R_A4,1629.5838623046875,300.0378112792969,2018-01-01,0.0,0.220406174659729
2,300.1754150390625,52,31,3,0,STANDARD,R_A4,1631.636474609375,300.1754150390625,2018-01-01,0.0,0.07019853591918945
3,300.3130187988281,52,31,4,0,STANDARD,R_A4,1633.6890869140625,300.3130187988281,2018-01-01,0.0,0.053749848157167435
3,300.2149353027344,52,32,5,0,STANDARD,R_A4,1632.225830078125,300.2149353027344,2018-01-01,0.0,0.053815025836229324
3,300.3443603515625,51,32,6,0,STANDARD,R_A4,1634.1563720703125,300.3443603515625,2018-01-01,0.0,0.05524580553174019
4,300.47216796875,51,32,7,0,STANDARD,R_A4,1636.0625,300.47216796875,2018-01-01,0.0,0.054775770753622055
4,300.56634521484375,51,33,8,0,STANDARD,R_A4,1637.4674072265625,300.56634521484375,2018-01-01,0.0,0.05617453157901764
3,300.4382629394531,51,33,9,0,STANDARD,R_A4,1635.5567626953125,300.4382629394531,2018-01-01,0.0,0.07640158385038376
4,300.70849609375,50,33,10,0,STANDARD,R_A4,1639.587158203125,300.70849609375,2018-01-01,0.0,0.057884592562913895
4,300.74786376953125,50,34,11,0,STANDARD,R_A4,1640.1741943359375,300.74786376953125,2018-01-01,0.0,0.05968639254570007
3,300.61810302734375,50,34,12,0,STANDARD,R_A4,1638.2392578125,300.61810302734375,2018-01-01,0.0,0.12652845680713654
3,300.87103271484375,50,35,13,0,STANDARD,R_A4,1642.0111083984375,300.87103271484375,2018-01-01,0.0,0.1424424648284912
3,300.9412536621094,49,35,14,0,STANDARD,R_A4,1643.05810546875,300.9412536621094,2018-01-01,0.0,0.2357809692621231
2,300.8169860839844,49,35,15,0,STANDARD,R_A4,1641.205078125,300.8169860839844,2018-01-01,0.0,0.22623983025550842
1,300.6927185058594,49,35,16,0,STANDARD,R_A4,1639.3519287109375,300.6927185058594,2018-01-01,0.0,0.22070994973182678
29,300.81658935546875,49,36,17,0,STANDARD,R_A4,1641.1993408203125,300.81658935546875,2018-01-01,0.0,0.04619232937693596
29,300.636962890625,48,36,18,0,STANDARD,R_A4,1638.5205078125,300.636962890625,2018-01-01,0.0,0.04815873131155968
29,301.0419921875,48,37,19,0,STANDARD,R_A4,1644.560791015625,301.0419921875,2018-01-01,0.0,0.0558876134455204
30,301.430419921875,48,37,20,0,STANDARD,R_A4,1650.352783203125,301.430419921875,2018-01-01,0.0,0.6481541991233826
30,301.70257568359375,48,38,21,0,STANDARD,R_A4,1654.41064453125,301.70257568359375,2018-01-01,0.0,0.21385756134986877
30,301.7091064453125,47,38,22,0,STANDARD,R_A4,1654.5078125,301.7091064453125,2018-01-01,0.0,0.21940027177333832
1,304.0565185546875,20,31,1,0,STANDARD,R_A5,1684.0413818359375,304.0565185546875,2018-01-01,0.0,1.0
2,303.9569396972656,20,31,2,0,STANDARD,R_A5,1686.2174072265625,303.9569396972656,2018-01-01,0.0,1.0
3,304.16314697265625,20,31,3,0,STANDARD,R_A5,1688.393310546875,304.16314697265625,2018-01-01,0.0,1.0
4,304.36932373046875,20,31,4,0,STANDARD,R_A5,1690.5693359375,304.36932373046875,2018-01-01,0.0,1.0
5,304.5755615234375,20,31,5,0,STANDARD,R_A5,1692.745361328125,304.5755615234375,2018-01-01,0.0,1.0
6,304.7817687988281,20,31,6,0,STANDARD,R_A5,1694.92138671875,304.7817687988281,2018-01-01,0.0,1.0
7,305.29376220703125,20,31,7,0,STANDARD,R_A5,1697.097412109375,305.29376220703125,2018-01-01,0.0,1.0
11,305.8025817871094,20,31,8,0,STANDARD,R_A5,1705.69189453125,305.8025817871094,2018-01-01,0.0,1.0
11,305.6001892089844,21,31,9,0,STANDARD,R_A5,1703.55615234375,305.6001892089844,2018-01-01,0.0,1.0
12,305.7957763671875,21,31,10,0,STANDARD,R_A5,1705.6199951171875,305.7957763671875,2018-01-01,0.0,1.0
13,306.0033264160156,21,31,11,0,STANDARD,R_A5,1707.683837890625,306.0033264160156,2018-01-01,0.0,1.0
14,306.19891357421875,21,31,12,0,STANDARD,R_A5,1709.7476806640625,306.19891357421875,2018-01-01,0.0,1.0
15,306.53955078125,21,31,13,0,STANDARD,R_A5,1711.8115234375,306.53955078125,2018-01-01,0.0,1.0
16,306.7351379394531,21,31,14,0,STANDARD,R_A5,1713.87548828125,306.7351379394531,2018-01-01,0.0,1.0
17,306.90679931640625,21,31,15,0,STANDARD,R_A5,1715.6865234375,306.90679931640625,2018-01-01,0.0,1.0
18,307.0055847167969,21,31,16,0,STANDARD,R_A5,1716.7288818359375,307.0055847167969,2018-01-01,0.0,1.0
27,306.97552490234375,21,31,17,0,STANDARD,R_A5,1718.069580078125,306.97552490234375,2018-01-01,0.0,1.0
28,307.1740417480469,21,31,18,0,STANDARD,R_A5,1720.1641845703125,307.1740417480469,2018-01-01,0.0,1.0
29,307.6783752441406,21,31,19,0,STANDARD,R_A5,1722.2587890625,307.6783752441406,2018-01-01,0.0,1.0
30,307.87689208984375,21,31,20,0,STANDARD,R_A5,1724.3533935546875,307.87689208984375,2018-01-01,0.0,1.0
31,308.0754089355469,21,31,21,0,STANDARD,R_A5,1726.4481201171875,308.0754089355469,2018-01-01,0.0,1.0
1,305.06976318359375,42,17,1,0,STANDARD,R_A6,1694.7337646484375,305.06976318359375,2018-01-01,0.0,1.0
2,305.2152099609375,42,17,2,0,STANDARD,R_A6,1696.2685546875,305.2152099609375,2018-01-01,0.0,1.0
3,305.3606872558594,42,17,3,0,STANDARD,R_A6,1697.8035888671875,305.3606872558594,2018-01-01,0.0,1.0
4,305.5061340332031,42,17,4,0,STANDARD,R_A6,1699.3385009765625,305.5061340332031,2018-01-01,0.0,1.0
5,305.651611328125,42,17,5,0,STANDARD,R_A6,1700.873291015625,305.651611328125,2018-01-01,0.0,1.0
6,305.4980163574219,42,17,6,0,STANDARD,R_A6,1702.408203125,305.4980163574219,2018-01-01,0.0,1.0
7,305.6434631347656,42,17,7,0,STANDARD,R_A6,1703.943115234375,305.6434631347656,2018-01-01,0.0,1.0
8,305.7889404296875,42,17,8,0,STANDARD,R_A6,1705.47802734375,305.7889404296875,2018-01-01,0.0,1.0
9,306.23345947265625,42,17,9,0,STANDARD,R_A6,1707.012939453125,306.23345947265625,2018-01-01,0.0,1.0
10,306.0731201171875,42,17,10,0,STANDARD,R_A6,1708.5478515625,306.0731201171875,2018-01-01,0.0,1.0
11,306.25848388671875,42,17,11,0,STANDARD,R_A6,1710.5023193359375,306.25848388671875,2018-01-01,0.0,1.0
12,306.4834899902344,42,17,12,0,STANDARD,R_A6,1712.8765869140625,306.4834899902344,2018-01-01,0.0,1.0
13,306.720458984375,42,17,13,0,STANDARD,R_A6,1715.250732421875,306.720458984375,2018-01-01,0.0,1.0
14,306.94549560546875,42,17,14,0,STANDARD,R_A6,1717.625,306.94549560546875,2018-01-01,0.0,1.0
15,307.1705017089844,42,17,15,0,STANDARD,R_A6,1719.9993896484375,307.1705017089844,2018-01-01,0.0,1.0
16,307.5405578613281,42,17,16,0,STANDARD,R_A6,1722.37353515625,307.5405578613281,2018-01-01,0.0,1.0
17,307.7642517089844,42,17,17,0,STANDARD,R_A6,1724.73388671875,307.7642517089844,2018-01-01,0.0,1.0
18,307.8878173828125,42,17,18,0,STANDARD,R_A6,1726.03759765625,307.8878173828125,2018-01-01,0.0,1.0
27,307.8241271972656,42,17,19,0,STANDARD,R_A6,1727.023193359375,307.8241271972656,2018-01-01,0.0,1.0
28,308.2919616699219,42,17,20,0,STANDARD,R_A6,1728.7330322265625,308.2919616699219,2018-01-01,0.0,1.0
29,308.4540100097656,42,17,21,0,STANDARD,R_A6,1730.4427490234375,308.4540100097656,2018-01-01,0.0,1.0
30,308.6160888671875,42,17,22,0,STANDARD,R_A6,1732.152587890625,308.6160888671875,2018-01-01,0.0,1.0
31,308.47235107421875,42,17,23,0,STANDARD,R_A6,1733.8623046875,308.47235107421875,2018-01-01,0.0,1.0
1,299.28155517578125,30,22,1,0,STANDARD,R_A2,1636.9105224609375,299.28155517578125,2018-03-01,0.0,0.05133747681975365
2,299.4012756347656,30,22,2,0,STANDARD,R_A2,1638.6966552734375,299.4012756347656,2018-03-01,0.0,0.05231058597564697
3,299.52099609375,30,22,3,0,STANDARD,R_A2,1640.482666015625,299.52099609375,2018-03-01,0.0,0.05450640991330147
4,299.6407165527344,30,22,4,0,STANDARD,R_A2,1642.268798828125,299.6407165527344,2018-03-01,0.0,0.06031878665089607
5,299.7604675292969,30,22,5,0,STANDARD,R_A2,1644.0548095703125,299.7604675292969,2018-03-01,0.0,0.06274803727865219
6,299.8818359375,30,22,6,0,STANDARD,R_A2,1645.8409423828125,299.8818359375,2018-03-01,0.0,0.3000648617744446
7,299.972412109375,30,22,7,0,STANDARD,R_A2,1647.626953125,299.972412109375,2018-03-01,0.0,0.8595077395439148
8,300.06451416015625,30,22,8,0,STANDARD,R_A2,1649.4129638671875,300.06451416015625,2018-03-01,0.0,0.6490839123725891
9,300.1798095703125,30,22,9,0,STANDARD,R_A2,1651.1990966796875,300.1798095703125,2018-03-01,0.0,0.11432351171970367
10,300.289794921875,30,22,10,0,STANDARD,R_A2,1652.985107421875,300.289794921875,2018-03-01,0.0,0.15518580377101898
11,300.2526550292969,30,22,11,0,STANDARD,R_A2,1654.8720703125,300.2526550292969,2018-03-01,0.0,0.06233200430870056
12,300.3995666503906,30,22,12,0,STANDARD,R_A2,1656.85986328125,300.3995666503906,2018-03-01,0.0,0.15774759650230408
13,300.5980529785156,30,22,13,0,STANDARD,R_A2,1658.84765625,300.5980529785156,2018-03-01,0.0,0.41399896144866943
14,300.73248291015625,30,22,14,0,STANDARD,R_A2,1660.8353271484375,300.73248291015625,2018-03-01,0.0,0.45862939953804016
15,300.86846923828125,30,22,15,0,STANDARD,R_A2,1662.8231201171875,300.86846923828125,2018-03-01,0.0,0.872974157333374
16,301.0034484863281,30,22,16,0,STANDARD,R_A2,1664.8109130859375,301.0034484863281,2018-03-01,0.0,0.8837490677833557
16,301.4258728027344,29,22,17,0,STANDARD,R_A2,1674.222412109375,301.4258728027344,2018-03-01,0.0,0.950805127620697
17,301.5765075683594,29,22,18,0,STANDARD,R_A2,1676.46533203125,301.5765075683594,2018-03-01,0.0,0.9600626230239868
18,301.6887512207031,29,22,19,0,STANDARD,R_A2,1678.1385498046875,301.6887512207031,2018-03-01,0.0,0.9910370111465454
27,303.2673645019531,29,22,20,0,STANDARD,R_A2,1679.5579833984375,303.2673645019531,2018-03-01,3.1233309937938464e-14,1.0
28,301.7580261230469,29,22,21,0,STANDARD,R_A2,1681.2930908203125,301.7580261230469,2018-03-01,0.0,0.6790688037872314
29,302.08538818359375,29,22,22,0,STANDARD,R_A2,1683.0281982421875,302.08538818359375,2018-03-01,0.0,0.9999910593032837
30,302.1734313964844,29,22,23,0,STANDARD,R_A2,1684.763427734375,302.1734313964844,2018-03-01,0.0,0.996666431427002
31,302.2966003417969,29,22,24,0,STANDARD,R_A2,1686.49853515625,302.2966003417969,2018-03-01,0.0,0.9999949336051941
1,281.6701965332031,20,31,1,0,STANDARD,R_A5,1684.0413818359375,281.6701965332031,2018-04-28,-1.756245648042165e-12,1.0
2,281.5705871582031,20,31,2,0,STANDARD,R_A5,1686.2174072265625,281.5705871582031,2018-04-28,-2.1346170664404696e-10,1.0
3,281.77679443359375,20,31,3,0,STANDARD,R_A5,1688.393310546875,281.77679443359375,2018-04-28,-2.3327001441586503e-10,1.0
4,281.98309326171875,20,31,4,0,STANDARD,R_A5,1690.5693359375,281.98309326171875,2018-04-28,-2.625560047153641e-10,1.0
5,282.1893310546875,20,31,5,0,STANDARD,R_A5,1692.745361328125,282.1893310546875,2018-04-28,-2.6734628399971427e-10,1.0
6,282.3954772949219,20,31,6,0,STANDARD,R_A5,1694.92138671875,282.3954772949219,2018-04-28,-2.3047913577656232e-10,1.0
7,282.92926025390625,20,31,7,0,STANDARD,R_A5,1697.097412109375,282.92926025390625,2018-04-28,-4.2618346351996905e-11,1.0
11,277.9303283691406,20,31,8,0,STANDARD,R_A5,1705.69189453125,277.9303283691406,2018-04-28,0.0,1.0
11,277.1461181640625,21,31,9,0,STANDARD,R_A5,1703.55615234375,277.1461181640625,2018-04-28,-4.412883253257505e-12,1.0
12,277.4206237792969,21,31,10,0,STANDARD,R_A5,1705.6199951171875,277.4206237792969,2018-04-28,-1.1289353132881708e-11,1.0
13,277.6299743652344,21,31,11,0,STANDARD,R_A5,1707.683837890625,277.6299743652344,2018-04-28,-3.936012973881908e-12,1.0
14,277.8314514160156,21,31,12,0,STANDARD,R_A5,1709.7476806640625,277.8314514160156,2018-04-28,-1.3746804042313876e-11,1.0
15,278.191162109375,21,31,13,0,STANDARD,R_A5,1711.8115234375,278.191162109375,2018-04-28,-4.306062017372936e-12,1.0
16,278.4114074707031,21,31,14,0,STANDARD,R_A5,1713.87548828125,278.4114074707031,2018-04-28,-1.3033438260937058e-12,1.0
17,278.5965270996094,21,31,15,0,STANDARD,R_A5,1715.6865234375,278.5965270996094,2018-04-28,-2.587144691187926e-12,1.0
18,278.6955871582031,21,31,16,0,STANDARD,R_A5,1716.7288818359375,278.6955871582031,2018-04-28,0.0,1.0
27,280.7412109375,21,31,17,0,STANDARD,R_A5,1718.069580078125,280.7412109375,2018-04-28,-1.3981016344644104e-10,1.0
28,280.94097900390625,21,31,18,0,STANDARD,R_A5,1720.1641845703125,280.94097900390625,2018-04-28,-1.3460767223083536e-10,1.0
