ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,35713128,5707444,2659695,1854738,261147143
Valysar,CentralSouth,65673309,12513372,9491429,6618849,931933901
Valysar,CentralNorth,36670595,6062264,4554764,3176265,447218124
Valysar,NorthHorst,3343287,340376,86323,53024,10387353
Valysar,CentralRamp,13905377,2090151,1396304,973713,137098775
Valysar,CentralHorst,85887979,13762677,10087432,7034471,990453593
Valysar,EastLowland,8438499,1717737,972829,678402,95519031
Therys,WestLowland,3913367,909922,443291,309129,43525338
Therys,CentralSouth,18944516,4502022,2704589,1886045,265555196
Therys,CentralNorth,21186359,3853535,2238648,1561121,219805911
Therys,NorthHorst,5140251,742938,307684,188995,37024143
Therys,CentralRamp,6667970,1467930,1121025,781747,110070005
Therys,CentralHorst,27831815,7042184,5482699,3823360,538329146
Therys,EastLowland,79,0,0,0,0
Volon,WestLowland,235775,35146,9256,6454,908793
Volon,CentralSouth,23808367,4060472,2569304,1791705,252272001
Volon,CentralNorth,6415033,888533,461824,322053,45345100
Volon,NorthHorst,3192245,508711,320453,196838,38560650
Volon,CentralRamp,10178020,1775996,1267069,883591,124409600
Volon,CentralHorst,80674982,14015010,11034104,7694633,1083404398
Volon,EastLowland,19852,1933,0,0,0
