CONJPOS,SWAT,DATE,CONKPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONIDX,CONBPRES,PRESSURE,WELL,DEPTH
30,0.19921302795410156,2018-01-01,1,STANDARD,0.0,22,0,1,300.7088317871094,300.7088317871094,R_A2,1640.4661865234375
30,0.05586018040776253,2018-01-01,2,STANDARD,0.0,22,0,2,300.8304443359375,300.8304443359375,R_A2,1642.27978515625
30,0.057707708328962326,2018-01-01,3,STANDARD,0.0,22,0,3,300.9520568847656,300.9520568847656,R_A2,1644.09326171875
30,0.06556655466556549,2018-01-01,4,STANDARD,0.0,22,0,4,301.07366943359375,301.07366943359375,R_A2,1645.9068603515625
30,0.06951241940259933,2018-01-01,5,STANDARD,0.0,22,0,5,301.1952819824219,301.1952819824219,R_A2,1647.720458984375
30,0.30901044607162476,2018-01-01,6,STANDARD,0.0,22,0,6,301.31689453125,301.31689453125,R_A2,1649.5340576171875
30,0.8790720105171204,2018-01-01,7,STANDARD,0.0,22,0,7,301.43853759765625,301.43853759765625,R_A2,1651.34765625
30,0.8784575462341309,2018-01-01,8,STANDARD,0.0,22,0,8,301.5601501464844,301.5601501464844,R_A2,1653.1611328125
30,0.9013614654541016,2018-01-01,9,STANDARD,0.0,22,0,9,301.6817932128906,301.6817932128906,R_A2,1654.9747314453125
30,0.9104122519493103,2018-01-01,10,STANDARD,0.0,22,0,10,301.8034362792969,301.8034362792969,R_A2,1656.788330078125
30,0.0697825476527214,2018-01-01,11,STANDARD,0.0,22,0,11,301.9324645996094,301.9324645996094,R_A2,1658.71240234375
30,0.07297740876674652,2018-01-01,12,STANDARD,0.0,22,0,12,302.0689392089844,302.0689392089844,R_A2,1660.746826171875
30,0.43216800689697266,2018-01-01,13,STANDARD,0.0,22,0,13,302.20538330078125,302.20538330078125,R_A2,1662.7811279296875
30,0.4850955605506897,2018-01-01,14,STANDARD,0.0,22,0,14,302.34185791015625,302.34185791015625,R_A2,1664.8155517578125
30,0.9228439927101135,2018-01-01,15,STANDARD,0.0,22,0,15,302.47833251953125,302.47833251953125,R_A2,1666.8499755859375
30,0.9451770186424255,2018-01-01,16,STANDARD,0.0,22,0,16,302.61480712890625,302.61480712890625,R_A2,1668.884521484375
29,0.9357974529266357,2018-01-01,16,STANDARD,0.0,22,0,17,302.6595764160156,302.6595764160156,R_A2,1669.5516357421875
29,0.8978078961372375,2018-01-01,17,STANDARD,0.0,22,0,18,302.80230712890625,302.80230712890625,R_A2,1671.679443359375
29,0.9591734409332275,2018-01-01,18,STANDARD,0.0,22,0,19,302.9313659667969,302.9313659667969,R_A2,1673.602783203125
29,1.0,2018-01-01,25,STANDARD,0.0,22,0,20,303.04962158203125,303.04962158203125,R_A2,1675.365478515625
29,1.0,2018-01-01,26,STANDARD,0.0,22,0,21,303.1691589355469,303.1691589355469,R_A2,1677.1470947265625
29,1.0,2018-01-01,27,STANDARD,0.0,22,0,22,303.2886962890625,303.2886962890625,R_A2,1678.9287109375
29,1.0,2018-01-01,28,STANDARD,0.0,22,0,23,303.7408447265625,303.7408447265625,R_A2,1680.710205078125
29,1.0,2018-01-01,29,STANDARD,0.0,22,0,24,303.90966796875,303.90966796875,R_A2,1682.4918212890625
41,0.2527501583099365,2018-01-01,1,STANDARD,0.0,28,0,1,298.7227478027344,298.7227478027344,R_A3,1610.839111328125
41,0.15517692267894745,2018-01-01,2,STANDARD,0.0,28,0,2,298.8591613769531,298.8591613769531,R_A3,1612.874755859375
41,0.11823459714651108,2018-01-01,3,STANDARD,0.0,28,0,3,298.99560546875,298.99560546875,R_A3,1614.910400390625
41,0.10566077381372452,2018-01-01,4,STANDARD,0.0,28,0,4,299.1320495605469,299.1320495605469,R_A3,1616.946044921875
41,0.3551293909549713,2018-01-01,4,STANDARD,0.0,29,0,5,298.3609619140625,298.3609619140625,R_A3,1605.440673828125
41,0.8085891008377075,2018-01-01,5,STANDARD,0.0,29,0,6,298.4961242675781,298.4961242675781,R_A3,1607.45751953125
41,0.6481541991233826,2018-01-01,6,STANDARD,0.0,29,0,7,298.63128662109375,298.63128662109375,R_A3,1609.474365234375
41,0.19393306970596313,2018-01-01,7,STANDARD,0.0,29,0,8,298.7664489746094,298.7664489746094,R_A3,1611.4912109375
41,0.13015080988407135,2018-01-01,8,STANDARD,0.0,29,0,9,298.901611328125,298.901611328125,R_A3,1613.508056640625
41,0.6481541991233826,2018-01-01,9,STANDARD,0.0,29,0,10,299.03680419921875,299.03680419921875,R_A3,1615.52490234375
41,0.801690399646759,2018-01-01,10,STANDARD,0.0,29,0,11,299.1719665527344,299.1719665527344,R_A3,1617.541748046875
41,0.04933552071452141,2018-01-01,11,STANDARD,0.0,29,0,12,299.31903076171875,299.31903076171875,R_A3,1619.7357177734375
41,0.053553253412246704,2018-01-01,12,STANDARD,0.0,29,0,13,299.4779968261719,299.4779968261719,R_A3,1622.10693359375
41,0.3677304685115814,2018-01-01,13,STANDARD,0.0,29,0,14,299.6369323730469,299.6369323730469,R_A3,1624.4781494140625
41,0.04270164296030998,2018-01-01,14,STANDARD,0.0,29,0,15,299.7958984375,299.7958984375,R_A3,1626.849365234375
41,0.6547096967697144,2018-01-01,15,STANDARD,0.0,29,0,16,299.9548645019531,299.9548645019531,R_A3,1629.2205810546875
41,0.8005117177963257,2018-01-01,16,STANDARD,0.0,29,0,17,300.0758056640625,300.0758056640625,R_A3,1631.0247802734375
41,0.3048418462276459,2018-01-01,25,STANDARD,0.0,29,0,18,300.2397766113281,300.2397766113281,R_A3,1633.4703369140625
41,0.045531000941991806,2018-01-01,26,STANDARD,0.0,29,0,19,300.4847717285156,300.4847717285156,R_A3,1637.12451171875
41,0.04941036179661751,2018-01-01,27,STANDARD,0.0,29,0,20,300.72979736328125,300.72979736328125,R_A3,1640.7786865234375
41,0.6481541991233826,2018-01-01,28,STANDARD,0.0,29,0,21,300.9748229980469,300.9748229980469,R_A3,1644.432861328125
41,0.060535069555044174,2018-01-01,29,STANDARD,0.0,29,0,22,301.2198791503906,301.2198791503906,R_A3,1648.0870361328125
52,0.049413301050662994,2018-01-01,1,STANDARD,0.0,30,0,1,300.0041198730469,300.0041198730469,R_A4,1629.9554443359375
52,0.04983436316251755,2018-01-01,1,STANDARD,0.0,31,0,2,299.7398376464844,299.7398376464844,R_A4,1626.0133056640625
52,0.04865090921521187,2018-01-01,2,STANDARD,0.0,31,0,3,299.8788146972656,299.8788146972656,R_A4,1628.086181640625
52,0.05037577822804451,2018-01-01,3,STANDARD,0.0,31,0,4,300.01776123046875,300.01776123046875,R_A4,1630.1590576171875
52,0.052587974816560745,2018-01-01,4,STANDARD,0.0,31,0,5,300.15673828125,300.15673828125,R_A4,1632.23193359375
52,0.05654241517186165,2018-01-01,5,STANDARD,0.0,31,0,6,300.29571533203125,300.29571533203125,R_A4,1634.3048095703125
52,0.05491383373737335,2018-01-01,5,STANDARD,0.0,32,0,7,300.1701354980469,300.1701354980469,R_A4,1632.431884765625
51,0.05861830338835716,2018-01-01,5,STANDARD,0.0,32,0,8,300.4216003417969,300.4216003417969,R_A4,1636.1822509765625
51,0.05802231281995773,2018-01-01,5,STANDARD,0.0,33,0,9,300.4468994140625,300.4468994140625,R_A4,1636.5596923828125
50,0.06044692546129227,2018-01-01,5,STANDARD,0.0,33,0,10,300.81170654296875,300.81170654296875,R_A4,1642.000244140625
50,0.06073538959026337,2018-01-01,5,STANDARD,0.0,34,0,11,300.7082824707031,300.7082824707031,R_A4,1640.4581298828125
50,0.13227324187755585,2018-01-01,4,STANDARD,0.0,34,0,12,300.5824279785156,300.5824279785156,R_A4,1638.5809326171875
50,0.1414966583251953,2018-01-01,4,STANDARD,0.0,35,0,13,300.6771545410156,300.6771545410156,R_A4,1639.9937744140625
50,0.19465337693691254,2018-01-01,3,STANDARD,0.0,35,0,14,300.55548095703125,300.55548095703125,R_A4,1638.1790771484375
