X_UTME,Y_UTMN,REGION,OBS,OBS_ERROR
456166.247076521,5935963.72598123,1,0.000947,0.005
456241.166587879,5935834.19086081,1,0.002351,0.005
456316.06143732,5935704.61396126,1,0.000898,0.005
456390.908733382,5935575.04426834,1,0.000447,0.005
456465.786406453,5935445.44640798,1,0.00079,0.005
456540.768955394,5935315.76425765,1,-0.001477,0.005
456615.794734295,5935186.05240824,1,0.00019,0.005
456690.732699095,5935056.42855469,1,0.001207,0.005
456765.55592809,5934926.92054807,1,-0.003246,0.005
456840.242305839,5934797.56039972,1,0.001023,0.005
456914.738506604,5934668.40045858,1,0.000996,0.005
456989.252389808,5934539.25644882,1,0.000137,0.005
457063.826768659,5934410.07529235,1,-0.0008,0.005
457138.366571818,5934280.93227805,1,0.001418,0.005
457212.914614406,5934151.78681262,1,0.000288,0.005
457287.460231361,5934022.65125727,1,-0.000971,0.005
457361.971456612,5933893.56066498,1,0.000252,0.005
457436.346724118,5933764.5562803,1,0.000625,0.005
457510.702338772,5933635.56451472,1,0.000555,0.005
457585.171921481,5933506.54507086,1,-0.001536,0.005
457659.631224968,5933377.58180516,1,-0.000235,0.005
457734.001276775,5933248.65123936,1,-0.000513,0.005
457808.348317241,5933119.67282388,1,0.000912,0.005
457882.716686458,5932990.69803703,1,-0.000718,0.005
457957.101726672,5932861.71687479,1,-0.000412,0.005
458031.505733481,5932732.69558553,1,0.000447,0.005
458105.905586304,5932603.6918159,1,0.000764,0.005
458180.38231711,5932474.57583968,1,0.00057,0.005
458254.916382731,5932345.37956719,1,0.002289,0.005
458329.478731901,5932216.15665894,1,0.00058,0.005
458404.100501787,5932086.85391543,1,-0.001211,0.005
458478.766654262,5931957.49038063,1,-0.001048,0.005
458553.477094205,5931828.06834097,1,-0.003068,0.005
458628.205028636,5931698.62169071,1,3E-06,0.005
458703.00712815,5931569.07591202,1,9.1E-05,0.005
458777.817657278,5931439.51434169,1,0.00045,0.005
458852.582770472,5931310.00372606,1,0.000295,0.005
458927.367625717,5931180.457365,1,-0.000139,0.005
459002.221973278,5931050.83334965,1,0.000878,0.005
459077.053100731,5930921.23035968,1,-0.000144,0.005
459151.830700955,5930791.68017658,1,0.001543,0.005
459226.646941276,5930662.1119281,1,0.001326,0.005
459301.458838233,5930532.56837595,1,0.001158,0.005
459376.238561103,5930403.04730097,1,-0.000534,0.005
459450.99877128,5930273.548279,1,0.000655,0.005
459525.738732343,5930144.12980475,1,-0.003161,0.005
459600.443001556,5930014.80427716,1,0.000362,0.005
459675.122358447,5929885.50165743,1,0.000312,0.005
459749.783615218,5929756.22794374,1,0.000263,0.005
459824.435602582,5929626.96739479,1,-0.00156,0.005
459899.099218732,5929497.65426309,1,0.001671,0.005
459973.77217608,5929368.30889749,1,-0.001448,0.005
460048.436735429,5929238.98441002,1,0.000877,0.005
460123.084341442,5929109.70196944,1,-0.00068,0.005
460197.712700913,5928980.4680103,1,0.000773,0.005
460272.32673528,5928851.27216041,1,0.000625,0.005
460346.945993842,5928722.06045524,1,0.000257,0.005
460421.582450372,5928592.80021279,1,-0.001128,0.005
460496.226436378,5928463.51911268,1,0.000459,0.005
460570.868700571,5928334.24607966,1,0.001286,0.005
460645.513525481,5928204.96647217,1,-0.00023,0.005
460720.160600377,5928075.67867588,1,0.000227,0.005
460794.807002812,5927946.39336413,1,-0.001243,0.005
460869.453725556,5927817.10937141,1,0.000317,0.005
460944.102481823,5927687.82119839,1,0.004196,0.005
461018.753880288,5927558.524829,1,0.000882,0.005
461093.407134363,5927429.22245235,1,-0.001158,0.005
461168.061580199,5927299.91819626,1,-0.001199,0.005
461242.716671547,5927170.61167195,1,-0.000794,0.005
461317.372104016,5927041.30311937,1,0.001309,0.005
461392.028432153,5926911.99314443,1,6.1E-05,0.005
461466.685846127,5926782.68198089,1,0.002044,0.005
461541.344167897,5926653.37070347,1,0.000195,0.005
456296.629626309,5936038.93159147,1,0.000332,0.005
456371.801536569,5935909.39520464,1,-0.00233,0.005
456446.864290916,5935779.80584687,1,0.000202,0.005
456521.778418921,5935650.23249983,1,0.000414,0.005
456596.84853504,5935520.6217171,1,-0.000801,0.005
456672.19004036,5935390.9017882,1,0.001162,0.005
456747.567348294,5935261.14928827,1,0.000711,0.005
456822.555711505,5935131.57199113,1,-0.000132,0.005
456897.425325165,5935002.10427649,1,0.000374,0.005
456972.314613031,5934872.71214011,1,-0.002465,0.005
457046.696586662,5934743.59362633,1,-0.000616,0.005
457120.840626689,5934614.56648092,1,0.000666,0.005
457195.188558351,5934485.4570985,1,-0.001415,0.005
457269.646745439,5934356.329536,1,0.000832,0.005
457344.177669888,5934227.19460139,1,0.00072,0.005
457418.593680902,5934098.09191068,1,-0.001636,0.005
457492.938815869,5933969.02821261,1,0.000211,0.005
457567.203912818,5933840.00575949,1,-0.001883,0.005
457641.471020367,5933711.00805055,1,-0.000174,0.005
457715.952361421,5933582.01772146,1,0.00072,0.005
457790.382842994,5933453.11556697,1,0.001585,0.005
457864.642189107,5933324.22215992,1,-0.001393,0.005
457938.778383552,5933195.23440374,1,-0.001774,0.005
458012.915848719,5933066.24821866,1,-0.000446,0.005
458087.077856802,5932937.22786495,1,-0.001171,0.005
458161.359937086,5932807.99050645,1,0.001427,0.005
458235.628584613,5932678.86312698,1,-0.000239,0.005
458309.966951433,5932549.73872193,1,5.9E-05,0.005
458384.401090831,5932420.51433185,1,0.000252,0.005
458458.781157852,5932291.39772685,1,0.000395,0.005
458533.373702892,5932162.06017287,1,0.001223,0.005
458607.947933736,5932032.74604516,1,-0.001491,0.005
458682.603915402,5931903.35432022,1,-1E-05,0.005
458757.373326524,5931773.8405831,1,-5E-05,0.005
458832.11096376,5931644.34407832,1,-0.001379,0.005
458907.027206906,5931514.68144104,1,0.000707,0.005
458981.854743188,5931385.09600994,1,0.000441,0.005
459056.637600862,5931255.535622,1,-0.000341,0.005
459131.581502155,5931125.84718423,1,-3E-05,0.005
459206.394318439,5930996.22506688,1,-0.000966,0.005
459281.174592259,5930866.64758013,1,0.001751,0.005
459356.053825463,5930737.01838982,1,-6.3E-05,0.005
459430.876180352,5930607.43165579,1,0.002494,0.005
459505.713126961,5930477.8856471,1,3.6E-05,0.005
459580.530822596,5930348.38711184,1,-0.000373,0.005
459655.318780678,5930218.97085783,1,0.000409,0.005
459730.072012344,5930089.64026859,1,0.000788,0.005
459804.792144324,5929960.31965919,1,-0.001639,0.005
459879.486718533,5929831.01998998,1,0.001313,0.005
459954.168634873,5929701.76952151,1,-0.000103,0.005
460028.849542398,5929572.47167461,1,0.000109,0.005
460103.529089939,5929443.10595984,1,-0.000515,0.005
460178.201961586,5929313.76654944,1,-0.000265,0.005
