X_UTME,Y_UTMN,Region
456166.2470765207,5935963.725981235,1.0
456241.16658787866,5935834.1908608135,1.0
456316.0614373197,5935704.613961263,1.0
456390.9087333822,5935575.044268338,1.0
456465.7864064532,5935445.446407984,1.0
456540.76895539364,5935315.764257653,1.0
456615.7947342952,5935186.052408243,1.0
456690.73269909463,5935056.428554687,1.0
456765.5559280902,5934926.920548069,1.0
456840.2423058391,5934797.560399722,1.0
456914.7385066042,5934668.40045858,1.0
456989.2523898084,5934539.256448817,1.0
457063.82676865876,5934410.075292346,1.0
457138.36657181784,5934280.932278052,1.0
457212.91461440595,5934151.78681262,1.0
457287.4602313612,5934022.651257267,1.0
457361.9714566117,5933893.560664984,1.0
457436.3467241184,5933764.556280303,1.0
457510.7023387723,5933635.564514722,1.0
457585.1719214806,5933506.545070857,1.0
457659.63122496824,5933377.581805162,1.0
457734.00127677486,5933248.6512393635,1.0
457808.34831724066,5933119.672823881,1.0
457882.7166864576,5932990.698037034,1.0
457957.1017266716,5932861.716874789,1.0
458031.5057334812,5932732.695585534,1.0
458105.9055863045,5932603.691815901,1.0
458180.38231711,5932474.575839683,1.0
458254.9163827305,5932345.379567193,1.0
458329.4787319006,5932216.156658937,1.0
458404.10050178703,5932086.853915434,1.0
458478.7666542616,5931957.490380635,1.0
458553.4770942048,5931828.068340974,1.0
458628.2050286359,5931698.621690714,1.0
458703.00712814945,5931569.075912016,1.0
458777.8176572781,5931439.514341685,1.0
458852.58277047187,5931310.003726056,1.0
458927.3676257165,5931180.457365004,1.0
459002.2219732777,5931050.833349651,1.0
459077.05310073064,5930921.230359675,1.0
459151.8307009552,5930791.680176583,1.0
459226.6469412757,5930662.111928099,1.0
459301.45883823256,5930532.568375949,1.0
459376.23856110254,5930403.047300971,1.0
459450.9987712801,5930273.548278998,1.0
459525.7387323432,5930144.129804746,1.0
459600.4430015563,5930014.804277162,1.0
459675.1223584468,5929885.501657426,1.0
459749.78361521784,5929756.22794374,1.0
459824.4356025822,5929626.9673947925,1.0
459899.0992187321,5929497.654263087,1.0
459973.7721760799,5929368.30889749,1.0
460048.43673542934,5929238.984410017,1.0
460123.0843414422,5929109.701969443,1.0
460197.7127009133,5928980.468010296,1.0
460272.32673528016,5928851.272160412,1.0
460346.9459938421,5928722.060455238,1.0
460421.5824503715,5928592.800212789,1.0
460496.2264363777,5928463.519112675,1.0
460570.86870057083,5928334.246079665,1.0
460645.5135254809,5928204.966472173,1.0
460720.1606003769,5928075.678675877,1.0
460794.8070028116,5927946.393364133,1.0
460869.4537255564,5927817.1093714135,1.0
460944.102481823,5927687.821198387,1.0
461018.7538802884,5927558.524829,1.0
461093.40713436314,5927429.222452346,1.0
461168.0615801993,5927299.918196265,1.0
461242.71667154704,5927170.611671954,1.0
461317.37210401613,5927041.303119365,1.0
461392.02843215276,5926911.993144425,1.0
461466.685846127,5926782.6819808865,1.0
461541.3441678967,5926653.370703465,1.0
456296.62962630944,5936038.931591468,1.0
456371.80153656873,5935909.395204642,1.0
456446.86429091566,5935779.805846868,1.0
456521.77841892064,5935650.232499832,1.0
456596.8485350395,5935520.621717096,1.0
456672.19004036044,5935390.901788203,1.0
456747.56734829437,5935261.149288273,1.0
456822.55571150454,5935131.571991125,1.0
456897.4253251646,5935002.104276492,1.0
456972.314613031,5934872.712140114,1.0
457046.69658666174,5934743.593626331,1.0
457120.84062668856,5934614.566480919,1.0
457195.18855835113,5934485.457098495,1.0
457269.64674543904,5934356.329535995,1.0
457344.1776698885,5934227.194601389,1.0
457418.5936809022,5934098.09191068,1.0
457492.93881586875,5933969.028212609,1.0
457567.20391281776,5933840.005759494,1.0
457641.47102036665,5933711.00805055,1.0
457715.9523614214,5933582.017721458,1.0
457790.38284299424,5933453.115566974,1.0
457864.64218910737,5933324.222159924,1.0
457938.7783835524,5933195.234403736,1.0
458012.9158487191,5933066.248218665,1.0
458087.0778568019,5932937.227864951,1.0
458161.3599370863,5932807.990506445,1.0
458235.6285846125,5932678.863126983,1.0
458309.96695143334,5932549.738721926,1.0
458384.4010908314,5932420.5143318465,1.0
458458.7811578516,5932291.397726852,1.0
458533.37370289164,5932162.060172869,1.0
458607.9479337355,5932032.746045163,1.0
458682.6039154017,5931903.3543202225,1.0
458757.3733265241,5931773.840583099,1.0
458832.1109637599,5931644.344078321,1.0
458907.0272069057,5931514.68144104,1.0
458981.8547431878,5931385.096009936,1.0
459056.6376008617,5931255.535622001,1.0
459131.58150215494,5931125.847184227,1.0
