date,amount,phase,containment,zone,region,plume_group
2020-01-01,8970203.15922104,total,total,all,all,all
2040-01-01,10136751.292579086,total,total,all,all,all
2060-01-01,11387352.2891029,total,total,all,all,all
2080-01-01,12707949.96003399,total,total,all,all,all
2100-01-01,14081340.262492377,total,total,all,all,all
2120-01-01,15491654.166960448,total,total,all,all,all
2140-01-01,16927238.658018623,total,total,all,all,all
2160-01-01,18381746.39753449,total,total,all,all,all
2180-01-01,19853920.764888726,total,total,all,all,all
2200-01-01,21346678.71020624,total,total,all,all,all
2020-01-01,734453.2572429699,aqueous,total,all,all,all
2040-01-01,812808.4769748152,aqueous,total,all,all,all
2060-01-01,889747.4275658587,aqueous,total,all,all,all
2080-01-01,963995.371538517,aqueous,total,all,all,all
2100-01-01,1034812.0735284016,aqueous,total,all,all,all
2120-01-01,1102006.649166965,aqueous,total,all,all,all
2140-01-01,1165842.706407666,aqueous,total,all,all,all
2160-01-01,1226920.129552347,aqueous,total,all,all,all
2180-01-01,1286064.5921964876,aqueous,total,all,all,all
2200-01-01,1344227.8211272187,aqueous,total,all,all,all
2020-01-01,8235749.901978069,gas,total,all,all,all
2040-01-01,9323942.815604271,gas,total,all,all,all
2060-01-01,10497604.861537043,gas,total,all,all,all
2080-01-01,11743954.588495472,gas,total,all,all,all
2100-01-01,13046528.188963978,gas,total,all,all,all
2120-01-01,14389647.517793482,gas,total,all,all,all
2140-01-01,15761395.951610956,gas,total,all,all,all
2160-01-01,17154826.267982148,gas,total,all,all,all
2180-01-01,18567856.17269224,gas,total,all,all,all
2200-01-01,20002450.88907902,gas,total,all,all,all
2020-01-01,8646782.12740789,total,contained,all,all,all
2040-01-01,9559564.677029267,total,contained,all,all,all
2060-01-01,10450404.1357084,total,contained,all,all,all
2080-01-01,11303392.166287128,total,contained,all,all,all
2100-01-01,12108810.90474964,total,contained,all,all,all
2120-01-01,12862964.440337194,total,contained,all,all,all
2140-01-01,13566769.004923293,total,contained,all,all,all
2160-01-01,14224223.392672103,total,contained,all,all,all
2180-01-01,14841173.450150179,total,contained,all,all,all
2200-01-01,15424416.073584849,total,contained,all,all,all
2020-01-01,733284.388889478,aqueous,contained,all,all,all
2040-01-01,810692.2828580915,aqueous,contained,all,all,all
2060-01-01,886239.3081480633,aqueous,contained,all,all,all
2080-01-01,958576.3692092361,aqueous,contained,all,all,all
