date,amount,phase,containment,zone,region
2020-01-01,10169247.745245084,total,total,all,all
2040-01-01,11083766.98797014,total,total,all,all
2060-01-01,12052608.969840148,total,total,all,all
2080-01-01,13082494.11621584,total,total,all,all
2100-01-01,14177890.472443093,total,total,all,all
2120-01-01,15340766.212473178,total,total,all,all
2140-01-01,16570710.300316893,total,total,all,all
2160-01-01,17865463.96662443,total,total,all,all
2180-01-01,19221757.911401846,total,total,all,all
2200-01-01,20636251.154619277,total,total,all,all
2020-01-01,405209.6266762901,aqueous,total,all,all
2040-01-01,441179.2146690462,aqueous,total,all,all
2060-01-01,479100.657651712,aqueous,total,all,all
2080-01-01,519198.4400778408,aqueous,total,all,all
2100-01-01,561618.1810126774,aqueous,total,all,all
2120-01-01,606422.1937459947,aqueous,total,all,all
2140-01-01,653594.3985512512,aqueous,total,all,all
2160-01-01,703057.611173121,aqueous,total,all,all
2180-01-01,754701.3243867024,aqueous,total,all,all
2200-01-01,808413.610510162,aqueous,total,all,all
2020-01-01,9764038.118568795,gas,total,all,all
2040-01-01,10642587.773301095,gas,total,all,all
2060-01-01,11573508.312188435,gas,total,all,all
2080-01-01,12563295.676137997,gas,total,all,all
2100-01-01,13616272.291430414,gas,total,all,all
2120-01-01,14734344.018727183,gas,total,all,all
2140-01-01,15917115.90176564,gas,total,all,all
2160-01-01,17162406.35545131,gas,total,all,all
2180-01-01,18467056.58701514,gas,total,all,all
2200-01-01,19827837.54410911,gas,total,all,all
2020-01-01,9942693.516065354,total,contained,all,all
2040-01-01,10722276.55856106,total,contained,all,all
2060-01-01,11503171.494516125,total,contained,all,all
2080-01-01,12281338.896545721,total,contained,all,all
2100-01-01,13053113.47478528,total,contained,all,all
2120-01-01,13816238.210697725,total,contained,all,all
2140-01-01,14569952.617271429,total,contained,all,all
2160-01-01,15314500.402336292,total,contained,all,all
2180-01-01,16050519.153733196,total,contained,all,all
2200-01-01,16778548.69040831,total,contained,all,all
2020-01-01,397092.8486197567,aqueous,contained,all,all
2040-01-01,428227.9580928668,aqueous,contained,all,all
2060-01-01,459415.46217212867,aqueous,contained,all,all
2080-01-01,490494.033574906,aqueous,contained,all,all
2100-01-01,521317.287381359,aqueous,contained,all,all
2120-01-01,551795.0824321705,aqueous,contained,all,all
2140-01-01,581897.0462781347,aqueous,contained,all,all
2160-01-01,611632.9121606764,aqueous,contained,all,all
2180-01-01,641028.1441626997,aqueous,contained,all,all
2200-01-01,670104.3016577008,aqueous,contained,all,all
2020-01-01,9545600.667445598,gas,contained,all,all
2040-01-01,10294048.600468194,gas,contained,all,all
2060-01-01,11043756.032343997,gas,contained,all,all
2080-01-01,11790844.862970816,gas,contained,all,all
2100-01-01,12531796.18740392,gas,contained,all,all
2120-01-01,13264443.128265554,gas,contained,all,all
2140-01-01,13988055.570993293,gas,contained,all,all
2160-01-01,14702867.490175614,gas,contained,all,all
2180-01-01,15409491.009570494,gas,contained,all,all
2200-01-01,16108444.388750609,gas,contained,all,all
2020-01-01,9.119530445364717,total,hazardous,all,all
2040-01-01,30.324576141631248,total,hazardous,all,all
2060-01-01,88.30682484258486,total,hazardous,all,all
2080-01-01,230.07359673603997,total,hazardous,all,all
2100-01-01,545.4581424554583,total,hazardous,all,all
2120-01-01,1192.7507140568289,total,hazardous,all,all
2140-01-01,2431.9877824751607,total,hazardous,all,all
2160-01-01,4664.777400184505,total,hazardous,all,all
2180-01-01,8477.780528944668,total,hazardous,all,all
2200-01-01,14684.924756770315,total,hazardous,all,all
2020-01-01,0.3889033927212849,aqueous,hazardous,all,all
2040-01-01,1.2931949309198973,aqueous,hazardous,all,all
2060-01-01,3.765854392117447,aqueous,hazardous,all,all
2080-01-01,9.811514187302684,aqueous,hazardous,all,all
2100-01-01,23.26112330665002,aqueous,hazardous,all,all
2120-01-01,50.86498719933651,aqueous,hazardous,all,all
2140-01-01,103.71239016390811,aqueous,hazardous,all,all
2160-01-01,198.92995237966724,aqueous,hazardous,all,all
2180-01-01,361.53589597684294,aqueous,hazardous,all,all
2200-01-01,626.240253703804,aqueous,hazardous,all,all
2020-01-01,8.730627052643431,gas,hazardous,all,all
2040-01-01,29.031381210711352,gas,hazardous,all,all
2060-01-01,84.54097045046741,gas,hazardous,all,all
2080-01-01,220.26208254873728,gas,hazardous,all,all
2100-01-01,522.1970191488083,gas,hazardous,all,all
2120-01-01,1141.8857268574923,gas,hazardous,all,all
2140-01-01,2328.2753923112527,gas,hazardous,all,all
2160-01-01,4465.847447804837,gas,hazardous,all,all
2180-01-01,8116.244632967825,gas,hazardous,all,all
2200-01-01,14058.684503066512,gas,hazardous,all,all
2020-01-01,226545.10964928518,total,outside,all,all
2040-01-01,361460.1048329388,total,outside,all,all
2060-01-01,549349.1684991809,total,outside,all,all
2080-01-01,800925.1460733792,total,outside,all,all
2100-01-01,1124231.5395153577,total,outside,all,all
2120-01-01,1523335.251061396,total,outside,all,all
2140-01-01,1998325.6952629888,total,outside,all,all
2160-01-01,2546298.786887954,total,outside,all,all
2180-01-01,3162760.977139702,total,outside,all,all
2200-01-01,3843017.5394541896,total,outside,all,all
2020-01-01,8116.389153140725,aqueous,outside,all,all
2040-01-01,12949.963381248519,aqueous,outside,all,all
2060-01-01,19681.42962519119,aqueous,outside,all,all
2080-01-01,28694.594988747474,aqueous,outside,all,all
2100-01-01,40277.632508011804,aqueous,outside,all,all
2120-01-01,54576.24632662482,aqueous,outside,all,all
2140-01-01,71593.63988295254,aqueous,outside,all,all
2160-01-01,91225.76906006492,aqueous,outside,all,all
2180-01-01,113311.64432802593,aqueous,outside,all,all
2200-01-01,137683.06859875738,aqueous,outside,all,all
2020-01-01,218428.72049614447,gas,outside,all,all
2040-01-01,348510.1414516903,gas,outside,all,all
2060-01-01,529667.7388739897,gas,outside,all,all
2080-01-01,772230.5510846317,gas,outside,all,all
2100-01-01,1083953.9070073457,gas,outside,all,all
