CONIPOS,SGAS,CONJPOS,WELL,CONIDX,DATE,SWAT,PRESSURE,WELLMODEL,CONKPOS,CONBPRES,DRAWDOWN,DEPTH
22,0.0,30,R_A2,1,2018-01-01,0.055748213082551956,300.6733093261719,STANDARD,1,300.6733093261719,0,1641.094970703125
22,0.0,30,R_A2,2,2018-01-01,0.05881066620349884,300.7936096191406,STANDARD,2,300.7936096191406,0,1642.8890380859375
22,0.0,30,R_A2,3,2018-01-01,0.06129923462867737,300.9139099121094,STANDARD,3,300.9139099121094,0,1644.68310546875
22,0.0,30,R_A2,4,2018-01-01,0.06717785447835922,301.0342102050781,STANDARD,4,301.0342102050781,0,1646.4771728515625
22,0.0,30,R_A2,5,2018-01-01,0.13372820615768433,301.1545104980469,STANDARD,5,301.1545104980469,0,1648.2713623046875
22,0.0,30,R_A2,6,2018-01-01,0.30576056241989136,301.27484130859375,STANDARD,6,301.27484130859375,0,1650.0654296875
22,0.0,30,R_A2,7,2018-01-01,0.893852174282074,301.3951721191406,STANDARD,7,301.3951721191406,0,1651.859619140625
22,0.0,30,R_A2,8,2018-01-01,0.6481541991233826,301.5154724121094,STANDARD,8,301.5154724121094,0,1653.6536865234375
22,0.0,30,R_A2,9,2018-01-01,0.18723928928375244,301.63580322265625,STANDARD,9,301.63580322265625,0,1655.44775390625
22,0.0,30,R_A2,10,2018-01-01,0.9045571684837341,301.7561340332031,STANDARD,10,301.7561340332031,0,1657.2418212890625
22,0.0,30,R_A2,11,2018-01-01,0.07894028723239899,301.88323974609375,STANDARD,11,301.88323974609375,0,1659.1368408203125
22,0.0,30,R_A2,12,2018-01-01,0.079011470079422,302.01708984375,STANDARD,12,302.01708984375,0,1661.132568359375
22,0.0,30,R_A2,13,2018-01-01,0.45304223895072937,302.1509704589844,STANDARD,13,302.1509704589844,0,1663.12841796875
22,0.0,30,R_A2,14,2018-01-01,0.5042955279350281,302.28485107421875,STANDARD,14,302.28485107421875,0,1665.1241455078125
22,0.0,30,R_A2,15,2018-01-01,0.6907110214233398,302.4187316894531,STANDARD,15,302.4187316894531,0,1667.1199951171875
22,0.0,30,R_A2,16,2018-01-01,0.964935839176178,302.5526123046875,STANDARD,16,302.5526123046875,0,1669.11572265625
22,0.0,30,R_A2,17,2018-01-01,0.9508187174797058,302.6864929199219,STANDARD,17,302.6864929199219,0,1671.111572265625
22,0.0,30,R_A2,18,2018-01-01,0.983161985874176,302.8123779296875,STANDARD,18,302.8123779296875,0,1672.9881591796875
22,0.0,29,R_A2,19,2018-01-01,0.9968782663345337,302.89569091796875,STANDARD,18,302.89569091796875,0,1674.229736328125
22,0.0,29,R_A2,20,2018-01-01,1.0,303.02569580078125,STANDARD,27,303.02569580078125,0,1676.1676025390625
22,0.0,29,R_A2,21,2018-01-01,1.0,303.47802734375,STANDARD,28,303.47802734375,0,1677.9368896484375
22,0.0,29,R_A2,22,2018-01-01,1.0,303.64569091796875,STANDARD,29,303.64569091796875,0,1679.7061767578125
22,0.0,29,R_A2,23,2018-01-01,1.0,303.8133544921875,STANDARD,30,303.8133544921875,0,1681.4754638671875
22,0.0,29,R_A2,24,2018-01-01,1.0,303.98101806640625,STANDARD,31,303.98101806640625,0,1683.2447509765625
28,0.0,41,R_A3,1,2018-01-01,0.6481541991233826,298.53814697265625,STANDARD,1,298.53814697265625,0,1609.243408203125
28,0.0,41,R_A3,2,2018-01-01,0.19721345603466034,298.676513671875,STANDARD,2,298.676513671875,0,1611.3077392578125
28,0.0,41,R_A3,3,2018-01-01,0.15777362883090973,298.8148498535156,STANDARD,3,298.8148498535156,0,1613.3720703125
28,0.0,41,R_A3,4,2018-01-01,0.1718059778213501,298.9532165527344,STANDARD,4,298.9532165527344,0,1615.4365234375
28,0.0,41,R_A3,5,2018-01-01,0.6481541991233826,299.0915832519531,STANDARD,5,299.0915832519531,0,1617.5008544921875
28,0.0,41,R_A3,6,2018-01-01,0.3384052515029907,299.2299499511719,STANDARD,6,299.2299499511719,0,1619.565185546875
29,0.0,41,R_A3,7,2018-01-01,0.6481541991233826,298.54638671875,STANDARD,6,298.54638671875,0,1609.3663330078125
29,0.0,41,R_A3,8,2018-01-01,0.19685770571231842,298.68377685546875,STANDARD,7,298.68377685546875,0,1611.4163818359375
29,0.0,41,R_A3,9,2018-01-01,0.3490063548088074,298.8211669921875,STANDARD,8,298.8211669921875,0,1613.46630859375
29,0.0,41,R_A3,10,2018-01-01,0.8026683926582336,298.95855712890625,STANDARD,9,298.95855712890625,0,1615.516357421875
29,0.0,41,R_A3,11,2018-01-01,0.7972224354743958,299.095947265625,STANDARD,10,299.095947265625,0,1617.5662841796875
29,0.0,41,R_A3,12,2018-01-01,0.04908576235175133,299.24237060546875,STANDARD,11,299.24237060546875,0,1619.750732421875
29,0.0,41,R_A3,13,2018-01-01,0.054848283529281616,299.3978271484375,STANDARD,12,299.3978271484375,0,1622.0697021484375
29,0.0,41,R_A3,14,2018-01-01,0.37202560901641846,299.5532531738281,STANDARD,13,299.5532531738281,0,1624.388671875
29,0.0,41,R_A3,15,2018-01-01,0.4873570203781128,299.8641662597656,STANDARD,15,299.8641662597656,0,1629.026611328125
