CONKPOS,PRESSURE,DATE,WELL,CONIPOS,SGAS,WELLMODEL,CONIDX,DRAWDOWN,CONBPRES,DEPTH,SWAT,CONJPOS
1,300.6733093261719,2018-01-01,R_A2,22,0.0,STANDARD,1,0,300.6733093261719,1641.094970703125,0.10821601003408432,30
2,300.7936096191406,2018-01-01,R_A2,22,0.0,STANDARD,2,0,300.7936096191406,1642.8890380859375,0.11058630049228668,30
3,300.9139099121094,2018-01-01,R_A2,22,0.0,STANDARD,3,0,300.9139099121094,1644.68310546875,0.07774579524993896,30
4,301.0342102050781,2018-01-01,R_A2,22,0.0,STANDARD,4,0,301.0342102050781,1646.4771728515625,0.06678543984889984,30
5,301.1545104980469,2018-01-01,R_A2,22,0.0,STANDARD,5,0,301.1545104980469,1648.2713623046875,0.07244458049535751,30
6,301.27484130859375,2018-01-01,R_A2,22,0.0,STANDARD,6,0,301.27484130859375,1650.0654296875,0.1185254231095314,30
7,301.3951721191406,2018-01-01,R_A2,22,0.0,STANDARD,7,0,301.3951721191406,1651.859619140625,0.6481541991233826,30
8,301.5154724121094,2018-01-01,R_A2,22,0.0,STANDARD,8,0,301.5154724121094,1653.6536865234375,0.6481541991233826,30
9,301.63580322265625,2018-01-01,R_A2,22,0.0,STANDARD,9,0,301.63580322265625,1655.44775390625,0.1735297441482544,30
10,301.7561340332031,2018-01-01,R_A2,22,0.0,STANDARD,10,0,301.7561340332031,1657.2418212890625,0.32667964696884155,30
11,301.88323974609375,2018-01-01,R_A2,22,0.0,STANDARD,11,0,301.88323974609375,1659.1368408203125,0.07769951224327087,30
12,302.01708984375,2018-01-01,R_A2,22,0.0,STANDARD,12,0,302.01708984375,1661.132568359375,0.07633190602064133,30
13,302.1509704589844,2018-01-01,R_A2,22,0.0,STANDARD,13,0,302.1509704589844,1663.12841796875,0.4555773138999939,30
14,302.28485107421875,2018-01-01,R_A2,22,0.0,STANDARD,14,0,302.28485107421875,1665.1241455078125,0.49689048528671265,30
15,302.4187316894531,2018-01-01,R_A2,22,0.0,STANDARD,15,0,302.4187316894531,1667.1199951171875,0.697963297367096,30
16,302.5526123046875,2018-01-01,R_A2,22,0.0,STANDARD,16,0,302.5526123046875,1669.11572265625,0.9702016711235046,30
17,302.6864929199219,2018-01-01,R_A2,22,0.0,STANDARD,17,0,302.6864929199219,1671.111572265625,0.9523286819458008,30
18,302.8123779296875,2018-01-01,R_A2,22,0.0,STANDARD,18,0,302.8123779296875,1672.9881591796875,0.9832528829574585,30
18,302.89569091796875,2018-01-01,R_A2,22,0.0,STANDARD,19,0,302.89569091796875,1674.229736328125,0.9928692579269409,29
27,303.02569580078125,2018-01-01,R_A2,22,0.0,STANDARD,20,0,303.02569580078125,1676.1676025390625,0.6481541991233826,29
28,303.47802734375,2018-01-01,R_A2,22,0.0,STANDARD,21,0,303.47802734375,1677.9368896484375,1.0,29
29,303.64569091796875,2018-01-01,R_A2,22,0.0,STANDARD,22,0,303.64569091796875,1679.7061767578125,1.0,29
30,303.8133544921875,2018-01-01,R_A2,22,0.0,STANDARD,23,0,303.8133544921875,1681.4754638671875,1.0,29
31,303.98101806640625,2018-01-01,R_A2,22,0.0,STANDARD,24,0,303.98101806640625,1683.2447509765625,1.0,29
1,298.53814697265625,2018-01-01,R_A3,28,0.0,STANDARD,1,0,298.53814697265625,1609.243408203125,0.1351146101951599,41
2,298.676513671875,2018-01-01,R_A3,28,0.0,STANDARD,2,0,298.676513671875,1611.3077392578125,0.11823459714651108,41
3,298.8148498535156,2018-01-01,R_A3,28,0.0,STANDARD,3,0,298.8148498535156,1613.3720703125,0.12243370711803436,41
4,298.9532165527344,2018-01-01,R_A3,28,0.0,STANDARD,4,0,298.9532165527344,1615.4365234375,0.24829745292663574,41
5,299.0915832519531,2018-01-01,R_A3,28,0.0,STANDARD,5,0,299.0915832519531,1617.5008544921875,0.6481541991233826,41
6,299.2299499511719,2018-01-01,R_A3,28,0.0,STANDARD,6,0,299.2299499511719,1619.565185546875,0.3404858112335205,41
6,298.54638671875,2018-01-01,R_A3,29,0.0,STANDARD,7,0,298.54638671875,1609.3663330078125,0.6481541991233826,41
7,298.68377685546875,2018-01-01,R_A3,29,0.0,STANDARD,8,0,298.68377685546875,1611.4163818359375,0.1983322650194168,41
8,298.8211669921875,2018-01-01,R_A3,29,0.0,STANDARD,9,0,298.8211669921875,1613.46630859375,0.20094092190265656,41
9,298.95855712890625,2018-01-01,R_A3,29,0.0,STANDARD,10,0,298.95855712890625,1615.516357421875,0.6481541991233826,41
10,299.095947265625,2018-01-01,R_A3,29,0.0,STANDARD,11,0,299.095947265625,1617.5662841796875,0.7979751825332642,41
11,299.24237060546875,2018-01-01,R_A3,29,0.0,STANDARD,12,0,299.24237060546875,1619.750732421875,0.05079192295670509,41
12,299.3978271484375,2018-01-01,R_A3,29,0.0,STANDARD,13,0,299.3978271484375,1622.0697021484375,0.05455172061920166,41
13,299.5532531738281,2018-01-01,R_A3,29,0.0,STANDARD,14,0,299.5532531738281,1624.388671875,0.3680056035518646,41
14,299.7087097167969,2018-01-01,R_A3,29,0.0,STANDARD,15,0,299.7087097167969,1626.707763671875,0.3714577257633209,41
15,299.8641662597656,2018-01-01,R_A3,29,0.0,STANDARD,16,0,299.8641662597656,1629.026611328125,0.4909714162349701,41
16,299.992919921875,2018-01-01,R_A3,29,0.0,STANDARD,17,0,299.992919921875,1630.9468994140625,0.8089039921760559,41
27,300.16583251953125,2018-01-01,R_A3,29,0.0,STANDARD,18,0,300.16583251953125,1633.5262451171875,0.3014692962169647,41
28,300.40966796875,2018-01-01,R_A3,29,0.0,STANDARD,19,0,300.40966796875,1637.1630859375,0.044041041284799576,41
29,300.6535339355469,2018-01-01,R_A3,29,0.0,STANDARD,20,0,300.6535339355469,1640.8001708984375,0.08846355974674225,41
30,300.89739990234375,2018-01-01,R_A3,29,0.0,STANDARD,21,0,300.89739990234375,1644.4371337890625,1.0,41
